[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:31.000 --> 00:36.000]  We know exactly what the global social engineers are doing. We know their goals.
[00:36.000 --> 00:48.000]  We know what point they've reached in their program of global enslavement, the scientific dictatorship, the final revolution against free humanity by the technocrats.
[00:48.000 --> 01:16.000]  We are live. It is Sunday, the 30th day of October 2011. We're going to be here for the next two hours. And then of course I'm going to be here all of this week broadcasting for 27 hours live, kicking off November 3rd at 11am into the next official radio show the next day on Friday.
[01:16.000 --> 01:25.000]  On Friday, Paul Watson will be sitting in for a few hours here and there. So will Aaron Dykes. We've got a who's who of awake people joining us.
[01:25.000 --> 01:42.000]  Aaron's and they're lining up more than 30 different guests for the Thursday and Friday transmission, the fourth annual money bomb. Quite frankly, I really don't even want the responsibility of having to continue to expand our operation, but I have to because we are the best there is.
[01:42.000 --> 01:55.000]  Doesn't mean I'm perfect or even halfway doing a great job. It's just that we are the best there is. We've got a responsibility to intensify our efforts against the globalist 100 and 10%. And we're doing that.
[01:55.000 --> 02:15.000]  And the money bomb certainly adds to that. It costs millions and millions of dollars to have our 30 plus employees and contractors to pay for all the bandwidth, the studios, the cameras, the insurance, all of it. And to travel around the country and to produce the films that we make in the news websites.
[02:15.000 --> 02:31.000]  And now the nightly news. But quite frankly, I would like to fund our operation with video sales, radio sponsorship, things like that. But really the last three money bombs, we couldn't be here right now at this level without them.
[02:31.000 --> 02:46.000]  And it was listeners that started the money bombs back three and a half, four years ago. Well, this will be the fourth annual, so it'll be four years. Listeners just started one. I kind of ignored it. They said, why aren't you supporting the money bomb? And I said, well, I guess okay, I will.
[02:46.000 --> 03:03.000]  And then we use that money to move into these offices. And here we are. Took us about a year after that to get done, find the right place, move in, get the studio built. And then here we were. And we expanded in the other side, completed the TV studios the last six, seven months ago.
[03:03.000 --> 03:12.000]  And I've now been doing the nightly news here in the last few months. But quite frankly, when I'm on the razor's edge of whether I'm going to do a money bomb or not.
[03:12.000 --> 03:22.000]  Listeners say, you know, Alex, you really should do one. But also listeners, some people that claim to be listeners, you know, say how dare you ask for money.
[03:22.000 --> 03:34.000]  You shouldn't do a money bomb. And I'm kind of pigheaded. Somebody tells me I can't do something. I've got to do it then. So there'll be one for you guys. In fact, you're the reason there is a money bomb now.
[03:34.000 --> 03:48.000]  Because quite frankly, you know, we need the capital and all, but you know, I would rather raise money other ways. But I started thinking about the globalist. They always ask for money or they take your tax money and then give it to MPR and others.
[03:48.000 --> 03:54.000]  And then still, even though that stuff's taxpayer paid for to a certain extent, they have pledged drives to the local affiliates.
[03:54.000 --> 04:06.000]  But then that's all kosher and good, we're told. But if patriotic media, people that actually care about liberty and freedom, try to actually ask for donations or ask people to even buy a book or video.
[04:06.000 --> 04:14.000]  I get criticized. Even though we give it all away for free as well. We've got to get past that psychology and say, you know what, you want to say I'm bad for this?
[04:14.000 --> 04:27.000]  Okay, we'll do it even more than if you don't like it. The truth is they don't want the American people getting together and supporting true liberty and financing it and voting with their dollars and voting by word of mouth, spreading the word.
[04:27.000 --> 04:41.000]  That's what the system is so incredibly afraid of. And if you believe in our message and really realize as we do this key juncture in time, we need to hit our afterburners in the fight for liberty and exposing tyranny.
[04:41.000 --> 04:51.000]  Then donate it in FullWarsMoneyBomb.com and join us coming up this Thursday. Now, I haven't even gotten to the news that's coming up and it's big straight ahead.
[04:51.000 --> 05:12.000]  We're going to cover the waterfront of incredible developments where it'll look deep into U.S. government's scyops straight ahead. Stay with us.
[05:21.000 --> 05:42.000]  If you want something better, if you want something you've never had before, you have to do something you've never done before. Getting a free catalog is easy by calling 800-340-7091.
[05:42.000 --> 05:53.000]  Or see Calvin on the Web at 5starsoap.com. Take charge of your health now by calling 800-340-7091.
[05:53.000 --> 06:13.000]  We are live. Thank you so much for joining us. It is October. Thank you so much for joining us.
[06:13.000 --> 06:33.000]  We are live. Thank you so much for joining us. It is October 30th, 2011 on this Sunday edition. We're going to be live here as we are every Sunday, 4 to 6 p.m. Central.
[06:33.000 --> 06:55.000]  That's 5 to 7 a.m. Eastern. Of course, I'm back weekdays, 11 a.m. to 2 p.m. Central time, blasting out on XM Global Shortwave at WWCR, your local AM and FM stations, and number one, streamed audio transmission on the Web according to Shotcast and other metrics at infowars.com.
[06:55.000 --> 07:09.000]  I am your host, Alex Jones. Let me just list to you some of the videos we're going to be playing, some of the reports we're going to be covering today, some of the information we're going to be breaking down.
[07:09.000 --> 07:32.000]  US planning troop buildup in Gulf after exit from Iraq. I was told, as you know, two weeks ago by multiple military sources, some of them that came on air, CIA, you name it, that Israel has gotten the green light to hit Iran, and they're looking to do it just in the next few weeks.
[07:32.000 --> 07:47.000]  That was a few weeks ago. Within two weeks, the window was opening. That doesn't mean that we can't speak out against this and stop it. That point was also made two weeks ago.
[07:47.000 --> 08:02.000]  And here is the New York Times saying that the troops are being moved out of Iraq into Kuwait and other areas with an eye on the threat of a belligerent Iran. That's a quote. That's the New York Times Saturday, yesterday.
[08:02.000 --> 08:19.000]  Here's another one from Friday. The Washington Times. Israeli prisoners swap may be prelude to attack on Iran. And they quote Harit's newspaper. They quote Jerusalem Post military correspondence.
[08:19.000 --> 08:40.000]  They quote confidants of Benjamin Netanyahu saying that he believes now is the time to look at striking Iran. And this will be his defining Churchill moment. Don't forget that in 2007 Israel hit a clandestine nuclear reactor in Syria.
[08:40.000 --> 08:56.000]  So I mean here's the New York Times saying they're getting ready for it. Here's the Washington Times saying it. I've got several other articles we're going to be going over on this front. And whether you're for this war or against it, the United States is probably going to get sucked into it.
[08:56.000 --> 09:16.000]  And we saw Mr. Bear come out, the former top CIA field commander. Robert Bear came out two weeks ago and said they're greenlighting the attack. You saw Ray McGovern come on the show, former top advisor to Ronald Reagan and George Bush Sr.
[09:16.000 --> 09:30.000]  Top CIA analyst, morning briefer to the presidents, saying yes, the green light's been given. Never before has he said that on the show. You saw they have the bin Laden group. What's sheer come out and say the green light's been given to hit Iran and it's a horrible idea.
[09:30.000 --> 09:44.000]  And we'll actually keep the hardline regime in power right as their people are on the verge of over 70% of the Persians do not like their government. That's on record. So why bomb their government then entrenching them more?
[09:44.000 --> 10:02.000]  And it was all these other experts about a day after I came out and said, my military sources are saying this. And that's why they launched that whole story about the guy down in Corpus Christi, Texas, who was a used car salesman hanging out with the Iranian secret police.
[10:02.000 --> 10:22.000]  And they were going to bomb the Saudi Arabian ambassador in DC and kill him and all this other garbage. And it came out within days. Hundreds of analysts, including former Bush administration expert on Persia, and that's Iran for folks that don't know.
[10:22.000 --> 10:39.000]  They came out and said this is total baloney and it turned out it was completely made up. And it was the Iranian opposition group funded here in the US that was out there manipulating people and involved with elements of the Mexican mafia in all of this.
[10:39.000 --> 10:54.000]  It was a complete made up fake sting where there's nothing to sting. But it was blamed on Iran and we heard we've got to hit Iran and Congressman King said we've got to hit him. So the green light is on, but it has dimmed.
[10:54.000 --> 11:05.000]  Because just like four years ago, Admiral Fox Fallon, the head of sent comet later came out, even an Esquire was ordered to hit Iran. And he said, I'm not doing it.
[11:05.000 --> 11:13.000]  And then basically was forced to resign. And right at that time, Raymer Governor came on our show and he still claims it was just a good guess. Yeah, right.
