[00:00:24.144 --> 00:00:28.127]  Blast off!
[00:00:28.127 --> 00:00:30.649]  It's Tuesday, April 9th, 2019.
[00:00:30.649 --> 00:00:35.293]  This is the Alex Jones Show.
[00:00:35.293 --> 00:00:37.815]  I'm Owen Troyer filling in for Alex Jones today.
[00:00:37.815 --> 00:00:44.020]  I'm sure we'll be hearing from Alex.
[00:00:44.020 --> 00:00:51.726]  And I gotta tell ya, with all the news developing today, it was tough for me to decide
[00:00:52.899 --> 00:00:55.600]  What to lead the broadcast with?
[00:00:55.600 --> 00:00:59.100]  Is it the medical tyranny news?
[00:00:59.100 --> 00:01:01.961]  Is it the open border news?
[00:01:01.961 --> 00:01:10.562]  Is it the potential geopolitical struggle that could lead to world war news happening in Venezuela?
[00:01:10.562 --> 00:01:14.463]  Happening in Iran?
[00:01:14.463 --> 00:01:18.984]  Is it all the violence happening to Trump supporters right now?
[00:01:22.802 --> 00:01:27.385]  So much to get to.
[00:01:27.385 --> 00:01:36.270]  Is it the Russian collusion, delusion narrative falling flat today with the Barr hearing being a total dud?
[00:01:36.270 --> 00:01:38.252]  I mean a total dud, folks.
[00:01:38.252 --> 00:01:39.372]  Pathetic.
[00:01:39.372 --> 00:01:44.195]  The Democrats up there bringing fake news and Barr is literally tired of it.
[00:01:44.195 --> 00:01:47.197]  He's up there yawning, drinking water, rolling his eyes.
[00:01:47.197 --> 00:01:48.298]  These people are a joke.
[00:01:51.357 --> 00:01:54.873]  But instead I decided to go with what's happening right now with Ilhan Omar.
[00:01:56.045 --> 00:02:03.391]  And you've had a thwarted terror attack in Maryland that's getting almost no news coverage.
[00:02:03.391 --> 00:02:12.698]  But I want to play this clip of Ilhan Omar because we've reached an interesting point, or we're just beginning to get there, and I've seen this coming for a while.
[00:02:12.698 --> 00:02:18.643]  But I think we're about to reach ahead with this, especially with the rhetoric of Omar right now.
[00:02:18.643 --> 00:02:25.428]  But listen to what Ilhan Omar said in a speech to CAIR just this week.
[00:02:28.087 --> 00:02:41.256]  CARE was founded after 9-11 because they recognized that some people did something and that all of us were starting to lose access to our civil liberties.
[00:02:43.959 --> 00:02:53.825]  Now, I want to play that short clip one more time because I want you to hear what she's saying here and really think about what she didn't say.
[00:02:53.825 --> 00:02:55.066]  So listen to again.
[00:02:55.066 --> 00:03:00.049]  I'm not sure if she's actually speaking at a CARE event, but she's speaking at an Islamic event.
[00:03:00.049 --> 00:03:01.971]  This is Ilhan Omar.
[00:03:01.971 --> 00:03:03.251]  Listen to what she says.
[00:03:03.251 --> 00:03:06.153]  Listen closely to what she says about 9-11.
[00:03:06.153 --> 00:03:08.715]  Play it again.
[00:03:08.715 --> 00:03:10.816]  CARE was founded after 9-11.
[00:03:12.688 --> 00:03:24.432]  Because they recognize that some people did something, and that all of us were starting to lose access to our civil liberties.
[00:03:24.432 --> 00:03:29.134]  So according to Ilhan Omar on 9-11, some people did something.
[00:03:32.591 --> 00:03:42.793]  To the average American, you'd just say, wait a second, here's a Muslim woman, proud Muslim woman, wears the hijab, says some people did something.
[00:03:42.793 --> 00:03:48.354]  They don't understand the layers of complexities to what she didn't say.
[00:03:48.354 --> 00:03:54.795]  Now what she's saying to her audience, because they understand it, is Jews did 9-11.
[00:03:54.795 --> 00:03:58.096]  That's what she's saying to her audience, a bunch of Muslims that hate the Jews.
[00:04:00.137 --> 00:04:04.278]  But the American hears that and says, wait a second, what didn't she say?
[00:04:04.278 --> 00:04:08.379]  Some people did something?
[00:04:08.379 --> 00:04:12.919]  So it wasn't radical Islamic terrorists?
[00:04:12.919 --> 00:04:18.120]  It wasn't radical Islamic terrorists that flew airplanes into the Twin Towers?
[00:04:18.120 --> 00:04:23.061]  It wasn't radical Islam responsible for that terror attack?
[00:04:23.061 --> 00:04:24.922]  Ah!
[00:04:24.922 --> 00:04:25.382]  Now look,
[00:04:26.713 --> 00:04:30.596]  I don't want this culture war of Islam versus Jews in the West.
[00:04:30.596 --> 00:04:32.018]  I don't want it.
[00:04:32.018 --> 00:04:34.600]  I'm not interested in it.
[00:04:34.600 --> 00:04:44.388]  Say what you want about Jews and Zionists, the average American and the average Jew are compatible, and the Jewish culture and everything has assimilated in the West.
[00:04:44.388 --> 00:04:46.530]  Islam is not assimilating, folks!
[00:04:46.530 --> 00:04:54.177]  And now you had a mass potential terror attack in Maryland thwarted, where a young man wanted to drive a truck
[00:04:55.603 --> 00:04:58.005]  And kill a bunch of people for Islam.
[00:04:58.005 --> 00:05:00.326]  More on the other side.
[00:05:00.326 --> 00:05:04.969]  The globalists, the eugenicists, are always talking down to us.
[00:05:04.969 --> 00:05:09.212]  They're always trying to make us feel small, to feel insignificant.
[00:05:09.212 --> 00:05:17.157]  They try to censor because they fear you and don't want you to have the right to access information so you can make your own decisions.
[00:05:17.157 --> 00:05:20.279]  They want you to believe you're powerless.
[00:05:20.279 --> 00:05:23.762]  But the truth is, it is we the people and our ideas and our actions
[00:05:25.082 --> 00:05:28.203]  And what we say and what we do that changes the world.
[00:05:28.203 --> 00:05:30.244]  We are the power structure.
[00:05:30.244 --> 00:05:31.845]  We are the inventors.
[00:05:31.845 --> 00:05:33.645]  We are the trailblazers.
[00:05:33.645 --> 00:05:37.027]  And the globalists understand that.
[00:05:37.027 --> 00:05:44.149]  And they understand that they are basically trying to control and steal the future from we the people.
[00:05:44.149 --> 00:05:47.971]  Now, to help fund our operation that is undoubtedly the very tip of the spear against these globalists,
[00:05:48.977 --> 00:05:59.460]  I want to encourage listeners and viewers to understand that throughout the second half of the month of March, we're going to have store-wide free shipping and 50% off at importandstore.com, something everybody should take advantage of.
[00:06:14.264 --> 00:06:19.146]  Defending the Republic from enemies, foreign and domestic.
[00:06:19.146 --> 00:06:21.246]  It's Alex Jones.
[00:06:21.246 --> 00:06:24.227]  And now, your host, Owen Troyer.
[00:06:24.227 --> 00:06:41.894]  What a time to be alive.
[00:06:41.894 --> 00:06:42.854]  What an opportunity.
[00:06:44.435 --> 00:06:46.476]  Change the world.
[00:06:46.476 --> 00:06:54.918]  We're live broadcasting from the InfoWars World Headquarters in Austin, Texas on this Tuesday, April 9th, 2019.
[00:06:54.918 --> 00:07:03.740]  The InfoWars.com Alex Jones Show brought to you by you at InfoWarsStore.com.
[00:07:03.740 --> 00:07:11.482]  Now go ahead and give me a quick doc cam of the desk here.
[00:07:11.482 --> 00:07:13.062]  Because I've got
[00:07:14.739 --> 00:07:19.183]  Stacks and stacks and stacks of news to get to.
[00:07:19.183 --> 00:07:24.148]  And it's all important and I'm going to need to stay focused for the next four hours I'll be on air here.
[00:07:24.148 --> 00:07:25.550]  And we're going to get to all this news.
[00:07:25.550 --> 00:07:27.371]  Hopefully we'll have time to take your phone calls.
[00:07:27.371 --> 00:07:28.533]  Dan Lyman may be joining us.
[00:07:28.533 --> 00:07:29.894]  He's got breaking news out of Europe.
[00:07:29.894 --> 00:07:30.655]  But here's the deal.
[00:07:30.655 --> 00:07:31.556]  I need to get focused.
[00:07:32.711 --> 00:07:38.175]  I've already done one broadcast today, trolling the Democrats here in Austin, Avocado Day.
[00:07:38.175 --> 00:07:40.317]  We'll air some of that later on.
[00:07:40.317 --> 00:07:43.660]  But I'm going to have to be focused and I'm going to need energy for the next four hours.
[00:07:43.660 --> 00:07:49.444]  So I'm going to go ahead and hit my turbo force right now at 11.07 a.m.
[00:07:49.444 --> 00:07:51.566]  So I'll be energized and ready to go.
[00:07:51.566 --> 00:07:53.628]  I'm going to go ahead and hit the turbo force right now.
[00:07:55.289 --> 00:08:07.618]  And I gotta give credit to one of our great reporters, Will Johnson, for turning me on to TurboForce with hot water, drinking it like tea.
[00:08:07.618 --> 00:08:08.579]  I gotta give him credit.
[00:08:08.579 --> 00:08:19.447]  I was just drinking it like you would an energy shot, basically, and I was just pouring the TurboForce packet into about eight ounces of water and then just downing it.
[00:08:19.447 --> 00:08:24.091]  But I gotta say, drinking it warm and sipping on it like tea?
[00:08:25.779 --> 00:08:29.680]  That's kind of the way to go, I think, during the live show.
[00:08:29.680 --> 00:08:35.241]  Instead of just getting that immediate jolt and rush, kind of having it sustain and last.
[00:08:35.241 --> 00:08:36.181]  So it's TurboForce.
[00:08:36.181 --> 00:08:38.221]  It's at InfoWareStore.com.
[00:08:38.221 --> 00:08:46.023]  And anybody who's tried it knows that the energy is real.
[00:08:46.023 --> 00:08:48.223]  And that you get that burst from TurboForce.
[00:08:48.223 --> 00:08:49.804]  In fact, should we do what we did yesterday?
[00:08:49.804 --> 00:08:51.144]  Can you get that doc cam shot again?
[00:08:51.144 --> 00:08:55.445]  Because here's what happens when I stir my TurboForce like this on air.
[00:08:57.287 --> 00:08:58.488]  It's really satisfying.
[00:08:58.488 --> 00:09:00.328]  It's oddly satisfying.
[00:09:00.328 --> 00:09:03.470]  And then it helps me, like, find my chi.
[00:09:03.470 --> 00:09:06.751]  There's just something about it.
[00:09:06.751 --> 00:09:07.912]  Hmm.
[00:09:07.912 --> 00:09:09.632]  Yes.
[00:09:09.632 --> 00:09:11.913]  Find your chi.
[00:09:11.913 --> 00:09:14.495]  Find the energy.
[00:09:14.495 --> 00:09:18.056]  With TurboForce at InfowarsStore.com.
[00:09:18.056 --> 00:09:21.498]  I'm getting ready for a long four-hour broadcast, and I need my energy.
[00:09:21.498 --> 00:09:23.879]  I'm sipping TurboForce.
