[00:00.000 --> 00:30.000]  Infowars, tomorrow's news today.
[00:30.000 --> 00:34.800]  The Whopper spends all its time thinking about World War III.
[00:34.800 --> 00:39.000]  Target selection complete. Time on target sequence complete.
[00:39.000 --> 00:46.500]  22 Typhoon class submarines departing Petro Pavlov turning south out of North Cap bearing 095 degrees.
[00:46.500 --> 00:51.000]  Radar reports to unknown tracks are penetrating the Alaskan Air Defense Zone.
[00:51.000 --> 00:55.000]  From the front lines of the information war.
[00:55.000 --> 01:01.000]  Flush the bombers, get the subs in launch mode. We are at DEFCON 1.
[01:01.000 --> 01:05.000]  Are you prepared to destroy the enemy? You bet!
[01:05.000 --> 01:09.000]  Defending the Republic from enemies foreign and domestic.
[01:09.000 --> 01:12.000]  We'll keep control, but we'll keep it here at the top where it belongs.
[01:12.000 --> 01:19.000]  Three, two, one, impact. Shall we play a game?
[01:19.000 --> 01:25.000]  How about global thermo nuclear war?
[01:25.000 --> 01:30.000]  Live from the Infowars.com studios, it's Alex Jones.
[01:30.000 --> 01:34.000]  All units confirm weapons targeted and ready. Awaiting launch codes.
[01:34.000 --> 01:36.000]  We are in launch mode.
[01:36.000 --> 01:39.000]  Do you really believe that the enemy would attack without provocation?
[01:39.000 --> 01:44.000]  If you are receiving this transmission, you are the resistance.
[01:44.000 --> 01:45.000]  We're in!
[01:45.000 --> 01:47.000]  Russians are still denying everything, sir.
[01:47.000 --> 01:50.000]  We have a Soviet submarine launch detection.
[01:50.000 --> 01:54.000]  I wish I didn't know about any of this. I wish I was like everybody else.
[01:54.000 --> 01:59.000]  Change game. The only winning goal is not to play.
[01:59.000 --> 02:18.000]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[02:18.000 --> 02:26.000]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[02:26.000 --> 02:34.000]  As president, I will make it clear that the United States will treat cyber attacks just like any other attack.
[02:34.000 --> 02:40.000]  We will be ready with serious political, economic and military responses.
[02:40.000 --> 02:46.000]  They're voting for peace on planet Earth if they vote for Trump, but if they vote for Hillary, it's war.
[02:46.000 --> 02:51.000]  We came, we saw, we died.
[02:51.000 --> 02:54.000]  With her, you'll end up in World War III.
[02:54.000 --> 02:58.000]  I want the Iranians to know that if I'm the president, we will attack Iran.
[02:58.000 --> 03:07.000]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[03:07.000 --> 03:12.000]  The U.S. military has just raised the threat level to DEFCON 2.
[03:12.000 --> 03:20.000]  Meanwhile, Hillary Clinton is still threatening Russia with military action following unconfirmed reports of further hacking.
[03:20.000 --> 03:23.000]  It's like she's not even concerned about the repercussions.
[03:23.000 --> 03:24.000]  Of course not, because she's...
[03:24.000 --> 03:28.000]  There's a really loud noise coming out of that.
[03:28.000 --> 03:31.000]  All right, looks like we're having a little bit of technical difficulties.
[03:31.000 --> 03:34.000]  We'll try to get Leanne back on in a few minutes.
[03:37.000 --> 03:42.000]  When the president gives the order, it must be followed.
[04:24.000 --> 04:28.000]  I just got back last night from Connecticut, the show trial.
[04:28.000 --> 04:34.000]  And I've been following the news globally of war escalating to incredibly dangerous levels in Ukraine.
[04:34.000 --> 04:41.000]  And I'm strongly considering not even going back to testify on my own behalf in our part of the trial, the show trial,
[04:41.000 --> 04:47.000]  because I'm that concerned I can get stuck there without my family when nuclear war breaks up.
[04:48.000 --> 04:51.000]  That's why I took my wife and my youngest daughter with me.
[04:51.000 --> 04:55.000]  The other children are grown up or almost out of school.
[04:55.000 --> 04:56.000]  Two are out.
[04:56.000 --> 04:58.000]  One is still in high school.
[04:58.000 --> 05:00.000]  And they've got my parents and family here.
[05:00.000 --> 05:02.000]  I mean, it's that serious, okay?
[05:02.000 --> 05:04.000]  And I've never acted like that.
[05:04.000 --> 05:05.000]  I've never behaved like that.
[05:05.000 --> 05:10.000]  I seriously may not even be able to go to Connecticut and defend myself, because it doesn't matter.
[05:10.000 --> 05:12.000]  We're going into a global depression.
[05:12.000 --> 05:13.000]  The borders are collapsing.
[05:14.000 --> 05:17.000]  People are dying by the millions from the poison shots.
[05:17.000 --> 05:20.000]  We are inside the new world order, ladies and gentlemen.
[05:20.000 --> 05:24.000]  We are absolutely inside the global takeover, the great reset.
[05:24.000 --> 05:25.000]  It's all here.
[05:25.000 --> 05:28.000]  It's all happening just like they said they would do, and I've been warning for decades.
[05:28.000 --> 05:35.000]  And all I can offer you is the truth, like Churchill did when the Nazis drove the British forces out of France into the sea at Dunkirk.
[05:35.000 --> 05:41.000]  He said, all I'm offering you is blood, sweat, and tears, and pain, but the alternative is total slavery and death.
[05:42.000 --> 05:50.000]  And it's a long, hard fight, and people can decide to roll over and submit to the new world order and let the planet be depopulated.
[05:50.000 --> 05:56.000]  Or we can have a mass awakening that transcends left and right, and it's all about good and evil, and we say no.
[05:56.000 --> 06:07.000]  But this spaceship, this rock hurtling through space, this globe, our home, is under the greatest threat it's ever been in the history of mankind.
[06:08.000 --> 06:14.000]  And it's all starting in Russia on its border with Ukraine.
[06:14.000 --> 06:18.000]  That is the reality of this planet spinning through space and what we face.
[06:18.000 --> 06:25.000]  I'm going to try to calmly go through this all today for the next three hours on this live emergency transmission.
[06:25.000 --> 06:30.000]  We can put the full show headline up, please, in a few minutes to let you know what we're dealing with.
[06:30.000 --> 06:35.000]  Saturday, September 24th, emergency broadcast, Russia mobilizes for nuclear war.
[06:35.000 --> 06:36.000]  Watch live.
[06:36.000 --> 06:56.000]  And the way you trigger the public to peacefully protest and to flood the streets with candlelight vigils that transcend party is by taking this live show feed right now and sharing it on mainstream platforms like Twitter and Instagram and Facebook and on getter and independent groups like Gab and everywhere else.
[06:56.000 --> 06:58.000]  Because you are the info warriors.
[06:58.000 --> 07:01.000]  And without you, ladies and gentlemen, we are not going to be able to stop this.
[07:01.000 --> 07:11.000]  We have a good chance of stopping this, but even mainline analysts predict a 50 percent chance of a tactical nuclear war in the next few months in Europe.
[07:11.000 --> 07:14.000]  That will cause a global depression, incredible problems.
[07:14.000 --> 07:16.000]  It'll be nightmare beyond imagination.
[07:16.000 --> 07:17.000]  And.
[07:17.000 --> 07:23.000]  Mainline analysts, I agree with them, give it about a 20 percent chance of a full on nuclear war.
[07:23.000 --> 07:26.000]  So I have a lot of trouble.
[07:27.000 --> 07:31.000]  Focusing on all the side issues.
[07:31.000 --> 07:40.000]  While this is going on, there is a major normalcy bias that goes on in everybody, including myself.
[07:40.000 --> 07:55.000]  Where you live in an open, somewhat free society, and you just expect the lights are going to turn on, you expect the grocery stores to be full of food, you expect there's going to be gas for your car, you expect that hydrogen bombs and missiles aren't going to rain down on you and kill you and your family.
[07:55.000 --> 07:57.000]  But.
[07:57.000 --> 08:02.000]  Every ancient civilization being corrupt and decadent and collapsed.
[08:02.000 --> 08:10.000]  But now, when our civilization collapses, which they've accelerated the cycle through the great reset and build back better.
[08:10.000 --> 08:14.000]  You're going to have hundreds and hundreds of nuclear reactors that melt down.
[08:14.000 --> 08:20.000]  We have billions of people starving to death that will then be like the zombie apocalypse.
[08:20.000 --> 08:22.000]  As they try to feed themselves.
[08:23.000 --> 08:27.000]  Within just 15 days, almost everybody.
[08:27.000 --> 08:30.000]  Reverts to cannibalism.
[08:30.000 --> 08:34.000]  If I was a selfish man.
[08:34.000 --> 08:40.000]  I would be in the middle of nowhere in a cabin on the backside of a hill 100 miles from any town.
[08:40.000 --> 08:42.000]  With a bomb shelter right now.
[08:42.000 --> 08:48.000]  If I just cared about myself and just cared about my children, I would be gone right now.
[08:48.000 --> 08:51.000]  I'm staying at the helm of the ship, and I don't say it's be dramatic.
[08:51.000 --> 08:53.000]  I don't say they say, oh, I'm some hero. No, no, no, no.
[08:53.000 --> 08:56.000]  We got a chance of stopping this and I'm not running from it.
[08:56.000 --> 08:59.000]  But I'm telling you, deep down, I told you this months ago, you can see it now.
[08:59.000 --> 09:02.000]  I know you feel it as well.
[09:02.000 --> 09:04.000]  Spiritually, intellectually, you can see it.
[09:04.000 --> 09:07.000]  Culturally, you can see it. Historically, you know it.
[09:07.000 --> 09:13.000]  That people better take this more serious than anything they've ever taken in their lives.
[09:13.000 --> 09:15.000]  It's that real.
[09:15.000 --> 09:17.000]  You better kiss your children. Better hug them.
[09:17.000 --> 09:21.000]  You better hug your mom, your dad, your brother, your sister, your mom.
[09:21.000 --> 09:23.000]  You better get right with God.
[09:23.000 --> 09:29.000]  And I'm telling myself that when I point my finger at you, three more point back at me.
[09:29.000 --> 09:31.000]  But we're coming under judgment, ladies and gentlemen.
[09:31.000 --> 09:36.000]  Now, before I hit all the serious documented news for a couple of weeks.
[09:36.000 --> 09:46.000]  I've been sent countless texts and seen countless videos talking about the 24th of September 2022.
[09:46.000 --> 09:53.000]  And how all these historic things historically have happened on this date and how it ties into the Jewish calendar and mysticism and the rest of it.
[09:53.000 --> 09:56.000]  I'm not putting any stock in that.
[09:56.000 --> 10:02.000]  But every time the world's on the verge of a cataclysm, the general public will pick a date and decide it's that date that's causing it.
[10:02.000 --> 10:04.000]  It's not that date that's causing it.
[10:04.000 --> 10:08.000]  It's the place and point in time we're in right now.
[10:08.000 --> 10:15.000]  But regardless, it's something that if it gets the public's attention to be concerned, that's wonderful.
[10:15.000 --> 10:18.000]  But the stock market's already plunged last week.
[10:18.000 --> 10:20.000]  The inflation's exploding.
[10:20.000 --> 10:28.000]  Russia has called up 300000 troops and put high tech military weapons on the border with Ukraine, including heavy bombers.
[10:28.000 --> 10:32.000]  Putin has said that I'm not bluffing.
[10:32.000 --> 10:34.000]  I'll use nuclear weapons.
[10:34.000 --> 10:37.000]  Against NATO, who's using weapons against us.
[10:37.000 --> 10:39.000]  I mean, this is happening.
[10:39.000 --> 10:47.000]  Words cannot describe how incredibly out of control and seriousness is.
[10:47.000 --> 10:53.000]  So this isn't about whether you're on the Russian side or the NATO side, the Ukrainian side of the American side.
[10:53.000 --> 11:08.000]  This is about globalists that lit the fuse with the pandemic and the lockdowns and the imploding borders and sending in troops to overthrow the pro-Russia elected government eight years ago and Soros bragging about it on Fareed Zakaria on CNN.
[11:08.000 --> 11:13.000]  They started this and Russia took the bait and went in there and I said it was a trap.
[11:13.000 --> 11:20.000]  I told you in October last year, by late February, I expected a Russian invasion because that's all the pieces I saw on the intel I had.
[11:23.000 --> 11:32.000]  When everybody else was saying Russia wasn't going to invade, when Russia was saying it wasn't going to invade, I was saying, no, they're going to invade.
