[00:00:16.081 --> 00:00:18.103]  Awesome!
[00:00:18.103 --> 00:00:23.447]  Thank you!
[00:00:23.447 --> 00:00:24.769]  We love you!
[00:00:24.769 --> 00:00:25.769]  Let's party!
[00:00:25.769 --> 00:00:26.350]  Yeah!
[00:00:26.350 --> 00:00:27.331]  Yeah!
[00:00:27.331 --> 00:00:28.752]  Yeah!
[00:00:28.752 --> 00:00:29.533]  Yeah!
[00:00:29.533 --> 00:00:30.474]  Yeah!
[00:00:30.474 --> 00:00:32.455]  And for wars!
[00:00:32.455 --> 00:00:34.918]  We love Alex Jones!
[00:00:34.918 --> 00:00:36.279]  Free Alex Jones!
[00:00:38.640 --> 00:00:40.041]  Make America Great Again!
[00:00:40.041 --> 00:00:40.941]  Let's go!
[00:00:40.941 --> 00:00:42.202]  Thank you!
[00:00:42.202 --> 00:00:43.382]  Thank you!
[00:00:43.382 --> 00:00:43.862]  You're welcome!
[00:00:43.862 --> 00:00:47.804]  Thank you for your support!
[00:00:47.804 --> 00:00:48.864]  InfoWars!
[00:00:48.864 --> 00:00:49.344]  InfoWars!
[00:00:49.344 --> 00:00:50.224]  InfoWars!
[00:00:50.224 --> 00:00:51.665]  Thank you!
[00:00:51.665 --> 00:00:52.165]  Thank you!
[00:00:52.165 --> 00:00:53.386]  You're welcome!
[00:00:53.386 --> 00:00:54.026]  InfoWars!
[00:01:04.312 --> 00:01:06.481]  Free Alex Jones!
[00:01:06.481 --> 00:01:08.249]  Free Alex Jones family!
[00:01:09.341 --> 00:01:10.301]  Free Alex Jones!
[00:01:10.301 --> 00:01:10.421]  Yeah!
[00:01:10.421 --> 00:01:11.202]  I love you!
[00:01:11.202 --> 00:01:12.422]  Thank you!
[00:01:12.422 --> 00:01:13.282]  Thank you for your support!
[00:01:13.282 --> 00:01:13.742]  Oh my goodness!
[00:01:13.742 --> 00:01:14.863]  I am so freaking honored!
[00:01:14.863 --> 00:01:15.223]  I love you!
[00:01:15.223 --> 00:01:15.483]  I love you!
