[00:00:03.211 --> 00:00:04.712]  You have the power.
[00:00:04.712 --> 00:00:06.713]  Humanity has the power.
[00:00:06.713 --> 00:00:07.814]  We have the power.
[00:00:07.814 --> 00:00:09.135]  Do you want to fight?
[00:00:09.135 --> 00:00:13.558]  You better believe you got one!
[00:00:13.558 --> 00:00:18.581]  Rallying patriots worldwide in defense of human liberty.
[00:00:18.581 --> 00:00:20.022]  It's Alex Jones.
[00:00:30.080 --> 00:00:35.948]  Well, if you want next year's news today, you have found the place, Infowars.com.
[00:00:35.948 --> 00:00:43.218]  If you go back to January 20th, 2017, myself and Roger Stone were live at the inauguration.
[00:00:44.349 --> 00:01:04.116]  On the street and in a studio saying over and over again, Trump must launch a DOJ criminal investigation of illegal spying by the Obama campaign and by the Hillary campaign against President Trump.
[00:01:04.116 --> 00:01:12.619]  He said it over and over again, that illegal spying by the Hillary campaign through Obama's DOJ, NSA, CIA.
[00:01:14.645 --> 00:01:27.374]  And they even had, that very day, people like Chuck Schumer going, the intelligence community has seven ways from Sunday to get you.
[00:01:27.374 --> 00:01:29.556]  And we're going to punish you and we're coming for you.
[00:01:29.556 --> 00:01:39.283]  And remember, Brennan famously said, two days before the inauguration, to President Trump, you better watch your mouth.
[00:01:39.283 --> 00:01:43.246]  I mean, these are some of the most arrogant people
[00:01:46.803 --> 00:01:50.806]  That the world has ever seen.
[00:01:50.806 --> 00:01:58.833]  They are absolutely, totally, and completely arrogant and insane and out of their minds.
[00:01:58.833 --> 00:02:14.606]  And I'm gonna recap all of it and roll through all of it, but the reason the media hates us, and the reason the globalists have us targeted, number one, after Trump, is they tune in and they hear what they know is really going on, and they say, how on earth
[00:02:15.623 --> 00:02:19.104]  Do these people know all this?
[00:02:19.104 --> 00:02:22.285]  Well, we know how you guys operate.
[00:02:22.285 --> 00:02:23.926]  We know your history.
[00:02:23.926 --> 00:02:24.846]  We know your M.O.
[00:02:24.846 --> 00:02:30.168]  We know you're very robotic about how you repeat the same things over and over again.
[00:02:30.168 --> 00:02:32.269]  And you guys are very badly disciplined.
[00:02:34.781 --> 00:02:47.911]  You go on print media, you go on TV media, you go on radio and you blabber about what you're going to do to everybody and then later you think we have no memory and you say you never did it.
[00:02:47.911 --> 00:02:53.935]  So we knew you were illegally spying on Trump because that's what you do.
[00:02:53.935 --> 00:03:00.239]  You're a bunch of crooks and you were continually having pieces of information that weren't leaked.
[00:03:00.239 --> 00:03:02.081]  They were being gleaned from wiretaps.
[00:03:03.524 --> 00:03:10.026]  They were being gleaned by electronic surveillance and Trump knew that during the campaign.
[00:03:10.026 --> 00:03:12.247]  Trump knew that when he was president-elect.
[00:03:12.247 --> 00:03:24.930]  Trump had a consortium of paramilitary organizations and groups counter-surveilling all of you when you were spying on him.
[00:03:24.930 --> 00:03:26.771]  And man, did he set you up.
[00:03:30.049 --> 00:03:38.395]  He set you up so bad when you committed all those crimes, and you perjured yourself to Congress, and you lied to everybody in the media.
[00:03:38.395 --> 00:03:40.977]  And that's why I want to cue this up first, and I've already played it twice.
[00:03:40.977 --> 00:03:43.499]  That's what Giuliani said on Fox News last week.
[00:03:43.499 --> 00:03:47.242]  He said, we're ready to tear you apart.
[00:03:47.242 --> 00:03:48.623]  You want to end this peacefully?
[00:03:48.623 --> 00:03:51.725]  Go ahead and stop now, for the betterment of the country.
[00:03:51.725 --> 00:03:55.568]  But if you want us to tear you apart, we're going to tear you apart.
[00:03:55.568 --> 00:03:57.329]  That's not a threat.
[00:03:57.329 --> 00:03:58.771]  That's called an ultimatum.
[00:03:58.771 --> 00:03:59.111]  Here it is.
[00:04:00.060 --> 00:04:00.780]  They should do it today.
[00:04:00.780 --> 00:04:04.123]  I mean, as soon as possible.
[00:04:04.123 --> 00:04:07.125]  I think that they have the facts from which they can write their report.
[00:04:07.125 --> 00:04:09.146]  If you're going to write a fair report, fine, write it.
[00:04:09.146 --> 00:04:11.988]  If you're going to write an unfair report, write it.
[00:04:11.988 --> 00:04:13.209]  And we will combat it.
[00:04:13.209 --> 00:04:15.410]  We're ready to rip it apart.
[00:04:15.410 --> 00:04:18.972]  And we're ready to rip them apart, if that's what they want.
[00:04:18.972 --> 00:04:23.675]  We would rather peacefully settle this and get it over with.
[00:04:23.675 --> 00:04:25.537]  Rudy Giuliani, always great to see you.
[00:04:25.537 --> 00:04:26.017]  Thanks for coming.
[00:04:28.954 --> 00:04:30.374]  It's really, really bad, folks.
[00:04:30.374 --> 00:04:31.855]  When we come back, I'm going to get into all of it.
[00:04:31.855 --> 00:04:33.775]  There's so much other news.
[00:04:33.775 --> 00:04:35.896]  The election in Venezuela of the dictator.
[00:04:35.896 --> 00:04:38.436]  If you believe that's a real election, I've got a bridge I'll sell you.
[00:04:38.436 --> 00:04:40.437]  Their whole illegal spy network coming down.
[00:04:40.437 --> 00:04:42.837]  What's happening over in Hawaii.
[00:04:42.837 --> 00:04:43.918]  I meant to get to this Friday.
[00:04:43.918 --> 00:04:45.758]  Fox News covered it last night.
[00:04:45.758 --> 00:04:50.539]  NAACP leader said racially profiled.
[00:04:50.539 --> 00:04:51.780]  But then the body cams released.
[00:04:51.780 --> 00:04:53.080]  The police officer's totally polite.
[00:04:54.322 --> 00:04:55.503]  Well, the NAACP leader went further.
[00:04:55.503 --> 00:04:57.025]  He made up a bunch of lies.
[00:04:57.025 --> 00:05:00.548]  We're going to cover all that coming up as well.
[00:05:00.548 --> 00:05:02.890]  Fueling your body is hard work.
[00:05:02.890 --> 00:05:08.654]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:05:08.654 --> 00:05:17.082]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:05:17.082 --> 00:05:19.304]  There's no better way to power your body.
[00:05:19.824 --> 00:05:26.728]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:05:26.728 --> 00:05:37.875]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:05:37.875 --> 00:05:44.779]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
