[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[00:30.000 --> 00:52.000]  We're live. It is Memorial Day 2018. I was going to take off today and go fishing with my children.
[00:52.000 --> 00:55.000]  I was out in the countryside at a lake in the Hill Country doing that.
[00:55.000 --> 01:01.000]  But the phone calls last night and this morning, I turned my car back towards Austin and drove in the hour.
[01:01.000 --> 01:05.000]  We're here. We have a big rebroadcast lined up for you, but we are live.
[01:05.000 --> 01:08.000]  I have a skeleton crew of three people running the show.
[01:08.000 --> 01:16.000]  We're only takes about seven. I really appreciate Wes and Daria and Kit coming in.
[01:16.000 --> 01:24.000]  And of course, some of the other folks, you know, I told them also I saw Don Salazar just showed up without even being asked to.
[01:24.000 --> 01:33.000]  Because the crew deserves some days off. But I told them all right before we went live, I said, you know, I really love you guys.
[01:33.000 --> 01:38.000]  And they said back to me, we love you too. And it wasn't talk, it was real.
[01:38.000 --> 01:44.000]  And there's no place I'd rather be than here. And I'm proud of the things I've done.
[01:44.000 --> 01:51.000]  And I do it all over again, because I've done it with a true heart, with an attempt to tell the truth and we've changed the world together.
[01:51.000 --> 01:56.000]  And I love this audience for putting up with me over the years, because Lord knows sometimes it's a train wreck.
[01:56.000 --> 02:00.000]  But I'm trying to go in the right direction here.
[02:00.000 --> 02:04.000]  You know about the massive demonization against Info Wars.
[02:04.000 --> 02:10.000]  They have had conservatively, because I looked it up.
[02:10.000 --> 02:19.000]  300,000 articles demonizing me just the last three years.
[02:19.000 --> 02:24.000]  And that's on one subject.
[02:24.000 --> 02:28.000]  They're total distortion of reality about what I said and what I've done on Sandy Hook.
[02:28.000 --> 02:32.000]  Because they intended to destroy me with that before they had me physically killed.
[02:32.000 --> 02:36.000]  And I know that's the program. That's 300,000 articles just on that.
[02:36.000 --> 02:42.000]  Every TV station, every radio station, thousands of articles, tens of thousands this last week.
[02:42.000 --> 02:50.000]  That is the level of propaganda you put out before you invade an innocent country.
[02:50.000 --> 02:58.000]  And it's not because I'm that important. It's because I've been chosen as domino number one for total destruction to then bring down the entire free press in this country.
[02:58.000 --> 03:05.000]  And that's now admitted by the Wall Street Journal three months ago, saying they're now going into high gear with their Disney merger.
[03:05.000 --> 03:14.000]  And that the conservative leadership has met with the liberal leadership at the globalist level and decided to destroy the free press in this country and destroy Donald Trump.
[03:14.000 --> 03:25.000]  Now, that said, let me just boil down the news that's coming up the next hour.
[03:25.000 --> 03:32.000]  It was six people that were contacted two weeks ago we knew of. It was eight on Monday. It's 13 now.
[03:32.000 --> 03:38.000]  And the FBI is telling them you better tell us Alex Jones is a Russian.
[03:38.000 --> 03:44.000]  You better tell us he's the mastermind getting direct orders from Trump and Roger Stone.
[03:44.000 --> 03:46.000]  And people are like, I don't even know Alex Jones.
[03:46.000 --> 03:48.000]  Most people don't even know me, never been on the show.
[03:48.000 --> 03:53.000]  Michael Caputo came on on obviously on Monday and was the only one that was willing to talk about it.
[03:53.000 --> 03:59.000]  And other persons coming on today is willing to talk about it. We'll tell you about that after the break.
