[00:00:00.250 --> 00:00:00.350]  What?
[00:00:06.318 --> 00:00:08.078]  Mainstream media.
[00:00:08.078 --> 00:00:09.799]  Government cover-ups.
[00:00:09.799 --> 00:00:10.699]  You want answers?
[00:00:10.699 --> 00:00:12.979]  Well, so does he.
[00:00:12.979 --> 00:00:17.160]  He's Alex Jones, on the GCN Radio Network.
[00:00:17.160 --> 00:00:23.302]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.302 --> 00:00:30.043]  Well, the system's trying to get the Ken Doll carbon tax abortion lover in, so he can be a ringer for Obama-Hillary.
[00:00:31.280 --> 00:00:34.824]  Insiders are telling Time Magazine that's the ticket.
[00:00:34.824 --> 00:00:38.107]  The placeholder, Biden, stepping aside.
[00:00:38.107 --> 00:00:45.515]  Lord Hillary, the butcher of Waco, the butcher of Oklahoma City, getting ready to step in.
[00:00:45.515 --> 00:00:47.337]  Get ready for an Obama-Clinton ticket.
[00:00:49.119 --> 00:00:52.200]  Of course, the entire mainstream media for a day and a half was saying, where's Hillary?
[00:00:52.200 --> 00:00:53.400]  Where's Obama?
[00:00:53.400 --> 00:00:56.061]  Well, they didn't know if she was going to step down on the ticket four years ago.
[00:00:56.061 --> 00:00:57.181]  And I was right there.
[00:00:57.181 --> 00:00:59.762]  They drove by the Secret Service, aiming machine guns at us.
[00:00:59.762 --> 00:01:00.582]  They were inside.
[00:01:00.582 --> 00:01:07.564]  And I called the media, and they said, we don't report, but we're not told to report, because we're a bunch of scum.
[00:01:07.564 --> 00:01:08.484]  So there you go.
[00:01:08.484 --> 00:01:09.545]  That's their job, folks.
[00:01:09.545 --> 00:01:11.145]  You got to really get, it's not a bias.
[00:01:11.145 --> 00:01:14.746]  It's a military enemy, propaganda arm.
[00:01:14.746 --> 00:01:15.926]  They're to keep you in the dark.
[00:01:15.926 --> 00:01:16.446]  They're to spin.
[00:01:16.446 --> 00:01:16.887]  They're to twist.
[00:01:19.071 --> 00:01:24.155]  Now the Obama administration is secretly preparing options for aiding Syrian opposition.
[00:01:24.155 --> 00:01:27.257]  That's already going on.
[00:01:27.257 --> 00:01:29.938]  Again, we've got reports from the union leader.
