[00:00.000 --> 00:28.920]  Infowars, tomorrow's news, today.
[00:28.920 --> 00:34.560]  Infowars, the most evil display of deception and murder we are subjected to today, are
[00:34.560 --> 00:38.920]  found in the new phenomenon of mass school shootings.
[00:38.920 --> 00:46.480]  Prior to 1999, they were practically nonexistent, but today they have almost become predictable.
[00:46.480 --> 00:52.320]  And if you are able to examine the evidence objectively without getting emotional, a pattern
[00:52.320 --> 00:54.940]  can be recognized.
[00:54.940 --> 00:59.920]  Former naval intelligence officer turned whistleblower, Milton William Cooper, wrote
[00:59.920 --> 01:07.540]  in his book, Behold a Pale Horse, published in 1991, that the CIA was using drugs and
[01:07.540 --> 01:14.560]  hypnosis on mental patients in order to persuade them to open fire on schoolyards to inflame
[01:14.560 --> 01:19.160]  the anti-gun lobby and do away with the Second Amendment.
[01:19.160 --> 01:25.620]  This probably sounds outlandishly evil, and it is, but the evidence is there.
[01:25.620 --> 01:31.780]  In the Columbine shootings of 1999, we are told that Eric Harris and Dylan Clybalt acted
[01:31.780 --> 01:33.180]  alone.
[01:33.180 --> 01:39.660]  The town of Columbine, Colorado, was created in 1958 for families and employees of the
[01:39.660 --> 01:42.740]  military-industrial complex.
[01:42.740 --> 01:47.700]  Eric and Dylan were arrested a year prior to the shooting, and were allegedly sodomized
[01:47.700 --> 01:53.420]  by the arresting officer, which may sound crazy, but a local officer admitted to raping
[01:53.420 --> 01:58.860]  informants, which is a known method of trauma-based mind control.
[01:58.860 --> 02:04.940]  After this January incident, Eric and Dylan were put into a juvenile diversion program
[02:04.940 --> 02:11.380]  and prescribed SSRI drugs known to cause homicidal ideation.
[02:11.380 --> 02:17.020]  During this time, Eric Harris was making online death threats and bomb threats.
[02:17.020 --> 02:23.100]  The police were aware of this and drafted a search warrant after David, but it was ignored.
[02:23.100 --> 02:28.540]  Eric and Dylan threatened revenge for the January incident in their yearbook.
[02:28.540 --> 02:34.420]  They produced a school video about their plans and began openly collecting weapons.
[02:34.420 --> 02:38.820]  All of this while on probation, and nothing was done about it.
[02:38.820 --> 02:43.180]  During the shootings, the police stood outside the building and did nothing, while the sounds
[02:43.180 --> 02:48.100]  of automatic gunfire and explosions continued for hours.
