[00:00.000 --> 00:17.000]  Big Brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:17.000 --> 00:26.000]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[00:26.000 --> 00:31.000]  Here we are, still fresh off of Christmas.
[00:31.000 --> 00:35.000]  Oh, and Troy are filling in for Alex Jones here today.
[00:35.000 --> 00:40.000]  And for whatever reason, Christmas seems to really trigger liberals.
[00:40.000 --> 00:44.000]  I don't understand it why it's so triggering, but that's the case.
[00:44.000 --> 00:50.000]  They hate the fact that Trump says Merry Christmas. They want to bury Merry Christmas and just say happy holidays.
[00:50.000 --> 00:58.000]  But now the Southern Poverty Law Center has labeled Christmas Extremism. Here's a report from John Bown.
[00:58.000 --> 01:12.000]  Merry Extremism, everyone. The Southern Poverty Law Center has designated anyone hashtagging Merry Christmas, Christmas Eve, Christmas, or Jesus, a far right-wing extremist.
[01:12.000 --> 01:27.000]  Right Bart writes, according to the SPLC, its hate tracker tracks accounts that represent a range of extremists from conspiratorial fringes of mainstream conservatism to outright white supremacists.
[01:27.000 --> 01:43.000]  The hate tracker notes that hashtag Christmas is the second highest trending hashtag it tracked on Christmas Eve with at White House and at POTUS being among the four top Twitter handles mentioned with the hashtag.
[01:43.000 --> 02:07.000]  For hashtag Merry Christmas, the U.S. Marine Corps Band at Marine Band was one of the top mentioned. According to the hate tracker on Christmas Eve, one of the SPLC's top image associated with hashtag Merry Christmas is a photoshopped picture of Marines hoisting a Christmas tree instead of a flag as depicted in the famous Iwo Jima picture.
[02:07.000 --> 02:29.000]  You may remember recently in 2017, the SPLC designated a Christian ministry group as a hate group. PJ Media reported, the SPLC listed DJKM as a hate group, while GuideStar also categorized it in those terms, and Amazon kept the ministry off of its charity donation program, Amazon Smile.
[02:29.000 --> 02:51.000]  Jerome Corsi reported back in August of 2017, the SPLC, a 501C3 tax-exempt foundation headquartered in Montgomery, Alabama, is quick to demonize law enforcement conflicts with minorities that are typically characterized as oppressive by the hardcore left that has taken control of the Democratic Party.
[02:51.000 --> 03:11.000]  Apple has joined Internet content giants Google and Facebook, as well as the mainstream media, embracing the Southern Poverty Law Center efforts to censor out hate speech, without realizing the Soros-funded organization has a hard left goal of targeting conservatives and libertarians as extremists.
[03:11.000 --> 03:29.000]  Meanwhile, the George Soros-funded nonprofit pays lucrative six-figure salaries to its top directors and key employees, while spending little on legal services, despite its stated intent of fighting hate and bigotry, using litigation, education, and other forms of advocacy.
[03:29.000 --> 03:47.000]  The SPLC was founded by lawyers Morris D. and Joseph Levin Jr., D's first law partner, Millard Fullner, said of D's direct marketing ventures in the 1960s that Morris and I, from the first days of our partnership, shared the overriding purpose of making a pile of money.
[03:47.000 --> 03:55.000]  We were not particular about how we did it, we just wanted to be independently rich. During the eight years we worked together, we never wavered in that resolve.
[03:55.000 --> 04:04.000]  Also back in August of 2017, records showed that millions of dollars to offshore entities were a huge part of the SPLC's business dealings.
[04:04.000 --> 04:14.000]  The SPLC should be held accountable for treason and subversive tactics, endangering not only just our national security, but Western civilization itself.
[04:14.000 --> 04:25.000]  Merry Christmas, SPLC. May you one day take a hard look in the mirror and realize the real extremist is you. John Bowne reporting for Infowars.com.
[04:44.000 --> 05:10.000]  I'm so excited, the new product at InfowarsLife.com, in a glass bottle, two month servings filled to the brim, filled to the absolute top, the real red pill.
[05:10.000 --> 05:19.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it, but boy does it stimulate because it's beyond that.
[05:19.000 --> 05:31.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200 for the formulae.
[05:31.000 --> 05:40.000]  And I came up with our own formulae working with scientists and developers, non-GMO, made right here in America, 120 capsules.
[05:40.000 --> 05:49.000]  And ladies and gentlemen, you add the preglinone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[05:49.000 --> 06:13.000]  It is amazing. Red pill now available at infowarsstore.com and your purchase of the operation.
[06:13.000 --> 06:25.000]  We now take you live to the Central Texas Command Center in the heart of the resistance. It's Alex Jones.
[06:25.000 --> 06:40.000]  Welcome into the Alex Jones Show. Filling in for Alex today, I am Owen Schreuer. It is Thursday, December 28th, 2017, as we are winding down 2017, getting ready for 2018.
[06:40.000 --> 06:48.000]  President Trump's approval rating has hit a boost as we are closing out the new year. We'll get more into that.
[06:48.000 --> 06:57.000]  But there was a story today in the Pew Research Center, 17 striking findings from 2017.
[06:57.000 --> 07:04.000]  Now, I found the striking findings that they reported on to be rather mundane.
[07:04.000 --> 07:13.000]  So what I want to do today, I'm going to take a lot of phone calls in the second and third hours of today's show to hear from the audience.
[07:13.000 --> 07:22.000]  And I want to know, what did you think were the most, let's go with their phrase, striking findings of 2017?
[07:22.000 --> 07:32.000]  Because to me, when I think about striking findings, I'm thinking about the JFK assassination and how the FBI and the government was covering up the truth about that.
[07:32.000 --> 07:36.000]  And they lied about it and they admitted that they had people in the media to lie about it.
[07:36.000 --> 07:43.000]  To me, that's a striking finding. So striking, I can't believe that that only lasted a couple weeks in the news cycle.
[07:43.000 --> 07:50.000]  You would think the people that were alive during the JFK assassination would be more upset that they were lied to for all these years.
[07:50.000 --> 07:54.000]  But in fact, that group of people seemed to care even the least.
[07:54.000 --> 07:59.000]  So I want to hear from the audience. What were the most striking things to you in 2017?
[07:59.000 --> 08:06.000]  How about the fact we found out that Hillary Clinton rigged the primary and cheated Bernie out and that he laid down and didn't care?
[08:06.000 --> 08:11.000]  A total fraud, a total wuss, a total wimp, we'll actually be hearing from Bernie Sanders later today.
[08:11.000 --> 08:17.000]  So as we wind down 2017, we'll take some of your calls in the second and third hour.
[08:17.000 --> 08:20.000]  What were the most striking findings to you?
[08:20.000 --> 08:28.000]  Maybe it's Peter Stroke in the FBI clearing Hillary Clinton and then saying he needs to have an insurance policy in case Trump would win.
[08:28.000 --> 08:31.000]  What does he mean by that?
[08:31.000 --> 08:46.000]  But latest poll indicates President Trump's rating is up to a 46% approval rating with a 53% disapprove rating.
[08:46.000 --> 08:57.000]  And this actually matches where President Hussein Hezbollah was at the same time in his first year.
[08:57.000 --> 09:01.000]  President Hussein Hezbollah, also known as Obama,
[09:01.000 --> 09:10.000]  President Hezbollah saw a 46% approval rating and a 53% disapproval rating after his first year.
[09:10.000 --> 09:15.000]  Now, what is the twist?
[09:15.000 --> 09:21.000]  We'll see there is a twist. Here's the twist right here.
[09:21.000 --> 09:28.000]  Trump media three times more negative than for Obama, just 5% positive.
[09:28.000 --> 09:30.000]  So think about this.
[09:30.000 --> 09:33.000]  Obama was a media darling.
[09:33.000 --> 09:37.000]  Obama was a total fraud and a lot of people bought into Obama.
[09:37.000 --> 09:40.000]  A lot of those people realize he's a total fraud now and now are Trump supporters.
[09:40.000 --> 09:44.000]  But regardless, think about this.
[09:44.000 --> 09:57.000]  Where President Trump stands today, as far as this Rasmussen approval rating, is exactly where President Obama stood after his first year.
[09:57.000 --> 10:04.000]  But President Trump did it, if you want to visual, President Trump did it with shackles on.
[10:04.000 --> 10:06.000]  President Trump did it handcuffed.
[10:06.000 --> 10:10.000]  President Trump did it with a ball and chain attached to each leg.
[10:10.000 --> 10:15.000]  President Trump did it while the media was stabbing him in the back the entire way.
[10:15.000 --> 10:28.000]  So the fact that President Trump matches President Obama's approval rating after one year shows you how amazing he actually is.
[10:28.000 --> 10:43.000]  It's like if President Trump and President Hezbollah had to run a 40-yard dash and they both ran the 40-yard dash in the same time, but President Trump had to do it with a 100-pound flapjacket on.
[10:43.000 --> 10:47.000]  And he still tied Obama.
[10:47.000 --> 10:49.000]  And he's almost double his age.
[10:49.000 --> 10:59.000]  So this is a huge accomplishment for President Trump, considering how much the media has lied about him, his family tried to character assassinate him.
[10:59.000 --> 11:06.000]  This whole fake Mueller investigation with the fake Russian collusion narrative based on a fake dossier.
[11:06.000 --> 11:23.000]  And yet here President Trump stands just as popular as President Hezbollah after his first year in office with nothing but hate, vitriol, and lies coming from the mainstream media.
[11:23.000 --> 11:26.000]  So cheers to President Trump for accomplishing that.
[11:26.000 --> 11:30.000]  That is truly incredible.
[11:30.000 --> 11:44.000]  Meanwhile, President Hezbollah, well, he just continues to try to figure out how he can undermine President Trump and confuse and deceive the American Republic.
[11:44.000 --> 11:54.000]  So President Trump, though, also tweeted out that he has inside polls that indicate that his approval rating is actually higher.
[11:54.000 --> 12:03.000]  And think about where that approval rating would be if the television media actually gave fair coverage to President Trump.
[12:03.000 --> 12:05.000]  I'm not saying they have to worship President Trump.
[12:05.000 --> 12:07.000]  I'm not saying they have to like President Trump.
[12:07.000 --> 12:10.000]  I'm just saying, giving him fair coverage.
[12:10.000 --> 12:22.000]  It's like yesterday on the Drudge Report, the Drudge Report has a poll, and the poll, the winning vote was, the biggest story of 2017, was Trump's first year in office.
[12:22.000 --> 12:23.000]  Well, that's kind of a misnomer to me.
[12:23.000 --> 12:26.000]  They didn't report on Trump's first year in office.
[12:26.000 --> 12:29.000]  People don't even know what Trump accomplished in his first year in office.
[12:29.000 --> 12:41.000]  If you watched CNN or MSNBC, you think the only thing President Trump accomplished was having Manafort and Flynn charged with something and colluding with Russia and being a bigot.
[12:41.000 --> 12:43.000]  You wouldn't know about the tax cuts.
[12:43.000 --> 12:46.000]  You wouldn't know about the GDP.
[12:46.000 --> 12:47.000]  Look at this.
[12:47.000 --> 12:48.000]  They have it in a pie graph here.
[12:48.000 --> 12:49.000]  Look at that.
[12:49.000 --> 12:51.000]  I mean, this is ridiculous.
[12:51.000 --> 12:59.000]  Coverage of Trump's first 60 days delivered greater share of negative assessments than coverage of previous presidents.
[12:59.000 --> 13:13.000]  So a negative assessment of Clinton, President Bill Clinton, 28%, President George Bush, 28%, President Hussein Hezbollah, 20%, President Trump, 62%.
[13:13.000 --> 13:14.000]  So how about that?
[13:14.000 --> 13:24.000]  President Trump gets almost as much negative assessment on media than the prior three presidents combined.
[13:24.000 --> 13:33.000]  And yet here he stands today like a rock with an approval rating as good as Obama's after one year in office.
[13:33.000 --> 13:43.000]  And again, these ratings are skewed to me because some of the people that they are looking to vote on this don't even know what Trump has actually done.
[13:43.000 --> 13:45.000]  They don't know the truth about President Trump.
[13:45.000 --> 13:47.000]  They don't know all of Trump's accomplishments.
[13:47.000 --> 13:52.000]  And so they're voting based on false information.
[13:52.000 --> 13:56.000]  So that's just amazing that President Trump has been able to do that.
