[00:00.000 --> 00:28.400]  Infowars, tomorrow's news, today.
[00:28.400 --> 00:39.040]  And it's Sunday, February 12th, 2023, I'm your host Alex Jones, I'll be here for the
[00:39.040 --> 00:43.480]  next two hours, live, and in the great Owen Shroyle come in, 6 to 8 p.m. out of the same
[00:43.480 --> 00:47.040]  studio for Sunday, live, all-time central.
[00:47.040 --> 00:51.960]  Well, while a lot of people are having fun, and I don't blame them, watching the Chiefs
[00:51.960 --> 00:58.080]  versus the Eagles, and all of that that's going on, we're busy watching what's happening
[00:58.080 --> 01:04.360]  around the world with the New World Order, and with all these UFOs that are flying around,
[01:04.360 --> 01:09.220]  and all these shoot-downs that are happening, and taking place not just here, but reportedly
[01:09.220 --> 01:12.080]  now starting over in China as well.
[01:12.080 --> 01:13.680]  What's really behind that?
[01:13.680 --> 01:20.600]  Well, everybody from CNN to Fox News has been hyping, could it be aliens?
[01:20.600 --> 01:26.000]  Even though in every case it turns out that it's a Chinese balloon carrying different
[01:26.000 --> 01:32.360]  surveillance and or weapons packages, and this has been going on for decades, the question
[01:32.360 --> 01:37.600]  is why is it getting attention now, and that's because the Pentagon and the PSIOP experts
[01:37.600 --> 01:41.720]  want it to be getting attention now, because the United States is doing giant drills right
[01:41.720 --> 01:45.800]  off the coast of China and Taiwan, and we've never been closer to war, according to our
[01:45.800 --> 01:50.960]  own hijacked government, and of course the globalists who run Shai Kong government as
[01:50.960 --> 01:51.960]  well.
[01:51.960 --> 01:58.440]  The globalists installed, they don't run it now, that's why war is going from soft
[01:58.440 --> 01:59.680]  into hot.
[01:59.680 --> 02:05.520]  Big developments obviously over in Ukraine, I believe we're just days away from the big
[02:05.520 --> 02:11.360]  second Russian invasion that I think will happen before the one-year anniversary on
[02:11.360 --> 02:13.360]  the 24th.
[02:13.360 --> 02:19.080]  We're going to be looking at all of it here today, and I want to thank you all for tuning
[02:19.080 --> 02:24.560]  in this evening, remember, the establishment works around the clock to try to block this
[02:24.560 --> 02:29.280]  show and censor this show, so this is not a spectator sport, the Info War is about being
[02:29.280 --> 02:33.280]  the man and woman in the arena, it's very easy to be in the arena, take the live links
[02:33.280 --> 02:40.920]  for infowars.com, the live show feed from band.video, or places like conspiracyfact.info
[02:40.920 --> 02:45.560]  and share it from there and win the Info War against the New World Order.
[02:45.560 --> 02:50.320]  We've got so much to hit on the balloon situation and what I think is really behind that, what's
[02:50.320 --> 02:53.560]  behind the PsyOps coming up this evening.
[02:53.560 --> 02:56.960]  Then not just here in the U.S., but all over the world governments are admitting they've
[02:56.960 --> 03:01.920]  been covertly censoring people with big tech, U.S. State Department funding, secret information
[03:01.920 --> 03:05.880]  crusade to blacklist conservatives, we told you about that years ago, now it's come out
[03:05.880 --> 03:09.880]  in Congress, we have some amazing clips from Friday that we didn't have time to get to,
[03:09.880 --> 03:16.600]  what's happening live as we were speaking, also Elon Musk retweeted a video montage yesterday
[03:16.600 --> 03:23.080]  of myself and Joe Rogan that was used to hype up the whole alien invasion narrative that
[03:23.080 --> 03:27.680]  is taking place, what we really have is an invasion of our privacy, an invasion of our
[03:27.680 --> 03:32.920]  bodies with the poison shots and the AI surveillance grid, and what we really have is an invasion
[03:32.920 --> 03:37.200]  of third world populations starving to death because the globalists shut down their countries
[03:37.200 --> 03:41.000]  for more than two years, the West was only shut down on average for about a year, the
[03:41.000 --> 03:45.200]  U.S. only for about six months, but fully shut down, but we're going to be looking at
[03:45.200 --> 03:51.240]  all of that today as well plus the exploding crime rate thanks to Democrats defunding the
[03:51.240 --> 03:56.560]  police and telling police to slow roll, massive news on the whole poison shot front, we knew
[03:56.560 --> 04:02.600]  this was coming and whether it's people like the dictator of Venezuela, Hugo Chavez or
[04:02.600 --> 04:10.800]  now Socialist President Lula De Silva, they're announcing forced injections of Pfizer shots,
[04:10.800 --> 04:16.560]  Communist always closely allied with Big Pharma for anyone that wants to ever have access
[04:16.560 --> 04:22.080]  to healthcare or any type of financial aid or support, and of course they're saying your
[04:22.080 --> 04:25.480]  children can't go to school if you don't take it, so that's what they want to bring us here,
[04:25.480 --> 04:30.480]  they're already trying it all around the world, real tyranny and there's been some new hearings
[04:30.480 --> 04:35.480]  with other top experts in the death actuary field confirming the trend we've seen over
[04:35.480 --> 04:42.280]  two years accelerating a massive increase in death of 150 plus percent on the first
[04:42.280 --> 04:48.920]  shot alone, we've got all that, that's only a small window into what is coming up today,
[04:48.920 --> 04:52.840]  Hillary Clinton's giving a speech calling for banning cash, bringing cash with society
[04:52.840 --> 05:01.720]  and so much more, tomorrow's news today, thanks for joining us on Super Bowl Sunday.
[05:01.720 --> 05:06.440]  I talk a lot about the great successes Info Wars has had, I don't think anybody can deny
[05:06.440 --> 05:11.960]  it, and it is because of listeners and viewers supporting us, but when we talk about the
[05:11.960 --> 05:16.880]  crew at Info Wars, people behind the scenes, the researchers, the writers, they really
