[00:00.000 --> 00:29.000]  It's Super Bowl 51, we're going to be telling you who the winner is before we get to it.
[00:29.000 --> 00:41.000]  We're going to get into this federal court trying to block Trump and a lot more key transmission, several guests as well.
[00:41.000 --> 01:05.000]  But first, another riveting, piercing report from John Baum.
[01:05.000 --> 01:27.000]  This looks like political violence designed to squelch opinions that perpetrators of that violence disagree with. Am I reading it correctly?
[01:27.000 --> 01:41.000]  That's exactly what it is. The most particularly scary and particularly troubling is not only having an American college campus, you know, supposedly in the land of the free, you know, these places where you should be able to engage with different ideas, places where you should be able to hear speakers.
[01:41.000 --> 01:45.000]  And students who come to my talks who don't necessarily agree with me but just want to hear the other side.
[01:45.000 --> 02:01.000]  I want to talk to people who claim they're asking for the Second Amendment and claim their sovereignty and all the rest of it, who still can't admit they were wrong about Trump and come up to me on the street or, you know, in emails I get or comments I still on YouTube.
[02:01.000 --> 02:04.000]  Oh yeah, Alex, what about Goldman Sachs?
[02:04.000 --> 02:10.000]  This is a whole cabinet full of rich guys and gals who I'm sure have lots of favors in there.
[02:10.000 --> 02:19.000]  As long as Trump goes out and actually gets people that know how to guide him through the globalist wilderness, like Lewis and Clark.
[02:19.000 --> 02:25.000]  And as long as it's our anti-New World Order, pro-America, pro-human agenda, they get done. I'm all for it.
[02:25.000 --> 02:32.000]  I made the analogy of I don't care if he has a goblin guide that leads him into the minds of Moria, as long as, you know, I don't catch him kissing goblins.
[02:32.000 --> 02:40.000]  At the age of 22, after graduating from Yale, I got a job at Goldman Sachs where I spent the next 17 years.
[02:40.000 --> 02:44.000]  I started on a folding chair in the mortgage department.
[02:44.000 --> 02:54.000]  Nine years later, after many sleepless nights, I was put in charge of mortgages, U.S. government bonds, municipal securities.
[02:54.000 --> 03:03.000]  Several years after that, I worked directly for future secretary of the Treasury, Hank Paulson, as the firm's chief information officer.
[03:03.000 --> 03:09.000]  In that role, I oversaw 5,000 people in a $1 billion budget.
[03:09.000 --> 03:15.000]  And we haven't seen that happen, have we? No, he's got the goblins under his control, and they're doing exactly what he says,
[03:15.000 --> 03:21.000]  and clicking their heels when he gives orders, and then running off the little gleaming eyes into the night to do his work.
[03:21.000 --> 03:24.000]  That's true genius.
[03:24.000 --> 03:35.000]  Of course, he brought in top architects from inside the enemy operation to help know where to place the plastic explosives for the control demo that we're now witnessing.
[03:35.000 --> 03:39.000]  And his guides have taken him through the inner workings of it.
[03:39.000 --> 03:45.000]  He already had a good understanding as an outsider billionaire who was able to defeat their monopolies himself.
[03:45.000 --> 03:50.000]  Because Trump is all about one man doing it his way, defeating them.
[03:50.000 --> 03:53.000]  And he sees us as him.
[03:53.000 --> 03:56.000]  And our victories and our successes is his.
[03:56.000 --> 03:59.000]  Look at him getting on a helicopter, not telling the press where he's going.
[03:59.000 --> 04:01.000]  I love it. I relish it.
[04:01.000 --> 04:05.000]  Going out to Fort Mead to pick up the remains of the Navy SEAL that died,
