[00:00.000 --> 00:12.480]  We are on the March the Empire is on the run Alex Jones and the GCN radio network
[00:19.800 --> 00:25.760]  Well, it's on days like this. I'm really glad we've got a Sunday broadcast because I've been chomping
[00:25.760 --> 00:34.200]  At the bit as I know a lot of you have been out there wanting to respond to the ridiculous government shutdown that's scheduled to happen
[00:35.480 --> 00:37.480]  Here in just the next few days
[00:38.280 --> 00:45.400]  As Obamacare begins to go into effect and people learn just how bad it is. What's crazy is
[00:46.200 --> 00:54.860]  The health and human services and other federal agencies involved in the administration of the government takeover of health care at the behest of foreign banks
[00:54.860 --> 00:59.000]  That are engaged in a direct piratical assault on this country
[00:59.900 --> 01:02.260]  They admit it's not going to be ready
[01:02.940 --> 01:04.940]  even if you believe in
[01:05.940 --> 01:09.500]  This socialist model, which isn't even socialist
[01:09.620 --> 01:13.620]  There are actually some northern European countries and a few others we can get pretty good socials health care
[01:13.620 --> 01:17.300]  It's a two-tier system of the general public can go get socials health care
[01:17.300 --> 01:24.780]  Japan there's other examples. I've talked a lot of experts that do it pretty good, but the UK, Australia
[01:26.180 --> 01:27.300]  Canada
[01:27.300 --> 01:29.700]  Most of the countries it is a living
[01:31.020 --> 01:37.540]  Nightmare, I know people from Venezuela. I know people from Cuba. You can't get good heart surgery there
[01:38.020 --> 01:41.380]  You can't get one-tenth of treatments. I mean, it's ridiculous
[01:42.380 --> 01:46.820]  You get a cane when your knees go out you get you don't get eye surgery
[01:46.820 --> 01:48.820]  I mean, it is crazy
[01:49.460 --> 01:56.580]  Crazy that we've gotten to this point, but the house has delayed Obama care as government shut down nears
[01:57.660 --> 02:04.940]  They funded the government so it's a lie when the media the control corporate media the dinosaur media the kleptocratic media
[02:04.940 --> 02:09.780]  the imploded media the dead media the fraudulent media the state-run media the
[02:09.780 --> 02:17.620]  Sewer stream media the parent media the prostitute media, you know those people the repeater media
[02:18.660 --> 02:24.980]  The teleprompter media the talking point media. I'm sorry. I kind of do that like I have Tourette syndrome. I apologize
[02:24.980 --> 02:30.860]  I don't really have it. Maybe I do but I need some prozac that'll fix me the point here is that
[02:31.620 --> 02:34.460]  They are saying as I've been watching the news yesterday and today
[02:34.460 --> 02:38.100]  I don't usually watch mainstream television a lot, but I've been monitoring the propaganda
[02:38.100 --> 02:43.620]  They're up there saying the Republicans are going to shut off the government this week and
[02:44.740 --> 02:51.540]  That is not really the case ladies and gentlemen and so we come back from break. I'm gonna go over all the facts and
[02:52.500 --> 02:55.100]  Take your phone calls. We're gonna give the number out on
[02:55.900 --> 03:02.220]  Obamacare and on the facets of it people that support it people that don't support it and the numbers not out yet
[03:02.220 --> 03:08.860]  I'm gonna give it out in the next segment. We're gonna open the phone system up. We have to turn it on its computerized. It's fancy
[03:08.860 --> 03:10.540]  like in the Jetsons and
[03:10.540 --> 03:13.380]  Once we turn it on in about five minutes
[03:13.500 --> 03:19.020]  Then you can call in and I'll give the toll-free number out. Oh, and I almost forgot first-time callers
[03:19.500 --> 03:22.220]  You disagree you agree you want to call in
[03:23.340 --> 03:28.780]  I'll play the great Karnak like mr. Carson would do and try to guess what type of government employee
[03:28.780 --> 03:32.060]  You are when you call in and support of it giggling on a power trip
[03:32.300 --> 03:38.380]  So we will be doing that coming up in the first hour today and then
[03:39.540 --> 03:45.420]  Look at this little this little kid bit from the Daily Mail that ties into our story from three weeks ago
[03:46.100 --> 03:48.380]  where our high-level source said that
[03:49.500 --> 03:55.780]  There were nuclear warheads that weren't supposed to be at Dye's Air Force Base in West Texas came out of bunker moth balls
[03:55.780 --> 04:02.100]  We're loaded on trucks to go to Georgia. I excuse me to go to South Carolina and
[04:03.220 --> 04:05.220]  That it freaked out
[04:06.900 --> 04:10.780]  The base security and people and
[04:11.900 --> 04:16.620]  Others to the point that this was told to the media not just us we went with it
[04:17.260 --> 04:21.660]  Just like the Navy SEALs told me they knew they blew up the helicopter to get rid of SEAL Team 6
[04:21.660 --> 04:25.100]  And now you see all over the news or on and on and on and on and on
[04:27.260 --> 04:28.860]  And then Lindsey Graham
[04:28.860 --> 04:34.940]  The day after we release it it comes out is running around saying look for the East Coast to be nuked
[04:35.620 --> 04:43.900]  Eminently with missing nukes or al-Qaeda. Well, here it is second command of countries nuclear arsenal is suspended as he is
[04:44.460 --> 04:50.020]  Investigated for gambling. Yeah, you think he's really investigated for maybe some sports gambling. No
[04:50.020 --> 04:57.220]  He's being relieved of command a little bird told me because well the brass is upset about the missing nukes
[04:57.500 --> 05:02.380]  Hope they don't send a hit team in here every three seconds someone becomes a victim of identity theft
[05:02.380 --> 05:07.340]  We also hear news stories every day about the NSA spying on US citizens
[05:07.340 --> 05:11.700]  It is now more important than ever to protect yourself and your information on the web
[05:11.940 --> 05:18.980]  Private internet access.com is a virtual private network service that can encrypt your internet connection while hiding your IP address
[05:18.980 --> 05:24.220]  Their service also provides firewall protection in order to prevent data mining and unwanted exposure
[05:24.460 --> 05:26.940]  They keep no records of your web browsing history
[05:27.260 --> 05:33.300]  Private internet access.com is an American company that understands you need to protect your inalienable rights
[05:33.620 --> 05:39.940]  Private internet access does not even log any of your traffic period privacy is their number one policy
[05:39.940 --> 05:44.140]  You can use their service anywhere with an internet connection and with one account
[05:44.140 --> 05:51.340]  You can protect up to five devices at the same time go to private internet access.com right now in order to secure the privacy
[05:51.340 --> 05:58.460]  Of you and your loved ones don't wait and allow you and your family to become victims visit private internet access.com today
[06:01.300 --> 06:07.180]  We now take you live to the central Texas Command Center and the heart of the resistance
[06:07.180 --> 06:14.020]  You're listening to the Alex Jones show
[06:21.220 --> 06:24.020]  It is the 29th day
[06:27.340 --> 06:32.100]  Of September 2013 on this live Sunday edition
[06:32.100 --> 06:36.860]  I want to thank you all for joining us today
[06:38.740 --> 06:40.980]  We're going to be here for the next two hours
[06:40.980 --> 06:46.580]  I'm going to give the toll-free number out in a moment for first-time callers in the first hour today
[06:46.980 --> 06:53.780]  To give us your take on the looming government shutdown and all the different facets of it whether you agree with Obamacare
[06:53.940 --> 07:00.780]  Disagree love it hate it. What about the spectacle and the lies of the state-run?
[07:00.780 --> 07:03.540]  Establishment mainstream media
[07:04.420 --> 07:08.300]  That's not the dominant media anymore. It's the mainstream media
[07:09.100 --> 07:14.020]  It's the con artists media. It's the teleprompter media. It's the repeater media
[07:14.220 --> 07:21.260]  It's the get a government court or corporate press release and regurgitated no analysis no background no intelligence
[07:21.260 --> 07:28.340]  No historical understanding no muckraking no journalism no integrity no nothing just I'm a corporate whore
[07:28.340 --> 07:34.860]  I'm a government prostitute. I'm a media person that will do whatever the establishment tells me to boy
[07:34.860 --> 07:39.260]  It's easy and now the CIA and the Department of Defense and the White House are coming out
[07:39.940 --> 07:44.140]  Associated Press reported a few months ago with computers that write the news stories
[07:44.340 --> 07:51.060]  The establishment just puts out a press release and then to make it look like there's different angles on it gnome to plumes
[07:51.900 --> 07:53.900]  That's pen name in French
[07:53.900 --> 07:58.500]  Well, they have a gnome to plume for the computer
[07:59.380 --> 08:01.100]  That's really been going on for a decade
[08:01.100 --> 08:05.860]  But now they're announcing it in the end of propaganda bans domestically the
[08:06.220 --> 08:09.260]  Prestitute sellout kleptocratic decepticon
[08:09.620 --> 08:13.260]  New World Order Luciferian media whatever name you've got for it
[08:14.620 --> 08:19.140]  The disgusting sniveling discredited imploding
[08:19.140 --> 08:26.780]  Black hole media. That's a good name for them. There's nothing escapes from it. No truth ever comes out of it only lies
[08:28.580 --> 08:29.780]  All right, I'm
[08:29.780 --> 08:35.580]  Perseverating on that subject they've come out and said the Republicans are going to shut down the government
[08:35.580 --> 08:40.660]  That's the talking point. The truth is that I criticize Republicans when they need to be criticized
[08:42.260 --> 08:46.580]  And I can't stand the Republican blue blood leadership who's being forced out right now
[08:46.580 --> 08:54.940]  There's a revolution inside the Republican Party by the libertarians constitutionalist tea partiers the real tea party and Carl Rove and
[08:55.140 --> 08:57.820]  John McCain and Lindsey Graham
[08:57.940 --> 09:02.380]  They're all sniveling on their on their gunboat as it sinks
[09:02.380 --> 09:08.540]  And they are freaking out and trying to discredit along with Harry Reid. Oh the tea party doesn't have any power
[09:08.540 --> 09:15.700]  Oh, the libertarians are bad. Oh, they're a joke. They're discrediting Republicans. Remember that talking point the last five years
[09:15.700 --> 09:21.740]  Now Harry Reid we played the clip last week or on the Sunday show over and over again
[09:21.740 --> 09:27.020]  But maybe later we'll find that and play it. He said the tea party's taking over and running things
[09:28.140 --> 09:33.900]  It's terrible. I think we can that's the same thing Carl Rove's doing and every time there's a Republican or Democratic
[09:34.460 --> 09:36.460]  Leaked meeting with millionaire
[09:36.980 --> 09:39.220]  Fundraisers that are given hundreds of thousands of peace
[09:39.220 --> 09:45.660]  What is Joe Biden and what is Obama and and what are the Republican blue bloods talking about when those?
[09:46.100 --> 09:49.620]  Meetings get taped and released by patriots on the inside
[09:49.820 --> 09:54.580]  They can be in a meeting with 15 guys it leaks now because it doesn't matter that those guys are rich
[09:54.580 --> 10:00.340]  They don't want to destroy freedom completely even of their establishment types. They don't want to see the country completely implode
[10:00.740 --> 10:07.780]  This is a suicide pack to work with the New World Order and the globalists and the kleptocrats and agenda 21 and all the rest of it
[10:07.780 --> 10:11.860]  And so they leak the tapes over and over again. We played them of
[10:12.620 --> 10:15.980]  Joe Biden and the rest of them scared of the tea party
[10:16.740 --> 10:23.660]  So they've gone from saying we're bad. We're evil. Oh, it's over for us. Oh, aren't we discredited?
[10:24.420 --> 10:26.820]  The tea party started by Ron Paul eight years ago
[10:27.500 --> 10:31.700]  first tea party March ever in Austin, Texas then in Boston, Massachusetts
[10:31.700 --> 10:39.060]  We the people are not partisan. We want the Bill of Rights. We want the Constitution. We want America back
[10:39.060 --> 10:45.660]  We want due process. We want family. We want private property. We want the right to self-defense. We're not liberal
[10:45.660 --> 10:52.140]  We're not conservative. We're Americans and we're done and we are leading the debate now and gaining ground every millisecond
[10:53.220 --> 11:00.460]  Look at how everything's coming out that man may climate change is a fraud the tax scam and the earth's been cooling for a decade and
[11:00.460 --> 11:03.900]  And the warming ended 16 years ago 17 years ago
[11:04.140 --> 11:11.820]  Look at how all of the different programs from Obamacare that's totally unpopular now and 91% major polls say the government killed Kennedy
