[00:00.000 --> 00:19.000]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:38.000]  Another live transmission gets completely under the skin of the devil worshiping tyrant seizing control of our planet.
[00:38.000 --> 00:43.000]  It's Tuesday, February 14th, 2023.
[00:43.000 --> 00:48.000]  And we're going to have open phones throughout the broadcast again today.
[00:48.000 --> 00:51.000]  Wow, the world is really waking up.
[00:51.000 --> 00:56.000]  Without even looking, I've seen a bunch of big comedians on national television.
[00:56.000 --> 01:02.000]  Edward Snowden, a former big NSA whistleblower, he's on public.
[01:02.000 --> 01:04.000]  Cy Hersh has come out.
[01:04.000 --> 01:07.000]  And they're all saying what we all know.
[01:07.000 --> 01:16.000]  This UFO hysteria is 100% a distraction from the entire agenda of the New World Order falling apart in front of our faces.
[01:16.000 --> 01:19.000]  The Nord Stream being blown up.
[01:19.000 --> 01:22.000]  All the Epstein files starting to come out.
[01:22.000 --> 01:32.000]  The open borders, the imploding economy, inflation exploding in its acceleration upward yet again.
[01:32.000 --> 01:36.000]  The expanding war in Ukraine.
[01:36.000 --> 01:40.000]  All of it is nothing but a distraction.
[01:40.000 --> 01:43.000]  A much bigger distraction than the Super Bowl.
[01:43.000 --> 01:51.000]  Super Bowl hits six year audience high with 113 million viewers on Fox alone.
[01:51.000 --> 01:56.000]  And what position are we in now?
[01:56.000 --> 02:02.000]  A better position or a worse position watching the bread and circuses.
[02:02.000 --> 02:07.000]  Meanwhile, two more trains derail across the U.S. after Ohio catastrophe.
[02:07.000 --> 02:09.000]  Harrison Smith is going to be popping in.
[02:09.000 --> 02:15.000]  He's been doing a great job weekday mornings with American Journal, 8 to 11 a.m. Central.
[02:15.000 --> 02:16.000]  Really focusing in on it.
[02:16.000 --> 02:19.000]  I've done some research into it as well.
[02:19.000 --> 02:25.000]  Bazaar a few years ago they shot a movie of a train derailing in the same town blowing up in a chemical explosion.
[02:25.000 --> 02:29.000]  Very, very bizarre to see life imitating art.
[02:29.000 --> 02:34.000]  And to see the government claiming it's safe when they know it's deadly toxic and poisonous.
[02:34.000 --> 02:39.000]  Reminds us how many other disasters that our loving government has covered up and told us was safe.
[02:39.000 --> 02:42.000]  Namely 9-11 and all the poison dust.
[02:42.000 --> 02:45.000]  Huge news on the emerging viruses front.
[02:45.000 --> 02:54.000]  Yahoo may mutate to kill more than 50% of humans who catch it as a result of unprecedented outbreak sweeping mammals experts fear.
[02:54.000 --> 02:57.000]  Of course, the U.N. has been warning of that being imminent.
[02:57.000 --> 02:59.000]  And remember, they're a bunch of depopulationist.
[02:59.000 --> 03:01.000]  Yahoo News, U.S. City Day.
[03:01.000 --> 03:04.000]  They're all reporting little by little they're winning.
[03:04.000 --> 03:06.000]  Tide turns in key Ukraine.
[03:06.000 --> 03:11.000]  City updates as Russian offensive begins.
[03:11.000 --> 03:21.000]  We're going to look at the trend happening more and more of governments openly spying without warrants on populations with hidden cameras and microphones,
[03:21.000 --> 03:28.000]  including in light poles and other infrastructure.
[03:28.000 --> 03:31.000]  I already mentioned this but here's some of the headlines on that front.
[03:31.000 --> 03:35.000]  Biden economy inflation up 6.4 on top of what it was a year ago.
[03:35.000 --> 03:39.000]  Higher than expected, household budget stressed, strained and broken.
[03:39.000 --> 03:41.000]  That's the plan.
[03:41.000 --> 03:45.000]  And if you think you're going to live in an underground cash economy and survive and buy that baby food,
[03:45.000 --> 03:52.000]  think again, ladies and gentlemen, 87 new IRS agents to target the working class.
[03:52.000 --> 03:57.000]  Rhode Island Mill would make it possible for illegal immigrants to vote.
[03:57.000 --> 04:03.000]  The Sanis has now secured 10 million in funding from the legislature to ship illegal aliens to the sanctuary cities.
[04:03.000 --> 04:10.000]  And the New York mayor is now being criticized by Canada because he's shipping the illegal aliens to Canada.
[04:10.000 --> 04:15.000]  So it's just ship them all around while the U.N. ships them into our country.
[04:15.000 --> 04:20.000]  Why don't we talk about the source of the problem instead of moving these people around all over the place,
[04:20.000 --> 04:27.000]  who are economic and cultural refugees from the policies and the lockdowns and the New World Order.
[04:27.000 --> 04:36.000]  It's just some of what we are going to cover on this big broadcast today as we go in through and beyond.
[04:36.000 --> 04:38.000]  Infowars.com.
[04:38.000 --> 04:40.000]  Tomorrow's news today.
[04:40.000 --> 04:42.000]  The coordinates of the resistance are at man.video.
[04:42.000 --> 04:44.000]  Newswars.com.
[04:44.000 --> 04:46.000]  Infowars.com.
[04:46.000 --> 04:48.000]  A conspiracy fact, dial info.
[04:48.000 --> 04:52.000]  We'll be right back, ladies and gentlemen, on the other side.
[04:52.000 --> 04:54.000]  Open phones and more.
[04:54.000 --> 04:57.000]  We'll be right back.
[05:24.000 --> 05:26.000]  It's really just incredible.
[05:26.000 --> 05:30.000]  So for myself, the whole Infowars crew, I thank you for your past support.
[05:30.000 --> 05:36.000]  I only encourage you now to realize that Infowars cannot stay on air if you do not support us.
[05:36.000 --> 05:37.000]  I know you spread the word.
[05:37.000 --> 05:39.000]  I know you pray for us and that's wonderful. Keep doing it.
[05:39.000 --> 05:43.000]  But most viewers and listeners never go to Infowars.com.
[05:43.000 --> 05:46.000]  You never buy great products that enrich and empower your life.
[05:46.000 --> 05:48.000]  All at the same time, keep us on air.
[05:48.000 --> 05:54.000]  I know that less than 1% of our listeners actually go buy products at Infowars.com.
[05:54.000 --> 05:59.000]  If just 1% more of you took action and went to Infowars.com, our funding problems will be over.
[05:59.000 --> 06:19.000]  Please take action now.
[06:29.000 --> 06:43.000]  A powerful combine of major corporations working their governments and media to control and
[06:43.000 --> 06:52.000]  dumb down and dispossess the public would be best described as magicians or con artists,
[06:52.000 --> 06:59.000]  sleight of hands, smoke and mirror, carnival barkers.
