[00:00.000 --> 00:20.000]  Music
[00:20.000 --> 00:28.000]  Decades ago, George Carlin, a true mind, a true visionary,
[00:28.000 --> 00:30.000]  laid out where we are today.
[00:30.000 --> 00:34.000]  The witch hunt of germs and germ phobia
[00:34.000 --> 00:37.000]  flies in the face of all real knowledge about germs
[00:37.000 --> 00:42.000]  that if you live in a bubble, then any basic germ will kill you.
[00:42.000 --> 00:44.000]  And if you don't have the right nutrients
[00:44.000 --> 00:46.000]  and have a good immune system, any germ will kill you.
[00:46.000 --> 00:48.000]  If you have a good immune system
[00:48.000 --> 00:51.000]  and you've been exposed to a lot of things in your life naturally,
[00:51.000 --> 00:54.000]  there's actually studies that swimming in swamps, swimming in ponds,
[00:54.000 --> 00:57.000]  swimming in systems that are contaminated
[00:57.000 --> 00:59.000]  actually make you stronger.
[00:59.000 --> 01:02.000]  Well, where I grew up in Dallas wasn't as polluted
[01:02.000 --> 01:04.000]  as where George Carlin grew up,
[01:04.000 --> 01:09.000]  but it was pretty close and I just never got sick.
[01:09.000 --> 01:13.000]  I get sick now every four or five years.
[01:13.000 --> 01:16.000]  In January, I flew with my wife and children
[01:16.000 --> 01:19.000]  down to Grand Cayman on a commercial flight
[01:19.000 --> 01:22.000]  and I got a chest cold for the first time in five years
[01:22.000 --> 01:26.000]  and had a fever for two days and I'm pretty sure it was COVID.
[01:26.000 --> 01:28.000]  It's been here we now know for two years.
[01:28.000 --> 01:30.000]  That's in the studies, by the way.
[01:30.000 --> 01:32.000]  But here's what George Carlin had to say about it.
[01:32.000 --> 01:33.000]  He knocked it out of the park.
[01:33.000 --> 01:35.000]  Because that's what Americans do now.
[01:35.000 --> 01:38.000]  They're always willing to trade away a little of their freedom
[01:38.000 --> 01:42.000]  in exchange for the feeling, the illusion of security.
[01:42.000 --> 01:47.000]  What we have now is a completely neurotic population obsessed
[01:47.000 --> 01:51.000]  with security and safety and crime and drugs and cleanliness
[01:51.000 --> 01:53.000]  and hygiene and germs.
[01:53.000 --> 01:56.000]  There's another thing, germs.
[01:56.000 --> 01:59.000]  Where did this sudden fear of germs come from in this country?
[01:59.000 --> 02:00.000]  Have you noticed this?
[02:00.000 --> 02:04.000]  The media constantly running stories about all the latest infections,
[02:04.000 --> 02:07.000]  salmonella, E. coli, hand to virus, bird flu,
[02:07.000 --> 02:10.000]  and Americans are, they panic easily,
[02:10.000 --> 02:13.000]  so now everybody's running around scrubbing this and spraying that
[02:13.000 --> 02:16.000]  and overcooking their food and repeatedly washing their hands,
[02:16.000 --> 02:18.000]  trying to avoid all contact with germs.
[02:18.000 --> 02:21.000]  It's ridiculous and it goes to ridiculous lengths.
[02:21.000 --> 02:26.000]  Fear it, germs, why these f***ing f***ies?
[02:26.000 --> 02:28.000]  Hey, where's your sense of adventure?
[02:28.000 --> 02:30.000]  Take a f***ing chance, will ya?
[02:30.000 --> 02:34.000]  Besides, what do you think you have an immune system for?
[02:34.000 --> 02:36.000]  It's for killing germs.
[02:36.000 --> 02:38.000]  But it needs practice.
[02:38.000 --> 02:41.000]  It needs germs to practice on you.
[02:41.000 --> 02:44.000]  So, so listen.
[02:44.000 --> 02:47.000]  So listen.
[02:47.000 --> 02:49.000]  If you kill all the germs around you
[02:49.000 --> 02:51.000]  and live a completely sterile life,
[02:51.000 --> 02:54.000]  then when germs do come along, you're not going to be prepared.
[02:54.000 --> 02:56.000]  And never mind ordinary germs,
[02:56.000 --> 02:58.000]  what are you going to do when some super virus comes along
[02:58.000 --> 03:02.000]  that turns your vital organs into liquid s***?
[03:02.000 --> 03:03.000]  I'll tell you what you're going to do.
[03:03.000 --> 03:05.000]  You're going to get sick, you're going to die,
[03:05.000 --> 03:07.000]  and you're going to deserve it because you're f***ing weak
[03:07.000 --> 03:09.000]  and you got a f***ing weak immune system.
[03:09.000 --> 03:14.000]  Now, hey, can I tell ya?
[03:14.000 --> 03:18.000]  Hey, let me tell you a true story about immunization, okay?
[03:18.000 --> 03:21.000]  When I was a little boy in New York City in the 1940s,
[03:21.000 --> 03:23.000]  we swam in the Hudson River,
[03:23.000 --> 03:26.000]  and it was filled with raw sewage, okay?
[03:26.000 --> 03:32.000]  We swam in raw sewage, you know, to cool off.
[03:32.000 --> 03:35.000]  And at that time, the big fear was polio.
[03:35.000 --> 03:37.000]  Thousands of kids died from polio every year.
[03:37.000 --> 03:38.000]  But you know something?
[03:38.000 --> 03:40.000]  In my neighborhood, no one ever got polio.
[03:40.000 --> 03:41.000]  No one ever.
[03:41.000 --> 03:42.000]  You know why?
[03:42.000 --> 03:45.000]  Because we swam in raw sewage.
[03:45.000 --> 03:48.000]  It strengthened our immune systems.
[03:48.000 --> 03:50.000]  But polio never had a prayer.
[03:50.000 --> 03:53.000]  We were tempered in raw s***.
[03:57.000 --> 03:59.000]  George Carlin warned us about the COVID panic years ago.
[03:59.000 --> 04:05.000]  My father's mother kept him so clean that he was sickly.
[04:05.000 --> 04:08.000]  He was about a year old, and his black nanny said,
[04:08.000 --> 04:10.000]  he needs Hindu tea and told my grandmother,
