[00:00.000 --> 00:22.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:22.000 --> 00:38.000]  It's Wednesday, the 7th day already of February 2018. We're going to be live here with my transmission for the next four hours.
[00:38.000 --> 00:41.000]  And there's more in Full Wars transmissions coming up after that.
[00:41.000 --> 00:47.000]  There's so much to cover today, but there's a new talking point that Trump is turning America into North Korea.
[00:47.000 --> 00:54.000]  ABC News, CBS CNN, MSNBC, and we're going to be breaking all that down today.
[00:54.000 --> 00:59.000]  Pence says the U.S. to unveil the most aggressive North Korea sanctions ever.
[00:59.000 --> 01:03.000]  And now North Korea officially says they fear a preemptive bloody nose.
[01:03.000 --> 01:11.000]  So that is going to be broken down today. Bull or bear all eyes on the U.S. markets as they gyrate up and down wildly.
[01:11.000 --> 01:12.000]  That's coming up as well.
[01:12.000 --> 01:17.000]  But first, a report from John Bowne on the North Korea crisis.
[01:42.000 --> 01:45.000]  He asked about what he was basing his claims on.
[01:45.000 --> 01:51.000]  Wood also labeled North Korea's latest South Korean show of diplomacy as a charm offensive.
[01:51.000 --> 01:57.000]  The situation on the Korean Peninsula has not changed.
[01:57.000 --> 02:07.000]  The regime continues to work on its ballistic missile and nuclear programs.
[02:07.000 --> 02:11.000]  What I would call charm offensive, frankly, is fooling no one.
[02:11.000 --> 02:18.000]  The DPRK is frantically warning that a preemptive bloody nose attack by the United States is imminent.
[02:18.000 --> 02:25.000]  Al Jazeera reported young Chul said U.S. officials, including the defense secretary and the CIA director,
[02:25.000 --> 02:34.000]  repeatedly talked about a DPRK nuclear and missile threat to justify their argument for a military option and a new concept of a so-called bloody nose.
[02:34.000 --> 02:40.000]  Meanwhile, Guam sits under the most imminent threat of an attack by the DPRK.
[02:40.000 --> 02:51.000]  A couple of Guam are proud to host the continued bomber presence and one leg of the nuclear triad with the recent addition of the B-2 and B-52 bombers.
[02:51.000 --> 02:57.000]  Considering the bomber presence and as the westernmost territory of the United States,
[02:57.000 --> 03:06.000]  Guam holds vital strategic bases and I'm happy to see the department place a THAAB system to aid in its defense.
[03:06.000 --> 03:13.000]  However, in your strategy, you call for investment on layered missile defense from North Korean threats.
[03:13.000 --> 03:20.000]  Considering our strategic importance, is Guam adequately defended from theater missile threats
[03:20.000 --> 03:25.000]  and how do you intend to bolster these defense systems in the future?
[03:25.000 --> 03:31.000]  Well, we will continue bolstering them to keep pace with the threat out of North Korea.
[03:31.000 --> 03:43.000]  Besides the THAAB system, we also keep the ballistic missile defense US Navy warships in the waters out there and we can always reinforce that.
[03:43.000 --> 03:57.000]  We also have several of those ships in Japanese waters right now and they can move back and forth to include coverage of Guam in the mobile way that comes to our Navy.
[03:57.000 --> 04:06.000]  But we are looking at all the systems to include Aegis ashore as we look toward the future protection of our Pacific area.
[04:06.000 --> 04:18.000]  Thank you, Mr. Secretary. I think we've talked about this. Just keep Guam in a secure position and keep all the bombers and everything else you have there for a while anyway.
[04:18.000 --> 04:27.000]  And as the Winter Olympics create a veneer of diplomacy, a new US ambassador to South Korea has yet to be nominated after the previous nominee,
[04:27.000 --> 04:36.000]  Dr. Victor Chow will no longer be considered after he criticized the Trump administration's threats to back out of a bilateral trade agreement with Seoul.
[04:36.000 --> 04:39.000]  So how imminent is this threat?
[04:39.000 --> 04:51.000]  Well, the Hill reports last year the DPRK tested a ballistic missile that experts believe is capable of reaching the US mainland, though the country isn't believed to be able to mount a nuclear device on the missile.
[04:51.000 --> 04:55.000]  Experts say North Korea is close, however, to reaching that milestone.
[04:55.000 --> 05:10.000]  John Bown reporting for Infowars.com.
[05:26.000 --> 05:34.000]  We say a fungus is a scourge, molds a scourge, and you can't battle it with this in your sinus or other areas, but in your gut, the main area you can.
[05:34.000 --> 05:43.000]  MycoZX, available exclusively, been out for over six months at infowarslife.com, or by calling toll-free, AAA-253-139.
[05:43.000 --> 05:51.000]  Ladies and gentlemen, I only bring you products I use myself. I only bring you products that have been proven to have dynamite effects.
[05:51.000 --> 05:56.000]  MycoZX is back in stock right now at infowarslife.com. Secure yours today.
[06:22.000 --> 06:36.000]  We played the clip yesterday. I intend to play it again at the start of the next segment with the president addressing a large crowd through down the gauntlet.
[06:36.000 --> 06:54.000]  And he simply said the truth, that the Democratic Party are the enemies of an American recovery. They are treasonous, and they're out to get the American people.
[06:54.000 --> 07:19.000]  And I was thinking about that line and that song, Lynn Greenwald, I think is his name, where he talks about proud to be an American, and the flag still stands for freedom, and they can't take that away.
[07:19.000 --> 07:25.000]  And I remember growing up hearing that and thinking, I love America, but that's a little cheesy.
[07:25.000 --> 07:40.000]  But as you get older, you learn that's how criminals operate, is that once they get control, they want to take everything away from you, and modern liberals are just criminals.
[07:40.000 --> 08:03.000]  And studies show that, depending on the studies, six to nine times more likely, British, U.S. studies, Canadian studies, by liberal universities, by the psychology departments, that they're way meaner, give way less charity and steal.
[08:03.000 --> 08:20.000]  And it's because they're weak. And so, when they get in positions of power, they seek to divide everybody, to control everybody, to dumb everybody down, because they feel weak, and they want to manage them.
[08:20.000 --> 08:49.000]  So a leftist, modern leftist, which is really just a mentally ill criminal, with a psychology of crime, a twisted algorithm of sustaining themselves, they seek to play the victim at the low level to guilt those around them under their control.
[08:49.000 --> 09:02.000]  It's really a sign of immaturity as well. It's an arrested development. Everybody knows spoiled rotten children will try to guilt you into doing what they want.
[09:02.000 --> 09:30.000]  Everybody knows that spoiled rotten children, when studied in the main, are the same around the world, that they hatch little plots and devious manipulations. Instead of just going out and boldly leading and being successful, and on its face, you got a pretty good idea growing up in school, who's going to end up being steadfast, who's going to be successful, who's going to be stalwart, who's going to be inventive,
[09:30.000 --> 09:40.000]  and who's going to be corrupt, who's going to be evil. You can also tell who's going to fight, who the warriors are.
[09:40.000 --> 10:07.000]  And the system seeks to arrest the development of individuals, so they can control them throughout their lives, in like an endless junior high eddy pool or groundhog day of control. So before we get into all this news, I thought it critical, absolutely critical,
[10:07.000 --> 10:33.000]  to talk about the psychology of these people, and just that line, the flag still stands for freedom, and they can't take that away when I saw MSNBC and CNN and all of the different channels.
[10:33.000 --> 10:46.000]  Over and over and over again saying, you can't have a family, you can't have a church, and you can't like people that are in the military.
[10:46.000 --> 11:10.000]  So if I could see the old American instincts and not want to have troops on the streets and not want to be under martial law, I certainly understand that. But they're saying you can't even have it. You can't even respect anybody that's doing that because you see it shows what globalist outsiders they are and how they're committed to overthrowing the country.
[11:10.000 --> 11:30.000]  So we need the other side of that after 18 years, since 1991, we've not had a military parade in this country, and Trump says the Russians have them, the French have them, the British have them.
[11:30.000 --> 11:46.000]  But see, as a globalist, George Herbert Walker Bush wanted to use our military to break up the Middle East and take over areas and start the class of civilizations destabilization, but then he wanted to make it a UN operation and make our military itself shameful.
[11:46.000 --> 12:05.000]  So part of taking America back is having a wall, is having visas, is having sovereignty, and is supporting the men and women who served in our military and who serve in it now, not because you're in a cult of worshiping the military,
[12:05.000 --> 12:21.000]  but because you understand the globalist want to take that away from you and demoralize the nation so we can be controlled. And everything Trump's doing is to stop the demoralization.
[12:21.000 --> 12:37.000]  And he's been critical of the NSA spying, and he's talking to William Benning through the CIA director about a system that doesn't spy on everybody, that actually uses algorithms when somebody really travels here, really makes these statements,
[12:37.000 --> 12:46.000]  and then you have human intelligence and it's all integrated and it works a thousand times better than scanning everything, which is really just used for political control.
[12:46.000 --> 12:57.000]  So I know for a fact Trump's even moving us in the right direction that way, and not wanting to have a bunch of nation building.
[12:57.000 --> 13:11.000]  And Trump was critical of the bill, but as they said it was tied to all the spending and he said my hands are tied until we reform this system, because that's the system that is in place, hundreds of billions of dollars.
[13:11.000 --> 13:22.000]  And they've got my hands tied saying terrorists are going to kill us any minute. If we don't turn this thing off, well we're moving to put something in that actually works from the original guy that actually built what became this monstrosity,
[13:22.000 --> 13:34.000]  William Benning. He's the engineer of the big mastermind they admit, even his enemies that developed all this and they took it away and said we're going to use it to surveil everybody.
[13:34.000 --> 13:43.000]  And he started saying you're insane. Number one, that means you won't be able to track all the real threats when you look at everybody and everything constantly.
[13:43.000 --> 13:52.000]  All that is used for is total control.
[13:52.000 --> 14:08.000]  Trump has a long way to go in the surveillance and he knows he's been targeted with it as well. But the idea that we can't even have a military parade to celebrate whether you support all these wars or not, how long these people have served the longest serving
[14:08.000 --> 14:29.000]  military on average in world history, 20 tours, 30 tours. My cousin was in the army, he got extended 37 years and was deployed for over 25 years of it in combat zones all over the world.
[14:29.000 --> 14:40.000]  And of course volunteered and wishes they put him back in but his back's completely disintegrated from jumping out of helicopters and carrying all those packs.
[14:40.000 --> 14:50.000]  He's about six inches shorter than when I was a teenager. But it's just insane that you can't ever have that because the media said so.
[14:50.000 --> 15:00.000]  I've got stacks of articles where they're saying you can't say mother and father, you can't say family, you can't say he or she, that hurts someone else who isn't a he or she, that's pure biological warfare.
[15:00.000 --> 15:08.000]  The globalists admit it's to target the family, which they said on MSNBC last week and CNN you can't have and Trump shouldn't have talked about family.
[15:08.000 --> 15:26.000]  And Trudeau goes, we're people kind, not mankind. And that's just the beginning, you see, of how it starts. He's the prime minister putting out the soft pedal, but down at the school level, they're telling children in Canada, nationwide,
[15:26.000 --> 15:36.000]  they're doing it in spots here that you're purple penguins. There are no boys or girls. Talk about trying to whack job people. That's how you depopulate and that's even in the news.
[15:36.000 --> 15:47.000]  That's coming up. They admit, oh, transgenderism is great. There won't be any people. See, it's not about the transgenderism starts with men that want to be women or vice versa.
[15:47.000 --> 15:56.000]  And then it becomes transhumanism. That's how they set up the idea of you can't criticize giving up your humanity and identifying as a fire hydrant if you want.
[15:56.000 --> 16:08.000]  It's mainlining mental illness, fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon, savory and delicious. I buy some, I use some, I store some.
[16:08.000 --> 16:20.000]  Awesome. No refrigeration needed with a 10 year shelf life, NASA pack technology, bacon, fully cooked, fully hydrated, ready to eat right from the pack bacon or warm and served.
[16:20.000 --> 16:29.000]  Life saving, ready to eat bacon, 10 year shelf life bacon, ships free at fullycookedbacon.com, fullycookedbacon.com.
[16:29.000 --> 16:39.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place. And what they don't steal will be destroyed.
[16:39.000 --> 16:50.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[16:50.000 --> 16:57.000]  Security is a mindset and fake TV should be part of your security solution. Be vigilant, but not fearful.
[16:57.000 --> 17:10.000]  FakeTV.com.
[17:27.000 --> 17:33.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[17:33.000 --> 17:41.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:41.000 --> 18:00.000]  Order your two month supply today by calling 866-295-5305 or order online hbextract.com. Heart and Body Extract 866-295-5305 or hbextract.com.
[18:00.000 --> 18:09.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[18:09.000 --> 18:17.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade-grown Arabica beans.
[18:17.000 --> 18:22.000]  We have now managed to secure the sought-after beans in a highly customized blend.
[18:22.000 --> 18:36.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com. This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:36.000 --> 18:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:43.000 --> 18:53.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend, you will be supporting a free press.
[18:53.000 --> 19:00.000]  All the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[19:00.000 --> 19:15.000]  Infowarslife is bringing you a breakthrough in modern medicine. We have found an extraordinary new natural way to help alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[19:15.000 --> 19:29.000]  This is pollen block. In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like running nose, itchy watery eyes, and excessive mucus production.
[19:29.000 --> 19:48.000]  They began studying the effects in their published trials. Now we are introducing the fruit of the research, a fast-acting chewable tablet, just two tablets at the first sign of seasonal distress, and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[19:48.000 --> 20:00.000]  Enjoy the air you breathe naturally with fast-acting pollen block. Available now at infowarslife.com or by calling toll 3-888-253-3139.
[20:18.000 --> 20:22.000]  Because there is a war on for your mind.
[20:22.000 --> 20:38.000]  I remember when, I remember, I remember when I lost my mind. There was something so pleasant about that place. Even your emotions had an echo in so much space.
[20:38.000 --> 21:06.000]  Coming up, there have been some really big developments with the ongoing drip drip drip of devastating information coming out, dealing with the whole situation that is unfolding around the Clinton criminal combo
[21:06.000 --> 21:17.000]  inside of the stay-behind networks put in place by the Clintons, the Obamas, and others in the FBI and the Justice Department.
[21:17.000 --> 21:29.000]  And we're going to be covering that coming up some in the next segment. We're going to get to the latest on North Korea, fearing a preemptive bloody nose and so much more.
[21:29.000 --> 21:47.000]  And I will today get to important news reports coming out of the UK where they are openly on television saying any criticism in public or online of transgenderism should be banned and outlawed.
[21:47.000 --> 21:59.000]  And then the reporter says back to the other reporter, but then that would ban you being able to be critical of me. They're like, oh no, we'll still be able to basically. So the lady is then speechless.
[21:59.000 --> 22:09.000]  It's an amazing video. It's up on infowars.com and that is going to be coming up as well also on newswars.com.
[22:09.000 --> 22:18.000]  Incredible. Professors' defense of free speech leaves regressive leftists literally speechless.
[22:18.000 --> 22:37.000]  Paul Joseph Watson article on infowars.com. And I'm going to totally decode today what the entire transgenderism situation is about.
[22:37.000 --> 22:49.000]  We're also going to have Tommy Robinson on from the UK where Muslims threatened to kill him and his family online, even say who they are and the police won't do anything.
[22:49.000 --> 22:56.000]  So he tracks them down and goes to their house and confronts them.
[22:56.000 --> 23:18.000]  And when you realize that 80% of the Muslims in the UK are on welfare and are like spoiled brats and self-propelled stomachs, it's just amazing to see people that come from third world hell holes getting so angry at the countries that have rolled out the red carpet to them.
[23:18.000 --> 23:31.000]  It makes the head spin. So that's going to be coming up today as well. And it ties in to the program to bring down the West.
[23:31.000 --> 23:41.000]  If something's destructive, if something's coercive, if something causes disunity, if something refuses to assimilate, then it is brought in.
[23:41.000 --> 23:50.000]  If it's constructive, it's blocked, it's sabotaged. That's the plan. It's the same thing with food. It's the same thing with the water.
[23:50.000 --> 24:08.000]  It's the same thing with everything. We are targeted by the uber mentions, by the globalists who believe that they are the supermen and because they're not supermen and they're not better than us, they have to mutate us and attack us and make us dumb so they can suddenly be super.
[24:08.000 --> 24:24.000]  Because if they're a bunch of hunchbacked, inbred, psychopathic, neurotic, paranoid, so-called elitist, alpha scum, alpha maggots, then they have to make us below them to raise themselves.
[24:24.000 --> 24:50.000]  True ugliness, true spiritual ugliness, true intent-hate to take everything that we are and put it in a meat grinder for their sick pleasure.
[24:50.000 --> 25:01.000]  And I know I harp on this, despite the fact I've got hundreds of articles, 20, 30 incredible video clips, I just have to keep explaining to everybody and I'll get to the clip next segment.
[25:01.000 --> 25:14.000]  I said I'd get to it this segment, but we're going to pull it up of Trump that I played yesterday, talking about how the Democrats are treasonous and how they're out to sabotage and out to hurt everybody.
[25:14.000 --> 25:41.000]  If you look at the sullen collection of scum on the Democratic side of the aisle, when they were refusing to stand for the veterans for anything, if you look at their attitudes during the entire State of the Union,
[25:41.000 --> 26:06.000]  there's mind blowing, the sullenness, the hate, the petulance, the immaturity mixed with a cryptkeeper, physiology, bodies, like reanimated corpses, zombies, they only light in their eyes that of a dull wish to drag us down with them.
[26:06.000 --> 26:14.000]  It's metaphorical. Why do the zombies want brains? Because they don't have it.
[26:14.000 --> 26:26.000]  A bunch of stuffed peacocks, self important manipulators who are total culture manipulators, and no they aren't.
[26:26.000 --> 26:46.000]  We're going to go to break and come back with all of that straight ahead. You know, we're rolling out new products every couple weeks here at M4s because there are hundreds and hundreds of staple high quality supplements out there that we can go to the biggest manufacturers,
[26:46.000 --> 26:58.000]  the highest quality, and then put it out and discount it direct to you, and then you can fund our operation, which then promotes freedom and true diversity and true security.
[26:58.000 --> 27:06.000]  The absolute definition of symbiotic relationship, non zero sum game, 360 win.
[27:06.000 --> 27:16.000]  And so we are now announcing the newest product, Ikaran, 30 day liver cleanse, and it's also a kidney cleanse.
[27:16.000 --> 27:25.000]  But on the front, it says liver cleanse, but it actually also helps the kidneys and it's documented 100%.
[27:25.000 --> 27:49.000]  To have amongst the strongest concentrated milk thistle extract, 600 milligrams per powdered large caplet, they're close to horse pill size, with the compound of milk thistle.
[27:49.000 --> 28:05.000]  And the in acetyl cysteine, the organic amylifruit, organic bublarium root, hard to pronounce these, organic licorice root, organic artichoke leaf, and many more.
[28:05.000 --> 28:20.000]  These are the known compounds in every culture and every society, and they've created drugs with the concentrates of these as well to flush the liver and flush the kidneys.
[28:20.000 --> 28:26.000]  And in this world where we're bombarded, if you don't do a regimen of this a couple times a year, I think you're crazy.
[28:26.000 --> 28:38.000]  And I did a few years ago a big milk thistle cleanse and I mean my urine was like, look like, look like antifreeze or something.
[28:38.000 --> 28:40.000]  And it's so important to do this show.
[28:40.000 --> 28:48.000]  Ikaran, 30 day liver and kidney cleanse is now available at m4warstore.com or m4warslife.com.
[28:48.000 --> 28:53.000]  It supports healthy liver function, promotes kidney function, helps detoxify your body and so much more.
[28:53.000 --> 28:56.000]  So make sure yourself to go read all it does at m4warslife.com.
[28:56.000 --> 29:00.000]  Get a bottle of 50% off out of the gates.
[29:00.000 --> 29:04.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you?
[29:04.000 --> 29:07.000]  I've defended people from the IRS for over 30 years.
[29:07.000 --> 29:09.000]  I've helped thousands and I can help you too.
[29:09.000 --> 29:14.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[29:14.000 --> 29:18.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[29:18.000 --> 29:22.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[29:22.000 --> 29:28.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[29:52.000 --> 30:05.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money
[30:05.000 --> 30:09.000]  while you get high quality products and fund the InfoWare, a 360 win.
[30:09.000 --> 30:16.000]  Number one, when you choose auto-ship before checkout, we give you 10% off on your order at infowarsore.com.
[30:16.000 --> 30:24.000]  Number two, you're also able to get items that are out of stock when you sign up for auto-ship because we hold back a surplus for auto-ship customers.
[30:24.000 --> 30:29.000]  Number three, we're giving you free shipping on all orders above $50.
[30:29.000 --> 30:35.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[30:35.000 --> 30:39.000]  Just go to infowarsore.com, select your favorite product or products.
[30:39.000 --> 30:43.000]  Click on auto-ship and choose how often you want us to send you another order.
[30:43.000 --> 30:50.000]  As you know, I coined the term 360 win and with the new auto-ship feature at infowarslife.com, this is a sure win.
[30:50.000 --> 30:54.000]  10% off on auto-ship. Win, win, win at infowarslife.com.
[30:54.000 --> 31:00.000]  Free shipping on orders above $50 and all out of stock items are never out of stock when you sign up for auto-ship.
[31:00.000 --> 31:05.000]  You deserve a deep restful sleep with knockout by InfoWare's Life.
[31:05.000 --> 31:12.000]  Our organic formula is made from high quality natural ingredients such as Valerian root extract,
[31:12.000 --> 31:16.000]  L-tryptophan, lemon balm leaf extract and melatonin.
[31:16.000 --> 31:21.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[31:21.000 --> 31:30.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[31:30.000 --> 31:37.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[31:37.000 --> 31:40.000]  Wake up refreshed and take on the day.
[31:40.000 --> 31:48.000]  InfoWare's Life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[31:48.000 --> 31:52.000]  Get the sleep you deserve and experience the power of knockout.
[31:52.000 --> 32:11.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[32:23.000 --> 32:35.000]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[32:35.000 --> 32:40.000]  The antioxidants found in cell force are some of the most powerful available on the market.
[32:40.000 --> 32:48.000]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
