[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[00:25.000 --> 00:33.000]  David Rockefeller and the Globalist wrote books and white papers and founded the UN to carry out world depopulation.
[00:33.000 --> 00:40.000]  And for a hundred years, they've been preparing the program. And now they've launched their program against you and your family.
[00:40.000 --> 00:45.000]  So on this Friday the 13th broadcast, I'm here to tell you, the Globalists have declared war on us.
[00:45.000 --> 01:05.000]  It's time to declare war on them or get on our knees and die.
[01:05.000 --> 01:24.000]  Infowars, the most banned network in the world.
[01:24.000 --> 01:28.000]  Now, I wouldn't just get this out there up front.
[01:28.000 --> 01:34.000]  Even I am super freaked out by what's happening. I knew theoretically the Globalists were planning this.
[01:34.000 --> 01:39.000]  I knew they were planning world government, depopulation, forced inoculations, lockdowns, all of it.
[01:39.000 --> 01:48.000]  We are on target more than anybody else in films, in articles, in videos, hundreds of them, specifically and exactly laying out what happened
[01:48.000 --> 01:52.000]  because the Rockefeller Foundation and others said they would do it.
[01:52.000 --> 01:58.000]  And I'd seen them do a lot of stuff they said they'd do before, so I took them serious and I really thought we could stop them.
[01:58.000 --> 02:09.000]  I thought that this was so diabolical, so out of control, that if we just exposed the Globalist, there would be new countervailing systems that would develop that would challenge it and stop it.
[02:09.000 --> 02:11.000]  That has not happened.
[02:11.000 --> 02:18.000]  Sure, the world's waking up. Sure, there's a lot of opposition to it, but because they control the big corporations, because they control the United Nations
[02:18.000 --> 02:25.000]  and the regulatory systems, they are going ahead with this planned planetary depopulation
[02:25.000 --> 02:29.000]  because they've gotten rid of most war, they can't have a nuclear war.
[02:29.000 --> 02:35.000]  They believe they've got to be the artificial system in nature that comes in to call the population.
[02:35.000 --> 02:40.000]  And really that's just an excuse for them to take over and totally dominate culture and all the major systems.
[02:40.000 --> 02:50.000]  So you're fighting for your life, I'm fighting for my life, and there's no denial about how dangerous and serious all of this is.
[02:50.000 --> 02:55.000]  So whether you want to believe in full wars or not, it doesn't matter now because it's out in the open.
[02:55.000 --> 03:01.000]  And I get, as a regular viewer and listener, you're awesome, you understand that, a lot of you are more informed than I am.
[03:01.000 --> 03:08.000]  I'm just asking you again to realize how important you are and to spread the word about this live transmission
[03:08.000 --> 03:12.000]  because you're the only way we break the back of the censors and get past them.
[03:12.000 --> 03:16.000]  When you share the live feeds from man.video or m4wars.com.
[03:16.000 --> 03:19.000]  It changes the whole damn world.
[03:19.000 --> 03:26.000]  So I salute you and I encourage you again, however you do it, tell folks about the remote information at m4wars.com
[03:26.000 --> 03:28.000]  and share it via email, via text message.
[03:28.000 --> 03:31.000]  Those are some of the last frontiers where things aren't as censored.
[03:31.000 --> 03:36.000]  And keep doing it at Twitter and Facebook and YouTube and everywhere else because that's how this dog hunts.
[03:36.000 --> 03:39.000]  You said that a bad job yesterday didn't plug basically in four hours.
[03:39.000 --> 03:44.000]  And every day I do that, we see the Capitol go down and we're barely running in the black right now.
[03:44.000 --> 03:46.000]  I don't want to go back into the red.
[03:46.000 --> 03:50.000]  So our charcoal activated charcoal toothpaste is back in stock discounted.
[03:50.000 --> 03:54.000]  Our activated charcoal essential oil mouthwash is back in stock discounted.
[03:54.000 --> 04:01.000]  We've got just a few days left on the privacy pouches with 11 free bumper stickers that come with the order for 50% off.
[04:01.000 --> 04:10.000]  That sales about the end. We have the few days left on the vitamin C with the zinc super strong formula.
[04:10.000 --> 04:17.000]  That's 50% off the gummy bears with the high quality vitamin D and calcium that's selling out 50% off.
[04:17.000 --> 04:20.000]  All these are things you need that are essential for your body and your immune system.
[04:20.000 --> 04:24.000]  Great for adults, great for children, and they fund the info or so it's a 360 win.
[04:24.000 --> 04:28.000]  The only way we lose is if I stopped doing the show and if you stop promoting the show,
[04:28.000 --> 04:31.000]  if you stop supporting us and by the products.
[04:31.000 --> 04:34.000]  So we're in this fight together. Thank you all for your support.
[04:34.000 --> 04:39.000]  Please visit infowarstore.com right now and commit to the fight against the globalists.
[04:39.000 --> 04:41.000]  We'll get you great products at the same time.
[04:41.000 --> 04:43.000]  We'll be right back with incredibly important information.
[04:43.000 --> 04:58.000]  Now spread the word.
[04:58.000 --> 05:06.000]  I have gotten so many requests and so many complaints from listeners in the last six plus months of where is the activated charcoal toothpaste and mouthwash.
[05:06.000 --> 05:14.000]  We only came out with it a year and a half ago, became a best seller within six months and now because of the COVID lockdowns and the shutdowns and the supply chain, we haven't had it.
[05:14.000 --> 05:17.000]  Finally, it came back in a limited supply.
[05:17.000 --> 05:24.000]  Believe me, I'm happy too. It's a great toothpaste and it funds the info or so if you want to get it and stock up on it because you were already a fan or you haven't tried it.
[05:24.000 --> 05:34.000]  It's back in stock at infowarstore.com discounted because of the COVID lockdown because of the globalist siege on small businesses and companies in America.
[05:34.000 --> 05:44.000]  It's been available for over six months, but now it's back in stock and it's available in only two places infowarstore.com and drjonesnaturals.com.
[05:44.000 --> 05:48.000]  It is our activated charcoal toothpaste and mouthwash.
[05:48.000 --> 06:13.000]  So get your activated charcoal toothpaste, activated charcoal mouthwash with central oils and more at infowarstore.com and fund the info war a true 360 win.
[06:13.000 --> 06:18.000]  Info wars, the most banned network in the world.
[06:18.000 --> 06:24.000]  It's Friday the 13th, August 13th, 2021.
[06:24.000 --> 06:30.000]  To be exact, I'm your host Alex Jones coming to you from our studios in Austin, Texas.
[06:30.000 --> 06:41.000]  I'll be writing shotgun today with Owen shroyer and other special guests then I will return tomorrow on Saturday with another special emergency report because we're in emergency times.
[06:41.000 --> 06:44.000]  And then Sunday, four to six p.m. I'll return as well.
[06:44.000 --> 06:52.000]  Then of course we have Sunday live from six and eight p.m. that comes on after me as well with Owen shroyer.
[06:52.000 --> 07:00.000]  All right, here we are on this Friday and there's so much news breaking and so much happening and we'll go to the other studio at the next segment and lay it all out.
[07:00.000 --> 07:08.000]  But right now, I wanted to hit a piece of news that came out last night because I'm all about victory.
[07:08.000 --> 07:20.000]  I'm picking up and I'm all about leadership in government in corporations in our neighborhoods in our homes in our churches and in our hearts.
[07:20.000 --> 07:25.000]  I use the term six months ago of a biomedical tyranny.
[07:25.000 --> 07:33.000]  Now, that's because I went and looked up the legal terms that should be used for a biomedical technocracy takeover.
[07:33.000 --> 07:38.000]  And I've seen that term picked up by others. I don't know if I coined it. I don't care.
[07:38.000 --> 07:47.000]  The point is the attorney general of Missouri, Eric Schmidt came out and was asked by a reporter.
[07:47.000 --> 07:51.000]  Is it not time to use fear to get people to take this vaccine?
[07:51.000 --> 07:57.000]  And his answer was absolutely truthful and powerful.
[07:57.000 --> 08:09.000]  What would you say to somebody who says it's a very same thing that we need to use the pressure of someone's fear of losing their job and force them to get vaccinated for the good of the community?
[08:09.000 --> 08:19.000]  Yeah, if someone says that using fear is good, that is what every tyrant in the history of the world and every dictator in the history of the world has ever said to accumulate, aggregate and maintain power.
[08:19.000 --> 08:31.000]  This is America, the freest country in the history of the world. And I don't think that we should be allowing individual politicians who want to grab power and never let go of it, gain it in the first place.
[08:31.000 --> 08:35.000]  People can make their decisions. I believe in freedom. I believe in responsibility.
[08:35.000 --> 08:39.000]  But people can make these very important decisions themselves.
[08:39.000 --> 08:50.000]  And I don't want to live in some futuristic, dystopian, biomedical security state. And I'm going to do everything I can as attorney general to protect the rights of individuals in the state.
[08:50.000 --> 08:57.000]  That's the type of president this country needs. If people want to live in communist China or North Korea or other police states, they can.
[08:57.000 --> 09:06.000]  But in America, we don't live in a biomedical tyranny. Plus, the vaccine isn't a vaccine and is dangerous. It doesn't protect our bodies.
