[00:00:00.349 --> 00:00:07.716]  Bill Moyers with his show NOW, which is I guess more of an intellectual pursuit program.
[00:00:07.716 --> 00:00:08.877]  I watch it routinely.
[00:00:08.877 --> 00:00:10.958]  It does have more in-depth information.
[00:00:10.958 --> 00:00:14.602]  Broke a massive story that was actually broken by the Center for Public Integrity.
[00:00:14.602 --> 00:00:20.166]  We have a link to it on InfoWars.com, on PrisonPlanet.com as well.
[00:00:20.166 --> 00:00:21.828]  You can go there right now.
[00:00:21.828 --> 00:00:25.531]  A Justice Department draft sweeping expansion of Anti-Terrorism Act.
[00:00:26.318 --> 00:00:28.220]  And it is in bill format.
[00:00:28.220 --> 00:00:29.901]  I have read the whole thing twice.
[00:00:29.901 --> 00:00:34.885]  It is bone-chilling, much more draconian than the first Patriot Act.
[00:00:34.885 --> 00:00:42.571]  And joining us for the next 10-15 minutes to go over this is Bill Allison, managing editor of the Center for Public Integrity.
[00:00:42.571 --> 00:00:45.654]  Mr. Allison, thanks for taking time out to join us here on the show today, sir.
[00:00:49.258 --> 00:00:50.619]  It's a pleasure to be here.
[00:00:50.619 --> 00:00:51.880]  You bet.
[00:00:51.880 --> 00:01:04.367]  First off, tell us about the Center for Public Integrity, and then your analysis, your organization's analysis of Patriot Act II, and now the White House is pretty upset that this has gone public.
[00:01:04.367 --> 00:01:11.571]  Well, the Center is a non-partisan, non-profit, government ethics watchdog located in Washington, D.C.
[00:01:13.184 --> 00:01:21.111]  We look at everything from state, legislator, financial disclosure forms to campaign contributions.
[00:01:21.111 --> 00:01:29.759]  We have international journalists who look into everything from water privatization to the privatization of combat.
[00:01:29.759 --> 00:01:35.564]  We've been around for about a dozen years and we're funded by foundations.
[00:01:35.564 --> 00:01:37.246]  All of our donors are on our website.
[00:01:38.052 --> 00:01:42.854]  Since we believe in disclosure, we feel like we should disclose where we get our money from, too.
[00:01:42.854 --> 00:01:45.535]  Well, you know, you just raised some massive issues.
[00:01:45.535 --> 00:01:56.238]  We've got private corporations, this is big news now, paying off leaders all over the world to grab water supplies, jack up prices, quality plunges in many cases.
[00:01:56.238 --> 00:01:59.039]  We've had BBC reporters on talking about this.
[00:01:59.039 --> 00:02:01.000]  That really, when I watched Governor Ridge,
[00:02:01.520 --> 00:02:18.006]  On a Homeland Security meeting, he bragged, this is a merger of government and the top corporations, and really he's a big money maker, but this new thing with Patriot Act II, I have read it, obviously you've read it, and it makes my head spin.
[00:02:18.006 --> 00:02:22.007]  I mean, this is something right out of the Soviet Union.
[00:02:22.007 --> 00:02:26.649]  What response are you getting now that you've broken the story, and how did you get the document number one?
[00:02:27.453 --> 00:02:29.675]  Well, the response has been overwhelming.
[00:02:29.675 --> 00:02:43.883]  Our website has barely been able to keep up with it, and as far as how we got the document, we had a source who gave it to us, and of course, you know, we honor our sources and protect them, so I can't say much else about that.
[00:02:43.883 --> 00:02:45.204]  We did some groundwork.
[00:02:45.204 --> 00:02:51.828]  We talked to people in Congress, and we talked to various people in the administration, and were able to, you know,
[00:02:52.375 --> 00:02:56.199]  To our satisfaction, the document was genuine.
[00:02:56.199 --> 00:02:58.001]  Oh, they responded to it?
[00:02:58.001 --> 00:02:59.523]  Oh yeah, sure.
[00:02:59.523 --> 00:03:09.653]  Actually, within 45 minutes of our putting the document up on the web, we got a call from the Justice Department to tell us they'd released a statement about it.
[00:03:09.653 --> 00:03:15.159]  Some of the people who told us they didn't know anything about it suddenly knew all kinds of things about it and were calling to tell us.
[00:03:17.471 --> 00:03:19.772]  It's marked confidential, not for distribution.
[00:03:19.772 --> 00:03:23.153]  33 pages of it is analysis and synopsis.
[00:03:23.153 --> 00:03:27.073]  The other 80 plus pages is in bill form.
[00:03:27.073 --> 00:03:29.274]  And we saw this with Patriot Act 1.
[00:03:29.274 --> 00:03:31.074]  Members of Congress were not allowed to read it.
[00:03:31.074 --> 00:03:33.775]  Ron Paul has said that here on the air, the Congressman.
[00:03:33.775 --> 00:03:39.236]  And then suddenly they get a call from Dick Cheney, you better pass this or we'll blame you with the next attack.
[00:03:39.236 --> 00:03:43.397]  And now they've got Patriot Act 2 that I can't believe what's in this, sir.
[00:03:44.389 --> 00:04:12.280]  There are all kinds of things in it that are just shocking and I think that you know part of the thing about this administration and the way that they've handled this I mean Congress has been asking for quite literally for months going back as far as July of last year and there was again asking in October whether justice was drafting anything and they were very coy about what their intentions were and would only give vague statements that you know that you know while we continue to look at everything and we care about protecting the American people
[00:04:13.058 --> 00:04:13.318]  I don't
[00:04:32.427 --> 00:04:34.468]  And, you know, the question is, were they going to drop it?
[00:04:34.468 --> 00:04:41.412]  You know, were they waiting until a propitious moment like, for example, war in Iraq or, God forbid, another terrorist attack to come out with it?
[00:04:41.412 --> 00:04:44.653]  Well, that's exactly what I said Saturday in my post at InfoWars.com.
[00:04:44.653 --> 00:04:50.816]  I said, they're waiting with this in the wings, just like the first Patriot Act, which most of it had already been written up by these people.
[00:04:50.816 --> 00:04:51.917]  It's a wish list.
[00:04:51.917 --> 00:04:54.418]  I was reading the 120 pages.
[00:04:54.418 --> 00:04:56.579]  Most of this has nothing to do with terrorism.
[00:04:58.300 --> 00:05:02.561]  It'll also say domestic, international, and other crimes.
[00:05:02.561 --> 00:05:09.123]  So, it also expands enemy combatant designation, the way I've read it, into other crimes.
