[00:00.000 --> 00:28.840]  Infowars, tomorrow's news, today.
[00:28.840 --> 00:34.800]  It was just two and a half years ago when we had the most secure border in decades under
[00:34.800 --> 00:41.400]  President Trump doing four things, remaining Mexico, Title 42, in catch and release and
[00:41.400 --> 00:43.080]  build the border wall.
[00:43.080 --> 00:48.880]  That's what President Trump did and we had the lowest border crossings since last century.
[00:48.880 --> 00:53.120]  Now under Joe Biden, we have far more record setting numbers of people coming across the
[00:53.120 --> 00:57.360]  border than ever before is all because of Joe Biden's policies.
[00:57.360 --> 01:00.520]  I love how they keep saying, oh Biden's done a great job, the corporate media, the White
[01:00.520 --> 01:04.320]  House, the press secretary, he really has controlled the border, it's the same as it's
[01:04.320 --> 01:07.240]  ever been when it is basically gone.
[01:07.240 --> 01:13.440]  What Americans should know is that the president has done the work to deal with what we're
[01:13.440 --> 01:15.920]  seeing at the border since day one.
[01:15.920 --> 01:20.520]  People have been spotted emerging from manholes in the Segundo Varia area again, neighbors
[01:20.520 --> 01:22.200]  saying this is not new.
[01:22.200 --> 01:26.080]  They're coming in groups, I want to say maybe eight, ten.
[01:26.080 --> 01:29.680]  The location where the video was recorded Wednesday night is just half a mile away from
[01:29.680 --> 01:31.560]  the U.S.-Mexico border at the Rio Grande.
[01:31.560 --> 01:35.560]  What appears to be a drain outlet in the river is located in a straight line, southeast.
[01:35.560 --> 01:37.920]  You can even see a border patrol vehicle there.
[01:37.920 --> 01:41.560]  Yes, we've seen numerous videos of people coming through manholes, people running across
[01:41.560 --> 01:44.280]  the border highway up here by YouTube as well.
[01:44.280 --> 01:46.760]  They're not using the river anymore.
[01:46.760 --> 01:52.520]  You know, they're using the water, the water tunnels to come in.
[01:52.520 --> 01:57.880]  Stop, yes, snapping this picture of what appears to show a man standing over the manhole and
[01:57.880 --> 01:59.760]  another emerging from it.
[01:59.760 --> 02:05.240]  They're coming out of these manholes at that intersection over there, this one over here,
[02:05.240 --> 02:14.440]  the one by Circle K, and they come in the 30s, ten, three, from nine o'clock, midnight,
[02:14.440 --> 02:16.840]  any time of the day or night.
[02:16.840 --> 02:17.840]  Where do they go?
[02:17.840 --> 02:20.360]  And the answer is God only knows, but we have a pretty good idea.
[02:20.360 --> 02:21.360]  We know where a lot of them go.
[02:21.360 --> 02:22.760]  And we know what happens in Europe.
[02:22.760 --> 02:23.760]  We know what happens here.
[02:23.760 --> 02:28.240]  It's the guy that ran the whole implosion of Europe the last ten years for the UN and
[02:28.240 --> 02:31.200]  works for Soros, runs the whole Texas sector.
[02:31.200 --> 02:35.920]  The border patrol takes orders from NGOs the last two years since Biden stole the election.
[02:35.920 --> 02:40.120]  3,600 pesos was the last thing that I received.
[02:40.120 --> 02:44.120]  And does that go into your bank account?
[02:44.120 --> 02:50.400]  Oh, let me see.
[02:50.400 --> 03:02.880]  This mobile processing center is seeing an average of 1,500 migrants a day, about half
[03:02.880 --> 03:04.720]  of them from Venezuela.
[03:04.720 --> 03:07.160]  How does that change the equation for you?
[03:07.160 --> 03:13.160]  Well, unlike the Mexicans and Central Americans that we can process under the CDC authority
[03:13.160 --> 03:19.400]  of Title 42, we are having to process the people coming from Venezuela and Cuba and
[03:19.400 --> 03:24.960]  Nicaragua under our Title 8 authorities, meaning they're usually released and allowed to request
[03:24.960 --> 03:28.400]  asylum, a process that typically takes years to complete.
[03:28.400 --> 03:36.080]  El Paso is getting 14,500, they were saying, a day flooding in where there's just no controls.
[03:36.080 --> 03:40.480]  Officials have ramped up processing, but we were even able to see as of last night a lot
[03:40.480 --> 03:44.560]  of migrants just crossing and migrants I spoke to this morning saying they haven't had any
[03:44.560 --> 03:48.400]  interaction with U.S. immigration authorities, they just walked right in.
[03:48.400 --> 03:49.880]  Title 42 is about to go away.
[03:49.880 --> 03:56.000]  We know smugglers will try to spread misinformation to take advantage of these vulnerable migrants,
[03:56.000 --> 03:57.840]  but I want to be very clear here.
[03:57.840 --> 04:03.440]  The fact is that the removal of Title 42 does not mean the border is open.
[04:03.440 --> 04:07.280]  Anyone who suggests otherwise is simply doing the work of these smugglers who, again, are
[04:07.280 --> 04:08.840]  spreading misinformation.
[04:08.840 --> 04:10.760]  It's just total lawless crime.
[04:10.760 --> 04:16.040]  They use them as cutouts for the money laundering, for the drug dealing, for the sex slavery,
[04:16.040 --> 04:17.840]  just for everything else you can imagine.
[04:17.840 --> 04:22.720]  And then the Mexican drug cartels then put their money in U.S. banks controlled by Democrats
[04:22.720 --> 04:23.720]  as well.
[04:23.720 --> 04:26.840]  That's why Pelosi calls MS-13 God's children.
[04:26.840 --> 04:28.800]  The wages of sin is death.
[04:28.800 --> 04:29.800]  It's here.
[04:29.800 --> 04:33.840]  Whether it's California, Arizona, Texas, you name it, every day, tens of thousands
[04:33.840 --> 04:36.360]  in every sector just pour across.
[04:36.360 --> 04:38.600]  It's all to come by Biden.
[04:38.600 --> 04:43.080]  What I would do as president is several more things because things have changed.
[04:43.080 --> 04:48.240]  I would, in fact, make sure that there is, we immediately surge to the border.
[04:48.240 --> 04:50.160]  All those people are seeking asylum.
[04:50.160 --> 04:51.320]  They deserve to be heard.
[04:51.320 --> 04:52.320]  That's who we are.
[04:52.320 --> 04:55.760]  We're a nation that says if you want to flee and you're fleeing oppression, you should
[04:55.760 --> 04:56.760]  come.
[04:56.760 --> 05:01.760]  To be exploited, to be controlled, and to be put in the voting.
[05:01.760 --> 05:08.680]  Have you tried taking the real red pill, a one-of-a-kind heart and brain formula designed
[05:08.680 --> 05:11.360]  exclusively for Info War's life?
[05:11.360 --> 05:17.720]  The main ingredient in the real red pill plus is pregnanolone, a little-known neuro-steroid
[05:17.720 --> 05:23.200]  that assists in our body's natural hormone production, and low levels are associated
[05:23.200 --> 05:27.520]  with fatigue, low brain function, and unhealthy aging.
[05:27.520 --> 05:34.720]  The real red pill plus also provides essential trace minerals such as vitamin B12, calcium,
[05:34.720 --> 05:35.720]  and zinc.
[05:35.720 --> 05:41.920]  During naturally occurring L-theanine, caffeine, and theobromine, the energy blend inside the
[05:41.920 --> 05:47.840]  real red pill plus provides an extra pick-me-up for your day that goes beyond the second cup
[05:47.840 --> 05:48.840]  of coffee.
[05:48.840 --> 05:55.360]  So visit infowarstore.com, go down the rabbit hole, and try taking the real red pill to
[05:55.360 --> 05:57.480]  see what it's really all about.
[05:57.480 --> 06:23.960]  That's infowarstore.com.
[06:23.960 --> 06:31.400]  100-plus billion is gone and up as we accelerate into World War III, disgusting standing ovations
[06:31.400 --> 06:37.720]  fawning by both political parties as they launder back, of course, most of the proceeds
[06:37.720 --> 06:42.120]  into their own pockets as we learn that the FBI criminally with the CIA spies the American
[06:42.120 --> 06:46.520]  people and manipulates and controls elections.
[06:46.520 --> 06:54.040]  The good news is, all of this evil, like a sore coming to the surface, is erupting and
[06:54.040 --> 06:56.320]  the population is waking up very, very quickly.
[06:56.320 --> 07:01.040]  The question is, can we organize non-criminal elements of society and private society and
[07:01.040 --> 07:05.120]  government and reverse this before the fall of our republic is complete?
[07:05.120 --> 07:07.600]  The borders are, again, completely wide open.
[07:07.600 --> 07:10.440]  All hell is breaking loose, not just here, but around the world.
[07:10.440 --> 07:15.480]  We're going to be laying it all out on this live Thursday edition, and we're going to,
[07:15.480 --> 07:17.520]  of course, be taking your phone calls.
[07:17.520 --> 07:23.200]  There is so much to get to, but here is Zelensky entering Congress before he gave his 20-minute
[07:23.200 --> 07:24.200]  speech last night.
