[00:00:04.497 --> 00:00:06.372]  Mechanism, not globalism!
[00:00:09.600 --> 00:00:13.942]  The era of economic surrender will finally be over.
[00:00:13.942 --> 00:00:20.406]  We will no longer surrender this country or its people to the false song of globalism.
[00:00:20.406 --> 00:00:28.290]  They have gotten the political establishment and the media establishment to become pure, wanton henchmen of totalitarianism.
[00:00:28.290 --> 00:00:36.694]  If you were a foreign power looking to weaken America, you couldn't do better than Hillary Clinton's economic agenda.
[00:00:37.114 --> 00:00:40.175]  I think what the Chinese have done is really smart.
[00:00:40.175 --> 00:00:51.338]  The skyscrapers went up in Beijing and many other cities around the world, while the factories and neighborhoods crumbled right here in Detroit.
[00:00:51.338 --> 00:00:57.140]  It's all training us to accept less, lowering expectations, a post-industrial world, a new dark age.
[00:00:57.140 --> 00:01:01.221]  That's what the UN Biological Diversity Assessment 1996 calls for.
[00:01:01.221 --> 00:01:04.642]  When we abandon the policy of America first,
[00:01:05.462 --> 00:01:09.865]  We started rebuilding other countries instead of our own.
[00:01:09.865 --> 00:01:14.247]  Not a world, Winston, that gets more beautiful and more technological and stronger.
[00:01:14.247 --> 00:01:17.269]  A world that gets uglier and stupider and more stunted.
[00:01:17.269 --> 00:01:24.414]  The government should allow Hillary Clinton to become President of the United States.
[00:01:24.414 --> 00:01:26.435]  I voted for Hillary Clinton.
[00:01:26.435 --> 00:01:27.496]  Well, I voted for Hillary.
[00:01:27.496 --> 00:01:29.737]  I guess I have to since I'm working for her as well.
[00:01:30.057 --> 00:01:32.178]  You want an image of the future, Winston?
[00:01:32.178 --> 00:01:34.420]  It's a boot stomping on a human face forever.
[00:01:34.420 --> 00:01:41.064]  Muslims are peaceful and tolerant people and have nothing whatsoever to do with terrorism.
[00:01:41.064 --> 00:01:45.887]  Women are treated, discriminated against in all these countries she took money against.
[00:01:45.887 --> 00:01:49.429]  Gays and lesbians are either executed or punished severely.
[00:01:49.429 --> 00:01:50.990]  They're mistreated.
[00:01:50.990 --> 00:01:52.311]  She claims to be their champion.
[00:01:52.731 --> 00:02:01.577]  Don't look at me, Winston, and see the black circles around my eyes and see how ugly and weak I am expressing myself and dying and I torture people 18 hours a day and I have a horrible life!
[00:02:01.577 --> 00:02:06.001]  That's the beauty of the satanic evil of the priest of power ripping apart humanity!
[00:02:06.001 --> 00:02:07.302]  We're here to hurt humans!
