[00:00:06.913 --> 00:00:07.954]  Hello, my friends.
[00:00:07.954 --> 00:00:19.801]  It's June 17, 2004 on this Thursday edition of the live television show I've been doing for coming up on 10 years here in Austin, Texas.
[00:00:19.801 --> 00:00:29.527]  Tonight, we're skipping an intro and going straight into some analysis of the classical book written by Eric Blair under the pen name
[00:00:30.160 --> 00:00:36.463]  George Orwell that he wrote in 1948 and then of course reverse the numbers 1984.
[00:00:36.463 --> 00:00:47.349]  And I'm just going to air 10-15 minutes of this, some of the torture sequences from the film.
[00:00:47.349 --> 00:00:49.050]  Why is this film so important?
[00:00:49.050 --> 00:00:56.814]  Why did it strike so many reviewers and people in government and out of government and people who've been in the military?
[00:00:56.814 --> 00:00:58.435]  Because it's real, folks.
[00:00:59.190 --> 00:01:05.594]  The work itself is fiction, but it's the experiences of Eric Blair that you know as George Orwell.
[00:01:05.594 --> 00:01:11.298]  He grew up in India and worked as an imperial police officer.
[00:01:11.298 --> 00:01:14.600]  Then got into some of their secret policing over there.
[00:01:14.600 --> 00:01:16.341]  He then thought, I'm going to fight imperialism.
[00:01:16.341 --> 00:01:17.962]  I'm going to join the communists.
[00:01:17.962 --> 00:01:22.725]  And he went and fought against the Nazis in Franco, Spain.
[00:01:22.725 --> 00:01:23.525]  Against Franco.
[00:01:23.525 --> 00:01:25.807]  He was shot through the throat and almost died from that.
[00:01:26.442 --> 00:01:36.944]  That's when he contracted his tuberculosis that later killed him, just a few months after 1984 was published in 1948.
[00:01:36.944 --> 00:01:55.047]  And after he fought against Franco in the late 1930s, he then went and was homeless in Paris, homeless in London, though he came from a relatively well-to-do family.
[00:01:55.808 --> 00:02:02.974]  Middle-class family, just to see what life was like, to see it from both ends.
[00:02:02.974 --> 00:02:05.276]  And he was a traveled, experienced person.
[00:02:05.276 --> 00:02:10.340]  Then during World War II, he was a propagandist for the BBC in war reports.
[00:02:10.340 --> 00:02:12.622]  And we're not saying the Nazis were good.
[00:02:12.622 --> 00:02:16.185]  We're saying that he saw the lies on the British and Allied side.
[00:02:17.131 --> 00:02:24.072]  And then he basically, and he said this in news articles and speeches before he died, came to the realization that communism, fascism, it was all the same.
[00:02:24.072 --> 00:02:25.472]  It was command and control.
[00:02:25.472 --> 00:02:27.753]  That left and right was a fraud.
[00:02:27.753 --> 00:02:30.233]  That it was freedom versus slavery.
[00:02:30.233 --> 00:02:38.455]  The golden fields of liberty, the golden country, or a boot stomping on the human face forever.
[00:02:38.455 --> 00:02:46.256]  And so what you see in the book is what he experienced as a secret police officer, as a communist fighter, as a BBC reporter,
[00:02:48.061 --> 00:02:56.245]  In his life that ended as he was becoming a middle-aged man.
[00:02:56.245 --> 00:02:59.727]  And I read it in high school, I read it in college, found it to be powerful.
[00:02:59.727 --> 00:03:09.232]  Now, studying the New World Order, studying their propaganda, studying the psychology they use on the population, I suggest everyone read 1984.
[00:03:09.232 --> 00:03:13.715]  The movie doesn't even scratch the surface.
[00:03:13.715 --> 00:03:15.716]  And the book becomes even more powerful for me.
[00:03:17.068 --> 00:03:40.343]  As I read accounts of torture and handbooks on torture that our government's produced and look at the forms of mind control that are used, George Orwell was telling us about the things he experienced, the things he saw.
[00:03:40.343 --> 00:03:42.985]  And you can't cover his rich life in just a few minutes
[00:03:43.949 --> 00:03:48.812]  But I suggest you investigate it, because I've read all of Eric Blair's works.
[00:03:48.812 --> 00:03:49.153]  All of them.
[00:03:49.153 --> 00:03:51.554]  I've read it all.
[00:03:51.554 --> 00:03:53.916]  I don't have a lot of time, but I've taken time out.
[00:03:53.916 --> 00:03:56.197]  Sometimes not getting sleep, so I could read all his works.
[00:03:56.197 --> 00:03:57.298]  And it's not that voluminous.
[00:03:57.298 --> 00:04:02.442]  I don't know, I think he wrote like nine books, a bunch of news articles.
[00:04:02.442 --> 00:04:05.824]  I've read a lot of his private letters that have been published.
[00:04:05.824 --> 00:04:11.988]  But really, when you really understand tyranny and you study it, then you have real respect.
[00:04:12.714 --> 00:04:15.395]  For the work he did.
[00:04:15.395 --> 00:04:19.175]  And you see everything in 1984 in America.
[00:04:19.175 --> 00:04:34.319]  In many cases, far more egregious and sophisticated than the tyranny he foresaw in the 1940s when he wrote this book.
[00:04:34.319 --> 00:04:40.260]  But, as Aldous Huxley, the author of Brave New World,
[00:04:41.332 --> 00:04:54.822]  said about George Orwell when he gave a speech a few months before his death in 1962 at Berkeley, and I've aired the 45-minute speech he gave at Berkeley, his last speech, on my syndicated radio show several times over the years.
[00:04:54.822 --> 00:04:55.683]  I should do it again.
[00:04:55.683 --> 00:04:57.424]  I should make a little mini-documentary about this.
[00:04:57.424 --> 00:05:07.572]  He talked about Eric Blair, George Orwell, and how Eric Blair, he talked to Eric Blair, and Eric Blair saw 1984 as what things would be like in 1984.
[00:05:07.572 --> 00:05:07.652]  And
[00:05:11.241 --> 00:05:33.060]  Aldous Huxley, author of Brave New World, a book that I would say is certainly a rival peak in foresight and true futurist understanding, but I would not say it reaches the summit of 1984, though it is very close to rivaling it.
[00:05:33.060 --> 00:05:36.643]  He said that this is what's really going to happen.
[00:05:37.518 --> 00:05:39.619]  And he was saying this in 1962.
[00:05:39.619 --> 00:05:43.359]  He had written Brave New World, I think it was in 1933.
[00:05:43.359 --> 00:05:49.501]  The government forcing all the children on drugs.
[00:05:49.501 --> 00:05:51.941]  Dumbing them down to the schools.
[00:05:51.941 --> 00:05:55.122]  A world government.
[00:05:55.122 --> 00:05:58.043]  So much of what we see today.
[00:05:58.043 --> 00:05:59.063]  And he said in the speech,
[00:06:00.606 --> 00:06:03.647]  Just type Aldous Huxley's speech at Berkeley into a search engine.
[00:06:03.647 --> 00:06:04.728]  You should find the audio.
[00:06:04.728 --> 00:06:07.448]  If it's not on my web, you know, my website doesn't show up first on Google.
[00:06:07.448 --> 00:06:09.589]  It'll be some others and mine will be there too.
[00:06:09.589 --> 00:06:15.992]  Find the link that way.
[00:06:15.992 --> 00:06:28.036]  He said that his vision of what the world was going to be was from his experiences with his brother, Julian Huxley, who later became the head of the UN UNESCO Human Engineering Program.
[00:06:30.140 --> 00:06:33.284]  But again, this was going on in the 30s, long before UNESCO was formed in 1947.
[00:06:33.284 --> 00:06:40.172]  And he was involved with the socialist government in England and saw this and was with all the thinkers.
[00:06:40.172 --> 00:06:45.858]  And so he said, no, when I wrote Brave New World, it's what I thought we would have by 2000.
[00:06:45.858 --> 00:06:47.840]  But he said, now that I can see in 1962 that the real world
[00:06:52.046 --> 00:07:14.219]  ...of 2000 is going to be an amalgamation of what George Orwell saw happening, a dirty, kind of Nazi-Soviet style, black ski mask, trudging of humanity, with the drugs and sex parties with no love and slickness of Brave New World.
[00:07:14.219 --> 00:07:19.382]  And he went on to say, yes, because I'm a learned man and respected in England, I've been allowed into some of the institutions,
[00:07:20.394 --> 00:07:22.096]  I shouldn't be talking about this, but I'm going to tell you.
[00:07:22.096 --> 00:07:24.980]  He died a few months later, interestingly enough, but he was an older man.
[00:07:24.980 --> 00:07:26.422]  I'm sure it was natural causes.
[00:07:26.422 --> 00:07:29.346]  Just like Orwell, supposedly died of tuberculosis just a few months after this came out.
[00:07:29.346 --> 00:07:31.068]  He's been a government agent.
[00:07:31.068 --> 00:07:34.272]  You don't allow MI6 agents to talk about things.
[00:07:34.272 --> 00:07:37.556]  But, he said, I really shouldn't talk about this, but...
[00:07:38.695 --> 00:07:57.165]  I must tell you that I've been in different institutions in England, mental institutions, where there are wires hooked into people's brains, remote controlling them, and so the stuff in my book is definitely going to be mainstream by 2000, though I wrote it in the early 1930s.
[00:07:57.165 --> 00:07:57.725]  Aldous Huxley.
[00:08:05.197 --> 00:08:17.904]  So when Philip K. Dick is living in San Francisco at the time, and I've read Attended, Philip K. Dick runs out and writes science fiction books about wireheads and drugging and mood changers and brainwashing.
[00:08:17.904 --> 00:08:18.784]  Wow!
[00:08:18.784 --> 00:08:21.946]  Everything Philip K. Dick wrote, it's starting to come true!
[00:08:21.946 --> 00:08:25.068]  How did Philip K. Dick do all this?
[00:08:25.068 --> 00:08:26.348]  Well, he was an incredible person.
[00:08:26.348 --> 00:08:28.089]  He knew how to pick out trends and information.
[00:08:28.089 --> 00:08:30.070]  I'm not saying he's not a great futurist.
[00:08:30.070 --> 00:08:31.091]  Not just a sci-fi writer.
[00:08:32.125 --> 00:08:40.571]  But the point is, is that it derives out of Huxley and others who were not writing science fiction.
[00:08:40.571 --> 00:08:45.954]  They were projecting as futurists, giving you what the government plan was.
[00:08:45.954 --> 00:08:49.457]  They were both government men.
[00:08:49.457 --> 00:08:50.898]  And they were against it.
[00:08:50.898 --> 00:08:51.858]  Now, H.G.
[00:08:51.858 --> 00:08:52.359]  Wells,
[00:08:53.616 --> 00:08:58.220]  Who wrote books just to make money, like War of the Worlds and stuff.
[00:08:58.220 --> 00:09:06.867]  He also wrote scientific books and political books, like The New World Order, published in 1937, which I suggest you read.
[00:09:06.867 --> 00:09:17.696]  And he was of the opinion that all of this was wonderful, and we're going to have world government, and we're going to dumb you down, and we're going to rule you, and we're going to put wires in your heads.
[00:09:17.696 --> 00:09:20.479]  And so the psychopathic visions of people
[00:09:22.766 --> 00:09:27.148]  80 years ago is now coming true today.
[00:09:27.148 --> 00:09:30.150]  I say 80 years ago because the really sick writings of H.G.
[00:09:30.150 --> 00:09:33.031]  Wells were going on at that time.
[00:09:33.031 --> 00:09:33.211]  H.G.
[00:09:33.211 --> 00:09:49.098]  Wells was a Nazi, a pig, a eugenics lover, a social Darwinist, a Malthus of the worst order.
[00:09:49.098 --> 00:09:49.899]  This is serious.
[00:09:50.814 --> 00:09:52.114]  And then I see the headlines.
[00:09:52.114 --> 00:09:55.235]  This is actually a rarity.
[00:09:55.235 --> 00:10:00.336]  This article out of governmenttech.net, big industry publication that tracks the government.
[00:10:00.336 --> 00:10:02.116]  It's some honest reporting in this.
[00:10:02.116 --> 00:10:04.377]  The executives don't want to read a lot of propaganda.
[00:10:04.377 --> 00:10:11.298]  So the executives own the propaganda arms that you watch, but then they have their own little governmenttech.net, which I get a lot of info from.
[00:10:11.298 --> 00:10:17.820]  Industry press releases, you know, where there's actual communication going on at a more honest level.
[00:10:17.820 --> 00:10:19.160]  And it says, Big Brother.
[00:10:23.243 --> 00:10:30.588]  Big Brother, is he watching you?
[00:10:30.588 --> 00:10:33.190]  I say this is a rare headline because for the past 56 years,
[00:10:38.490 --> 00:10:44.917]  Since the publication of 1984, we all saw the things happening in the book as bad.
[00:10:44.917 --> 00:10:52.905]  Secret arrest, torture, worshipping government, lots of flag waving, the individual's liberties being destroyed.
[00:10:52.905 --> 00:10:57.169]  We saw that as bad, but now in the new climate, from the brainwashing in the last decade,
[00:10:58.125 --> 00:11:00.947]  About a decade ago I see articles that Big Brother's not so bad.
[00:11:00.947 --> 00:11:02.128]  Big Brother's helping.
[00:11:02.128 --> 00:11:06.290]  Now every day I see headlines, we post them on the website, where Big Brother saves children.
[00:11:06.290 --> 00:11:07.691]  Big Brother comes to rescue.
[00:11:07.691 --> 00:11:13.055]  Big Brother's being recast as a good guy.
[00:11:13.055 --> 00:11:14.335]  But this article's a little more honest.
[00:11:14.335 --> 00:11:22.680]  It says the federal government wants to hoard data on citizens, already doing it, in the name of homeland security attempting to ferret out possible terrorist plots against Americans.
[00:11:22.680 --> 00:11:26.663]  But critics say the desire has run amok and risk creating a homeland of insecurity.
[00:11:27.839 --> 00:11:48.727]  And it admits to the system called Matrix, Total Information Awareness, CAPS 2, and others, with the legally empowering system of the Patriot Act 1, Patriot Act 2, and Patriot Act 2.5, that the definition of all citizens is a terrorist.
[00:11:48.727 --> 00:11:51.148]  That the definition of any misdemeanor is terrorism.
[00:11:51.148 --> 00:11:52.449]  I've been telling you this for years.
[00:11:56.867 --> 00:11:59.388]  And everything's being watched and tracked already.
[00:11:59.388 --> 00:12:06.271]  Your scientific Atlantic cable box has a microphone in it, tracks everything you watch, what you do, red flags, psychological profiles.
[00:12:06.271 --> 00:12:08.952]  Let's just be honest about it.
[00:12:08.952 --> 00:12:13.755]  The TiVo system tracks everything you do.
[00:12:13.755 --> 00:12:16.056]  The data's sold, folks.
[00:12:16.056 --> 00:12:19.697]  And oh God, we better not watch stuff, then we'll be found out.
[00:12:19.697 --> 00:12:23.719]  The point is, is that we outnumber them tens of thousands to one.
[00:12:24.324 --> 00:12:26.446]  They have to get us to accept this system.
[00:12:26.446 --> 00:12:33.391]  They can do nothing with all this data against us if we refuse to go along with them and go, damn right, most of us are waking up to what you're doing.
[00:12:33.391 --> 00:12:37.934]  All this tyranny's expansion is in response to people waking up.
[00:12:37.934 --> 00:12:41.457]  We're in a fight, and they're in a fight, and they know it.
[00:12:41.457 --> 00:12:44.939]  And here was one.
[00:12:44.939 --> 00:12:46.420]  There was an article out of Capitol Hill Blue.
[00:12:46.420 --> 00:12:49.923]  It says, anti-terror laws target Americans, not just terrorists.
[00:12:50.487 --> 00:13:00.015]  And it says the FBI has used the Patriot Act revisions of political corruption probes involving a Las Vegas girly bar, concerning trying to get more parking spaces, trying to pay a county commissioner to do that.
[00:13:00.015 --> 00:13:02.617]  Parking spaces is now terrorism.
[00:13:02.617 --> 00:13:08.762]  And the Justice Department reported to the House Judiciary Committee last year that it used the law in probes of credit card fraud.
[00:13:08.762 --> 00:13:09.983]  And it goes on.
[00:13:09.983 --> 00:13:11.485]  And I see these every week.
[00:13:11.485 --> 00:13:12.626]  Pot dealers.
[00:13:12.626 --> 00:13:15.028]  I mean, a pound a pot.
[00:13:15.028 --> 00:13:16.108]  You don't get a jury.
[00:13:16.108 --> 00:13:16.629]  You disappear.
[00:13:17.321 --> 00:13:18.602]  And you go, oh, that's not true.
[00:13:18.602 --> 00:13:23.105]  You've watched 24, Threat Matrix, all these shows where they bust the guy, he's dealing pot.
[00:13:23.105 --> 00:13:25.747]  They go, we're going to take your children, you don't get to see a lawyer.
[00:13:25.747 --> 00:13:26.607]  This is terrorism.
[00:13:26.607 --> 00:13:28.028]  Drugs aid terrorists.
[00:13:28.028 --> 00:13:31.290]  You've seen the public service announcements saying that, too.
[00:13:31.290 --> 00:13:32.551]  See, you're all terrorists.
[00:13:32.551 --> 00:13:34.252]  All crime is terrorism.
[00:13:34.252 --> 00:13:38.495]  Speeding could cause a wreck, keeping emergency people from getting to fight the terrorists.
[00:13:38.495 --> 00:13:40.817]  See, that's what it says in the Patriot Acts.
[00:13:40.817 --> 00:13:42.398]  See, it's all terror.
[00:13:42.398 --> 00:13:43.179]  In 1984, it's all terror.
[00:13:44.460 --> 00:13:50.344]  And using the wrong words might hurt somebody's feelings or might cause anger or riots, so you're not allowed to do that either.
[00:13:50.344 --> 00:13:52.665]  1984.
[00:13:52.665 --> 00:13:54.587]  And there's so many examples of 1984.
[00:13:54.587 --> 00:13:59.230]  You've just got to read the book for yourself, and half of it now is passé.
[00:13:59.230 --> 00:14:10.357]  But it's got that brave new world, sicky sweet coding to it that the 1984, you know, bare metal dust bin system didn't have.
[00:14:12.910 --> 00:14:16.412]  And so there's this gloss on it, but it makes it even worse.
[00:14:16.412 --> 00:14:25.356]  Here's an example, and then we're going to go to just a few clips from the film of 1984 as we analyze it, and I'm going to critique it.
[00:14:25.356 --> 00:14:35.281]  You're welcome to call in and do that as well, if you're watching on the 17th of June, 2004.
[00:14:35.281 --> 00:14:42.164]  The book opens with a black helicopter flying along, looking through people's windows, spying on them.
[00:14:44.588 --> 00:14:51.914]  Okay, well, in the real world, most police departments don't just have infrared that looks through your walls and picks up major heat sources.
[00:14:51.914 --> 00:14:55.157]  They have ground-penetrating radar mounted on them.
