[00:00.000 --> 00:16.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[00:30.000 --> 00:46.000]  It's Tuesday, May 21st, 2019. I'm your host, Alex Jones. Thank you for joining us.
[00:46.000 --> 00:54.000]  You can see the terrifying headline atop the Drudge Report right now.
[00:54.000 --> 01:04.000]  Gallup. Four in ten Americans embrace socialism. Now, even though Gallup famously skews towards the left
[01:04.000 --> 01:14.000]  in who and where they sample, the numbers are pretty clear on college campuses that half of the students
[01:14.000 --> 01:21.000]  want something for free. And we've now seen the mainlining of free education, free health care,
[01:21.000 --> 01:31.000]  free housing, free money, reparations, free sex changes, pushed, and the idea is out there,
[01:31.000 --> 01:37.000]  and more and more millennials don't want to aspire to ever get married or ever have children
[01:37.000 --> 01:43.000]  or even ever have a car. No, they just want to play video games and virtue signal.
[01:43.000 --> 01:50.000]  That's actually what they say in surveys, and they look down on people who want to be successful and produce.
[01:50.000 --> 01:58.000]  But more importantly, they lick their lips like a wolf or a coyote, looks at a fat, juicy sheep.
[01:58.000 --> 02:08.000]  Because even though they resemble obese lobotomy sheep on the left, they still trained us to submit to them
[02:08.000 --> 02:16.000]  or be bullied by the corporate media, but it's all a total illusion. So what if you get bullied by the corporate media?
[02:16.000 --> 02:23.000]  Only folks like Trump or myself have enjoyed the full wrath of the establishment,
[02:23.000 --> 02:30.000]  and that's not the low-level chicken-net leftist, that's the big mega banks, that's the big billionaires,
[02:30.000 --> 02:36.000]  that's the big monopoly men combines that don't want anybody out here trying to organize humanity
[02:36.000 --> 02:43.000]  into an effective system to move forward and build prosperous, successful societies.
[02:43.000 --> 02:51.000]  They want societies they can conquer and take full control of now, and that's what we face.
[02:51.000 --> 02:55.000]  So when we come back from break, I'm going to get into all of it today.
[02:55.000 --> 03:00.000]  I was kind of nostalgic for our old studio. We're going to go back and forth different days,
[03:00.000 --> 03:08.000]  so I decided to come into the studio I've been in for five, six years today, so it was a bit nostalgic.
[03:08.000 --> 03:16.000]  And I think in the next few days we'll move back into the regular new studio that's undoubtedly one of the coolest studios in the country.
[03:16.000 --> 03:23.000]  But what's really important is the news and information that we cover here, my friends.
[03:23.000 --> 03:31.000]  There is no doubt that there are individuals that are trying to bring down society so they can rebuild it in their image.
[03:31.000 --> 03:38.000]  That is their admitted goal and the outrageous sexualization of children, the outrageous admissions,
[03:38.000 --> 03:42.000]  all of the news where they admit they're trying to dismantle the family.
[03:42.000 --> 03:48.000]  When every indicator and every historical example shows it will create doom.
[03:48.000 --> 03:54.000]  So we have the headline up on infowords.com that has the live feed posted in it,
[03:54.000 --> 04:04.000]  National Suicide. Four in ten Americans embrace socialism.
[04:04.000 --> 04:21.000]  The scourge, the poison that we've seen historically brought forward of offering people all these free, wonderful goodies is once again upon us.
[04:21.000 --> 04:28.000]  And the individuals that will get free stuff for a season don't understand the strings that come attached to that,
[04:28.000 --> 04:32.000]  that you've got to take these vaccines. You've got to agree to not have children.
[04:32.000 --> 04:34.000]  You've got to agree to have these political views.
[04:34.000 --> 04:42.000]  You've got to give up your integrity, your individualism to become kept domesticated,
[04:42.000 --> 04:52.000]  enslaved in the very definition of the word slavery, a feudal surf, bought off for chicken feed
[04:52.000 --> 05:00.000]  so you wouldn't be a contender in the arena of the real world on this planet.
[05:00.000 --> 05:06.000]  You know the worst part about getting old and I'm still strong at 45 is that I won't be there for my children someday.
[05:06.000 --> 05:09.000]  That's why I need to make them strong now. Now I can be there for my children.
[05:09.000 --> 05:14.000]  Now I can make them strong. Now I can instruct them. Now I can teach them what I've learned.
[05:14.000 --> 05:17.000]  But not once I'm gone. You think of this digital age, your word's gone forever,
[05:17.000 --> 05:20.000]  but now they're even better getting rid of what you said they were before.
[05:20.000 --> 05:26.000]  It's so much easier to burn video or text or languages now that we have high tech book burning, isn't it?
[05:26.000 --> 05:31.000]  But I have joined my will to the resistance. I can't be destroyed now.
[05:31.000 --> 05:36.000]  As long as I realize I've done right and as long as the people know the truth and you can't be destroyed either.
[05:36.000 --> 05:41.000]  As long as you bind yourself to something and commit to it and go through the fire for it,
[05:41.000 --> 05:45.000]  there is a magic that then takes place, the transcend space and time.
[05:45.000 --> 05:50.000]  When you commit, be a word of mouth or to pray for us or to spread our articles and videos.
[05:50.000 --> 05:53.000]  That overrides everything the enemy's doing.
[05:53.000 --> 06:12.000]  So please now commit to support Info Wars however you can and realize your provision to Info Wars is your own provision.
[06:23.000 --> 06:37.000]  Ladies and gentlemen, thank you so much for joining us on this live, worldwide broadcast.
[06:37.000 --> 06:49.000]  I am your host, Alex Jones, and we're going to be here for the next four hours on this Tuesday, Transmission.
[06:49.000 --> 06:56.000]  The news sites are infowars.com and newswars.com.
[06:56.000 --> 07:02.000]  Let me just read you some of these headlines that we have here today.
[07:02.000 --> 07:10.000]  Four in ten Americans embrace some form of socialism in a gallant pull,
[07:10.000 --> 07:18.000]  buying the poison lie of you're going to live for free but who has to work as your slave.
[07:18.000 --> 07:23.000]  The truth is everyone becomes slaves except a tiny elite in a system like this.
