[00:00.000 --> 00:19.000]  Music
[00:19.000 --> 00:22.000]  Ladies and gentlemen, I am your host Alex Jones.
[00:22.000 --> 00:25.000]  We're going to be here live for the next four hours.
[00:25.000 --> 00:28.000]  That I'm sure will be in for the war room.
[00:28.000 --> 00:31.000]  That of course is 3 p.m. to 6 p.m. Central.
[00:31.000 --> 00:33.000]  This is the Info War.
[00:33.000 --> 00:36.000]  These are the times that try men's souls.
[00:36.000 --> 00:51.000]  First off, I don't toot my horn for, I don't know, purposes of self-flagellation.
[00:51.000 --> 00:56.000]  Either way, you take a beating telling the truth.
[00:56.000 --> 00:59.000]  But it's something I've got to do.
[00:59.000 --> 01:04.000]  I also don't take credit for the things we've broken here.
[01:04.000 --> 01:08.000]  Because I want the attention.
[01:08.000 --> 01:15.000]  We just covered the best research and the best facts we have because it's our duty to do so.
[01:15.000 --> 01:20.000]  And a lot of times I start the broadcast by saying my head's spinning
[01:20.000 --> 01:24.000]  because this place is a real war room in Austin, Texas.
[01:24.000 --> 01:27.000]  We are really doing research. We really have the contacts.
[01:27.000 --> 01:30.000]  And we're really vetting the information as well.
[01:30.000 --> 01:34.000]  And sometimes it'll make your head spin.
[01:34.000 --> 01:41.000]  In fact, the information I've got right now is so powerful that I don't even think I can even do the show right now.
[01:41.000 --> 01:46.000]  I think I'm going to have to do some rebroadcast for a while and look at this information some more
[01:46.000 --> 01:51.000]  and then decide what I'm going to do because I've had information overload at this point.
[01:51.000 --> 02:01.000]  That we've got a pretty good picture of what happened in Vegas and who's behind it and what unfolded here.
[02:01.000 --> 02:08.000]  But you can know this. The Deep State Democratic Party wing is 100% behind this thing.
[02:08.000 --> 02:11.000]  And they are just a murdering pack of scum.
[02:11.000 --> 02:24.000]  I've also reviewed over an hour of footage shot by different people in the first 15 minutes of cell phone footage
[02:24.000 --> 02:28.000]  where people just have their cameras on or have their go-pros on.
[02:28.000 --> 02:33.000]  We're already there at the concert and we're in a rendering aid and it's 100% real.
[02:33.000 --> 02:42.000]  You can see people fading out and dying there in Vegas in Sin City, sacrificed on the altar of globalism while laying.
[02:42.000 --> 02:45.000]  Now, don't show the footage, guys. Don't even show it blurred.
[02:45.000 --> 02:52.000]  While laying on piles of garbage and beer cans, it's just the sight.
[02:52.000 --> 02:54.000]  I'll never get it out of my head.
[02:54.000 --> 03:02.000]  And I was really thinking about playing it this morning because I knew people were going to say this was crisis actors and fake.
[03:02.000 --> 03:04.000]  And then I knew they were going to say that I was saying that.
[03:04.000 --> 03:08.000]  I called Nico at about 8 this morning and I said,
[03:08.000 --> 03:12.000]  I may play this video because I want people to see the truth and know this really happened.
[03:12.000 --> 03:19.000]  And I'm not going to let them sit there and then try to say it didn't happen and then pin it on me.
[03:19.000 --> 03:23.000]  So it indeed did happen. Does that mean they don't stage events?
[03:23.000 --> 03:26.000]  Does it mean they didn't hire crisis actors for many of these antifa events?
[03:26.000 --> 03:30.000]  That's been in the news. The groups are hiring online now.
[03:30.000 --> 03:33.000]  Does it mean sometimes they don't stage shootings?
[03:33.000 --> 03:38.000]  Remember in Taiwan? It's like 10 years ago.
[03:38.000 --> 03:46.000]  The president of Taiwan staged a shooting of himself when he was about to get impeached and got grazed by a bullet.
[03:46.000 --> 03:51.000]  Then the other party made the police go check and it wasn't even a real wound. It had been staged.
[03:51.000 --> 03:53.000]  So that stuff goes on.
[03:53.000 --> 03:57.000]  And the headline will be Alex Jones Questions Vegas.
[03:57.000 --> 04:02.000]  Well, they lied about babies and incubators in Iraq and got us into a huge war that killed over a million Iraqis.
[04:02.000 --> 04:09.000]  So it's okay to question where I'm going to step as I walk down the street to make sure I'm not stepping in a pothole.
[04:09.000 --> 04:14.000]  But I have looked at this Vegas situation and I've looked at the footage.
[04:14.000 --> 04:21.000]  And I've looked at it shot by scores of people more than I should have watched because it hurt my brain and it was real.
[04:21.000 --> 04:28.000]  People fading out, fading away in piles of garbage with bullet holes in them.
[04:28.000 --> 04:31.000]  Very, very, very sad, very, very painful.
[04:31.000 --> 04:33.000]  And just tore my guts out.
[04:33.000 --> 04:35.000]  And we're going to talk about it all today.
[04:35.000 --> 04:38.000]  We have the big news of what's behind this and more.
[04:38.000 --> 04:43.000]  This is, as everybody's noticing right now, the critical juncture of the research documentation.
[04:43.000 --> 04:46.000]  Just look at Drudge with the top link.
[04:46.000 --> 04:53.000]  You know, someone very profoundly once said many years ago that if fascism ever comes to America, it'll come in the name of liberalism.
[04:53.000 --> 05:17.000]  Get a white male! You're a white man!
[05:29.000 --> 05:32.000]  The liberal establishment media has controlled the narrative for too long.
[05:32.000 --> 05:35.000]  The silent majority is no longer silent.
[05:35.000 --> 06:04.000]  This is the War Room.
[06:13.000 --> 06:32.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[06:32.000 --> 06:39.000]  Well, October 1st came and went and with it the biggest massacre using firearms in modern history.
[06:39.000 --> 06:44.000]  But is it 59 dead now, 500 plus wounded, many others fighting for their lives?
[06:44.000 --> 06:46.000]  We should pray for the victims.
[06:46.000 --> 06:49.000]  Pray for the survivors, pray for their families.
[06:49.000 --> 06:56.000]  But you think about the carnage of 600 people roughly shot, 59 dead.
[06:56.000 --> 07:03.000]  And you think about the communists in China killing 84 million people according to their own publications.
[07:03.000 --> 07:08.000]  The CIA says it's 65 million from what they've got.
[07:08.000 --> 07:17.000]  And they fed the communist army off giant cookpots cooking the people they'd executed including children with families.
[07:17.000 --> 07:19.000]  That was the preferred meat.
[07:19.000 --> 07:24.000]  That is declassified. That is an official books published by the Communist Party of China.
[07:24.000 --> 07:31.000]  Blaming the dictator's wife for it all.
[07:31.000 --> 07:35.000]  I guess they had a quote reform after that.
[07:35.000 --> 07:41.000]  Communism killed 94 million 20th century feels need to kill again.
[07:41.000 --> 07:48.000]  Now that said, so just imagine the magnitude of what happens in countries where people are disarmed.
[07:48.000 --> 08:03.000]  Congressman Scalise that barely survived the Democratic Party targeting where they intended to pin in the Republican Congressman and that dugout and kill 15 of them so they could force a special election.
[08:03.000 --> 08:12.000]  That didn't go the way they wanted to in their Democratic Party operation where the New York Times advertised where to go, what to do, they didn't have security.
[08:12.000 --> 08:17.000]  Well, there was security there and a good guy with a gun stopped the bad guy with a gun.
[08:17.000 --> 08:26.000]  And Congressman Scalise has come out and said what happened to him fortifies his belief in the Second Amendment because it was the Second Amendment that stopped that piece of garbage.
[08:26.000 --> 08:32.000]  You got to ban cars because Al Qaeda and ISIS are using them to kill thousands of people a year now.
[08:32.000 --> 08:36.000]  You're going to not drive your car because it's insensitive because it'll remind somebody.
[08:36.000 --> 08:42.000]  They're saying the same thing. Get rid of your guns. You should feel like you've done something wrong.
[08:42.000 --> 08:50.000]  They're foisting this guilt down on all of us and it's a horrible assault and Michelle Obama has come out and said white people are the problem.
[08:50.000 --> 08:57.000]  Yes, we have video. Hillary said the same thing. They are making their move for race war in America.
[08:57.000 --> 09:01.000]  It's cold-blooded. It's admitted in the WikiLeaks.
[09:01.000 --> 09:09.000]  But here, ladies and gentlemen, is the good news.
[09:09.000 --> 09:22.000]  This is not 1995 where they can carry out an event like Oklahoma City that was a real bomb but was staged by criminal elements of the federal government working with German intelligence
[09:22.000 --> 09:30.000]  and a major tax-free foundation who's recently been caught with a lot of money overseas.
[09:30.000 --> 09:46.000]  Yes, the Southern Barbara Law Center was running L.A. in the city where the attack came out of. They weren't infiltrating it. They ran it. They commanded it.
[09:46.000 --> 09:58.000]  This is not 1995. And I launched this operation in 1995 to counter just such events as false flags and Waco and other events where we were lied to.
[09:58.000 --> 10:04.000]  And you can see the power of the individual working with other individuals, what we've now done.
[10:04.000 --> 10:07.000]  But if you go to DrudgeReport.com today, here's the big news.
[10:07.000 --> 10:20.000]  And I've got more coming probably in the third hour, fourth hour, but I've got to continue to research some areas of the data line, the research line we're going down before I release this information.
[10:20.000 --> 10:26.000]  We don't just put things out here to be sensational. We put it out because it's the truth.
[10:26.000 --> 10:30.000]  Justice be done. May the heavens fall.
[10:30.000 --> 10:37.000]  Look at DrudgeReport.com. Sheriff, did shooter get radicalized?
[10:37.000 --> 10:45.000]  They're coming out saying they're looking into radicalization. That's because in the hotel room was Antifa and Islamic literature.
[10:45.000 --> 10:51.000]  And because of our FBI sources, that's being forced out in the open.
[10:51.000 --> 10:57.000]  What did we tell you on Monday that he was probably on SSRIs or some other type of anti-psychotic?
[10:57.000 --> 11:02.000]  Today it's confirmed he was.
[11:02.000 --> 11:07.000]  We're not sure he's the only guy, and that's what's coming up later.
[11:07.000 --> 11:12.000]  A lot of evidence points towards him being part of a sting operation and being set up just like Tim McVeigh.
[11:12.000 --> 11:16.000]  They run the same formulas over and over again, but we're going there later.
[11:16.000 --> 11:24.000]  Right now we have Colonel Schaefer, high-level intelligence,
[11:24.000 --> 11:35.000]  concurring with the analysis and saying that his experts in the government and experts in psychological warfare believe this guy was an Antifa radical,
[11:35.000 --> 11:43.000]  had accomplices and had been wound up to carry out this attack for many reasons, but number one, his age, number two, the target.
[11:43.000 --> 11:47.000]  The motive is the target. The target is the motive.
[11:47.000 --> 11:58.000]  You also have top forensic psychiatrists used by the federal government who examined many other mass shooters, including what happened with the Scalise shooting.
[11:58.000 --> 12:06.000]  And he says all the evidence points towards it being a PSYOP run by the liberals, basically the Democratic Party.
[12:06.000 --> 12:13.000]  That's where all the smart money is, is that this guy was a frontman for a larger submerged operation.
[12:13.000 --> 12:21.000]  The hotel and complex is owned by super Antifa slash Islamist supporters who are huge donors.
[12:21.000 --> 12:27.000]  The Southern Providence Law Center and other groups, including the big Muslim affairs group here in the U.S. care,
[12:27.000 --> 12:31.000]  they would match all the employees' money if they gave to it.
[12:31.000 --> 12:36.000]  And I'm just saying that that should all be investigated. The insurance, all of it should be looked at.
[12:36.000 --> 12:42.000]  And the fact that there was cameras in the hallways and he was there five days and had visitors and guns everywhere.
[12:42.000 --> 12:48.000]  When you check into a hotel, they come and search your things. When you leave, they always do, especially casinos.
[12:48.000 --> 12:51.000]  Then they come back in when they clean it and they do it.
[12:51.000 --> 12:58.000]  And if you don't clean it, if you don't put the sign up for a day, they'll still come in. That's protocol.
[12:58.000 --> 13:06.000]  They violated their default protocol. Where's all the surveillance footage? Where is all the footage?
[13:06.000 --> 13:11.000]  Well, it turns out we have moles inside the hotel thanks to Laura Loomer and other folks working their Twitter contacts.
[13:11.000 --> 13:17.000]  We're working our Twitter contacts at Real Alex Jones and of course at Prison Planet with Paul Watson.
[13:17.000 --> 13:22.000]  So you've got the sheriff saying we're looking at him being radicalized. That's because they've got the evidence.
[13:22.000 --> 13:28.000]  And the sheriff shakes when he says it because he's so freaked out by the magnitude.
[13:28.000 --> 13:31.000]  They're being told don't give out more details because of an investigation by the feds.
[13:31.000 --> 13:39.000]  But that's mid-level feds blocking who really did it because they're deep state plants of Obama, Clinton and the globalist.
[13:39.000 --> 13:45.000]  And that's admitted that they're rebelling against the president and against the American people's attempt to take the country back.
[13:45.000 --> 13:52.000]  So imagine if it comes out this guy was anti-slash, Islamically funded, which the evidence now is massively pointing to.
[13:52.000 --> 13:55.000]  And I'll get to that in a moment.
[13:55.000 --> 14:04.000]  Imagine what's going to happen if all of that unfolds. Imagine what they're going to do.
[14:04.000 --> 14:13.000]  So right now they want to set the narrative, even though it's blown up in their face, that it's a white guy and white guys are evil and gun owners are evil.
[14:13.000 --> 14:17.000]  And so the victims are to blame. That's what they're saying.
[14:17.000 --> 14:22.000]  CBS executives, top Democrats, Hollywood stars, they're all putting that narrative out.
[14:22.000 --> 14:25.000]  We've got to take your guns. We've got to take your guns.
[14:25.000 --> 14:34.000]  But this is the reason why we need the guns to protect ourselves.
[14:34.000 --> 14:39.000]  So we have Colonel Shaper coming out saying it looks like an anti-fuck Democrat operation.
[14:39.000 --> 14:45.000]  We've got the top psychiatrist saying it. We've got the sheriff saying it looks like radicalization because they know.
[14:45.000 --> 14:50.000]  But they're in the middle of an investigation and don't want accomplices to obviously know what they've got.
[14:50.000 --> 14:57.000]  But you've got to put this out now because it's politically being used to try to wound the country massively.
[14:57.000 --> 15:02.000]  But if you look at Drudge Report, remember who told you all this on Monday?
[15:02.000 --> 15:05.000]  Who told you Sunday night before it happened it was coming?
[15:05.000 --> 15:08.000]  Who told you last Friday with precision it was coming?
[15:08.000 --> 15:11.000]  Who told you to look for the radicalization?
[15:11.000 --> 15:15.000]  And who told you on Monday morning from the HRT?
[15:15.000 --> 15:18.000]  Yeah, folks, that's the kind of sources we've got.
[15:18.000 --> 15:26.000]  HRT on the ground that the place was full of anti-fuckered as well as Islamist's connections.
[15:26.000 --> 15:31.000]  And then it came out six hours later that indeed she'd gone to the Philippines and indeed she'd gone to the Middle East.
[15:31.000 --> 15:34.000]  And indeed there was money being wired around everywhere else.
[15:34.000 --> 15:38.000]  And now it's all coming out. We'll be right back.
[15:38.000 --> 15:41.000]  Oh, and there was room service for two, a lot more.
[15:41.000 --> 16:04.000]  We'll be right back.
[16:11.000 --> 16:15.000]  But with the rapid speed of life, we need to be able to keep up the pace.
[16:15.000 --> 16:23.000]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[16:23.000 --> 16:25.000]  Wake up refreshed and take on the day.
[16:25.000 --> 16:33.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[16:33.000 --> 16:37.000]  Get the sleep you deserve and experience the power of knockout.
[16:37.000 --> 16:44.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[17:07.000 --> 17:15.000]  In the history of InfoWarsLife, we've brought out a lot of amazing products like Survival Shield X2, Superman Vitality and so many others.
[17:15.000 --> 17:21.000]  With its unique delivery system and proprietary manufacturing process designed for maximized effects.
[17:21.000 --> 17:25.000]  This formula is the platinum standard of multivitamin mineral products.
[17:25.000 --> 17:27.000]  And this part is most important.
[17:27.000 --> 17:34.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[17:34.000 --> 17:37.000]  That means it's clean. That means it's pure.
[17:37.000 --> 17:40.000]  And rest secured, you're finding the tip of the spear in the InfoWars.
[17:40.000 --> 17:43.000]  That's infowarslife.com and vitamin mineral fusion.
[17:43.000 --> 18:05.000]  Now before we sell out.
[18:15.000 --> 18:16.000]  That's what I'm talking about.
[18:16.000 --> 18:24.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[18:24.000 --> 18:34.000]  Harvestrite freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[18:34.000 --> 18:37.000]  Now that's what I call the miracle of food preservation.
[18:37.000 --> 18:41.000]  Harvestrite is truly the world's best, most affordable freeze dryer.
[18:41.000 --> 18:45.000]  So what are you waiting for? Check it out right now at infowarsstore.com.
[19:12.000 --> 19:15.000]  This is the formula that I personally have been taking for over a year.
[19:15.000 --> 19:21.000]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[19:21.000 --> 19:31.000]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country in the world that patriots stay as healthy and as clean and as focused as you can be.
[19:31.000 --> 19:38.000]  Because we need you, the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[19:38.000 --> 19:41.000]  Thanks to your support and your prayers together, we're changing the world.
[19:41.000 --> 20:10.000]  Now it's time to change our bodies with a z-shield at infowarslife.com.
[20:11.000 --> 20:18.000]  Thanks for watching, I hope you enjoyed this video, hope you enjoyed it, and I'll see you on the next one.
[20:41.000 --> 20:46.140]  We're back live ladies and gentlemen. We have seen one of the biggest massacres in
[20:46.140 --> 20:53.340]  world history take place. But remember a earthquake in somewhere like Pakistan
