[00:00:00.555 --> 00:00:01.135]  You've got it.
[00:00:01.135 --> 00:00:07.660]  This transmission is coming to you.
[00:00:07.660 --> 00:00:12.063]  Waging war on corruption.
[00:00:12.063 --> 00:00:17.647]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:22.441 --> 00:00:24.202]  We are live, my friends.
[00:00:24.202 --> 00:00:27.045]  Thank you so much for joining us.
[00:00:27.045 --> 00:00:43.499]  It is Sunday, the 27th day of March, 2011, and we're seeing 21st century warfare with all of the Orwellian trappings, as we're told that this is not a war in Libya.
[00:00:43.499 --> 00:00:44.880]  Accelerate and expand.
[00:00:44.880 --> 00:00:47.062]  On ABC News today,
[00:00:48.763 --> 00:01:01.005]  I heard, I was listening to ABC News on XM Radio, I heard the Defense Secretary, along with Hillary Clinton, the Secretary of State, say we might be there for a year.
[00:01:01.005 --> 00:01:10.827]  And that yes, they want to put a humanitarian mission in to eastern Libya, where the rebels are in control, i.e.
[00:01:10.827 --> 00:01:13.628]  Al Qaeda, but that that's not boots on the ground.
[00:01:14.628 --> 00:01:26.411]  Even though there are British and US Special Forces admittedly on the ground, lazing targets for the cruise missiles and fighter bombers to drop their bombs on.
[00:01:26.411 --> 00:01:30.072]  So we're going to be going over all of that today.
[00:01:30.072 --> 00:01:33.012]  The fact is the West orchestrated the rebellion in Libya.
[00:01:33.012 --> 00:01:34.913]  They orchestrated the rebellion in Egypt.
[00:01:34.913 --> 00:01:39.174]  In fact, I saw the article Friday and I wasn't doing the show Friday, Paul Watson and the
[00:01:39.714 --> 00:01:43.157]  Mike Adams, the health ranger, did a great job sitting in, so did the crew, running things.
[00:01:43.157 --> 00:01:49.782]  But I saw the mainstream headline that Egypt, the new government, bans protest.
[00:01:49.782 --> 00:01:51.403]  Will you guys print that for me?
[00:01:51.403 --> 00:01:53.524]  Egypt bans protest.
[00:01:53.524 --> 00:01:55.446]  Because that's the new liberty.
[00:01:55.446 --> 00:02:02.011]  And I want to be able to go over that article for folks and talk about the larger strategic situation here and the stratagem
[00:02:02.751 --> 00:02:06.214]  with the Globalist have launched.
[00:02:06.214 --> 00:02:11.358]  Also there have been big riots and demonstrations of upwards of half a million in England.
