whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20181125_Sun_Alex.wav' (115135635 samples, 7196.0 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:00:10.000 --> 00:00:16.240]   >> Resistance to tyrants is obedience to God.
[00:00:16.240 --> 00:00:19.380]   It's Alex Jones.
[00:00:19.380 --> 00:00:22.780]   >> Red alert, red alert, red alert, red alert, ladies and
[00:00:22.780 --> 00:00:23.620]   gentlemen.
[00:00:23.620 --> 00:00:27.540]   It's November 25th, 2018, we are live broadcasting from
[00:00:27.540 --> 00:00:30.360]   the Central Texas News Center in Austin.
[00:00:30.360 --> 00:00:32.000]   I am your host Alex Jones.
[00:00:32.000 --> 00:00:36.440]   We have live continual coverage at Infowars.com and
[00:00:36.440 --> 00:00:37.760]   Newswars.com.
[00:00:37.760 --> 00:00:41.040]   Our reporters were just there last week, seeing the thousands
[00:00:41.040 --> 00:00:44.880]   and thousands of illegal aliens organized by the UN being masked.
[00:00:44.880 --> 00:00:47.600]   We've got all the local newscasts coming in.
[00:00:47.600 --> 00:00:51.040]   We've got sat feeds, we're going to have the most up to date.
[00:00:51.040 --> 00:00:52.640]   We've got live sat feeds.
[00:00:52.640 --> 00:00:54.520]   We'll put some of this on screen.
[00:00:54.520 --> 00:00:59.080]   Of individuals overrunning the border in Tijuana by the thousands
[00:00:59.080 --> 00:01:02.840]   pouring over the fence, having tear gas fired at them.
[00:01:02.840 --> 00:01:07.880]   And once they get here, once they are inside the United States,
[00:01:07.880 --> 00:01:13.040]   then they go to the leftist judges who give them up to four years to
[00:01:13.040 --> 00:01:18.800]   even show up for their hearing on supposedly being a refugee.
[00:01:21.080 --> 00:01:27.600]   Now again, this footage is all posted to Infowars.com right now.
[00:01:27.600 --> 00:01:32.040]   And we're going to be going over some of that for you here.
[00:01:32.040 --> 00:01:37.000]   Again, I was just watching it back there right before we went live.
[00:01:37.000 --> 00:01:41.720]   We have the footage, DrugsReport.com also has a lot of the footage.
[00:01:47.840 --> 00:01:54.680]   Now, CBP suspends all traffic at the port of entry after migrants,
[00:01:54.680 --> 00:01:57.640]   that's illegal alien invaders, rush to the border.
