[00:00.000 --> 00:11.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:42.000]  Ladies and gentlemen, we are witnessing 21st century warfare in America.
[00:42.000 --> 00:59.000]  We are witnessing a consortium of multinational corporations, foreign banks, you name it, working in concert against the American people, against our economy,
[00:59.000 --> 01:13.000]  and against our president. And if the people fully knew how bad it was, there would be a revolution in this country tomorrow, a violent one.
[01:13.000 --> 01:23.000]  I don't want that. And the media continues to misrepresent and says that I want violence.
[01:23.000 --> 01:30.000]  But they don't have any examples of it that they can point to that aren't edited out of context.
[01:30.000 --> 01:41.000]  Now, here is just last week, on the 4th of August, Deep State's going to kill the president, Alex Jones claims.
[01:41.000 --> 01:51.000]  Then it literally says stuff like gay frog and random weird stuff and has weird edited things. I didn't say to make it sound like I'm insane.
[01:51.000 --> 01:58.000]  When I really laid out the specifics of how they're preparing it, how they're promoting it and how they're getting it ready.
[01:58.000 --> 02:07.000]  Now, we had the former director of the CIA say that there should be a coup to remove the president two weeks ago.
[02:07.000 --> 02:13.000]  Now, every morning I get up at 6am, 7am, and I go to infowars.com.
[02:13.000 --> 02:23.000]  And almost every morning there is a new high level Democrat from the FBI, the CIA, the NSA, you name it.
[02:23.000 --> 02:31.000]  People that are all on record illegally spying on us, doing illegal torture. I mean, you name it.
[02:31.000 --> 02:38.000]  Ladies and gentlemen, I spent an hour this morning looking into this individual who I'd read about before.
[02:38.000 --> 02:43.000]  I'd seen his name, I went, because he just said CNN analysts were preparing to kill Trump.
[02:43.000 --> 02:49.000]  He says Trump will be killed by the government, by the Deep State, which also doesn't exist.
[02:49.000 --> 02:54.000]  The Deep State's going to kill Trump, but when Alex Jones says it, he has such credibility that I said it first,
[02:54.000 --> 03:05.000]  oh, Deep State doesn't exist and Jones is insane. These are the tactics, but see, when they say it to legitimize it, it's okay.
[03:05.000 --> 03:15.000]  So we're going to play that clip. This is Philip Mudd, and this guy is horrible.
[03:15.000 --> 03:25.000]  He is a creature of the Clintons, entire Clinton pedigree, a Mueller appointee out of nowhere, sycophantic, you name it,
[03:25.000 --> 03:37.000]  to direct the CIA takeover of the FBI. That's the office he runs on TV, implying that when Trump joked and said,
[03:37.000 --> 03:41.000]  oh, they kicked people out of our embassies. Well, we've got some cost cuts there.
[03:41.000 --> 03:48.000]  They're making fun of Putin. That's what Trump does. They go, oh, you won our CIA fired. You kicked out of the embassies and all this stuff.
[03:48.000 --> 03:54.000]  And he's like, well, that's they're going to kill Trump. And the host is like, whoa, whoa, whoa, whoa, whoa, you didn't mean that.
[03:54.000 --> 04:00.000]  He's like, yeah, no, we're going to kill him. So when we come back from break, we're going to play that clip for you.
[04:00.000 --> 04:08.000]  But it gets better. Mr. Mudd also says that when he's done with that, he's going to go over and they're going to arrest Congressman Gowdy,
[04:08.000 --> 04:12.000]  and they're going to chain him up to a wall and kick his teeth out. Yeah.
[04:12.000 --> 04:20.000]  And because that's what Philip doesn't ever do, the tooth pulling himself or the torture, putting people in coffin boxes or skinning people alive.
[04:20.000 --> 04:30.000]  Mr. Mudd directed all of that. Yes. Yes. He's the one on the illegal torture dossiers and all the rest of it. Wow.
[04:30.000 --> 04:41.000]  And man, he's going to, he's done another clip on CNN saying, I'm going to go over there and I'm going to kick Gowdy's ass. Wow.
[04:41.000 --> 04:49.000]  Yeah, I bet, buddy. Like to see in a ring with Gowdy. They want to look at Gowdy's eyes and tell him to unscrew your little anti-American head.
[04:49.000 --> 04:55.000]  But here's the deal. Media will spin that and say, I call for violence. He's the one saying, we're getting ready to kill the president.
[04:55.000 --> 05:05.000]  That's a piece of arrogance. Why is the fungus? Why is the mold? Why is the yeast taking over? What is going on? What has changed?
[05:05.000 --> 05:13.000]  Dr. Group, the new product, Myco ZX supports a normal fungal and yeast balance proprietary blend of herbs and enzymes made with high quality ingredients.
[05:13.000 --> 05:21.000]  Yeah, fungus is a growing epidemic and I've been testing this formula and making changes to this formula for over 10 years.
[05:21.000 --> 05:26.000]  It's available at informerstore.com. We also have free shipping. Order $50 or more and 10% off.
[05:26.000 --> 05:31.000]  You can sign up for auto-ship additionally on top of that. Please. We only have a limited supply of this.
[05:31.000 --> 05:39.000]  I want to get your reviews. I want to hear what you have to say. For me, it's Ben and Crow. Myco ZX, anti-fungal, anti-fungus, anti-yeast.
[05:39.000 --> 05:44.000]  Get it today. Limited around. It'll be months until we get more. Informerstore.com and ForwardsLive.com.
[05:44.000 --> 05:52.000]  Our triple A, two, five, three, three, one, three, nine. I cannot sell something unless it helps somebody. And you can't support an organization that didn't fight hard.
[05:52.000 --> 05:58.000]  Look at the response we're getting. We ever changed the world together. You are the info war. God bless you all.
[05:58.000 --> 06:07.000]  As most of you already know, I am a voracious consumer of news and information. And in the last four or five years doing more and more research,
