[00:00:03.004 --> 00:00:04.945]  Big show.
[00:00:04.945 --> 00:00:06.266]  Big Brother.
[00:00:06.266 --> 00:00:08.026]  Mainstream media.
[00:00:08.026 --> 00:00:09.787]  Government cover-ups.
[00:00:09.787 --> 00:00:11.368]  You want answers?
[00:00:11.368 --> 00:00:12.708]  Well, so does he.
[00:00:12.708 --> 00:00:17.111]  He's Alex Jones on the GCN Radio Network.
[00:00:17.111 --> 00:00:21.372]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.372 --> 00:00:28.496]  We've got a special report on Barack Obama we're about to air that's very important and a secret bypass.
[00:00:29.657 --> 00:00:33.759]  He's engaged in to bring in the illegals, part of a larger globalist plan.
[00:00:33.759 --> 00:00:41.442]  Then when we come back, the economic news, the geopolitical news, the political news is all incredibly important.
[00:00:41.442 --> 00:00:53.328]  James O'Keefe is back with a new undercover video where the college again discovers pocket constitutions and is assuring people that they'll shred the evil immediately and they're so sorry for the hate crime.
[00:00:54.068 --> 00:01:00.591]  Camille Paglia says that transgender mania is a symptom of the West, cultural collapse, and more.
[00:01:00.591 --> 00:01:03.613]  It's all coming up, but here's John Bowne's latest report.
[00:01:03.613 --> 00:01:12.017]  Mushrooming numbers of displaced people across the globe have now reached levels higher than at any time in recorded history.
[00:01:12.017 --> 00:01:20.682]  The New York Times reports the United Nations claims that nearly 60 million people have been driven from their homes by war and persecution.
[00:01:20.902 --> 00:01:31.308]  An unprecedented global exodus that has burdened fragile countries with waves of newcomers and littered deserts and seas with the bodies of those who died trying to reach safety.
[00:01:31.308 --> 00:01:41.674]  Europe is being transformed overnight by the sovereign decimating socialist policies spearheaded by the EU immigration invasion leading German Chancellor Angela Merkel.
[00:01:41.674 --> 00:01:47.617]  Merkel recently bent to the wave of immigration critics when she voiced support for transit zones.
[00:01:47.657 --> 00:01:48.037]  I don't know.
[00:02:04.965 --> 00:02:09.328]  A metaphor for the transformative collision course now underway.
[00:02:09.328 --> 00:02:20.135]  Meanwhile, Hungarian Prime Minister Viktor Orban is attributing the source of the soft invasion of cultural devastation to billionaire George Soros and his circle of activists.
[00:02:20.135 --> 00:02:30.402]  Bloomberg reports Soros fired back, claiming Prime Minister Orban treats the protection of national borders as the objective and the refugees as an obstacle.
[00:02:30.922 --> 00:02:38.991]  Soros said, our plan treats the protection of refugees as the objective and national borders as the obstacle.
[00:02:38.991 --> 00:02:48.941]  Back in the United States, President Obama, a key member of Soros' activist circle, has been quietly pursuing a four-option plan to allow work permits to illegals.
[00:02:49.361 --> 00:03:14.775]  Regardless of the Fifth Circuit Court of Appeals injunction in order to review the constitutionality of Obama's DHS enforcement nullification initiatives, The Hill reports a leaked memo reveals the first option as providing EADs, or Employment Authorization Documents, or work permits, to all individuals living in the United States, including illegal aliens, visa overstayers,
[00:03:15.095 --> 00:03:16.216]  We're good to go.
[00:03:42.452 --> 00:03:42.752]  I don't know.
[00:04:03.144 --> 00:04:19.510]  Over in Europe, a carefully executed media-biased, sovereign, shocking ocean of non-naturalized immigrants with zero knowledge of the laws and culture of the new lands they are now inhabiting, demanding to be met with the promise of a new life that doesn't exist.
[00:04:19.510 --> 00:04:31.134]  The Cloward-Piven strategy to break the back of the welfare system, in turn forcing a new world order-led socialist regime offering a guaranteed annual income, is accelerating.
[00:04:31.755 --> 00:04:45.611]  2016 is shaping up to be the year President Obama completely takes the gloves off, destroying the sovereignty and ignoring the checks and balances of our government with impunity, while his European counterparts lead the way.
[00:04:45.611 --> 00:04:47.033]  John Barron for InfoWars.com
[00:04:58.655 --> 00:04:59.436]  You've heard of the U.S.
[00:04:59.436 --> 00:05:06.704]  government wasting money on studies like mountain lions on treadmills, shrimp on treadmills, and even the effects of Swedish massage on rabbits.
[00:05:06.704 --> 00:05:09.927]  This latest example of waste comes out of the Illinois EPA.
[00:05:09.927 --> 00:05:15.233]  In fact, I tweeted, state government needs nine-step anal retentive plan to compost pumpkins?
