[00:00:00.564 --> 00:00:01.257]  Say Alex Jones!
[00:00:02.250 --> 00:00:04.291]  You don't have to agree with everything Alex Jones says.
[00:00:04.291 --> 00:00:05.371]  I like Alex Jones.
[00:00:05.371 --> 00:00:07.672]  But I don't agree with everything Alex Jones says.
[00:00:07.672 --> 00:00:09.173]  And you don't have to.
[00:00:09.173 --> 00:00:15.056]  But Bill Maher, famously, and credit to him, said when Alex Jones got banned, he said, we shouldn't be banning people.
[00:00:15.056 --> 00:00:17.497]  He said, I hate Alex Jones, but Alex Jones should be allowed to talk.
[00:00:17.497 --> 00:00:19.378]  Everyone should be allowed to talk in the town square.
[00:00:19.378 --> 00:00:29.322]  Alex Jones, who is not my friend, and who tells crazy lies about me, is thrown off Twitter, I think, and Facebook, and a few other platforms.
[00:00:29.322 --> 00:00:29.943]  I think he's going to-
[00:00:33.129 --> 00:00:35.151]  That's Senator Gillibrand, thank God.
[00:00:35.151 --> 00:00:37.113]  If you're a liberal, you're supposed to be for free speech.
[00:00:37.113 --> 00:00:39.456]  That's free speech for the speech you hate.
[00:00:39.456 --> 00:00:41.518]  That's what free speech means.
[00:00:41.518 --> 00:00:45.282]  We're losing the thread of the concepts that are important to this country.
[00:00:45.282 --> 00:00:48.225]  If you care about the real American s***, or you don't.
[00:00:48.225 --> 00:00:50.327]  And if you do, it goes for every side.
[00:00:50.327 --> 00:00:54.291]  I don't like Alex Jones, but Alex Jones gets to speak.
[00:00:54.291 --> 00:00:55.252]  Everybody gets to speak.
[00:00:59.224 --> 00:01:01.525]  That's where we all need to be.
[00:01:01.525 --> 00:01:04.066]  Reaction's really incredible there.
[00:01:04.066 --> 00:01:09.189]  Cheering for him being banned and not a single clap for him saying free speech should be protected.
[00:01:09.189 --> 00:01:09.709]  Correct.
[00:01:09.709 --> 00:01:15.892]  I think they kind of felt maybe, hopefully, they were a little ashamed of themselves going, oh yeah, crap, you're right.
[00:01:15.892 --> 00:01:18.153]  But look at the automatic response.
[00:01:18.153 --> 00:01:19.173]  Yeah!
[00:01:19.173 --> 00:01:20.414]  We shut him down!
[00:01:21.860 --> 00:01:25.141]  I feel like when they got Alex Jones, there was no safety net.
[00:01:25.141 --> 00:01:28.422]  He is a warrior, and he continued fighting, and now he's back in the mainstream.
[00:01:28.422 --> 00:01:29.242]  Good for him.
[00:01:29.242 --> 00:01:36.004]  But he was renegaded to his own site with his own servers, streaming every day to small audiences after they axed him off YouTube.
[00:01:36.004 --> 00:01:38.585]  No one defended him?
[00:01:38.585 --> 00:01:39.325]  No one.
[00:01:39.325 --> 00:01:40.666]  I was on vacation that day.
[00:01:40.666 --> 00:01:48.368]  I was fishing out of the country, and the company that I worked for, which is supposedly in favor of free speech, said not one word in his defense.
[00:01:49.088 --> 00:01:51.110]  And it's like, first they came for Alex Jones, I didn't care.
[00:01:51.110 --> 00:01:52.091]  That's totally right.
[00:01:52.091 --> 00:01:54.154]  Yeah, it's the old adage.
[00:01:54.154 --> 00:01:55.175]  What'd you think of Alex Jones?
[00:01:55.785 --> 00:01:56.846]  Loved him to death.
[00:01:56.846 --> 00:01:58.066]  I still talk to him to this day.
[00:01:58.066 --> 00:02:05.050]  I think that he's great and I think that many more people should have been vocal when he was initially banned.
[00:02:05.050 --> 00:02:05.750]  I agree.
[00:02:05.750 --> 00:02:07.091]  Because I was actually there.
[00:02:07.091 --> 00:02:08.972]  I was on a fishing trip that day.
[00:02:08.972 --> 00:02:09.492]  Yeah.
[00:02:09.492 --> 00:02:13.635]  I was in Labrador and I've regretted it ever since that I didn't come out of the box.
[00:02:13.635 --> 00:02:14.275]  I wasn't there.
[00:02:14.275 --> 00:02:15.496]  I was off the air.
[00:02:15.496 --> 00:02:17.137]  But I completely agree.
[00:02:17.137 --> 00:02:19.198]  It was not even about Alex Jones.
[00:02:19.198 --> 00:02:21.299]  You can't censor people, period.
[00:02:21.579 --> 00:02:22.319]  Exactly.
[00:02:22.319 --> 00:02:24.600]  And Tucker, I remember the exact day when he got censored.
[00:02:24.600 --> 00:02:30.442]  I woke up and I looked on my phone and it said, Alex Jones banned from YouTube, Facebook, Instagram, Twitter.
[00:02:30.442 --> 00:02:31.543]  He was banned everywhere.
[00:02:31.543 --> 00:02:35.184]  It was a mass banning, mass censorship effort to silence him.
[00:02:35.184 --> 00:02:42.927]  And again, I really didn't have an introduction into politics, but I had learned a lot of, you know, things from Alex Jones up front.
[00:02:43.527 --> 00:02:45.768]  Everything that he was telling me was not false.
[00:02:45.768 --> 00:02:52.430]  The people who condemn him and say that he's a crazy conspiracy theorist do not listen to his show every single day because I worked for him for two and a half years.
[00:02:52.430 --> 00:02:55.531]  I didn't know the three branches of government when I started.
[00:02:55.531 --> 00:03:07.735]  Now I can tell you international policy and what's going on all over the world right now because I have listened to Alex and he's talked about, you know, the government corruption historically that we've been through, all of the different operations such as
[00:03:08.195 --> 00:03:11.136]  Operation Mockingbird, Operation Paperclip, a lot of these things.
[00:03:11.136 --> 00:03:16.977]  Tuskegee experiment, which is why, you know, the black community is so apprehensive for vaccinations in the modern day.
[00:03:16.977 --> 00:03:20.438]  He talks about a lot of these things and our government doesn't like that.
[00:03:20.438 --> 00:03:22.138]  Our government doesn't like being exposed.
[00:03:22.138 --> 00:03:26.799]  They don't like people who are willing to tell the truth and people who are willing to push back against the narrative.
[00:03:26.799 --> 00:03:34.761]  Look at the fact that the DHS just updated their bulletin to say, hey, if you're spreading distrust in the government, that could be considered terrorism.
[00:03:35.561 --> 00:03:37.924]  I don't think so.
[00:03:37.924 --> 00:03:41.728]  I couldn't of course agree with you more, but I'm fascinated by the hate for Alex Jones.
[00:03:41.728 --> 00:03:43.870]  I'm not a daily Alex Jones viewer.
[00:03:43.870 --> 00:03:45.432]  I don't view anything regularly actually.
[00:03:46.854 --> 00:03:48.635]  I think Alex Jones seems really talented.
[00:03:48.635 --> 00:03:49.756]  He's smart.
[00:03:49.756 --> 00:03:51.137]  He's funny as hell.
[00:03:51.137 --> 00:03:52.718]  He's truly funny.
[00:03:52.718 --> 00:03:54.799]  He's a lot more talented than I am in a lot of ways.
[00:03:54.799 --> 00:03:57.201]  That's my takeaway from Alex Jones.
[00:03:57.201 --> 00:03:58.682]  But why is he such a threat?
[00:03:58.682 --> 00:04:00.243]  Like, why would you hate Alex Jones?
[00:04:00.243 --> 00:04:01.463]  I've never understood that.
[00:04:01.463 --> 00:04:02.924]  Because he's telling the truth, Tucker.
[00:04:02.924 --> 00:04:07.267]  And again, I know Alex personally, and I've met a lot of people in this industry.
[00:04:07.267 --> 00:04:13.111]  And one of my biggest takeaways is that there are a lot of people, especially in conservative media, that are in this for money and fame.
[00:04:13.111 --> 00:04:14.512]  They don't actually care about this country.
[00:04:14.912 --> 00:04:14.972]  Yes.
[00:04:31.201 --> 00:04:33.582]  Many people in our media refuse to do.
[00:04:33.582 --> 00:04:38.464]  So, the people who hate Alex Jones hate him because he is everything that they wish that they could be.
[00:04:38.464 --> 00:04:44.387]  Somebody who is willing to tell the truth, willing to fight for this country, and actually cares about humanity.
[00:04:44.387 --> 00:04:46.608]  Not just America, but humanity as a whole.
[00:04:46.608 --> 00:04:56.132]  Now, thanks to people like Alex Jones, who took the initial brunt of the weapon, the cancellation weapon, now there are lots of different platforms, lots of different apps, lots of different applications.
[00:04:56.132 --> 00:04:57.353]  I mean, Elon's taken over Twitter.
[00:05:00.638 --> 00:05:06.020]  Everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[00:05:06.020 --> 00:05:16.643]  I don't have to sell you on CBD oil, full spectrum CBD oil, the incredible things it does for your nerves, your brain, your entire physiological system, for your nervous system particularly.
[00:05:16.643 --> 00:05:18.683]  Everybody knows it's incredible, it works.
[00:05:18.683 --> 00:05:23.765]  We have the strongest, best CBD oil you're gonna find anywhere at the lowest price.
[00:05:23.765 --> 00:05:26.686]  Yes, you can find this same CBD oil for 30% more
[00:05:28.547 --> 00:05:30.309]  Because that's who we're getting it from.
