[00:00.000 --> 00:04.000]  You're listening to the Alex Jones show.
[00:31.000 --> 00:40.000]  Ladies and gentlemen, I have total proof that this entire attack on Donald Trump Jr. is a total hoax.
[00:40.000 --> 00:48.000]  The breathless media that's given us so many other big lies is acting like this is the end because it's the end for them.
[00:48.000 --> 00:52.000]  They are the regional party. They're losing control.
[00:52.000 --> 00:59.000]  That's why they have Scarbros, never really a Republican, saying he's leaving them to create this illusion because they're imploding.
[00:59.000 --> 01:04.000]  But first, another scumbag, another authoritarian is fearing for his future as well.
[01:04.000 --> 01:18.000]  The North Korea has declared that Washington has reached the tipping point of nuclear war after the United States and South Korea held a live-fire drill against Pyongyang.
[01:18.000 --> 01:29.000]  According to the Telegraph, long-range B-1B Lancer bombers reportedly flew close to the heavily fortified border between two Koreas and dropped 2,000-pound bombs.
[01:29.000 --> 01:35.000]  North Korea's Rodong propaganda newspaper warned not to play with fire on a powder keg.
[01:35.000 --> 01:45.000]  Of course, North Korea escalated tensions after launching an ICBM test on the 4th of July that showed significant progress in North Korea's attempt to threaten Alaska.
[01:45.000 --> 02:01.000]  I must say that today is a dark day. It is a dark day because yesterday's actions by North Korea made the world a more dangerous place. Their illegal missile launch was not only dangerous but reckless and irresponsible.
[02:01.000 --> 02:12.000]  It showed that North Korea does not want to be part of a peaceful world. They had cast a dark shadow of conflict on all nations that strive for peace.
[02:12.000 --> 02:23.000]  Yesterday's act came from the same vicious dictator who sent a young college student back home to his parents, unresponsive and in a coma.
[02:23.000 --> 02:37.000]  For Americans, the true nature of the North Korean regime was painfully brought home with the images of two guards holding Otto Warmbier up as they transported him from a prison he should never have been in.
[02:37.000 --> 02:46.000]  Otto Warmbier is but one person out of millions who have been killed, tortured or deprived of their human rights by the North Korean regime.
[02:46.000 --> 02:57.000]  North Korea once again launched a ballistic missile in blatant violation of the relevant Security Council resolutions. This is totally unacceptable.
[02:57.000 --> 03:07.000]  Japan launched a strong protest directly against North Korea immediately after the launch and condemned the act in the strongest terms.
[03:07.000 --> 03:14.000]  Here, I express once again our strong condemnation of this utterly unacceptable provocation.
[03:14.000 --> 03:23.000]  Japan demands that North Korea immediately seize all ballistic missiles and nuclear development programs and provocations.
[03:23.000 --> 03:29.000]  Japan will never accept nuclear-armed North Korea.
[03:29.000 --> 03:38.000]  Although missile defense systems in Alaska have been deployed, the U.S. Missile Defense Agency will undergo testing of those anti-ballistic missile systems.
[03:38.000 --> 03:46.000]  The test was conducted on the 30th of May out in the Pacific. Here's a blue water chart that depicts the test construct.
[03:46.000 --> 03:55.000]  The ground-based interceptor was fired from Vandenberg Air Force Base. It was tracked by a tipi-2 on Wake Island and the SBX in the northwest Pacific,
[03:55.000 --> 04:03.000]  giving the interceptor's solution to Vandenberg to intercept a target launched from the Quadriland Atoll in the Marshall Islands.
[04:03.000 --> 04:09.000]  The red indicates the target flyout and the green indicates the GBI from Vandenberg.
[04:09.000 --> 04:15.000]  Reuters reported that the United States plans on carrying out new tests on its THAAD missile defense system in Alaska.
[04:15.000 --> 04:18.000]  This according to two U.S. officials.
[04:18.000 --> 04:28.000]  No one except the military-industrial complex wants yet another war in a foreign land ultimately paid for by the blood and sweat of American lives.
[04:28.000 --> 04:34.000]  After decades of failed attempts to decapitate the head of one of the most brutal regimes in history,
[04:34.000 --> 04:44.000]  the potential for a strike by U.S. and South Korea's special forces has ratcheted up as reports of Kim Jong-un's appearances have decreased.
[04:44.000 --> 04:52.000]  And South Korean assembly member Lee Kol-woo reports Kim is so engrossed with collecting information about the decapitation operation,
[04:52.000 --> 04:56.000]  so engrossed that he is reportedly moving only at dawn.
[04:56.000 --> 05:04.000]  John Baum reporting for Infowars.com.
[05:26.000 --> 05:31.000]  Meanwhile, the little guy is looking for a new doctor or insurance plan they can afford because of the healthcare bill he lied about.
[05:31.000 --> 05:35.000]  Leonardo DiCaprio, a man committed to warning you about the perils of global warming.
[05:35.000 --> 05:42.000]  Right after he flies to you on his G20 jet airplane, then cascades off into the great blue on a super yacht, George Clooney,
[05:42.000 --> 05:48.000]  a man who preaches open borders intolerance but could not tolerate the open borders of Europe, so move back to the United States.
[05:48.000 --> 05:55.000]  Bernie Sanders, the head commie who has been against millionaires and billionaires that is except himself with his multiple houses and cars,
[05:55.000 --> 05:58.000]  and with his wife under investigation for bank fraud.
[05:58.000 --> 06:03.000]  Don't fall victim to political fraud. Stay informed at Infowars.com. This is Owen Schreuer.
[06:03.000 --> 06:10.000]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing
[06:10.000 --> 06:14.000]  to find the very best systems that God gave us through Mother Nature to detoxify the body.
[06:14.000 --> 06:19.000]  That's why I'm introducing ZShield, Toxic Metal and Chemical Defense Support.
[06:19.000 --> 06:26.000]  It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body
[06:26.000 --> 06:29.000]  and it supports the Info War. It is a classical 360 win.
[06:29.000 --> 06:36.000]  This is the formula that I personally have been taking for over a year and now we believe we have come as close to perfection
[06:36.000 --> 06:39.000]  when it comes to a detoxifier as you can possibly get.
[06:39.000 --> 06:44.000]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world
[06:44.000 --> 06:50.000]  that Patriots stay as healthy and as clean and as focused as you can be because we need you,
[06:50.000 --> 06:56.000]  the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[06:56.000 --> 06:59.000]  Thanks to your support and your prayers together, we're changing the world.
[06:59.000 --> 07:25.000]  Now it's time to change our bodies with ZShield InfoWarsLive.com.
[07:30.000 --> 07:36.000]  It's the ultimate stove for camping, outdoor cooking, or emergency preparedness.
[07:36.000 --> 07:42.000]  All it takes is a handful of sticks or charcoal. You got yourself an entire meal.
[07:42.000 --> 07:45.000]  Now that looks good.
[07:45.000 --> 07:52.000]  Go to InfoWarsStore.com for more details and see how you can become the master outdoor chef
[07:52.000 --> 07:57.000]  and enjoy cooking freedom with the EcoZoom Versa Outdoor Stove.
[07:57.000 --> 08:03.000]  Available right now at YouGuestedInfoWarsStore.com.
[08:10.000 --> 08:14.000]  And it's time for humanity to stand up in the Info War and say,
[08:14.000 --> 08:20.000]  I don't know what's going to happen at the end of this, but you want to fight, you better believe, you got one!
[08:20.000 --> 08:27.000]  From the front lines of the information war, it's Alex Jones.
