[00:00:18.849 --> 00:00:22.912]  Resistance to tyrants is obedience to God.
[00:00:22.912 --> 00:00:25.474]  It's Alex Jones.
[00:00:25.474 --> 00:00:34.742]  Well, I tell you, this civil war that the globalists are trying to start in this country has gone from smoldering to explosive.
[00:00:34.742 --> 00:00:45.971]  We've got all these clips of top Democrats on television, on MSNBC, on CNN, at Hollywood award shows, Rob Reiner on Friday, saying, we're in a civil war.
[00:00:47.935 --> 00:00:53.459]  And we're fighting Nazis, and we're fighting Russian agents, and they know it's a fraud.
[00:00:53.459 --> 00:00:57.963]  They're just branding their opposition as that because they are a dying party.
[00:01:00.046 --> 00:01:10.154]  Well, last time I had these guys in, we just kind of ranted and raved about Antifa intimidating people and working for Soros and trying to go around pointing guns at people and stuff.
[00:01:10.154 --> 00:01:12.796]  And I, in customary fashion, talked to everybody.
[00:01:12.796 --> 00:01:22.624]  But I've invited the guys back to actually get into what a civil war that went hot would look like, the different factions that could basically break out.
[00:01:23.325 --> 00:01:31.014]  Because these guys won't get into their backgrounds, but they have specialties in that, that maybe one-tenth of one percent of people in the military have had.
[00:01:31.014 --> 00:01:41.267]  So we're going to be discussing how Tier 1 military operators, from their research, their view as citizens, think this is going to go down.
[00:01:41.607 --> 00:01:48.750]  Because the Democrats have decided to get violent, and they said they have, and through their channels they announced the violence, and then we pointed out they have media matters.
[00:01:48.750 --> 00:01:53.912]  Again, the mouth of Soron, the mouth of Soros, say it's insane, it doesn't exist, none of it's happening.
[00:01:53.912 --> 00:01:55.873]  Classic military tactic.
[00:01:55.873 --> 00:01:57.434]  So that's all coming up in the second hour.
[00:01:57.434 --> 00:02:02.176]  Roger Stone is going to be in the third hour.
[00:02:02.176 --> 00:02:09.799]  It is all coming up today, and of course we have the great Jack Posobiec as well hosting the fourth hour, and then the War Room with Owen Schroyer.
[00:02:09.799 --> 00:02:10.460]  Stephen Bannon.
[00:02:11.536 --> 00:02:14.098]  Complete snake in the grass the entire time.
[00:02:14.098 --> 00:02:15.819]  Very, very saddened by that.
[00:02:15.819 --> 00:02:17.580]  He now is a darling on CNN.
[00:02:17.580 --> 00:02:19.281]  They talk about how wonderful he is.
[00:02:19.281 --> 00:02:23.784]  Remember, he was the white supremacist leader just a few months ago, but now he's wonderful.
[00:02:23.784 --> 00:02:29.767]  And oh, he says that the hashtag MeToo will bring down Trump.
[00:02:29.767 --> 00:02:38.733]  And they just build this crescendo, burning a few of their own Hollywood people, as I predicted six months ago, and then create this wave and say, well, Trump's got to go.
[00:02:40.473 --> 00:02:44.456]  And it's about civil war culturally between men and women.
[00:02:44.456 --> 00:02:46.838]  So that's coming up today.
[00:02:46.838 --> 00:02:52.103]  And then meanwhile, Aetna, one of the biggest insurance companies in the world, serving 23 million just here in the U.S.
[00:02:52.103 --> 00:02:57.527]  alone, who helped write Obamacare to make you pay for it so they could increase the prices.
[00:02:57.527 --> 00:02:58.988]  That's the dream of these big corporations.
[00:02:58.988 --> 00:02:59.889]  You want to know who runs the planet?
[00:02:59.889 --> 00:03:02.191]  It's the big banks that own the insurance companies, or vice versa.
[00:03:03.362 --> 00:03:06.184]  And that is right up there at the top of the capstone.
[00:03:06.184 --> 00:03:19.353]  Their top technician, top CEO came out and said, look, we don't even look at your requests when they come in for surgery or whatever.
[00:03:19.353 --> 00:03:20.614]  And then it's a big firestorm.
[00:03:20.614 --> 00:03:22.115]  Oh, California is investigating.
[00:03:22.115 --> 00:03:23.276]  What do you mean you don't even look at it?
[00:03:24.639 --> 00:03:28.902]  And they go, don't worry about that, we'll tell you once we have congressional hearings.
