[00:00:00.000 --> 00:00:21.640]  A
[00:00:21.640 --> 00:00:26.400]  new craze has spread among teenagers and patriots all across America.
[00:00:26.400 --> 00:00:30.280]  The mainstream media is calling it InfoWars Mania.
[00:00:30.280 --> 00:00:36.360]  Millions of listeners are tuning in at InfoWars.com forward slash show to see what the buzz is
[00:00:36.360 --> 00:00:37.360]  all about.
[00:00:37.360 --> 00:01:03.760]  Let's take a look now at what's going on everywhere InfoWars can be heard.
[00:01:03.760 --> 00:01:13.600]  InfoWars Station, it was all right, it was all right, InfoWars Corruption, Monsanto,
[00:01:13.600 --> 00:01:20.320]  Aspartame, Poisons in the vaccines, Pump Scanners for kids to get their lunch, Tackling Societies,
[00:01:20.320 --> 00:01:50.320]  Satellite Tracking Systems, Cops and Black Schemas, Foreign Troops, FEMA Camps, AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
[00:01:50.320 --> 00:02:12.920]  welcome ladies and gentlemen welcome and thank you for joining us on this live
[00:02:12.920 --> 00:02:20.040]  Tuesday global transmission I'm your host Alex Jones and we're gonna be here
