[00:00:00.209 --> 00:00:01.770]  What you're witnessing?
[00:00:01.770 --> 00:00:03.150]  Blacksburg, Virginia.
[00:00:03.150 --> 00:00:11.574]  I'm on the campus of Virginia Tech and woke up this morning to loudspeakers going off saying that there's a shooter on campus.
[00:00:11.574 --> 00:00:12.815]  Please stay inside.
[00:00:12.815 --> 00:00:18.777]  And they just put up this big loudspeaker system because we had another school shooting a while back.
[00:00:18.777 --> 00:00:23.900]  At the first day of the school year, a guy went nuts and shot a couple of cops.
[00:00:23.900 --> 00:00:25.921]  This is the real deal.
[00:00:25.921 --> 00:00:28.742]  The first report was that there were two shooters
[00:00:29.904 --> 00:00:32.666]  Always the same, it's oh my god.
[00:00:32.666 --> 00:00:33.507]  Two shooters total.
[00:00:33.507 --> 00:00:34.968]  That was the first report.
[00:00:34.968 --> 00:00:36.229]  Oh my god.
[00:00:36.229 --> 00:00:50.500]  So then, basically what it's shaped into so far is that there was a guy who shot three people at AJ dorm, which is just, oh it's about a half mile from here, and then fled across campus, went into a classroom and killed everybody.
[00:00:52.262 --> 00:00:53.863]  And then killed himself is the word.
[00:00:53.863 --> 00:00:58.665]  And I bet money if the cops would have scrambled immediately, they could have seen this guy running around with a gun.
[00:00:58.665 --> 00:01:00.466]  They should have just attacked him.
[00:01:00.466 --> 00:01:01.827]  I just cannot believe it.
[00:01:01.827 --> 00:01:02.707]  I mean, I'm sorry, folks.
[00:01:02.707 --> 00:01:03.748]  I've studied this stuff.
[00:01:03.748 --> 00:01:06.309]  When people tried this in the past, the cops just killed them.
[00:01:06.309 --> 00:01:08.310]  I mean, the cops didn't used to be like this.
[00:01:08.310 --> 00:01:10.191]  I just can't believe it.
[00:01:10.191 --> 00:01:15.654]  Well, this is crazy because we've had four bomb threats this week on the same street.
[00:01:16.403 --> 00:01:21.867]  There was another bomb threat today, and they had to evacuate all these rescue vehicles because of another bomb threat.
[00:01:21.867 --> 00:01:28.072]  I mean, they pulled out the whole... There was every cop in three counties out here just the other day, right on this very street.
[00:01:28.072 --> 00:01:31.094]  Well, that shows... Listen, this has got black op written all over it.
[00:01:31.094 --> 00:01:31.554]  That's right.
[00:01:31.554 --> 00:01:33.435]  I remember hearing about the last shooting.
[00:01:33.435 --> 00:01:36.898]  You've got a shooting there in this little rural area, then another one.
[00:01:36.898 --> 00:01:38.019]  Weird bomb threats.
[00:01:38.639 --> 00:01:39.940]  Oh my God.
[00:01:39.940 --> 00:01:43.342]  Somebody's got to get to the school surveillance camera tapes and data banks.
[00:01:43.342 --> 00:01:45.844]  I bet you're going to see a lot of suspicious people in there.
[00:01:45.844 --> 00:01:47.846]  Now they're saying they've killed the shooter now.
[00:01:47.846 --> 00:01:48.786]  Is that what they're saying?
[00:01:48.786 --> 00:01:49.407]  No.
[00:01:49.407 --> 00:01:54.290]  What I heard last was that he had killed himself and they've kind of dropped the two-shooter thing.
[00:01:54.290 --> 00:01:56.051]  I haven't heard anything else about that.
[00:01:56.051 --> 00:02:01.275]  And it looks, from the activities of the police, it looks like it's over.
[00:02:01.275 --> 00:02:03.977]  There was a big shift a few hours back.
[00:02:03.977 --> 00:02:05.978]  Let me ask you, what's your gut on this, Matt?
[00:02:07.533 --> 00:02:08.914]  You know, I don't know yet, Alex.
[00:02:08.914 --> 00:02:11.696]  I'm going to have to wait and hear how it all rolls out.
[00:02:11.696 --> 00:02:16.159]  All I can tell you is what I've heard so far, and I've never seen anything like this in this town.
[00:02:16.159 --> 00:02:29.507]  And I will say this, it's been a very strange week living where I'm living because, like I said just a couple of days ago, every cop in three counties, I mean all of the, they were all in their SWAT gear and everything.
[00:02:29.507 --> 00:02:33.509]  Somebody's been calling in bomb threats all week.
[00:02:33.509 --> 00:02:36.111]  And I don't know, it's kind of, isn't that kind of strange?
[00:02:37.077 --> 00:02:43.559]  Well, that could be the crazy person, or it could be somebody inside intelligence that didn't want this black op to go forward.
[00:02:43.559 --> 00:02:47.661]  Bottom line, maybe up to 35 people.
[00:02:47.661 --> 00:02:49.621]  35 now, dead.
[00:02:49.621 --> 00:02:51.542]  I just saw that during the break, they were saying over 30.
[00:02:51.542 --> 00:02:54.723]  This is absolutely disgusting.
[00:02:54.723 --> 00:02:57.664]  Look, immediately, it's time to rearm the pilots.
[00:02:58.519 --> 00:03:03.144]  It is time, because they were armed, they could be armed before 9-11, two months before they changed the law.
[00:03:03.144 --> 00:03:04.245]  Very suspicious.
[00:03:04.245 --> 00:03:10.751]  It's time that if a professor wants to have a gun, that there be a secured lockbox.
[00:03:10.751 --> 00:03:12.813]  They go take some certification course.
[00:03:12.813 --> 00:03:19.260]  There be a secured lockbox underneath their table or desk.
[00:03:20.152 --> 00:03:31.759]  And it's time to trust the citizenry again, and this piece of garbage might have been able to kill four or five people, but I guarantee you every other professor would want to go out and kill this son of a bitch.
[00:03:31.759 --> 00:03:35.801]  I'm sorry to talk like that, but people have been killed, and I'm tired of it.
[00:03:35.801 --> 00:03:36.722]  Stay there, Matt, because...
[00:03:37.402 --> 00:03:38.043]  Stay there, Matt.
[00:03:38.043 --> 00:03:43.486]  I want to get you on the other side, and I want to debrief you on everything you've seen as somebody that lives on campus.
[00:03:43.486 --> 00:03:44.367]  Okay, Matt?
[00:03:44.367 --> 00:03:45.107]  Sure, thank you.
[00:03:45.107 --> 00:03:45.888]  All right, stay there.
[00:03:45.888 --> 00:03:53.053]  We'll be right back with Matt, who joins us from Virginia on the campus, where there has been massive killing.
[00:03:53.053 --> 00:03:58.156]  If you would like a copy of this show, come to GCNlive.com and reserve it today, or call toll-free 877-376-45.
