[00:00:08.639 --> 00:00:09.480]  You want answers?
[00:00:09.480 --> 00:00:10.761]  Well, so does he.
[00:00:10.761 --> 00:00:11.982]  It's Alex Jones.
[00:00:28.180 --> 00:00:30.221]  Military authorization in U.S.
[00:00:30.221 --> 00:00:33.202]  history is being rammed through the U.S.
[00:00:33.202 --> 00:00:40.885]  Senate and House as we speak, while the East Coast is locked under some of the worst snow in the last decade with this blizzard.
[00:00:40.885 --> 00:00:42.225]  It's already killed more than 15 people.
[00:00:42.225 --> 00:00:46.387]  We're going to be breaking that down straight ahead.
[00:00:46.387 --> 00:00:49.548]  I'm not saying this is going to lead to martial law.
[00:00:49.548 --> 00:00:52.089]  This is military martial law on paper.
[00:00:53.319 --> 00:00:55.322]  We're going to be breaking that down, and a lot more.
[00:00:55.322 --> 00:00:55.743]  U.S.
[00:00:55.743 --> 00:01:00.691]  forces are moving back into Syria and Iraq, and it's hardly even in the news.
[00:01:00.691 --> 00:01:03.655]  But first, the establishment media is launching its attacks.
[00:01:04.588 --> 00:01:06.689]  Talk show host is Alex Jones.
[00:01:06.689 --> 00:01:08.469]  He's a conspiracy theorist.
[00:01:08.469 --> 00:01:11.390]  Radio talk show host Alex Jones.
[00:01:11.390 --> 00:01:12.210]  Alex Jones.
[00:01:12.210 --> 00:01:13.311]  His name is Alex Jones.
[00:01:13.311 --> 00:01:16.411]  Jones is the wildly popular conspiracy theorist.
[00:01:16.411 --> 00:01:19.712]  Radio talk show host and conspiracy theorist Alex Jones.
[00:01:19.712 --> 00:01:21.673]  Alex Jones, the nut job radio guy.
[00:01:21.673 --> 00:01:23.273]  Talk show host Alex Jones.
[00:01:23.273 --> 00:01:28.555]  A man who trades in such sinister conspiracy theories, you have to wonder if he really believes half of what he says.
[00:01:28.795 --> 00:01:29.716]  I'm here to warn people!
[00:01:29.716 --> 00:01:31.277]  You keep telling me to shut up!
[00:01:31.277 --> 00:01:32.237]  This isn't a game!
[00:01:32.237 --> 00:01:33.178]  Hate speech.
[00:01:33.178 --> 00:01:35.219]  Can anything be done to stop the hatred?
[00:01:35.219 --> 00:01:39.562]  I think Alex was the one who took the pro-gun position.
[00:01:39.562 --> 00:01:41.303]  1776 will commence again if you try to take my...
[00:01:43.687 --> 00:01:45.647]  I don't want that man to have a gun.
[00:01:45.647 --> 00:01:47.408]  Alex Jones is a 9-11 truther.
[00:01:47.408 --> 00:01:50.688]  That conspiracy theory comes from the mother of all conspiracy theories.
[00:01:50.688 --> 00:01:53.349]  It's an internet talk show called Info Wars.
[00:01:53.349 --> 00:01:55.589]  I heard that on Alex Jones, so it's true!
[00:01:55.589 --> 00:01:58.770]  I heard it on Alex Jones, so I know it's true!
[00:01:58.770 --> 00:02:01.610]  You're making some very serious allegations against the U.S.
[00:02:01.610 --> 00:02:06.391]  government, saying that they stage attacks, they allow them to occur in the United States against U.S.
[00:02:06.391 --> 00:02:07.391]  citizens.
[00:02:07.391 --> 00:02:09.151]  Alex Jones may sound crazy.
[00:02:09.151 --> 00:02:11.632]  I think that Alex Jones is a lunatic.
[00:02:11.632 --> 00:02:12.752]  That man's a threat to this country.
[00:02:13.052 --> 00:02:14.454]  He's a conspiracy theorist.
[00:02:14.454 --> 00:02:15.835]  Deeply, I think, racist.
[00:02:15.835 --> 00:02:17.337]  I just got called racist by MSNBC.
[00:02:17.337 --> 00:02:19.559]  He's considered legitimate among the crazy.
[00:02:19.559 --> 00:02:25.746]  Challenge Alex Jones to a boxing match, show up with a semi-automatic that you got legally, and pop him.
[00:02:25.746 --> 00:02:27.188]  I'd love to see that.
[00:02:27.188 --> 00:02:29.230]  In uniform.
[00:02:29.230 --> 00:02:32.594]  Keep shoving lies at your audience, jackasses.
[00:02:32.594 --> 00:02:34.496]  I like that guy.
[00:02:50.804 --> 00:02:53.326]  We have gangsters running this country.
[00:02:53.326 --> 00:02:53.987]  Criminals!
[00:02:53.987 --> 00:02:54.547]  Gangsters!
[00:02:54.547 --> 00:02:57.550]  The bigger this war gets, the more freedoms we lose.
[00:03:00.198 --> 00:03:03.380]  We have a fog that has descended upon our entire nation.
[00:03:03.380 --> 00:03:05.662]  The globalists are going to blow stuff up and blame it on you.
[00:03:05.662 --> 00:03:07.804]  Well, Hillary's the one who runs the cover-up.
[00:03:07.804 --> 00:03:13.568]  Everything you've heard us talk about is now going to unfold in triplicate spades.
[00:03:13.568 --> 00:03:14.708]  It's as real as it gets.
[00:03:14.708 --> 00:03:18.131]  I had a Supreme Court justice tell me to my face, it's over for me.
[00:03:18.131 --> 00:03:19.692]  He said, Matt, it's over for you.
[00:03:19.692 --> 00:03:22.174]  They've got the votes now to enforce copyright law.
[00:03:22.174 --> 00:03:23.415]  You're out of there.
[00:03:23.415 --> 00:03:24.996]  You want it, baby?
[00:03:24.996 --> 00:03:26.557]  You're about to get it.
[00:03:33.246 --> 00:03:41.674]  We did meet the British at Concord Bridge to serve tea, be tolerant, and see how many guns or what kind of guns they came to take.
[00:03:41.674 --> 00:03:46.598]  We met them at Concord Bridge, and we blew their punk-ass brains out.
[00:03:46.598 --> 00:03:58.609]  InfoWars has been able to break every record, infiltrate every operation, blow the criminal cover of operatives more than any other institution out there of freedom, and I'm so proud of that.
[00:03:58.769 --> 00:04:02.092]  The notion that Hillary has somehow been an advocate for women.
[00:04:02.092 --> 00:04:07.156]  No, Bill rapes them physically and then Hillary rapes them psychologically.
[00:04:07.156 --> 00:04:17.164]  I hope the enemies of this broadcast, when you lie about us, when you censor us, when you attack us, when you delist us, when you do that, you're signing on to the other side.
[00:04:17.164 --> 00:04:20.026]  These people are of the devil.
[00:04:20.026 --> 00:04:21.327]  Let's be very blunt about this.
[00:04:21.767 --> 00:04:25.269]  Raise, tell, and demand accountability.
[00:04:25.269 --> 00:04:31.371]  It is the most corrupt, degenerate, criminal government in American history.
[00:04:31.371 --> 00:04:38.835]  From the front lines of the information war, it's Alex Jones.
[00:04:38.835 --> 00:04:40.936]  The crowd is now moving forward toward the barrier.
[00:04:40.936 --> 00:04:45.818]  The police have been telling everybody they're going to shoot if we don't move back.
[00:04:45.818 --> 00:04:49.700]  Their defeat will be ultimately a crushing one.
[00:04:50.697 --> 00:04:51.558]  That's right.
[00:04:51.558 --> 00:04:54.000]  And ladies and gentlemen, the government is not our enemy.
[00:04:54.000 --> 00:04:55.281]  It is a reflection of us.
