[00:00:02.058 --> 00:00:04.350]  Let's go!
[00:00:28.757 --> 00:00:33.542]  It's been a busy 72 hours for Chicago police and first responders.
[00:00:33.542 --> 00:00:39.149]  At least four people are dead, ten others injured in shootings all across the city.
[00:00:39.149 --> 00:00:40.450]  Chicago, Illinois.
[00:00:40.450 --> 00:00:48.699]  It's just one of the United Nations' many subverted blue cities feeling the self-inflicted pain of kowtowing to Agenda 2030.
[00:00:49.620 --> 00:01:00.308]  The UN Agenda would have you believe that immigrants bring significant benefits in the form of skills strengthening the labor force, investment, and cultural diversity.
[00:01:00.308 --> 00:01:10.835]  The commitment by member states to the Global Compact for safe, orderly, and regular migration crystallized three core truths.
[00:01:10.835 --> 00:01:18.961]  First, that migration is a fact of life, a defining feature of humanity, and our world, and above all,
[00:01:20.270 --> 00:01:25.452]  With a positive phenomenon enriching societies and economies.
[00:01:25.452 --> 00:01:42.339]  NBC reported, according to a city spokesperson, 10,019 migrants have arrived in Chicago over the past nine months, half of those by bus, with 4,151 migrants currently residing in temporary city shelters.
[00:01:42.339 --> 00:01:45.781]  So it's no big surprise that the residents aren't happy.
[00:01:46.328 --> 00:01:48.671]  Let them talk, so they have a voice.
[00:01:48.671 --> 00:01:53.036]  A call for order during a heated meeting at Woodlawn's Apostolic Church of God.
[00:01:53.036 --> 00:01:53.917]  The focus?
[00:01:53.917 --> 00:01:57.240]  This migrant shelter in the old Wadsworth Elementary School.
[00:01:57.240 --> 00:02:04.428]  I would ask you all to go out there, go out there at night, in the middle of the night, and see what goes on.
[00:02:05.009 --> 00:02:14.153]  What's going on, according to community members, is loitering, late night partying, littering, prostitution, and at least one fight between migrants and residents.
[00:02:14.153 --> 00:02:18.755]  They disrespect us, they rob us, they harass us.
[00:02:18.755 --> 00:02:22.556]  And their patience is wearing thin.
[00:02:22.556 --> 00:02:26.458]  They use us to fill prisons and graveyards.
[00:02:26.638 --> 00:02:33.063]  For city leaders who came looking for a conversation over opening the doors of a shuttered South Shore high school to migrants.
[00:02:33.063 --> 00:02:40.209]  What's important is that we really establish that this is a humanitarian crisis and we're here.
[00:02:40.209 --> 00:02:45.734]  South Shore residents responded with resounding rejection.
[00:02:45.734 --> 00:02:54.782]  While this crisis may constitute an emergency for the city of Chicago, it does not constitute an emergency for the South Shore community.
[00:02:56.368 --> 00:03:00.692]  Incoming migrants have overwhelmed district police stations by the hundreds.
[00:03:00.692 --> 00:03:02.133]  It's my turn.
[00:03:02.133 --> 00:03:03.173]  It's my turn.
[00:03:03.173 --> 00:03:04.214]  Hello.
[00:03:04.214 --> 00:03:11.020]  But city leaders could barely eke out a word of the details about a proposed respite center at the former South Shore High School.
[00:03:11.500 --> 00:03:17.182]  When it comes to the total number of people at South Shore at any given point in time, it is fluid.
