whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20171016_Mon_Alex.wav' (228194012 samples, 14262.1 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:05.160]   The answer to 1984 is 1776.
[00:00:05.160 --> 00:00:08.360]   You're listening to the Alex Jones Show.
[00:00:28.960 --> 00:00:34.560]   Man, I tell you, they say everything's bigger in Texas, but this is the coolest gun shop I've ever been here.
[00:00:34.560 --> 00:00:43.840]   I've been here quite a few times in their shooting range, but I never, never spent any time here in their actual gallery where they're selling all these great firearms.
[00:00:43.840 --> 00:00:54.560]   I mean, you think about, you think about what goes on in third world countries where they keep the public poor on purpose, or you think about what happens in communist countries where people are disarmed.
[00:00:54.920 --> 00:01:01.720]   But I mean, this really is what separates Americans from almost everybody else in the world, except maybe the Swiss is that we can still get firearms.
[00:01:01.720 --> 00:01:06.000]   And it's this revolution that really is make or break it for America.
[00:01:06.000 --> 00:01:15.080]   And we're beginning to win because gun owners are taking people out in a safe way and taking folks that have been domesticated out shooting.
[00:01:15.080 --> 00:01:17.400]   And then once they start shooting, they get in power.
[00:01:17.400 --> 00:01:24.720]   I can't tell you how many times I've gone out with Mike Judge, who's a big Hollywood producer, and taken crew from different TV shows and movies.
[00:01:24.720 --> 00:01:31.480]   He's producing shooting a lot of the crew and the stars from shows like Silicon Valley.
[00:01:31.480 --> 00:01:34.320]   We took about 15 of them out shooting a few years ago.
[00:01:34.320 --> 00:01:38.600]   And within an hour, they were all converted to, wow, I've never shot a gun before.
[00:01:38.600 --> 00:01:40.960]   And I'm shooting bulls out a hundred yards with a two to three.
[00:01:40.960 --> 00:01:45.560]   This was like liberal, you know, female stars, male stars, you name it.
[00:01:45.560 --> 00:01:50.320]   Within an hour, we're already awake saying, why shouldn't I be able to protect myself?
[00:01:50.320 --> 00:01:51.880]   Why shouldn't I be able to have this fun?
[00:01:51.880 --> 00:01:52.680]   I'm competent.
[00:01:52.680 --> 00:01:53.720]   I'm not a criminal.
[00:01:53.920 --> 00:01:55.720]   That's what we're talking about right here in America.
[00:01:55.720 --> 00:02:01.320]   Now, I don't know if this is accurate, but I was watching Pawn Stars and they claim there's only like 10 or 15 of these in the whole country.
