[00:00.000 --> 00:12.720]  The year is 2020.
[00:12.720 --> 00:17.760]  Following several decades of systematically weakening the social, moral, and financial
[00:17.760 --> 00:22.920]  resilience of the American people, the global cabal has launched a series of unimaginable
[00:22.920 --> 00:27.880]  terrors to devrock the foundation of Western civilization and has fractured the population
[00:27.880 --> 00:32.520]  of a once-uniting country along increasingly irreconcilable lines.
[00:32.520 --> 00:37.600]  The nation finds herself on the precipice of all-out civil war, dialing headlong towards
[00:37.600 --> 00:42.480]  economic brewing and already suffocating under the dictatorship of biotechnocratic
[00:42.480 --> 00:44.320]  enslavement.
[00:44.320 --> 00:49.520]  The final takedown order has been issued, the direct attack has begun.
[00:49.520 --> 00:54.240]  America's greatest trial, and the battle for her survival, is underway.
[00:54.240 --> 00:59.920]  Civil war's emergency transmissions are now broadcasting live, midnight 7 to 9 p.m. Central
[00:59.920 --> 01:06.760]  Standard Time, election countdown, taking America back on band.video and infowars.com.
[01:06.760 --> 01:11.680]  If you are receiving this transmission, you are the resistance.
[01:11.680 --> 01:21.760]  Alright, we can take this broadcast in several different ways today, we can get caught in
[01:21.760 --> 01:26.680]  all the minutiae of the incredible things that are unfolding, the hypocrisy, the gas
[01:26.680 --> 01:32.360]  sliding, the 1984 on parade, or we can get into the big picture of what the globalists
[01:32.360 --> 01:36.800]  are planning next and how to stop them and the philosophy of true leadership.
[01:36.800 --> 01:41.840]  But I think we're just going to do both today, we're going to do both here today, and this
[01:41.840 --> 01:44.440]  is going to be a very important Thursday transmission.
[01:44.440 --> 01:50.760]  Again, I want to thank you all for tuning in, it is Thursday, August 27th, the year
[01:50.760 --> 01:57.360]  is 2020, we are 67 days out from this incredibly important election, election, most important
[01:57.360 --> 02:02.800]  election really, not just in US history, but world history, and the globalists themselves
[02:02.800 --> 02:03.800]  are saying that.
[02:03.800 --> 02:09.920]  I understand their whole anti-human, new world order AI takeover is in trouble, humanity
[02:09.920 --> 02:14.440]  has not been fully submitting, a lot of signs were showing a huge awakening and people getting
[02:14.440 --> 02:20.000]  back to rural lifestyle, back to being outdoors, television viewing was peaking and starting
[02:20.000 --> 02:27.000]  to go down, the family was beginning to re-energize, cultures were becoming more conservative again,
[02:27.000 --> 02:31.200]  more pro-human and so now they're striking with everything they've got, but you talk
[02:31.200 --> 02:38.520]  about insane, the poor 17-year-old young man that went to stand in the power vacuum and
[02:38.520 --> 02:44.000]  try to be a medic and try to stop homes and businesses and government buildings being
[02:44.000 --> 02:49.440]  burned, it turns out the three people he shot, he shot in self-defense overwhelmingly, we
[02:49.440 --> 02:54.200]  have all the video, we have all the audio, we have all the witnesses and all three men
[02:54.200 --> 03:04.160]  have serious criminal records, all three men, Joseph D. Rosenbaum who was saying shoot
[03:04.160 --> 03:13.160]  me in word, shoot me in word and reportedly trying to assault the young man was a convicted
[03:13.160 --> 03:26.880]  menophile who raped a 12-year-old girl and spent a decade in prison, Joseph D. Rosenbaum,
[03:26.880 --> 03:31.880]  I'll tell you about the other two characters, but that's what all of this is, is a green
[03:31.880 --> 03:37.680]  light for the scum of the earth to go crazy, we'll put it on screen right now, the CNN
[03:37.680 --> 03:45.480]  Kiron like all the other MSNBC and CNN and ABC Kiron's, fiery but mostly peaceful protest
[03:45.480 --> 03:53.240]  after police shooting, so fiery but mostly peaceful protest after police shooting, maybe
[03:53.240 --> 03:58.000]  we put the image of the Hindenburg running into the tower and blowing up and falling
[03:58.000 --> 04:03.800]  or maybe Hiroshima or Nagasaki having atomic bombs dropped on them and just say, you know,
[04:03.800 --> 04:11.160]  fiery but mostly peaceful, we've got gunshots going on in the background that a bunch of
[04:11.160 --> 04:19.000]  burning buildings and they choose to get in front of that and then tell you that it's
[04:19.000 --> 04:23.480]  peaceful, you go, why do they keep doing that?
[04:23.480 --> 04:28.280]  It's about throwing your face, they've now come out with a Catholic diocese endorsement
[04:28.280 --> 04:34.520]  on a Boston for Biden calling him pro-life and saying abortion is pro-life, like, well
[04:34.520 --> 04:38.360]  that's insulting, well they mean to insult your intelligence, so you just get used to
[04:38.360 --> 04:42.600]  being run over, but we're not getting used to it, we're not submitting, we're not adapting
[04:42.600 --> 04:47.160]  by becoming slaves, we're adapting by improvising and overcoming.
[04:47.160 --> 04:51.120]  I'm Alex Jones, your host, we are the pro-human future, you are the pro-human future, we are
[04:51.120 --> 04:59.680]  brothers and sisters, we are humanity, we are the resistance.
[04:59.680 --> 05:04.360]  Constantly, whether it's the New York Times, the Washington Post or Howard Stern, you name
[05:04.360 --> 05:09.080]  it, they come out and they attack him full war saying, Jones claims civil wars coming
[05:09.080 --> 05:14.680]  and financial collapse and planetary lockdowns using viruses and he tells people they should
[05:14.680 --> 05:20.040]  get off the grid and get prepared and have horrible food if they can and now everything
[05:20.040 --> 05:25.160]  I've warned people about is coming true because it was all in the Rockefeller Foundation documents
[05:25.160 --> 05:31.400]  like lockstep, this is the corporate planetary takeover, so yes, I stand by what I said ten
[05:31.400 --> 05:36.160]  years ago, what I said a year ago and what I said last week more than ever, get your
[05:36.160 --> 05:41.080]  high quality storeable foods at infowarstore.com, that's one of the key check marks of the check
[05:41.080 --> 05:47.680]  boxes, you've got to have checked off, infowarstore.com and their delivery is now one to two weeks,
[05:47.680 --> 05:52.160]  get it before the next big rush comes, take action, get the best storeable food at the
[05:52.160 --> 06:12.760]  best price now at infowarstore.com and it supports the info war.
[06:12.760 --> 06:22.440]  The bombs have been placed, the fuses have been lit, the countdown has begun, it's now
[06:22.440 --> 06:31.560]  official out of the mouths of Hillary, Pelosi, Schumer and all the rest of the globalist
[06:31.560 --> 06:36.800]  criminals, they intend to challenge the election, they know the numbers are going to lose by
[06:36.800 --> 06:42.000]  a huge landslide and they're going to plunge the nation into civil war, a break up of the
[06:42.000 --> 06:49.920]  country and they're going to try to have major states secede and crown Biden the new king.
[06:49.920 --> 06:53.240]  They believe that that crisis will be so great that Trump will be blamed and forced from
[06:53.240 --> 06:58.880]  office because they'll have simultaneous riots and terrorist attacks and shootings which
[06:58.880 --> 07:03.680]  will be called peaceful racial uprisings.
[07:03.680 --> 07:10.480]  Last night a black man committed suicide and his family said he committed suicide after
[07:10.480 --> 07:19.360]  they called the police on him, so he put a guy in his mouth and shot himself on video
[07:19.360 --> 07:27.880]  and the police are to blame, if he slips on a banana peel, the police are to blame and
[07:27.880 --> 07:32.440]  so now I guess we're going to have police that are sadomasochists and want to be attacked
[07:32.440 --> 07:38.920]  and lied about because the media is behaving, I have the clips, that this is good what's
[07:38.920 --> 07:50.120]  happening in Minnesota that people are called on this individual, he blows his head off and
[07:50.120 --> 07:54.120]  then it's everybody else's fault, I mean when there's video of you shoving a gun in your
[07:54.120 --> 08:02.320]  mouth and pulling the trigger, it's everyone else's fault and the police who've been called
[08:02.320 --> 08:06.360]  on him got there reportedly in about a minute, you didn't get there quick enough it's your
[08:06.360 --> 08:12.640]  fault, we're going to loot and burn and shoot a bunch of people and a bunch of weird sickos
[08:12.640 --> 08:17.840]  are going to come out of the woodwork like cockroaches and rats and they're going to
[08:17.840 --> 08:26.440]  burn, loot and kill like Joseph D. Rosenbaum, the convicted rapist of a 12 year old girl
[08:26.440 --> 08:31.160]  who spent a decade in prison and had a horrible prison record amongst the rest of his rap
[08:31.160 --> 08:38.480]  sheet, he's the guy got shot and killed by the 17 year old gentleman who will be going
[08:38.480 --> 08:45.480]  over in a moment and then we've got the other burglary felony charges right here of the
[08:45.480 --> 08:56.120]  other individuals that were shot and their Antifa and Satanic garb, yes they were wearing
[08:56.120 --> 09:02.840]  pentagrams and bathomats and it's their time to shine, you know the official DNC logo is
[09:02.840 --> 09:11.800]  a bathomat now, it doesn't matter if pictures show young written house shot at at least
[09:11.800 --> 09:17.480]  two Bieland riders and self-defense, one rider was chasing him with a gun and is a convicted
[09:17.480 --> 09:25.280]  felon, well it turns out they're all convicted felons it's being reported on, continue to
[09:25.280 --> 09:29.400]  check that that's the best of our knowledge right off the child molester database for
[09:29.400 --> 09:38.680]  Mr. Rosenbaum, so what happens when the police are called on a man who's got a gun it's
[09:38.680 --> 09:45.280]  now confirmed in Kenosha, Wisconsin and he starts punching him and they chase him around
[09:45.280 --> 09:53.800]  and then in the exchange he gets shot and is paralyzed, you call the cops as babysitters,
[09:53.800 --> 09:59.880]  they show up to a horrible situation, things go wrong there's a gun waving around he turns
[09:59.880 --> 10:07.520]  they shoot him by the time they pull the gun he's rotated and now oh the country needs
[10:07.520 --> 10:11.240]  to burn and all white people are bad and the governor says white people are bad and that
[10:11.240 --> 10:19.520]  the police are inherently evil racists and now we know he was reaching for a gun and
[10:19.520 --> 10:24.080]  had a gun in his hand, why would any cop in his right mind want to shoot somebody and
[10:24.080 --> 10:29.480]  then get in all the trouble and face prison, they have an incredibly hard job and are there
[10:29.480 --> 10:33.280]  some bad cops or there's some people out there that pull the trigger too quick, absolutely
[10:33.280 --> 10:41.440]  where humans were failed, were flawed but here's what's really happening, law and order
[10:41.440 --> 10:47.160]  is being purposely broken down ahead of the election so when they dispute it they can
