[00:00:00.069 --> 00:00:01.290]  Welcome my friends.
[00:00:01.290 --> 00:00:05.275]  It is already the second day of April 2008 and we're coming in hot
[00:00:23.920 --> 00:00:37.284]  We have Jesse the Mind Ventura, of course, naval veteran, professional wrestling champion, Hollywood movie star, governor of Minnesota, television host, best-selling author, and he's with us for the full hour today.
[00:00:37.284 --> 00:00:47.287]  Jesse Ventura, new book, Don't Start the Revolution Without Me, and we're going to get into the CIA visiting his office the first day he showed up at the Capitol.
[00:00:47.287 --> 00:00:49.527]  We're going to get into his wife finding a bug at their home.
[00:00:49.527 --> 00:00:52.408]  We're going to talk about his views on the JFK assassination.
[00:00:52.828 --> 00:01:00.311]  We're going to talk about will he ever run for president, we'll talk about the Patriot Act, the war, and a lot more in the next 60 minutes.
[00:01:00.311 --> 00:01:02.992]  Jesse Ventura, it's an honor to have you on, Governor.
[00:01:02.992 --> 00:01:07.073]  Hi Alex, great to be here, and hi to everybody in Austin, Texas.
[00:01:07.073 --> 00:01:12.195]  You know, I got down there when Kinky was running for governor, and it's a beautiful part of Texas where you're at.
[00:01:12.575 --> 00:01:12.936]  Yes, sir.
[00:01:12.936 --> 00:01:18.461]  Well, we're on in Austin, Texas and San Diego and Kansas City, a lot of other places, and it's great to have you on with us.
[00:01:18.461 --> 00:01:24.127]  We hope you'll come back and visit Kinky and Willie and a lot of others in the near future, sir.
[00:01:24.127 --> 00:01:26.849]  There's a lot to talk about in this short segment we've got.
[00:01:26.849 --> 00:01:29.372]  What do you think is most important about this book?
[00:01:29.372 --> 00:01:31.274]  I don't just say this when I have guests on.
[00:01:31.274 --> 00:01:32.795]  I couldn't put this book down.
[00:01:32.795 --> 00:01:33.336]  It's amazing.
[00:01:34.108 --> 00:01:34.949]  Well, thank you.
[00:01:34.949 --> 00:01:36.609]  You know, I wrote the book.
[00:01:36.609 --> 00:01:44.994]  I now live in Mexico for half the year, and I got together with Dick Russell, a friend of mine down there who's a writer, and we put this book together.
[00:01:44.994 --> 00:01:51.858]  But I think the main thing that I want to stress and get across to people is that we do need a revolution in this country.
[00:01:51.858 --> 00:01:55.040]  And when I say revolution, that doesn't mean it has to be violence.
[00:01:55.040 --> 00:02:02.384]  You know, typically people think that, you know, like overthrowing the government of Cuba when Castro and Che Guevara did that with violence.
[00:02:03.184 --> 00:02:14.414]  We could have a revolution without violence, and it's high time for it, Alex, because, I mean, my God, the Democrats and Republicans, we are now $9 trillion in debt.
[00:02:14.414 --> 00:02:16.496]  That is the national debt.
[00:02:16.496 --> 00:02:24.123]  And if they behave that way in the private sector, they'd be jailed and put in prison, you know, like Enron and WorldCom.
[00:02:25.184 --> 00:02:37.111]  Our media and all our pundits put them up on pedestals, they call them honorable, and the whole thing in our history books will say how great they are, and they're selling our country out from right under our feet.
[00:02:37.111 --> 00:02:43.595]  And that's why you say, don't start the revolution without me, and I agree, the most successful revolutions really aren't violent.
[00:02:43.595 --> 00:02:49.778]  Look at the Renaissance itself, it was a revolution of ideas, and the printing press, and free market.
[00:02:51.591 --> 00:03:00.177]  I see what we need to develop is something similar to the Renaissance, a rediscovery of liberty and freedom, and what Ron Paul has said, legalizing freedom.
[00:03:00.177 --> 00:03:00.898]  Exactly.
[00:03:00.898 --> 00:03:18.471]  You know, Ron Paul was a very interesting candidate in the presidential race, that the media really kind of pushed him off and didn't listen to what he had to say, and that's the sad part about it, because I found it very interesting when Bhutto was killed over in Pakistan,
[00:03:19.291 --> 00:03:31.236]  All of the candidates went on with this big litany of what the United States should be doing and this and that and whatever, and it got to Ron Paul and he said something to me that was the best answer.
[00:03:31.236 --> 00:03:33.797]  He simply said, isn't that Pakistan's business?
[00:03:36.087 --> 00:03:37.308]  Absolutely.
[00:03:37.308 --> 00:03:40.629]  Well, you know, Ron Paul is still out there on the campaign trail.
[00:03:40.629 --> 00:03:45.471]  I mean, he's admitting he's not going to win, but he's there to inject real issues into the debate.
[00:03:45.471 --> 00:03:47.672]  That's why I wish you'd run, Jesse Ventura.
[00:03:47.672 --> 00:03:50.974]  In fact, I wish you'd run right now so we could at least inject real issues.
[00:03:51.736 --> 00:03:53.937]  Well, you know, it was interesting.
[00:03:53.937 --> 00:04:00.599]  I did Larry King last night, and Larry started at the start of the show and asked a question.
[00:04:00.599 --> 00:04:04.880]  He said, how many people think Jesse Ventura should run for president?
[00:04:04.880 --> 00:04:07.481]  And I was astounded by the end of the show.
[00:04:07.481 --> 00:04:09.001]  It just floored me.
[00:04:09.001 --> 00:04:12.903]  I thought maybe if I got 50 or 60 percent, I'd be doing good.
[00:04:12.903 --> 00:04:15.243]  It was 85 percent, Alex.
[00:04:15.243 --> 00:04:17.204]  It was just mind-boggling.
[00:04:17.324 --> 00:04:22.128]  Well, there's incredible disenfranchisement with the major two parties, as you know.
[00:04:22.128 --> 00:04:27.572]  I mean, look at Congress with, depending on the poll, an 11 to 20% approval rating.
[00:04:27.572 --> 00:04:29.474]  Both parties are hated now.
[00:04:29.474 --> 00:04:30.575]  Well, and they should be.
[00:04:30.575 --> 00:04:36.159]  As I said, they've put us so far in debt, I can't even fathom what $9 trillion is.
[00:04:36.159 --> 00:04:36.460]  Can you?
