[00:00:04.500 --> 00:00:09.762]  They're live!
[00:00:09.762 --> 00:00:12.583]  It's Saturday, July 30th, 2022.
[00:00:12.583 --> 00:00:15.845]  This is an emergency broadcast.
[00:00:15.845 --> 00:00:16.945]  InfoWars.
[00:00:16.945 --> 00:00:18.146]  Tomorrow's news.
[00:00:18.146 --> 00:00:26.889]  Today.
[00:00:26.889 --> 00:00:28.970]  They want you to eat bugs.
[00:00:28.970 --> 00:00:32.132]  What to feed our ever-expanding world?
[00:00:32.132 --> 00:00:32.612]  Insects.
[00:00:33.373 --> 00:00:34.913]  They could feed the world.
[00:00:34.913 --> 00:00:35.574]  Healthy.
[00:00:35.574 --> 00:00:39.355]  They're full of polyunsaturated fat, protein, and micronutrients.
[00:00:39.355 --> 00:00:40.495]  And sustainable.
[00:00:40.495 --> 00:00:45.717]  I'm Nicole Kidman, and I am going to eat a four-course meal of bugs.
[00:00:45.717 --> 00:00:53.799]  And they want you to eat these bugs inside a massive prison system that sees humanity as a cancer upon the earth.
[00:00:53.799 --> 00:00:59.541]  For too long, humanity has existed within dysfunctional and polluted cities that ignore nature.
[00:01:00.561 --> 00:01:05.803]  Now, a revolution in civilization is taking place.
[00:01:05.803 --> 00:01:10.205]  Imagine a traditional city and consolidating its footprint.
[00:01:10.205 --> 00:01:13.647]  Designing to protect and enhance nature.
[00:01:13.647 --> 00:01:21.010]  The line will be home to 9 million residents and will be built with a footprint of just 34 square kilometers.
[00:01:21.010 --> 00:01:26.592]  And we are designing it to provide a healthier, more sustainable quality of life.
[00:01:26.592 --> 00:01:29.594]  The line's communities are organized in three dimensions.
[00:01:31.044 --> 00:01:36.930]  Residents have access to all their daily needs within five-minute walk neighborhoods.
[00:01:36.930 --> 00:01:45.880]  And the line's infrastructure makes it possible to travel end-to-end in 20 minutes with no need for cars, resulting in zero carbon emissions.
[00:01:47.003 --> 00:01:54.210]  It is all completely bizarre, but it's just the cover story for a massive depopulation agenda.
[00:01:54.210 --> 00:02:06.641]  The COVID-19 vaccines are destroying the recipients' reproductive and immune systems, and killing people over time with mysterious structures growing within the vascular system.
[00:02:06.641 --> 00:02:10.885]  We are now seeing this all over the world, and it's just getting started.
[00:02:11.485 --> 00:02:19.174]  There is a whole cultural movement now emerging from the shadows that wants humanity to collectively commit suicide.
[00:02:20.504 --> 00:02:32.511]  This anti-human cult has been around for decades and outside of academia have had to tread quietly because much of humanity is opposed to mass murder.
[00:02:32.511 --> 00:02:42.798]  But now that we are in the midst of this cult's massive depopulation effort, they are coming out into the open to convince us that it would be best for most of us to die.
[00:02:42.798 --> 00:02:46.120]  We cannot hide away from human population growth.
[00:02:46.880 --> 00:02:50.223]  Because, you know, it underlies so many of the other problems.
[00:02:50.223 --> 00:02:57.990]  All these things we talk about wouldn't be a problem if there were… if there was the size of population that there was five hundred years ago.
[00:02:57.990 --> 00:03:02.594]  All the religious groups are against me because I'm talking about population.
[00:03:02.594 --> 00:03:05.717]  They want more souls, I want less on the planet.
[00:03:09.455 --> 00:03:17.339]  The World Economic Forum has become the public domain of the anti-human cult's depopulation agenda.
[00:03:17.339 --> 00:03:22.581]  And all of pop culture is on board, from Hollywood to the Holy See.
[00:03:22.581 --> 00:03:28.383]  Our planet, the utopia that we've been given, the overpopulation.
[00:03:30.014 --> 00:03:37.082]  Their agenda is disguised as environmentalism, so that all who oppose it now can be shamed.
[00:03:37.082 --> 00:03:44.850]  And when the mass starvation begins to overwhelm the population, the sentimental environmentalists can all be blamed.
[00:03:44.850 --> 00:03:48.213]  Because of course, this has nothing to do with the environment.
[00:03:49.034 --> 00:03:53.715]  Boris Johnson's father, Stanley Johnson, is a member of this cult.
[00:03:53.715 --> 00:03:59.577]  And he wrote that the world's population needs to be cut down to a more manageable number.
[00:03:59.577 --> 00:04:01.478]  And this is what it's all about.
[00:04:01.478 --> 00:04:03.598]  A more manageable number.
[00:04:03.598 --> 00:04:10.660]  Because these psychopaths see the rest of us as their property to manage and cull accordingly.
[00:04:10.660 --> 00:04:13.061]  But humanity still has a choice.
[00:04:13.061 --> 00:04:16.662]  And we don't have to die in a prison death factory eating bugs.
[00:04:17.483 --> 00:04:22.009]  We could choose freedom, but time is running out.
[00:04:22.009 --> 00:04:24.333]  Reporting for InfoWars, this is Greg Reese.
[00:04:43.908 --> 00:04:47.710]  Saturday, July 30th, 2022.
