[00:00:06.863 --> 00:00:10.267]  Excuse me?
[00:00:10.267 --> 00:00:20.442]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex.
[00:00:22.521 --> 00:00:26.264]  I hereby declare this to be an unlawful assembly.
[00:00:26.264 --> 00:00:29.867]  I order all those assembled to immediately disperse.
[00:00:29.867 --> 00:00:32.069]  It's a military mission in North St.
[00:00:32.069 --> 00:00:32.710]  Louis.
[00:00:32.710 --> 00:00:35.292]  Heavily armored vehicles are rolling into town.
[00:00:35.292 --> 00:00:39.936]  And don't be alarmed if you see those over the next seven days rolling through your neighborhood.
[00:00:39.936 --> 00:00:44.740]  If you see military helicopters flying low over Minneapolis, do not be alarmed.
[00:00:44.740 --> 00:00:45.641]  Guns will be taken.
[00:00:45.641 --> 00:00:47.102]  No one will be able to be armed.
[00:00:47.102 --> 00:00:48.123]  We will take all weapons.
[00:00:48.303 --> 00:00:50.685]  Mr. and Mrs. America, turn them all in.
[00:00:50.685 --> 00:00:55.248]  Just really brainwash people into thinking about guns in a vastly different way.
[00:00:55.248 --> 00:00:56.108]  Enough.
[00:00:56.108 --> 00:00:56.909]  Enough.
[00:00:56.909 --> 00:00:57.970]  Enough.
[00:00:57.970 --> 00:00:58.350]  Enough.
[00:00:58.350 --> 00:01:02.913]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:01:02.913 --> 00:01:06.856]  It comes out to like 1.6 billion rounds of ammunition.
[00:01:07.276 --> 00:01:14.439]  NFTS Late News 12's Jeff Ferrell discovered that clergy would help the government with potentially their biggest problem, us.
[00:01:14.439 --> 00:01:22.342]  So part of it is we have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, or recognize that kids belong to whole communities.
[00:01:22.342 --> 00:01:26.063]  If you've got a business, you didn't build that.
[00:01:26.063 --> 00:01:27.664]  Somebody else made that happen.
[00:01:28.499 --> 00:01:34.785]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:01:34.785 --> 00:01:39.749]  Blackhawk choppers soaring through the night sky, but this is only a drill.
[00:01:39.749 --> 00:01:44.433]  Heavily armed officers in Watertown search for the suspect, house to house.
[00:01:52.188 --> 00:01:57.616]  It's a joint military training exercise involving local police, also military.
[00:01:57.616 --> 00:01:58.838]  In your apartment!
[00:01:58.838 --> 00:01:59.899]  I am in my apartment, sir.
[00:01:59.899 --> 00:02:01.181]  Go back inside right now!
[00:02:01.181 --> 00:02:02.223]  I am inside.
[00:02:02.223 --> 00:02:04.126]  I have two words for you.
[00:02:04.126 --> 00:02:05.948]  Predator grows.
[00:02:05.948 --> 00:02:06.950]  You will never see it coming.
[00:02:10.990 --> 00:02:13.872]  The dramatic scene played out in front of our cameras.
[00:02:13.872 --> 00:02:23.096]  Parents grabbing their children and running after spending the night hunkering in their houses and then finding themselves face-to-face with the muzzle of a SWAT officer's rifle.
[00:02:23.096 --> 00:02:28.559]  They let them in the area, they told them they could come in, and now they're coming in like they're trespassers, punching and shoving people.
[00:02:28.559 --> 00:02:33.602]  We're not turning our guns in, and we're not running, and we're not backing down!
[00:02:33.602 --> 00:02:35.683]  If you want them, come and take them!
[00:02:37.447 --> 00:02:39.170]  We are on the march.
[00:02:39.170 --> 00:02:41.974]  The Empire is on the run.
[00:02:41.974 --> 00:02:46.702]  Live from the InfoWars.com studios, it's Alex Jones.
[00:03:01.514 --> 00:03:06.577]  The potential for the disastrous rise of misplaced power exists and will persist.
[00:03:06.577 --> 00:03:14.662]  This is the heart of 1776!
[00:03:14.662 --> 00:03:20.166]  Ladies and gentlemen, we are live on this December 2nd, 2013 Monday transmission.
[00:03:25.669 --> 00:03:27.030]  And we have no guests today.
[00:03:27.030 --> 00:03:36.958]  We have cleared the decks because I want to open the phones up and take your phone calls and talk about the state of the world as we hurdle towards 2014.
[00:03:36.958 --> 00:03:53.332]  Also, I got a call from my father about an hour and a half ago that one of my dear cousins passed away, was found deceased in his bed this morning, probably of pneumonia.
[00:03:55.043 --> 00:03:58.305]  And so I'm sure David Knott will be filling in one day this week for the funeral.
[00:03:58.305 --> 00:04:01.687]  I know my family's probably listening out there because they listen every day.
[00:04:01.687 --> 00:04:06.069]  My heart goes out to you and to Peter, who I know is in a better place.
[00:04:06.069 --> 00:04:10.872]  And he will be sorely missed and was a very sweet soul and a dear heart.
[00:04:10.872 --> 00:04:14.674]  And so I give my condolences to my family in East Texas.
[00:04:14.674 --> 00:04:22.578]  My cousin grew up when he was little down in Guatemala, where my uncle was working.
[00:04:23.683 --> 00:04:26.345]  My other cousins and my aunt.
[00:04:26.345 --> 00:04:34.510]  And he had, they had a construction crew putting a new roof on, had climbed up a ladder when he was two and a half and fallen off and hit his head.
[00:04:34.510 --> 00:04:37.912]  But then he'd been somewhat, you know, cognitively impaired since then.
[00:04:37.912 --> 00:04:42.075]  But I guess the best way to go is in your sleep.
[00:04:42.075 --> 00:04:44.696]  So that's a blessing.
[00:04:44.696 --> 00:04:46.818]  So I love you, Peter, and I'll see you soon.
[00:04:49.261 --> 00:04:49.962]  We'll be right back.
[00:04:49.962 --> 00:04:50.522]  Stay with us.
[00:04:50.522 --> 00:04:52.364]  The Infowar is straight ahead.
[00:04:52.364 --> 00:04:59.970]  For those of us that are still among the living, out, out, breathe candle.
[00:04:59.970 --> 00:05:02.992]  Alex Jones here with a message to fellow freedom lovers.
[00:05:02.992 --> 00:05:07.996]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:05:07.996 --> 00:05:15.182]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:05:15.322 --> 00:05:20.947]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:05:20.947 --> 00:05:24.971]  These are items that I did research on, that I personally use.
[00:05:24.971 --> 00:05:29.695]  We've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:05:29.695 --> 00:05:34.920]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:05:35.160 --> 00:05:38.401]  Strategic Relocation 3rd Edition by Joel Scalzin.
[00:05:38.401 --> 00:05:40.902]  When Disaster Strikes by Matthew Stein.
[00:05:40.902 --> 00:05:45.664]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:05:45.664 --> 00:05:48.545]  Hand crank shortwave AM FM radios.
[00:05:48.545 --> 00:05:55.548]  Everything that we've researched and found to be the best is available at InfoWarshop.com and your purchase makes our InfoWar possible.
[00:05:55.748 --> 00:05:57.009]  We're getting prepared.
[00:05:57.009 --> 00:05:57.689]  Are you?
[00:05:57.689 --> 00:05:59.990]  Infowarsshop.com.
[00:05:59.990 --> 00:06:01.891]  Introducing Pro-1.
[00:06:01.891 --> 00:06:05.533]  All of your filtration in one system, portable, on the go.
[00:06:05.533 --> 00:06:10.055]  No more do you have two or three filters to just reduce sodium fluoride.
[00:06:10.055 --> 00:06:12.176]  You have a system that cuts out the sodium fluoride.
[00:06:12.296 --> 00:06:12.717]  I think?
[00:06:32.236 --> 00:06:33.657]  with promo code water.
[00:06:33.657 --> 00:06:50.965]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia, and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:06:50.965 --> 00:06:56.288]  Get your ProPure with the new Pro1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:07:00.396 --> 00:07:05.858]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:07:05.858 --> 00:07:14.740]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:07:14.740 --> 00:07:22.563]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:07:22.563 --> 00:07:29.965]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:07:30.465 --> 00:07:34.429]  I personally store and use their high-quality products.
[00:07:34.429 --> 00:07:38.612]  It tastes great, and it's easy to store for up to 25 years.
[00:07:38.612 --> 00:07:45.759]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:07:45.759 --> 00:07:52.985]  Visit mypatriotsupply.com forward slash alex today with the new world order making rapid advances on every front.
[00:07:52.985 --> 00:07:57.029]  It is essential to prepare with My Patriot Supply today.
[00:08:01.994 --> 00:08:05.576]  Crashing through the lies and disinformation.
[00:08:05.576 --> 00:08:09.739]  It's Alex Jones on the GCN Radio Network.
[00:08:25.606 --> 00:08:33.792]  Ladies and gentlemen, thank you for joining us on this Monday, December 2nd, 2013, worldwide broadcast.
[00:08:33.792 --> 00:08:36.534]  I am your host, Alex Jones.
[00:08:36.534 --> 00:08:41.557]  And what I want to do today is something I've been getting a bit better at as of late.
[00:08:41.557 --> 00:08:50.384]  I want to mention some of the headlines and news that's coming up, and then intersperse that with key audio and video clips throughout the broadcast with your phone calls.
[00:08:51.613 --> 00:09:00.759]  And I want to again open the phones up for first-time callers, people that have never been able to get involved on the radio show slash TV show.
[00:09:00.759 --> 00:09:06.283]  We simulcast TV as well, folks, at Infowarsnews.com and PrisonPlanet.tv.
[00:09:06.283 --> 00:09:09.505]  I want to open the phones up for your questions.
[00:09:09.505 --> 00:09:16.830]  If you want to ask yours truly, Alex Jones, a question, or if you have a comment or a disagreement,
[00:09:18.668 --> 00:09:22.112]  Or a question we would love to hear from you.
[00:09:22.112 --> 00:09:26.796]  The only thing you're not allowed to do is to call in and compliment me and tell me how great I am.
[00:09:26.796 --> 00:09:28.117]  Because I think you're great.
[00:09:28.117 --> 00:09:30.519]  We're all on the same page fighting for freedom.
[00:09:30.519 --> 00:09:32.341]  We're trying to wake up those that aren't awake.
[00:09:33.254 --> 00:09:38.836]  We've got new listeners every millisecond tuning in who are thinking, you know, what in the world is this?
[00:09:38.836 --> 00:09:43.337]  How un-American, this guy's talking about freedom and trying to keep the government small.
[00:09:43.337 --> 00:09:44.237]  This is dangerous.
[00:09:44.237 --> 00:09:46.998]  I'm being a little bit sarcastic here, folks.
[00:09:46.998 --> 00:09:49.779]  The point is we're going to open the phones up today.
[00:09:51.687 --> 00:09:54.989]  And take your phone calls on a host of issues.
[00:09:54.989 --> 00:10:00.411]  And when you hear one caller hang up, that's your chance to call in to the show.
[00:10:00.411 --> 00:10:02.552]  And so here is the toll-free number.
[00:10:02.552 --> 00:10:05.433]  I also want to hear from listeners on solutions.
[00:10:05.433 --> 00:10:14.578]  How do we beat a scientific dehumanization control grid, a scientific dictatorship, in the technocrats' own words?
[00:10:14.578 --> 00:10:16.199]  How do we beat that?
[00:10:16.199 --> 00:10:18.880]  States' rights, homeschooling, buying local,
[00:10:19.740 --> 00:10:25.747]  Not complying with unconstitutional laws, being part of juries, and nullifying tyranny.
[00:10:27.205 --> 00:10:31.127]  Joining the police force because you know you're a good person.
[00:10:31.127 --> 00:10:34.368]  Running for city council.
[00:10:34.368 --> 00:10:36.469]  Creating your own media operation.
[00:10:36.469 --> 00:10:40.231]  Promoting free and independent press that promotes freedom.
[00:10:40.231 --> 00:10:42.292]  Not infighting with each other.
[00:10:42.292 --> 00:10:53.978]  If you agree with somebody on 60-70% of things, and if the person isn't batting for the globalist, you need to work with them and put aside old beefs and try to come together.
[00:10:55.131 --> 00:11:10.058]  I mean, I've never been an infighter, but I've really gotten good about forgiving people, turning the other cheek, and helping others that are doing a good job, even if they've been jealous and envious in the past and attacked me and made stuff up.
[00:11:10.058 --> 00:11:16.522]  I have forgiven them, and it's actually helped many of those people grow up as well.
[00:11:17.342 --> 00:11:23.087]  My example of leadership and I'm not saying I'm some special person or on a high horse.
[00:11:23.087 --> 00:11:26.069]  Many of you have known this since you were little kids.
[00:11:26.069 --> 00:11:28.491]  I'm just now learning it.
[00:11:28.491 --> 00:11:28.792]  And so.
[00:11:30.322 --> 00:11:39.085]  I'm here, if you're tuning in for the first time, to promote the American system of the Bill of Rights Constitution based on common law.
[00:11:39.085 --> 00:11:45.366]  That is Levitical and also Northern and Western European in derivation.
[00:11:45.366 --> 00:11:53.749]  There's a reason Northern and Western Europeans adopted Levitical law in the last thousand years or so.
[00:11:53.749 --> 00:11:57.570]  It was because it was almost identical to their common law they already had.
[00:12:00.717 --> 00:12:03.177]  And so you ask, what is our common law?
[00:12:03.177 --> 00:12:06.498]  It is Judeo-Christian.
[00:12:06.498 --> 00:12:09.999]  So many people say, we're not Judeo-Christian, we're Christian.
[00:12:09.999 --> 00:12:13.959]  Well, our law is Judeo-Christian.
[00:12:13.959 --> 00:12:28.502]  And I don't mean the modern Judeo, which is actually under the Babylonian captivity, or under the Khazars out of Kazakhstan, and out of what is northern Georgia, and that whole
[00:12:29.617 --> 00:12:34.120]  area of Eastern Europe into Central Asia.
[00:12:34.120 --> 00:12:40.465]  I'm talking about the Israelites of Moses' time and that common law.
[00:12:40.465 --> 00:12:45.729]  That common law is the same common law in most cultures of the world.
[00:12:45.729 --> 00:12:48.391]  And that's what we're leaving.
[00:12:48.391 --> 00:12:53.495]  The Ten Commandments, ladies and gentlemen, and the other 500 laws and injunctions and orders
[00:12:54.540 --> 00:13:03.585]  All of which make total sense are being thrown down the toilet.
[00:13:03.585 --> 00:13:12.470]  And all of the curses that the Bible tells you will come, if you don't follow this law, it's all happening like clockwork.
[00:13:12.470 --> 00:13:22.076]  And even if we don't believe in God, the devil, good and evil and all that, the point is, is that cultures developed laws that made sense and created stable societies.
[00:13:23.030 --> 00:13:23.350]  I think?
[00:13:39.775 --> 00:13:52.800]  Which was codified in Magna Carta in 1215, which was then expanded under the edicts of 1776, the edicts against the king, that we, the free humans, stand against your tyranny.
[00:13:52.800 --> 00:14:01.663]  And we declare our names, our family, our blood, our treasure, our honor, 100% on the altar of liberty.
