[00:00:00.169 --> 00:00:01.671]  Serious tax problem.
[00:00:01.671 --> 00:00:02.932]  So get serious.
[00:00:02.932 --> 00:00:04.713]  Call Nationwide Tax Relief.
[00:00:04.713 --> 00:00:06.976]  We're honest and we'll treat you like family.
[00:00:06.976 --> 00:00:10.819]  Call us for your free confidential consultation.
[00:00:10.819 --> 00:00:12.441]  Again, you're not alone.
[00:00:12.441 --> 00:00:13.962]  You've got Nationwide.
[00:00:13.962 --> 00:00:16.064]  Call Nationwide Tax Relief today at 1-800-958-2677.
[00:00:16.064 --> 00:00:16.325]  That's 1-800-958-2677.
[00:00:27.379 --> 00:00:30.392]  This is the GCN Radio Network.
[00:00:37.949 --> 00:00:41.292]  USA Radio Network News, Richard Curtis reporting.
[00:00:41.292 --> 00:00:43.034]  About 1,800 people packed St.
[00:00:43.034 --> 00:00:49.039]  Timothy's Catholic Church in Chantilly, Virginia yesterday in honor of 18-year-old Rima Samaha.
[00:00:49.039 --> 00:00:55.024]  Many speaking to the audience made reference to Samaha's dancing and other talents, as well as her smile.
[00:00:55.024 --> 00:01:01.110]  Her father, Joseph, said while there is great grief, he does forgive his daughter's killer, son Hui Cho.
[00:01:01.110 --> 00:01:04.313]  We express our most sincere condolences to the families
[00:01:05.053 --> 00:01:11.076]  Of the other Virginia Tech students and professors that died on that same day.
[00:01:11.076 --> 00:01:18.280]  We also want to extend our condolences to the children and members of the Korean community who have also lost a son.
[00:01:18.280 --> 00:01:24.924]  President Bush addressed the annual White House Correspondents Dinner last night, striking a far more somber note than he has in years past.
[00:01:24.924 --> 00:01:27.305]  In light of this week's tragedy at Virginia Tech,
[00:01:30.234 --> 00:01:32.836]  Uh, decided not to be funny.
[00:01:32.836 --> 00:01:40.300]  The president, however, did tell those in attendance that he felt the dinner came at a perfect time, given what a tough week it's been for the entire nation.
[00:01:40.300 --> 00:01:44.322]  He then turned over the microphone to this year's entertainment comedian, Rich Merle.
[00:01:45.237 --> 00:01:53.482]  And an Illinois woman accused of killing an expectant mother and her unborn child now charged with murdering the woman's three other children last September.
[00:01:53.482 --> 00:01:58.085]  A grand jury has indicted 24-year-old Tiffany Holland, the deaths of the children ages 1, 2, and 7 years.
[00:01:58.085 --> 00:01:59.486]  CSA Radio Network News.
[00:02:04.753 --> 00:02:08.135]  My name's Brian and I've been suffering from psoriasis for over 15 years.
[00:02:08.135 --> 00:02:10.736]  And this product, SkinZinc, actually works.
[00:02:10.736 --> 00:02:12.237]  I love it because there's no steroids.
[00:02:12.237 --> 00:02:13.938]  You just spray it on and it works.
[00:02:13.938 --> 00:02:15.179]  It's like having brand new skin.
[00:02:15.179 --> 00:02:19.001]  I'm Janine and I just want to tell everyone out there that SkinZinc is amazing.
[00:02:19.001 --> 00:02:19.921]  I don't itch.
[00:02:19.921 --> 00:02:21.622]  Look, I'm in a t-shirt and shorts.
[00:02:21.622 --> 00:02:23.603]  I finally have a social life again.
[00:02:23.603 --> 00:02:24.444]  Just try it.
[00:02:24.444 --> 00:02:25.024]  It works.
[00:02:25.024 --> 00:02:25.724]  Believe me.
[00:02:25.724 --> 00:02:27.125]  My name is Mark and
[00:02:27.185 --> 00:02:30.989]  And I've used everything there is to treat the dry, flaky skin on my arms.
[00:02:30.989 --> 00:02:31.670]  SkinZinc helps.
[00:02:31.670 --> 00:02:34.914]  I don't know why doctors don't have this, but I'm telling you, they don't.
[00:02:34.914 --> 00:02:37.657]  After using SkinZinc, it's completely cleared up.
[00:02:37.657 --> 00:02:39.379]  SkinZinc is phenomenal.
[00:02:39.379 --> 00:02:44.265]  I tried SkinZinc and in about one week, I noticed that the rashes on my arms were going away.
[00:02:44.265 --> 00:02:45.927]  The worst that I've ever used, period.
[00:02:46.147 --> 00:02:49.989]  Call right now for your in-home 30-day risk-free trial of SkinZinc at 1-800-554-8526.
[00:02:49.989 --> 00:02:50.309]  That's 1-800-554-8526.
[00:02:50.309 --> 00:02:51.650]  SkinZinc helps you eliminate psoriasis.
[00:02:51.650 --> 00:02:51.910]  Call 1-800-554-8526.
[00:02:51.910 --> 00:02:51.970]  1-800-554-8526.
[00:03:05.137 --> 00:03:05.778]  One of the U.S.
[00:03:05.778 --> 00:03:13.182]  Navy's best pilots was killed yesterday afternoon when an F-A-18 jet fighter crashed during an air show in Beaufort, South Carolina.
[00:03:13.182 --> 00:03:16.404]  The pilot and his plane were part of the Blue Angels flight demonstration team.
[00:03:16.404 --> 00:03:20.027]  An investigation is underway to determine what went wrong leading to the crash.
[00:03:20.766 --> 00:03:27.789]  At a news conference, Belfort County Emergency Management Director William Wynn said there will be restrictions for people in the vicinity of where the crash occurred.
[00:03:27.789 --> 00:03:37.272]  No one will be allowed into that area due to pending investigations and debris that is scattered with some hazardous materials involved.
[00:03:37.272 --> 00:03:42.834]  Wynn said there's no clear information available on the number of houses that may have been damaged by debris from the stricken jet as well.
[00:03:43.655 --> 00:03:49.902]  Some residents in part of Georgia are feeling the effects of the largest wildfire to ravage the area in roughly half a century.
[00:03:49.902 --> 00:03:56.010]  The 45,000 acre Sweat Farm Road has destroyed close to 20 homes since it was first reported last Monday.
[00:03:56.010 --> 00:03:59.854]  At least a thousand people have been forced to evacuate their homes.
[00:03:59.854 --> 00:04:01.537]  This is USA Radio Network News.
[00:04:05.049 --> 00:04:07.550]  Hello and welcome back to Ask the Orkin Man.
[00:04:07.550 --> 00:04:11.052]  Orkin Man, I got a science test tomorrow and I haven't studied much.
[00:04:11.052 --> 00:04:12.393]  Isn't school out for the summer?
[00:04:12.393 --> 00:04:13.574]  Summer school, dude.
[00:04:13.574 --> 00:04:15.615]  It's uncommon house folks, can you help me?
[00:04:15.615 --> 00:04:15.995]  Sure.
[00:04:15.995 --> 00:04:17.796]  Tell me about brown-banded roaches.
[00:04:17.796 --> 00:04:19.557]  Sure question, no such thing.
[00:04:19.557 --> 00:04:21.378]  There is, and they like to hide in furniture.
[00:04:21.378 --> 00:04:22.419]  Ha ha, me too.
[00:04:22.419 --> 00:04:23.019]  Okay.
[00:04:23.019 --> 00:04:23.920]  Odorous house ants?
[00:04:23.920 --> 00:04:25.580]  How do you know my aunt's house smells funny?
[00:04:25.580 --> 00:04:28.122]  Heh, I was talking about ants that forage day and night.
[00:04:28.122 --> 00:04:29.042]  That's her!
[00:04:29.042 --> 00:04:32.564]  Folks, you can't become an expert overnight, but you can call us at 1-800-ORKIN-MAN.
[00:04:35.018 --> 00:04:41.467]  In the aftermath of the massacre at Virginia Tech, it is only natural for people to suffer some residual emotional effects.
[00:04:42.328 --> 00:04:52.350]  Dr. Ferris Chuma with the National Institute of Mental Health says it's important for people to acknowledge that they have been affected by tragic events like this in order to help them deal with emotional impact.
[00:04:52.350 --> 00:05:10.974]  In general, and it sort of depends on the age of the child, it's probably a good idea for parents to be prepared to explain what's happened as best that they're able, to encourage their children to express their feelings and to listen to them without sort of passing judgment of telling them that they're right or wrong about the way they feel.
[00:05:11.880 --> 00:05:20.961]  And an auction held yesterday in New York City raised nearly two and a half million dollars to benefit musicians who virtually lost everything they had in Hurricane Katrina in New Orleans.
