[00:00.000 --> 00:17.000]  Resistance to Tyrants is obedience to God, it's Alex Jones.
[00:17.000 --> 00:25.000]  Hey, before Memorial Day, where a lot of Americans are out grilling hamburgers and hot dogs and spending time with their families.
[00:25.000 --> 00:34.000]  But on this Sunday broadcast, on the eve of Memorial Day, I want to spend some time discussing the history of Memorial Day
[00:34.000 --> 00:44.000]  versus Veterans Day and some of the popular misconceptions out there concerning the United States and our 240 year history
[00:44.000 --> 00:47.000]  from my perspective and my point of view.
[00:47.000 --> 00:55.000]  Because what I want to break down here isn't about defending InfoWars.com or Alex Jones and my ideas.
[00:55.000 --> 01:02.000]  It is about clarifying where I stand on very complex, delicate issues.
[01:02.000 --> 01:04.000]  But I see some comments on InfoWars.
[01:04.000 --> 01:10.000]  I think these are important comments where people are saying, you know, you claim America is this big evil empire
[01:10.000 --> 01:17.000]  and you claim that our military has done all these horrible things, but then you say we should honor our veterans,
[01:17.000 --> 01:23.000]  especially on days like Memorial Day, that marks the dead in this nation's history.
[01:23.000 --> 01:28.000]  The number in the millions in different wars and conflicts.
[01:28.000 --> 01:34.000]  Now for me, it's very, very simple, but I can see how folks get confused by this.
[01:34.000 --> 01:44.000]  I love the American idea of our republic. I am in love with the founding of this nation and the incredible epic things that took place.
[01:44.000 --> 01:49.000]  And I believe in the free market Americana idea.
[01:49.000 --> 01:57.000]  I am an admirer of American culture and of our past and much of the things that are happening in our present.
[01:57.000 --> 02:01.000]  We have been an exceptional nation hands down.
[02:01.000 --> 02:06.000]  And so today I want to spend a little bit of time discussing some of the exceptional things we've done.
[02:06.000 --> 02:10.000]  And I'm not going off notes here. I'm just going off my heart and off my mind and off my memory.
[02:10.000 --> 02:16.000]  And then perhaps once we post this audio slash television show, the InfoWars, after we're live today,
[02:16.000 --> 02:21.000]  other folks can then, you know, add their comments about what they think makes America so great
[02:21.000 --> 02:25.000]  and how do we rediscover that greatness and bring it back.
[02:25.000 --> 02:33.000]  So I'm going to talk about the American spirit today and I think that's embodied to a great extent by our veterans,
