[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:13.000]  It's Alex Jones and the GCN Radio Network.
[00:13.000 --> 00:22.000]  Oh, just before you go, I just need to press this little button here.
[00:22.000 --> 00:33.000]  Now everybody, please remember to read chapters 5 and 6 on volcanoes and glaciation, except the Philippine Tracy, of course.
[00:33.000 --> 00:42.000]  Right, just want to check on that 10-10 thing. Had some brilliant ideas from lots of you, how the firm can cut down emissions by 10%.
[00:42.000 --> 00:45.000]  Just quick show of hands, everyone who wants to get involved.
[00:45.000 --> 00:55.000]  Alright, ladies and gentlemen, we are live. We were just playing a short clip from a video they've now pulled from British television and their website.
[00:55.000 --> 01:01.000]  Update on the 10-10 global organization has been forced to remove the video from their website and issue an apology,
[01:01.000 --> 01:09.000]  given the fact that the clip was pulled hours after it first appeared and yet involved the contribution of dozens of actors and film professionals,
[01:09.000 --> 01:15.000]  as well as champion football players. The backlash must have been instantaneous and overwhelming.
[01:15.000 --> 01:19.000]  Too late for apologies that damage has already been done.
[01:19.000 --> 01:27.000]  This is one of the final nails in the coffin of the increasingly desperate, threatening and unscientific global warming propaganda machine.
[01:27.000 --> 01:30.000]  What am I talking about if you've just tuned in?
[01:30.000 --> 01:40.000]  And Ms. Friday's broadcast, where at the end of the show, I noticed that Paul Watson written an article about this at prismplanet.com, the London Telegraph had also written a report about it,
[01:40.000 --> 01:44.000]  because it fits in with all of their other rhetoric.
[01:44.000 --> 01:56.000]  It's one of the big environmental groups globally, financing a four-minute TV piece where children, business people, media professionals, football players, you name it,
[01:56.000 --> 02:05.000]  if they don't agree to cut their carbon footprint output, they are killed.
[02:05.000 --> 02:14.000]  They are exploded into chunks of flying flesh and gouts of red crimson blood.
[02:14.000 --> 02:21.000]  And so I wanted to go over this and go back to a report. ABC News website tells kids when they should die.
[02:21.000 --> 02:28.000]  I wanted to go over climate cult indoctrinating kids with depraved death wish, because this all integrates in.
[02:28.000 --> 02:33.000]  In fact, will you reprint it? I know we had it Friday. It's one of the tiles on Info Wars, guys.
[02:33.000 --> 02:37.000]  It's Bill Gates, you know, talks about reducing population.
[02:37.000 --> 02:44.000]  We, of course, reported on this months ago, but Natural News has done a new report on it, and I want to have that report when we go over it.
[02:44.000 --> 02:48.000]  Perhaps we should even queue up the clip of Bill Gates talking about it on TED TV.
[02:48.000 --> 02:54.000]  Of course, a few weeks ago he was talking about kill grandma, don't give her medical care so we can hire 10 teachers.
