[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[00:13.000 --> 00:17.800]  whether sought or unsought, by the military industrial commentaries.
[00:17.800 --> 00:23.720]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:23.720 --> 00:29.760]  The first reports say that President Kennedy has been seriously wounded by this shooting.
[00:29.760 --> 00:36.760]  It is a big idea, a neutral order.
[00:36.760 --> 00:43.760]  It was almost as if it were a planned impulse, it just pancakes.
[00:43.760 --> 01:00.760]  Either you were with us, or you were with the terrorists.
[01:00.760 --> 01:10.760]  But I also believe a lot of gun owners would agree that AK-47s belong in hands of soldiers, not the hands of criminals.
[01:10.760 --> 01:19.760]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[01:19.760 --> 01:23.760]  Global governance at last. Is it one world the central bank is in charge?
[01:23.760 --> 01:27.760]  But aren't we all just living and dying for what the central banks do?
[01:27.760 --> 01:33.760]  And for me, give me liberty or give me death!
[01:33.760 --> 01:40.760]  From the Infowars.com studios, it's Alex Jones.
[01:40.760 --> 01:45.760]  Ladies and gentlemen, it is the final day of December 2012.
[01:45.760 --> 01:56.760]  I am your host, Alex Jones. I've been telling you in the last year, the obvious, that 2012 was a hoax to make you basically have a subconscious image in your mind that the world was going to end anyways.
[01:56.760 --> 02:04.760]  And so why get involved as your liberties and freedoms and finances were being robbed by the Global Crime Syndicate?
[02:04.760 --> 02:11.760]  And now, here we are going headlong into 2013.
[02:11.760 --> 02:19.760]  And just as I in late November published the Infowars magazine saying Obama is coming for your guns,
[02:19.760 --> 02:26.760]  the new issue says 2013, the year America dies as a republic.
[02:26.760 --> 02:38.760]  This will be the year that they gut the entire Bill of Rights and Constitution 100%.
[02:38.760 --> 02:50.760]  This will be the year they slit our collective throats from ear to ear, across the carotids, across the jugulars.
[02:50.760 --> 02:54.760]  Ladies and gentlemen, this is it.
[02:54.760 --> 03:07.760]  And I've been telling you that before the mass shooting, because I saw all their victim disarmament groups powering up, launching their psychological warfare preparation programs.
[03:07.760 --> 03:12.760]  The prep is always the green light.
[03:12.760 --> 03:16.760]  And they're going for the checkered flag here, ladies and gentlemen.
[03:16.760 --> 03:23.760]  They want to go all the way. They want to disarm the American people. They want to win the race. They've disarmed most of the world.
[03:23.760 --> 03:33.760]  Now, ladies and gentlemen, this morning I was poking around with Senate testimony of Diane Feinstein about all the guns she packs.
[03:33.760 --> 03:42.760]  And we're going to be playing those clips coming up and came across one from 60 minutes that I remember at the time, because she's made similar statements,
[03:42.760 --> 03:53.760]  but that I had never seen or don't remember seeing, that we're going to play when we come back from break, where she says, I'm targeting Mr. and Mrs. America.
