[00:00.000 --> 00:06.000]  Waging War on Corruption.
[00:06.000 --> 00:15.000]  It's Alex Jones coming to you live from the front lines of the Info War.
[00:15.000 --> 00:21.000]  Well, here we are.
[00:21.000 --> 00:27.000]  It's the last live Sunday broadcast of 2018.
[00:27.000 --> 00:32.000]  December 30th, 2018.
[00:32.000 --> 00:41.000]  This incredible year is about to give up the ghost and plunge into history.
[00:41.000 --> 00:47.000]  And then, 2019 looms.
[00:47.000 --> 00:54.000]  Not on the horizon, but one inch from our face.
[00:54.000 --> 00:55.000]  What does it hold?
[00:55.000 --> 00:56.000]  What were the biggest stories?
[00:56.000 --> 01:03.000]  What was most important in this year and what is coming in the next year?
[01:03.000 --> 01:13.000]  I'm Alex Jones, your host, hated by the vampire establishment for one reason.
[01:13.000 --> 01:21.000]  I love life, and I love competition, and I aim to stop them with your help.
[01:21.000 --> 01:24.000]  And I'm not afraid of them.
[01:24.000 --> 01:32.000]  I've already calculated every possible permutation, a persecution, and already accepted it.
[01:32.000 --> 01:40.000]  Though I do feel guilty for doing even that.
[01:40.000 --> 01:52.000]  David Knight, who is such a hardworking, smart, informed jewel of a person, had a pretty serious heart attack last night.
[01:52.000 --> 02:00.000]  And it's rough going to the hospital right now, here in Austin, Texas.
[02:00.000 --> 02:08.000]  I met with him on Thursday, and he was really concerned about the country, and he really took all of it on.
[02:08.000 --> 02:16.000]  And I told him, I said, you need to take some time off, buddy.
[02:16.000 --> 02:18.000]  His skin was ash white.
[02:18.000 --> 02:20.000]  He's lost a lot of weight.
[02:20.000 --> 02:26.000]  He gets ready for four or five hours every day for a show, and studies for three or four hours after that.
[02:26.000 --> 02:29.000]  There's nothing I've researched he doesn't already know about.
[02:29.000 --> 02:36.000]  I mean, let me tell you, this guy's like a monk, and I said, you need to take off some.
[02:36.000 --> 02:38.000]  He got too close to this.
[02:38.000 --> 02:40.000]  He stared at the abyss too long.
[02:40.000 --> 02:47.000]  Well, it basically, what that's going to do me to tell us, turns out he's had heart blockages for a while, probably had a heart attack before, didn't even know about it.
[02:47.000 --> 02:51.000]  And he's got some big serious procedures tomorrow morning to go under.
[02:51.000 --> 02:55.000]  And he definitely needs your prayers.
[02:55.000 --> 03:01.000]  And all the attacks we go through, the fake lawsuits, the boycotts, the lies.
[03:01.000 --> 03:02.000]  That's from the globalist.
[03:02.000 --> 03:03.000]  I can deal with that.
[03:03.000 --> 03:12.000]  But, you know, having somebody like David who does such a great job and reaches millions of people a week fighting for his life.
[03:12.000 --> 03:13.000]  That's what he's doing right now.
[03:13.000 --> 03:14.000]  He's fighting for his life.
[03:14.000 --> 03:20.000]  Just a few miles from where I said, it gets to me.
[03:20.000 --> 03:25.000]  It's a shadow of a portend for a comfort for everybody.
[03:25.000 --> 03:32.000]  It's that feeling where you're not afraid of death anymore, but you're afraid of your body giving out so you're not there for my children.
[03:32.000 --> 03:38.000]  So I tell you, when I look at my son and my three daughters, I just think about how can I be better?
[03:38.000 --> 03:40.000]  How can I exercise more?
[03:40.000 --> 03:44.000]  How can I be a better steward of my health?
[03:44.000 --> 03:49.000]  Because you just want to live longer for them, not for yourself.
[03:49.000 --> 03:52.000]  And David's got a big family he takes care of.
[03:52.000 --> 03:54.000]  He's a great guy.
[03:54.000 --> 03:58.000]  And again, I asked the family, I said, you want me to talk about this?
[03:58.000 --> 04:00.000]  And they said, yeah, do whatever you think you need.
[04:00.000 --> 04:01.000]  Just please ask for prayers.
[04:01.000 --> 04:05.000]  But I know the specifics of the prognosis.
[04:05.000 --> 04:12.000]  And I called a heart surgeon, I know, to get what the particular surgeries mean.
[04:12.000 --> 04:16.000]  And it's not, no heart attack is not serious.
[04:16.000 --> 04:19.000]  But David definitely needs your prayers.
[04:19.000 --> 04:25.000]  He definitely needs your prayers because they're going to cauterize his heart tomorrow morning.
[04:25.000 --> 04:26.000]  It means burn.
[04:26.000 --> 04:28.000]  And they're going to do some other things to it.
[04:28.000 --> 04:31.000]  I'm not going to get into the whole deal of the families watching and listening.
[04:31.000 --> 04:35.000]  But David's a tough guy.
[04:35.000 --> 04:42.000]  It looks like he's been up here working for years with his heart shot.
[04:42.000 --> 04:44.000]  Reminds me of somebody else I know.
[04:44.000 --> 04:47.000]  Not me, but somebody close to me.
[04:47.000 --> 04:49.000]  That's the thing about old fashioned men.
[04:49.000 --> 04:50.000]  They don't tell you what's happening to them.
[04:50.000 --> 04:52.000]  It's like Michael Savage talks about his dad for years.
[04:52.000 --> 04:55.000]  Still working on that hardware store with those heart problems.
[04:55.000 --> 04:56.000]  He finally died.
[04:56.000 --> 05:00.000]  Let's pray for David Knight so he can come back better and stronger.
[05:00.000 --> 05:06.000]  So as we prepare to close out 2018, just remember, this life is a test.
[05:06.000 --> 05:09.000]  And those of you that have been listening and watching and taking action,
[05:09.000 --> 05:13.000]  the victories of populism and nationalism and Christianity coming back from the dead
[05:13.000 --> 05:18.000]  and recognizing it's being persecuted, that's all because you are the core.
[05:18.000 --> 05:20.000]  Listening to M4 Wars around the world.
[05:20.000 --> 05:28.000]  The eyes and ears of liberty that were immune or at least resistant to the globalist programming.
[05:28.000 --> 05:32.000]  Everybody knows, who studies this, that it's Christians, real Christians,
[05:32.000 --> 05:37.000]  who tend to be immune to the globalist brainwashing and who tend to see it.
[05:37.000 --> 05:39.000]  And that's why they're trying to eradicate you.
[05:39.000 --> 05:42.000]  But regardless, this fight is intensifying.
[05:42.000 --> 05:44.000]  2018 has been insane.
[05:44.000 --> 05:51.000]  2019 is going to be the big decision maker and I am so honored to be here with you right beside me.
[05:51.000 --> 05:55.000]  Not behind us, but right beside us and at the heart of everything resisting these globalists.
[05:55.000 --> 06:00.000]  So whatever you do, take action and realize we're changing history together and I salute you.
[06:07.000 --> 06:17.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the frontlines of the M4 War.
[06:17.000 --> 06:26.000]  Well, there's only about a day and a half left in the epic, and I mean epic year of 2018.
[06:26.000 --> 06:30.000]  A lot of folks used to overuse the term epic, but we're living in epic times.
[06:30.000 --> 06:31.000]  Interesting times.
[06:31.000 --> 06:40.000]  My good buddy, one of the smartest people I know, when it comes to giant breadth of knowledge and engineer, a patriot,
[06:40.000 --> 06:46.000]  David Knight is having a rough time in the hospital, had a big heart attack last night.
[06:46.000 --> 06:52.000]  He's going to have some big heart surgeries tomorrow, multiple procedures, and so he needs your prayers.
[06:52.000 --> 07:00.000]  And here's one of the most powerful intros he ever put together, dealing with eugenics, dealing with dehumanization,
[07:00.000 --> 07:04.000]  dealing with the devaluation of life, something he has fought so hard against.
[07:04.000 --> 07:10.000]  So on this Sunday night, the 30th day of December 2018, while David Knight's fighting for his life,
[07:10.000 --> 07:13.000]  our great host of the David Knight Show, Weekday Mornings.
[07:13.000 --> 07:16.000]  I thought I'd go ahead and play this piece here it is.
[07:22.000 --> 07:27.000]  Aborted babies incinerated to eat UK hospitals.
[07:27.000 --> 07:32.000]  Silent green, ladies and gentlemen, is made out of people.
[07:32.000 --> 07:38.000]  But now children are literally being passed through the furnace in order to fuel hospitals in the UK.
[07:38.000 --> 07:43.000]  They're being sacrificed on the altar of efficiency and prosperity.
[07:43.000 --> 07:48.000]  It is the secret of Silent Green.
[07:48.000 --> 07:53.000]  A powdered flesh from dead babies. Some people believe they can cure disease.
[07:53.000 --> 07:58.000]  Because of its enormous popularity, Silent Green is in short supply.
[07:58.000 --> 08:01.000]  Remember, Tuesday is Silent Green Day.
[08:01.000 --> 08:07.000]  The supply of Silent Green has been exhausted. You must evacuate the area.
[08:07.000 --> 08:09.000]  Silent Green!
[08:09.000 --> 08:14.000]  They said in the court rule that the shareholders of PepsiCo, Big Builder Bird Group company,
[08:14.000 --> 08:21.000]  are not allowed to know what they're using the baby parts for and the flavoring, but we already know.
[08:21.000 --> 08:23.000]  So enjoy the flavor.
[08:23.000 --> 08:28.000]  We're going to get the real solution, which is going to be a combination of death panels and sales taxes.
[08:28.000 --> 08:33.000]  I'm consistently pro-death. I'm for assisted suicide. I'm for regular suicide.
[08:33.000 --> 08:35.000]  I'm for whatever gets the freeway moving.
[08:35.000 --> 08:39.000]  Spending a million dollars on that last three months of life for that patient,
[08:39.000 --> 08:46.000]  would it be better not to lay off those ten teachers and to make that trade-up in medical costs?
[08:46.000 --> 08:50.000]  But that's called the death panel, and you're not supposed to have that discussion.
[08:50.000 --> 08:57.000]  They told me to say that they were sorry, but that you had become unreliable.
[08:57.000 --> 09:07.000]  Is this the kind of society that you want to live in?
[09:07.000 --> 09:12.000]  Any kind of society that would do this to its children will do it to its senior citizens.
[09:12.000 --> 09:14.000]  It will do it to its dissidents.
[09:14.000 --> 09:20.000]  That kind of society will also eventually turn on its police, on its army, on its prison guards,
[09:20.000 --> 09:24.000]  on the quizlings and the collaborators who make that possible.
[09:24.000 --> 09:27.000]  This is nothing but a suicide cult.
[09:27.000 --> 09:32.000]  The scoops are on their way. The scoops are on their way.
[09:32.000 --> 09:35.000]  I repeat, the scoops are on their way.
[09:35.000 --> 09:42.000]  You will find out why Soylent Green means life. You will find out why Soylent Green means death.
[09:42.000 --> 09:44.000]  We've got to stop them. Come on.
[09:44.000 --> 09:48.000]  That is the secret of Soylent Green.
[09:48.000 --> 09:54.000]  Soylent Green is people.
[09:54.000 --> 09:57.000]  They may just think they'll be pretty, just like cattle.
[09:57.000 --> 10:02.000]  For food, you've got to tell them.
[10:02.000 --> 10:06.000]  So there's an important piece with David Knight featured in it.
[10:06.000 --> 10:08.000]  Again, David, it's a great part of the M4's operation.
[10:08.000 --> 10:11.000]  I've been planning to push to go live at least 20 hours a day here.
[10:11.000 --> 10:15.000]  We've got David Knight, we've got Owen Troyer, we've got Roger Stone and others.
[10:15.000 --> 10:20.000]  We obviously want David to pull through all of this.
[10:20.000 --> 10:24.000]  He's a serious heart surgery. He's got to have tomorrow.
[10:24.000 --> 10:26.000]  So please pray for him.
[10:26.000 --> 10:30.000]  They took down his M4's Twitter accounts and they banned him on Google and Facebook.
[10:30.000 --> 10:35.000]  He had over 9 million subscribers to his radio and TV show on iTunes.
[10:35.000 --> 10:40.000]  Just because he was affiliated with me, the devil, they deleted all those as well.
[10:40.000 --> 10:45.000]  He's effective and he tells the truth and that's all part of this amazing censorship.
[10:45.000 --> 10:53.000]  He still has his personal account at Libertarian, where you can follow him at Twitter
[10:53.000 --> 10:55.000]  and hopefully support the family.
[10:55.000 --> 10:59.000]  Okay, let me tell you what's coming up here.
[10:59.000 --> 11:02.000]  Some of this I covered on Friday, but I want to recap.
[11:02.000 --> 11:09.000]  A lot of this is new, but it's just illustrative of the Trump derangement syndrome
[11:09.000 --> 11:12.000]  that is taking place.
[11:12.000 --> 11:15.000]  There was a big video that we posted on Saturday.
[11:15.000 --> 11:20.000]  DrudgeReport.com had it as its top story, still up there.
[11:20.000 --> 11:27.000]  Of a man going into a vape shop, which isn't perfect for your health,
[11:27.000 --> 11:31.000]  but a lot of studies better for you than combustion with cigarettes.
[11:31.000 --> 11:35.000]  He's trying to get his wife some strawberry flavored nicotine.
[11:35.000 --> 11:37.000]  And he's wearing a Trump hat.
[11:37.000 --> 11:46.000]  Watch, unhinged leftist has mental breakdown, refuses service to Trump's supporter in vape shop.
[11:46.000 --> 11:53.000]  And so he starts videotaping the guy calling him the N-word, hitting him, attacking him,
[11:53.000 --> 11:58.000]  because the white guy is virtually saving only some black guy who's in there trying to buy.
[11:58.000 --> 12:01.000]  And the black guy's like, hey dude, I get it, you've done nothing wrong, we're in a Trump hat.
[12:01.000 --> 12:07.000]  But the leftist white person wants to act like this knight in shining armor, this savior.
[12:07.000 --> 12:11.000]  That's coming up next segment and next segment.
[12:11.000 --> 12:17.000]  Another video of like a 6-3 transgendered man, bigger shoulders than I've got.
[12:17.000 --> 12:21.000]  I'm a pretty big guy.
