[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:12.000 --> 00:32.000]  Hello, my friends. It is Sunday, the 27th day of June 2010. We're going to be live here for the next two hours.
[00:32.000 --> 00:39.000]  We're going to be going over the unfortunate fact that the economy is being destroyed by design.
[00:39.000 --> 00:44.000]  Biden is saying we can't recover all of the lost jobs.
[00:44.000 --> 00:52.000]  Bloomberg is reporting that 46 state governments are facing Greek-style deficits all by design.
[00:52.000 --> 00:59.000]  Record unemployment levels obviously here in the United States since the Great Depression and record numbers in the next month
[00:59.000 --> 01:09.000]  scheduled to go off the unemployment rolls. So we'll be discussing that. Also, Obama Internet kill switch plan approved by U.S. Senate.
[01:09.000 --> 01:17.000]  That's the tech world headline. I've been warning people about this for three years since the cybersecurity legislation was written under
[01:17.000 --> 01:25.000]  Hare Bush's tutelage and tenure. And now it's passed the House, passed the Senate committee and looks like it has the votes in the full Senate.
[01:25.000 --> 01:34.000]  The complete takeover of the Internet by the Pentagon. They already have the grid in to kill the Internet to shut it off.
[01:34.000 --> 01:42.000]  But now they're about to have the law to be able to do it. Of course, they did have laws in this country that black people weren't humans.
[01:42.000 --> 01:50.000]  And they've had laws that young women could be taken enforceably sterilized if they made under a B plus in high school.
[01:50.000 --> 01:56.000]  That was going on until the mid-70s, quietly. So we're going to expose these criminal laws and what's happening.
[01:56.000 --> 02:03.000]  And the first time they shut the Internet off, it'll be for a few days and say, oh, thank God we had this bill when Al Qaeda struck
[02:03.000 --> 02:09.000]  and attacked the power grid, which isn't hooked to the Internet and shouldn't be hooked to the Internet, but it isn't.
[02:09.000 --> 02:15.000]  They can say, see, we shut it off only for a few days, caused some problems, but it kept you safe.
[02:15.000 --> 02:20.000]  And then it's, oh, we shut it off a few months the next time and, oh, see, we had to do this.
[02:20.000 --> 02:27.000]  And this Internet kill switch is only one part of death by 100 cuts, but it is one of the biggest cuts.
[02:27.000 --> 02:35.000]  It's a hatchet attack to the direct neck of the Internet and the free press. So that's coming up.
[02:35.000 --> 02:41.000]  Also, G20 law gives police sweeping powers for arrest people going to the G20 where they hired the regular anarchists.
[02:41.000 --> 02:48.000]  It even came out two weeks before the G20 met that the police have been caught hiring provocateurs again ahead of it.
[02:48.000 --> 02:55.000]  And of course, police have been caught before at meetings in Canada, globalist meetings, posing as anarchists.
[02:55.000 --> 03:01.000]  And the media does two things. They go and point cameras at police and government provocateurs to demonize all the protesters
[03:01.000 --> 03:08.000]  and say, oh, look at these anarchists who are engaged in violence as a way to cause a chilling effect against all demonstrations.
