[00:00.000 --> 00:00.100]  There are
[00:00.100 --> 00:12.840]  Here we are on this channel.
[00:12.840 --> 00:38.900]  What are you making?
[00:38.900 --> 00:52.060]  So, the fake news of which many of you are members is trying to convince the public to
[00:52.060 --> 00:53.060]  have a recession.
[00:53.060 --> 00:54.560]  Let's have a recession.
[00:54.560 --> 00:59.980]  The United States is doing phenomenally well, but one thing I have to do is economically
[00:59.980 --> 01:05.420]  take on China, because China has been ripping us off for many years.
[01:05.420 --> 01:10.220]  And Clinton, President Bush, and President Obama, and others should have done this long
[01:10.220 --> 01:11.820]  before me.
[01:11.820 --> 01:17.260]  My life would be much easier, although I enjoy doing it, but my life would be much easier
[01:17.260 --> 01:22.020]  if I just said, let China continue to rip off the United States, all right?
[01:22.020 --> 01:24.700]  It would be much easier, but I can't do that.
[01:24.700 --> 01:26.740]  We are winning against China.
[01:26.740 --> 01:30.500]  They've lost two and a half million jobs in a very short period of time.
[01:30.500 --> 01:31.500]  They want to make a deal.
[01:31.500 --> 01:36.940]  It's got to be a deal that's good for the United States, where they want to make a deal.
[01:36.940 --> 01:38.700]  Probably we will make a deal.
[01:38.700 --> 01:43.020]  But if I didn't do that, and I'm not doing it, somebody said it's Trump's trade war.
[01:43.020 --> 01:44.820]  This isn't my trade war.
[01:44.820 --> 01:51.180]  This is a trade war that should have taken place a long time ago by a lot of other presidents.
[01:51.180 --> 01:59.620]  Over the last five or six years, China has made $500 billion, $500 billion, ripped it
[01:59.620 --> 02:01.420]  out of the United States.
[02:01.420 --> 02:07.740]  And not only that, if you take a look, intellectual property theft, add that to it.
[02:07.740 --> 02:09.540]  And they add a lot of other things to it.
[02:09.540 --> 02:13.500]  So somebody, excuse me, somebody had to do it.
[02:13.500 --> 02:15.780]  I am the chosen one.
[02:15.780 --> 02:16.900]  Somebody had to do it.
[02:16.900 --> 02:18.540]  So I'm taking on China.
[02:18.540 --> 02:20.940]  I'm taking on China on trade.
[02:20.940 --> 02:21.940]  And you know what?
[02:21.940 --> 02:24.180]  We're winning because we're the piggy bank.
[02:24.180 --> 02:30.260]  We're the one that all these countries, including the European Union, wants to rob and takes
[02:30.260 --> 02:31.260]  advantage of.
[02:31.260 --> 02:37.820]  The European Union, $200 billion, China, more than $500 billion, sorry.
[02:37.820 --> 02:44.860]  I was put here, I was put here by people, I was put here by people to do a great job.
[02:44.860 --> 02:45.860]  And that's what I'm doing.
[02:45.860 --> 02:48.020]  And nobody's done a job like I've done.
[02:48.020 --> 02:54.180]  Now, would China rather wait for a little more than a year and try and get sleepy Joe
[02:54.180 --> 02:58.860]  Biden to negotiate with instead of President Trump?
[02:58.860 --> 02:59.860]  Maybe.
[02:59.860 --> 03:00.860]  But I don't think so.
[03:00.860 --> 03:01.860]  You know why?
[03:01.860 --> 03:03.940]  They're losing too many jobs too fast.
[03:03.940 --> 03:06.660]  They had the worst year in 27 years.
[03:06.660 --> 03:09.540]  But I think it was actually 52 or 54 years.
[03:09.540 --> 03:13.580]  It's the worst year they've had in a half a century.
[03:13.580 --> 03:14.780]  And that's because of me.
[03:14.780 --> 03:16.500]  And I'm not proud of that.
[03:16.500 --> 03:17.500]  But you know what?
[03:17.500 --> 03:18.500]  They want to negotiate.
[03:18.500 --> 03:20.900]  And sleepy Joe doesn't have a clue.
[03:20.900 --> 03:22.740]  Sleepy Joe said, oh, China's wonderful.
[03:22.740 --> 03:26.500]  Well, China is wonderful for China.
[03:26.500 --> 03:31.300]  But I'm wonderful for the USA.
[03:31.300 --> 03:33.420]  Trump is our champion.
[03:33.420 --> 03:34.420]  Trump is delivering.
[03:34.420 --> 03:37.420]  And what you just heard is the truth.
[03:37.420 --> 03:42.740]  It's so refreshing to hear a statesman in office telling it like it is and straight
[03:42.740 --> 03:43.740]  shooting.
[03:43.740 --> 03:47.820]  73 years old.
[03:47.820 --> 03:49.300]  Never seen anything like it.
[03:49.300 --> 03:50.300]  The precision.
[03:50.300 --> 03:51.300]  The commitment.
[03:51.300 --> 03:54.460]  Yes, Trump is the chosen one.
[03:54.460 --> 03:59.060]  We're all chosen to fulfill our destinies if we choose to take those destinies in our
[03:59.060 --> 04:00.060]  hands.
[04:00.060 --> 04:04.500]  And Trump is delivering the country out of the globalist bondage.
[04:04.500 --> 04:11.860]  And they're fighting like the devil to keep their entire system in place right now.
[04:11.860 --> 04:13.460]  And this country is in a fight.
[04:13.460 --> 04:19.420]  And you just heard Trump with China that is trying to keep the Democrats in power and
[04:19.420 --> 04:25.540]  openly is their main financier through U.S.-based Chinese companies.
[04:25.540 --> 04:30.820]  And I can tell you, it's being looked at as an actual security issue.
[04:30.820 --> 04:36.620]  And more and more, it's being realized that the globalists sold the country out to China,
[04:36.620 --> 04:39.220]  not just economically, but politically and culturally.
[04:39.220 --> 04:41.580]  And that this is treason.
[04:41.580 --> 04:47.300]  That's exactly what his mission is, is to turn that around.
[04:47.300 --> 04:49.980]  It's your mission, it's my mission, and you choose to accept it.
[04:49.980 --> 04:53.980]  You'll be back more on the other side of the Information War.
[04:53.980 --> 05:00.820]  And all of you have chosen to tune into this broadcast, it's for the word.
[05:00.820 --> 05:05.580]  It's never been easy to figure out the essentials of a new supplement routine.
[05:05.580 --> 05:10.220]  That's why we created the 8-Pack PowerStack, your go-to option for the building blocks
[05:10.220 --> 05:13.220]  of a successful approach to supplementation.
[05:13.220 --> 05:17.900]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new
[05:17.900 --> 05:20.860]  and old info warriors alike.
[05:20.860 --> 05:25.100]  With the 8-Pack PowerStack, there's no trial and error, messy bottles laying across the
[05:25.100 --> 05:28.700]  counter, or 20-minute morning habits.
[05:28.700 --> 05:33.300]  Just take the wake-up-and-work or rest-and-recover packs each day for quick, easy-to-use and
[05:33.300 --> 05:37.500]  conveniently accessible formulas to help you reach your peak without the deep supplement
[05:37.500 --> 05:41.980]  knowledge, stacks of bottles, and complicated routine.
[05:41.980 --> 05:46.500]  Featuring eight different formulas for a total take on your health and wellness.
[05:46.500 --> 05:51.620]  You can find what you like and get even more powerful versions in the store.
[05:51.620 --> 05:57.100]  Head to infowarsstore.com and check out 8-Pack PowerStack today and jumpstart your supplement
[05:57.100 --> 06:00.600]  routine.
[06:00.600 --> 06:14.820]  The answer to 1984 is 1776, live from Austin, Texas, broadcasting worldwide.
[06:14.820 --> 06:17.500]  It's Alex Jones.
[06:17.500 --> 06:19.020]  Thank you so much for joining us.
[06:19.020 --> 06:21.820]  Thank you so much for allowing this broadcast to even exist.
[06:21.820 --> 06:24.180]  You are the wind in our sails.
[06:24.180 --> 06:34.180]  We're all on this ship together called Planet Earth, here in Deep Space.
[06:34.180 --> 06:37.260]  It's Thursday, August 22, 2019.
[06:37.260 --> 06:40.260]  I intend to open the phones up again today and take a lot of calls.
[06:40.260 --> 06:46.300]  We do a pretty good job at that, and I intend to have several special guests here in studio
[06:46.300 --> 06:49.660]  as well, and some that will be over Skype from Europe.
[06:49.660 --> 06:54.700]  We also have our reporters filing a whole bunch of amazing videos that we're going to
[06:54.700 --> 06:59.980]  be posting them, FullWars.com, and playing some today from Hong Kong, which really is
[06:59.980 --> 07:06.300]  the epicenter of the Chai-Kong attempt to invade into the South China Sea and take islands
[07:06.300 --> 07:11.660]  from the Philippines, Japan, you name it, and it is a military flashpoint that the
[07:11.660 --> 07:18.620]  Chinese are threatening to invade as early as this next week, and so our reporters are
[07:18.620 --> 07:23.260]  there on the ground, and I will just also let you know that we're going to have some
[07:23.260 --> 07:28.860]  other special guests from Hong Kong coming up next week, but I'm not going to announce
[07:28.860 --> 07:37.620]  who those people are going to be until they are in country, so let's just stop right there.
[07:37.620 --> 07:39.980]  You know, I come in here and I look at all this news, and I've got all this research
[07:39.980 --> 07:45.140]  and all these clips, and I try to sit back and ask myself, what really is the biggest
[07:45.140 --> 07:50.940]  story of our age and that's unfolding right now, and it's undoubtedly the global awakening,
[07:50.940 --> 07:57.260]  and that people are not buying what the government is saying anymore, or buying what corporations
[07:57.260 --> 08:01.980]  are saying anymore, but they're going past that, they're actually going out and researching
[08:01.980 --> 08:07.500]  and finding out for themselves, and all the attempts of Google and all the attempts of
[08:07.500 --> 08:12.900]  Facebook and the technocrats to suppress this are going to fail one way or another,
[08:12.900 --> 08:19.660]  and they are failing, in fact, all the censorship has only made people that much more apprehensive
[08:19.660 --> 08:26.060]  about mainstream news, and so when you get attacked by it, it has a buoying effect to
[08:26.060 --> 08:27.060]  a great extent.
[08:27.060 --> 08:32.420]  Now, there are zombie-like hordes out there that come in every shape, color, and size
[08:32.420 --> 08:42.220]  of our fellow humans who are believing the propaganda and have gone into just apoplexy.
[08:42.220 --> 08:47.460]  They are just completely beside themselves and getting more and more radical by the
[08:47.460 --> 08:55.780]  minute, and so to a certain extent, the globalist venom is working, but it's only working in
[08:55.780 --> 09:02.140]  the most low IQ, weak-minded people, or those that are manipulating those people and feeding
[09:02.140 --> 09:07.620]  off of them, and I have a spectrum of these reports here.
[09:07.620 --> 09:13.260]  You can't turn on a television or open a newspaper or go online, whether you've got a droid or
