[00:00:00.000 --> 00:00:05.000]  InfoWars. Tomorrow's news. Today.
[00:00:31.000 --> 00:00:38.000]  Live from Austin, Texas, it's Alex Jones.
[00:00:41.000 --> 00:00:47.000]  Well, this is not going to be a boring, uneventful, non-important broadcast.
[00:00:47.000 --> 00:00:50.000]  It's going to be edge of your seat, like they all are.
[00:00:50.000 --> 00:00:54.000]  But we're not spectators in this war against tyranny. We are on the field.
[00:00:54.000 --> 00:00:59.000]  It is Sunday, June 11th, 2023.
[00:00:59.000 --> 00:01:06.000]  And I've had time to really analyze this indictment and spend, no exaggeration,
[00:01:06.000 --> 00:01:11.000]  just since Friday when I got off the show, probably 15 hours,
[00:01:11.000 --> 00:01:14.000]  talking to a lot of experts, doing my own research, looking at it.
[00:01:14.000 --> 00:01:17.000]  Trump did absolutely nothing wrong.
[00:01:17.000 --> 00:01:20.000]  This is a total and complete fraud.
[00:01:20.000 --> 00:01:23.000]  And I want to make just a statement here up front.
[00:01:23.000 --> 00:01:27.000]  Regardless of what you think about Trump, and I've got big issues with him,
[00:01:27.000 --> 00:01:31.000]  this is about stealing our right to vote for who we want.
[00:01:31.000 --> 00:01:36.000]  And this is about a permanent, bureaucratic, intelligence agency,
[00:01:36.000 --> 00:01:38.000]  corporate coup over this country.
[00:01:38.000 --> 00:01:41.000]  So Trump going along with these criminals on the poison shot,
[00:01:41.000 --> 00:01:45.000]  that's a separate issue, and I'll be rattling this cage about it forever.
[00:01:45.000 --> 00:01:48.000]  And if they ever indicted some of the globalists,
[00:01:48.000 --> 00:01:52.000]  and we found documents that Trump knew the shot was hurting people,
[00:01:52.000 --> 00:01:53.000]  I'd say put him in prison.
[00:01:53.000 --> 00:01:55.000]  But we don't see any evidence of that.
[00:01:55.000 --> 00:01:57.000]  We know Fauci and the rest of them knew that.
[00:01:57.000 --> 00:02:01.000]  And it just came out Friday in federal lawsuits,
[00:02:01.000 --> 00:02:05.000]  Pfizer, Moderna knowing the shots didn't work and hurt people.
[00:02:05.000 --> 00:02:06.000]  That's in the stack.
[00:02:06.000 --> 00:02:09.000]  Massive bombshell.
[00:02:09.000 --> 00:02:12.000]  But that's completely separate from this permanent coup
[00:02:12.000 --> 00:02:16.000]  that knows he's 30-something points ahead of DeSantis.
[00:02:16.000 --> 00:02:21.000]  He gets 69% in national polls against all of the Republicans combined
[00:02:22.000 --> 00:02:23.000]  that are running against him.
[00:02:23.000 --> 00:02:24.000]  It's just incredible.
[00:02:24.000 --> 00:02:28.000]  He's 15 to 30 points, depending on the poll, ahead of Biden
[00:02:29.000 --> 00:02:33.000]  in just of general voters across the board.
[00:02:33.000 --> 00:02:38.000]  So this is a big, big, big, big, big deal.
[00:02:40.000 --> 00:02:41.000]  And this is a coup.
[00:02:41.000 --> 00:02:43.000]  It's been going on for a long time.
[00:02:43.000 --> 00:02:45.000]  I mean, they killed Kennedy.
[00:02:45.000 --> 00:02:47.000]  This group's been in main control of the country,
[00:02:47.000 --> 00:02:48.000]  not full control for a long time.
[00:02:48.000 --> 00:02:55.000]  But now they want absolute dominant control over every facet of our lives
[00:02:55.000 --> 00:03:00.000]  as they slowly turn off the resources and drive us all into bankruptcy
[00:03:00.000 --> 00:03:01.000]  so they can control us.
[00:03:01.000 --> 00:03:03.000]  This is siege.
[00:03:03.000 --> 00:03:07.000]  There's a lot of facets to this, but I'm going to say this again.
[00:03:07.000 --> 00:03:09.000]  For everybody that likes Robert F. Kennedy Jr.,
[00:03:09.000 --> 00:03:10.000]  I'll support him as Democrat nominee.
[00:03:10.000 --> 00:03:11.000]  I think he's a great guy overall.
[00:03:11.000 --> 00:03:13.000]  There's some things he does, but he's the real deal.
[00:03:13.000 --> 00:03:15.000]  And he's got skin in the game.
[00:03:15.000 --> 00:03:17.000]  Well, Trump's got skin in the game.
[00:03:17.000 --> 00:03:20.000]  They are literally railroading him with a total fraud.
[00:03:20.000 --> 00:03:22.000]  They've got more indictments ready.
[00:03:22.000 --> 00:03:27.000]  And if they can get him, they can get everybody, and that's their plan.
[00:03:27.000 --> 00:03:30.000]  The feds, the rogue feds, the rogue government,
[00:03:30.000 --> 00:03:34.000]  has declared any opposition to be terrorist.
[00:03:34.000 --> 00:03:36.000]  And we've got new documents came out on that.
[00:03:36.000 --> 00:03:39.000]  And we already knew this, but this is so confirmed.
[00:03:39.000 --> 00:03:44.000]  The government planned to list any parents protesting peacefully as terrorists.
[00:03:44.000 --> 00:03:46.000]  That's all coming up today.
[00:03:46.000 --> 00:03:48.000]  Federal documents.
[00:03:48.000 --> 00:03:50.000]  Remember, they acted like, oh, it's just the teachers' unions want this.
[00:03:50.000 --> 00:03:52.000]  It wasn't our idea.
[00:03:52.000 --> 00:03:58.000]  Homeland Security was running it all and wants to say peaceful parents saying,
[00:03:58.000 --> 00:04:01.000]  you're not going to teach my 5-year-old boy he's a girl.
[00:04:01.000 --> 00:04:04.000]  You're not going to teach my 5-year-old white kid that he's bad because he's white.
[00:04:04.000 --> 00:04:05.000]  Well, guess what?
[00:04:05.000 --> 00:04:07.000]  You're a terrorist, and we want to put you in prison.
[00:04:07.000 --> 00:04:10.000]  And they got legislation introduced in California to put you in jail.
[00:04:10.000 --> 00:04:15.000]  If you tell your 7-year-old, no, you're a boy, you're not a girl, jail time, baby.
[00:04:15.000 --> 00:04:17.000]  They can confuse your kid at school.
[00:04:17.000 --> 00:04:22.000]  I mean, this is a criminal group coming out for parental rights, all of our freedoms.
[00:04:22.000 --> 00:04:23.000]  It's insane.
[00:04:23.000 --> 00:04:25.000]  But I'll say this again.
[00:04:25.000 --> 00:04:26.000]  Yeah, Cruz put it on video.
[00:04:26.000 --> 00:04:27.000]  There's the legislature.
[00:04:27.000 --> 00:04:30.000]  The other one's reading out of the bill, AB957.
[00:04:30.000 --> 00:04:32.000]  I mean, you can't make this up.
