[00:00.000 --> 00:16.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[00:16.000 --> 00:26.000]  Ladies and gentlemen, pro-human patriots listening across the United States and around the world.
[00:26.000 --> 00:36.000]  I'm Alex Jones, your host, and I'm very honored to be here on this Sunday Worldwide Transmission, December 4th, 2016.
[00:36.000 --> 00:39.000]  We're going to be here for the next two hours.
[00:39.000 --> 00:48.000]  I've talked a lot about vision. I've talked a lot about understanding history and understanding where we stand today as well as looking into the future.
[00:48.000 --> 01:07.000]  And I've always known that promoting basic free market human liberty when it's pushed by a large enough segment of the population is something that tyrants and monopolies and criminal organizations and other mafias can never outperform.
[01:07.000 --> 01:10.000]  They just can't compete with us.
[01:10.000 --> 01:18.000]  And that's why tyrannies always seek total control, hence the term totalitarianism or totalitarian.
[01:18.000 --> 01:36.000]  And on this Sunday broadcast, I want to break down some of the very exciting news that's taking place and also talk about the idea of promoting where liberty will take us and promoting true hope and true change in the face of the globalist model.
[01:36.000 --> 01:42.000]  I guess it was about 10 years ago I developed the term 1776 worldwide.
[01:42.000 --> 01:47.000]  We talked about the answer to 1984 is 1776.
[01:47.000 --> 02:03.000]  The answer to a global authoritarian model is a global model of liberty, not based by some central UN or megacorporation, but promoted by individuals in solidarity, regardless of what color you are or where you come from.
[02:03.000 --> 02:09.000]  And we now see 1776 worldwide taking shape across the planet.
[02:09.000 --> 02:19.000]  And I am very humbled to read many articles, even in mainstream media, admitting that the main progenitor of this modern idea is yours truly.
[02:19.000 --> 02:28.000]  But quite frankly, all I'm doing is taking ideas codified more than 400 years ago in Europe and promoting them in a modern sense today.
[02:28.000 --> 02:34.000]  We have timeless information that is the most modern thinking in history.
[02:34.000 --> 02:46.000]  The Renaissance in 1776 and everything that came out of it is an expression of all of our species' desire for self-determination and freedom.
[02:46.000 --> 02:50.000]  That said, they're holding a big referendum in Italy today.
[02:50.000 --> 03:00.000]  Italy is famously corrupt with their voting, so who knows what will happen, but if it follows the line of the UKIP and the Brexit and if it follows what we saw in the election of Donald Trump,
[03:00.000 --> 03:09.000]  and the Russians pulling out of globalism and the Catalonians pulling out of Spain and Iceland pulling out of the whole globalist model as well,
[03:09.000 --> 03:16.000]  if they pull out, the globalists are calling it the final domino in the EU and it will collapse.
[03:16.000 --> 03:20.000]  Well, look, whether they steal this or whether they win this or whatever happens today,
[03:20.000 --> 03:27.000]  the polls show that the Italians want to begin pulling out of the EU and don't want to back up all this debt that isn't theirs.
[03:27.000 --> 03:28.000]  It's very exciting.
[03:28.000 --> 03:34.000]  They don't want to just open their borders up to North Africa and to the Middle East for a bunch of jihadis.
[03:34.000 --> 03:36.000]  So that vote is coming up today.
[03:36.000 --> 03:37.000]  We're going to be breaking that down.
[03:37.000 --> 03:45.000]  Coming up after this quick break, the vote in Italy will be a wide-ranging f-off, and it's just the start.
[03:45.000 --> 03:48.000]  You'll determine the fate of the entire European Union.
[03:48.000 --> 03:52.000]  That's the article up on infowars.com right now.
[03:52.000 --> 03:54.000]  So you see the dominoes already falling.
[03:54.000 --> 04:01.000]  History happening just like that, settling 1776 worldwide, free market nationalism worldwide,
[04:01.000 --> 04:06.000]  and the big banks and the control corporate press they own keep shoveling racist this, racist that.
[04:06.000 --> 04:13.000]  It has nothing to do with the racism that Brazil doesn't want to be under globalist control or Nigeria doesn't want to be under globalist control.
[04:13.000 --> 04:16.000]  Or the United States doesn't want to be.
[04:16.000 --> 04:19.000]  It's not just that we're being ruled by foreigners and foreign corporations.
[04:19.000 --> 04:23.000]  They're ruthless and admit they want to, quote, make us poor to control us.
[04:23.000 --> 04:26.000]  And I know I harp on this constantly.
[04:26.000 --> 04:28.000]  It's because this is the coffin nails.
[04:28.000 --> 04:30.000]  This will bring them down.
[04:30.000 --> 04:32.000]  This is their real philosophy.
[04:32.000 --> 04:34.000]  And if we expose it, it's over.
[04:34.000 --> 04:40.000]  That's why they fight continually to expose what their real vampiric philosophy is.
[04:40.000 --> 04:43.000]  Well, I want to take you out with the words of Bob Marley.
[04:43.000 --> 04:46.000]  The Babylon system is the vampire.
[04:46.000 --> 04:47.000]  Stay with us, ladies and gentlemen.
[04:47.000 --> 04:49.000]  I'm Alex Jones.
[04:59.000 --> 05:03.000]  Last night, Donald J. Trump announced his pick for secretary of defense.
[05:03.000 --> 05:06.000]  General Matt Dogg Mattis, U.S. Marine Corps.
[05:06.000 --> 05:07.000]  That's what I'm talking about.
[05:07.000 --> 05:08.000]  Hoorah, devil dog.
[05:08.000 --> 05:14.000]  Now we have a man who single handedly went in and unf**ked Jifcom, which is joint forces command.
[05:14.000 --> 05:17.000]  An area that for a long time was very screwed up.
[05:17.000 --> 05:24.000]  This guy walked in in the first day and wrote an email in all capital letters saying the holiday is over.
[05:24.000 --> 05:25.000]  Well, guess what?
[05:25.000 --> 05:28.000]  Our military leaders have been on holiday.
[05:28.000 --> 05:31.000]  Our commander in chief has been on holiday.
[05:31.000 --> 05:32.000]  He's always playing golf.
[05:32.000 --> 05:34.000]  He's always going somewhere.
[05:34.000 --> 05:35.000]  Well, guess what?
[05:35.000 --> 05:38.000]  General Matt Dogg Mattis is now in charge.
