[00:00.000 --> 00:14.280]  We are on the march the empire is on the run Alex Jones and the GCN radio network
[00:14.280 --> 00:22.440]  Welcome to the Alex Jones show on the Sunday June 19th 2016. I'm David Knight
[00:22.440 --> 00:28.040]  We're gonna be joined by Alex Jones in the next segment and we have a lot of news as well
[00:28.040 --> 00:33.280]  I don't know if you've noticed these stories have been going up on the drudge report last several days
[00:33.280 --> 00:38.920]  I've seen an ominous trend first. We've seen the Obama budget saying well
[00:38.920 --> 00:40.720]  You know we need to come up with a plan to fight ISIS
[00:40.720 --> 00:44.560]  Hey, I got one let's reduce the size of the army next year by 40,000 troops
[00:44.840 --> 00:49.560]  Okay, but then it gets stranger if you're starting to look at this and it comes out and says
[00:50.520 --> 00:52.520]  Well, we're going to hire
[00:52.760 --> 00:57.520]  Military leaders not just rank and follow but military leaders. We're gonna bring them in laterally
[00:57.520 --> 01:00.000]  We're not gonna let them go through military training or West Point or thing
[01:00.000 --> 01:05.720]  We're just gonna bring in the leaders straight from the private sector because they've got some expertise that we need you realize
[01:06.080 --> 01:10.520]  That is a very dangerous process. I think it's a very dangerous thing to have a standing army
[01:10.520 --> 01:13.800]  But we don't want to have a standing army that is going to be so easily
[01:14.560 --> 01:21.640]  malleable add to that the fact that the house is now rejected in an effort to ban illegal immigrants from military service
[01:21.640 --> 01:28.160]  Now we've had people who earned their citizenship in the past because they had special language skills or special technical skills or whatever
[01:28.160 --> 01:33.080]  But what the Obama administration is trying to do now is trying to use the dreamer act
[01:33.640 --> 01:36.360]  People who have come across the border simply because they want a free education
[01:37.360 --> 01:39.360]  Just having people that are part of that
[01:39.720 --> 01:46.760]  Act the dreamers, you know same ones you see rioting at all the Trump rallies flying Mexican flags saying let's make America
[01:46.840 --> 01:47.720]  Mexico again
[01:47.720 --> 01:53.320]  He wants to make those people go straight into the military. So we cut the size of military down by 40
[01:53.360 --> 02:00.720]  We bring in people who are illegal immigrants. We bring in people who have not gone through regular training as military leaders
[02:01.600 --> 02:07.840]  Does this sound like the National Civilian Service Army that Obama was talking about member?
[02:07.840 --> 02:09.840]  We got everybody so concerned about that
[02:10.320 --> 02:15.080]  Remember that is this how it plays out. I don't know. We're also going to talk about what's going on Brexit
[02:15.080 --> 02:17.080]  again, we see now that
[02:18.160 --> 02:26.600]  the people who want to remain in the bankers the large multinational corporations the politicians that are part of this globalist movement are
[02:27.520 --> 02:28.880]  celebrating in
[02:28.880 --> 02:34.320]  The wake of this woman dying and they're not celebrating there. They're they're crying tears
[02:34.320 --> 02:40.800]  They're they're mourning but these are crocodile tears. We saw over the weekend. We're seeing a dramatic reversal in
[02:40.800 --> 02:45.500]  The poll numbers here. We're going to look at this because I think this is a classic
[02:45.640 --> 02:52.280]  False flag it stinks to the high heavens all the signs are there including the Southern Poverty Law Center being right there immediately
[02:53.320 --> 02:55.820]  With receipts from a tiny obscure
[02:56.360 --> 03:00.400]  Neo-Nazi group in the United States saying he bought weapons from us going back
[03:00.960 --> 03:03.800]  16 17 years ago. They had those records just like that
[03:03.800 --> 03:11.760]  This group is basically defunct. It's being run by a former special forces guy. All of these operations are for the people
[03:11.760 --> 03:15.160]  who are living at the basement who are mentally defective like this guy and
[03:15.920 --> 03:23.000]  The FBI and the co-intel people who run them spend that way for a very long time and all of his neighbors are saying
[03:23.000 --> 03:28.040]  I don't know. This is so out of character with him. You know, he wasn't a racist. He wasn't even political
[03:28.040 --> 03:30.720]  I'm surprised that he could even think about anything like this
[03:30.720 --> 03:34.520]  This guy was just into gardening and he was a mental patient and he talked about all the
[03:35.360 --> 03:41.400]  Medications that he took and how therapeutic it was for him to be a gardener and all of a sudden he turns into this killing monster
[03:42.200 --> 03:46.320]  We've seen that type of thing in the United States before we know what happens with SSRI drugs
[03:46.320 --> 03:52.960]  Especially if you take somebody off of them reduce their dosage give them a placebo whatever what if you train them a little bit?
[03:52.960 --> 03:58.840]  We've had the CIA working in in K. Ultra for 60 70 years since they ended the World War two
[03:58.840 --> 04:04.400]  They've been working on this stuff. Look this has all the hallmarks of a successful false flag
[04:04.560 --> 04:12.680]  The worst part about it is the good people in Britain are allowing themselves be tarred and feathered as racist who have absolutely nothing to do with it
[04:12.680 --> 04:14.080]  just as
[04:14.080 --> 04:19.640]  honest gun owners in America are being blamed for the hate of this Muslim shooter and
[04:20.320 --> 04:23.640]  We're told that we have to give up our guns because the narrative
[04:23.640 --> 04:29.840]  You're also gonna be talking in the second hour to Paul Craig Roberts. He believes that that shooting is a false flag
[04:30.120 --> 04:36.680]  Certainly, there's a lot that is very interesting about that the fact that the psychiatrist who said she vetted him said
[04:36.680 --> 04:43.720]  I wasn't even in Florida at the time and of course she was this was paperwork coming from the world's largest private security firm
[04:44.120 --> 04:48.640]  This security firm was one of the bases that was quoted by the FBI for saying well
[04:48.640 --> 04:51.480]  That's one of the reasons we shut down those four investigations for him because he's vetted
[04:51.480 --> 04:54.600]  You know, everybody's it's a circular vetting process. Stay with us
[04:54.600 --> 04:57.560]  Alex Jones is gonna be joining us in the next segment. We'll be right back
[04:59.920 --> 05:07.840]  Good news in the battle for the Republic this morning as it looks like the Democrats do process violating gun bill is doomed
[05:08.280 --> 05:12.720]  Despite support by Barack Hussein Obama and the Justice Department
[05:12.720 --> 05:21.320]  The legislation would permit the federal government to deny individuals on a secret terrorist watch list the right to exercise
[05:21.360 --> 05:23.360]  The second amendment yesterday
[05:23.520 --> 05:29.840]  Democrat senator Joe Manchin went on the morning Joe show and said due process is a firewall
[05:30.280 --> 05:35.840]  Problem we have and really the firewall that we have right now. There's due process here. It's all due process
[05:36.240 --> 05:41.200]  So we can also yet we want the same thing, but how do we get there due process is what's killing us right now
[05:41.200 --> 05:47.040]  Currently, there are a number of terror watch list all in violation of due process
[05:47.160 --> 05:52.120]  There is basically no standard of evidence for being placed on a watch list
[05:52.120 --> 05:59.400]  And it's nearly impossible to challenge one's status and you can learn more right now at info wars calm
[05:59.400 --> 06:10.720]  Crashing through the lies and disinformation. It's Alex Jones on the GCN radio network
[06:16.080 --> 06:24.160]  Welcome to the Alex Jones show on the Sunday, June 19th 2016. I'm David Knight and joining us from the road is Alex Jones Alex
