[00:00.000 --> 00:14.200]  Certainly, for some, Alex Jones can be scary and abrasive, but if you can get through all
[00:14.200 --> 00:20.200]  that to explore what he has been saying, to see for yourself what it is that the establishment
[00:20.200 --> 00:26.960]  wants to hide from you, then the information you find could be life-changing.
[00:26.960 --> 00:36.960]  He predicted 9-11.
[00:36.960 --> 00:48.160]  He exposed the cremation of care ceremony at Bohemian Grove.
[00:48.160 --> 00:53.240]  He educated us about the relationship between the Third Reich and modern globalism.
[00:53.240 --> 01:00.240]  He helped reveal the so-called Bilderberg group at all.
[01:00.240 --> 01:10.240]  He was the loudest voice reporting on the union between the Communist Chinese and Silicon Valley.
[01:10.240 --> 01:14.240]  They falsely edited him.
[01:14.240 --> 01:19.240]  They lie about his reporting of Sandy Hook.
[01:19.240 --> 01:25.240]  They lie that he pushed a child down in a viral video.
[01:25.240 --> 01:31.240]  And now he is being de-platformed by Facebook, Apple, and Google.
[01:31.240 --> 01:37.240]  Private companies are being harassed and encouraged to stop doing business with him.
[01:37.240 --> 01:40.240]  And then we get hit and say, you no longer use our software.
[01:40.240 --> 01:44.240]  YouTubers are being censored for talking about him.
[01:44.240 --> 01:47.240]  We just got taken down by YouTube. They just killed our stream.
[01:47.240 --> 01:49.240]  Really? Yes.
[01:49.240 --> 01:53.240]  And some Americans are actually celebrating this.
[01:53.240 --> 01:57.240]  This is America in 2018.
[01:57.240 --> 02:05.240]  Will you sit by and allow liberty and freedom to be taken away right before your eyes?
[02:05.240 --> 02:09.240]  Will you do nothing while history is being recorded?
[02:09.240 --> 02:12.240]  Will you sit and do nothing?
[02:12.240 --> 02:19.240]  Or will you do your own research, discover the truth, and stand for freedom?
[02:19.240 --> 02:48.240]  Crashing through the lies and disinformation, it's Alex Jones.
[02:48.240 --> 02:57.240]  If you are receiving this transmission, you are the resistance.
[02:57.240 --> 03:02.240]  You are living in epic history. Will you be someone that sits up there in the bleachers?
[03:02.240 --> 03:05.240]  Or will you be the man or woman in the arena?
[03:05.240 --> 03:08.240]  I have chosen my place in the arena.
[03:08.240 --> 03:11.240]  We've seen great victories. We've seen great defeats.
[03:11.240 --> 03:14.240]  And now we know the enemy is truly evil as we knew they were.
[03:14.240 --> 03:17.240]  And now the battle is joined.
[03:17.240 --> 03:19.240]  There are 74 days left.
[03:19.240 --> 03:22.240]  Dan Rather, the famous fake newsman.
[03:22.240 --> 03:27.240]  Just as bad as Ryan Williams thinks we have no memory.
[03:27.240 --> 03:33.240]  And he says what Mueller knows will make Cohen Manafort pale by comparison.
[03:33.240 --> 03:39.240]  Stay tuned as Trump organization can face criminal charges from the other swamp,
[03:39.240 --> 03:42.240]  the other head of the Hydra, Manhattan DA,
[03:42.240 --> 03:48.240]  as the establishment makes its move all the giant crimes of Hillary, all the giant crimes of Obama,
[03:48.240 --> 03:52.240]  all the giant crimes of the globalist, all the giant crimes of communist China
[03:52.240 --> 03:56.240]  killing their political dissidents and Apple and other slave factories.
[03:56.240 --> 03:58.240]  But none of it matters.
[03:58.240 --> 04:03.240]  Because Donald Trump legally and lawfully years ago gave some money to two women
[04:03.240 --> 04:07.240]  who thought he was going to marry him or whatever, at least with the case of the Playboy model.
[04:07.240 --> 04:11.240]  And then, oh my gosh, oh my gosh, it's so terrible.
[04:11.240 --> 04:15.240]  His lawyer was not paying taxes at a taxicab company.
[04:15.240 --> 04:16.240]  He's pled guilty.
[04:16.240 --> 04:18.240]  And so because of that, we can't have the recovery.
[04:18.240 --> 04:20.240]  America can't be great again.
[04:20.240 --> 04:26.240]  Because Trump isn't letting China have $900 billion of trade deficit against us every year
[04:26.240 --> 04:28.240]  because Trump's actually standing up for us.
[04:28.240 --> 04:29.240]  He has to be removed.
[04:29.240 --> 04:33.240]  He said, how do you take somebody out who's done a good job?
[04:33.240 --> 04:34.240]  How do you do it?
[04:34.240 --> 04:37.240]  Ladies and gentlemen, you do it with lies and deceit.
[04:37.240 --> 04:41.240]  You don't learn from people what the New York Times, Washington Post, others are doing.
[04:41.240 --> 04:43.240]  And it is unbelievable.
[04:43.240 --> 04:47.240]  I mean, look, we know they're evil.
[04:47.240 --> 04:50.240]  We know they're trained and bred to hate this country and to hate strength.
[04:50.240 --> 04:55.240]  But let me tell you, if there's ever any doubt about how evil these folks are, we've got the proof.
[04:55.240 --> 05:08.240]  Stay with us. Big transmission straight ahead.
