[00:00:00.209 --> 00:00:04.612]  You want answers?
[00:00:04.612 --> 00:00:06.514]  Well so does he.
[00:00:06.514 --> 00:00:10.357]  He's Alex Jones on the GCN Radio Network.
[00:00:10.357 --> 00:00:14.420]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.320 --> 00:00:34.662]  Welcome, ladies and gentlemen.
[00:00:34.662 --> 00:00:35.102]  Welcome.
[00:00:35.102 --> 00:00:36.604]  Thank you so much for joining us.
[00:00:36.604 --> 00:00:38.526]  It is the 21st day of May, 2008.
[00:00:38.526 --> 00:00:49.779]  We're going to be live here for the next four hours, then over the web at InfoWars.com and PrisonPlanet.com, as well as InfoWars.net, JonesReport.com and TruthNews.us.
[00:00:49.779 --> 00:00:53.924]  We will restream the show back-to-back until the next live transmission.
[00:00:55.416 --> 00:01:00.260]  Government may have a massive surveillance program for use in national emergency.
[00:01:00.260 --> 00:01:07.025]  Eight million potential suspects to be rounded up and taken to FEMA camps, and this has come out in government documents.
[00:01:07.025 --> 00:01:09.147]  We already knew this, but here it is back in the news.
[00:01:09.147 --> 00:01:10.768]  We'll go over it.
[00:01:10.768 --> 00:01:14.411]  Also, supply concerns puts oil above $130 for the first time.
[00:01:19.273 --> 00:01:28.037]  And, uh, Goldman Sachs again is coming out, as well as JPMorgan Chase, and saying they see $200 a barrel of oil, as we told you they would do two years ago.
[00:01:28.037 --> 00:01:29.138]  You like the New World Order?
[00:01:29.138 --> 00:01:31.079]  Well, get ready to really like them.
[00:01:31.079 --> 00:01:34.781]  And all those police that are militarized, dressed like ringwraiths?
[00:01:34.781 --> 00:01:40.143]  That's if you get out of line on your journey to slavery.
[00:01:40.143 --> 00:01:45.346]  House passes bill to sue OPEC over oil prices, as if OPEC has anything real to do with it.
[00:01:46.129 --> 00:01:50.036]  OPEC, of course, has nothing to do with the dollar being devalued.
[00:01:51.863 --> 00:01:55.324]  But, again, the slave population can't even figure that out.
[00:01:55.324 --> 00:01:58.166]  Uh, Ventura attacks media for criticizing his free speech.
[00:01:58.166 --> 00:02:06.149]  Another big story, uh, going out in the next hour or so at PrisonPlanet.com by Paul Watson, detailing some other, uh, facets.
[00:02:06.149 --> 00:02:07.969]  But this story by Curt Nemo up on InfoWars.
[00:02:07.969 --> 00:02:09.950]  You can get it out to everybody right now.
[00:02:09.950 --> 00:02:14.612]  Make sure the mainstream media bites on this again so we can have even more people looking to 9-11 truth.
[00:02:14.612 --> 00:02:19.194]  And so other celebrities and government officials, public servants, have the courage to go public.
[00:02:19.714 --> 00:02:26.520]  Ventura attacks media for criticizing free speech, attacked for simply asking questions, and I'm told he was on Stern's show today and they attacked him.
[00:02:26.520 --> 00:02:29.143]  He just said, look, I'm a demolition expert, so they blew it up.
[00:02:29.143 --> 00:02:33.407]  The one question I meant to ask him, I dropped the ball, was, okay, who do you think blew it up?
[00:02:33.407 --> 00:02:34.848]  And obviously, he's implying the government.
[00:02:34.848 --> 00:02:38.751]  He said, oh, they staged Gulf of Tonkin and other events, but why did they blow it up?
[00:02:38.751 --> 00:02:41.374]  Because it'd be good to have him say that.
[00:02:41.374 --> 00:02:42.715]  But you can't be perfect, can you?
[00:02:43.715 --> 00:02:46.597]  Kennedy being released from hospital, returning to Cape Cod.
[00:02:46.597 --> 00:02:59.388]  Senator Edward Kennedy, they say, has a brain tumor which is almost 100% terminal, and it's the common brain tumor, once very rare, associated with 10 years or more of cell phone use.
[00:02:59.388 --> 00:03:03.791]  It's on the side of the lobe where he used his cell phone.
[00:03:03.791 --> 00:03:06.553]  And, hey, didn't care about letting those go on the market, did you?
[00:03:06.553 --> 00:03:07.554]  Went ahead and went along with it.
[00:03:07.554 --> 00:03:09.876]  Well, it's alright, we all die, don't we?
[00:03:09.876 --> 00:03:13.299]  All part of drinking from the same black cup of death.
[00:03:14.620 --> 00:03:18.262]  Again, Goldman Sachs Oracle of Oils is $200 a barrel of oil.
