[00:00:03.715 --> 00:00:04.816]  Thursday!
[00:00:04.816 --> 00:00:06.117]  Big Brother.
[00:00:06.117 --> 00:00:07.878]  Mainstream media.
[00:00:07.878 --> 00:00:09.640]  Government cover-ups.
[00:00:09.640 --> 00:00:11.221]  You want answers?
[00:00:11.221 --> 00:00:12.762]  Well, so does he.
[00:00:12.762 --> 00:00:16.965]  He's Alex Jones on the GCN Radio Network.
[00:00:16.965 --> 00:00:21.028]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.589 --> 00:00:27.290]  Welcome ladies and gentlemen, welcome.
[00:00:27.290 --> 00:00:39.575]  Thank you for joining us for another groundbreaking, trailblazing, tip of the spear, global transmission, fearlessly, in the face of the technotronic, technocracy takeover.
[00:00:39.575 --> 00:00:41.296]  The TTT that we're facing.
[00:00:42.742 --> 00:01:02.462]  Charlie Skelton, London Guardian reporter, who was basically escorted by the police down off the mountain miles away from Milderberg yesterday, will be joining us to give us his take on the situation as the criminal confab prepares to get underway at noon our time.
[00:01:03.894 --> 00:01:05.334]  Already basically going.
[00:01:05.334 --> 00:01:07.195]  They begin arriving at noon.
[00:01:07.195 --> 00:01:09.155]  It kicks off at about six or seven at night.
[00:01:09.155 --> 00:01:12.476]  That's what time it is right now, seven hours ahead in Austria.
[00:01:12.476 --> 00:01:14.477]  So it's ongoing right now.
[00:01:14.477 --> 00:01:20.698]  We'll learn all the developments of the last 21 hours since we were live here with our reporters.
[00:01:20.698 --> 00:01:23.039]  There's the front page London Guardian.
[00:01:23.039 --> 00:01:25.600]  At the G7, we journalists were pampered.
[00:01:25.600 --> 00:01:28.860]  At Bilderberg, we're harassed by police.
[00:01:28.860 --> 00:01:29.761]  So that's coming up.
[00:01:29.761 --> 00:01:30.501]  Larry Klayman.
[00:01:31.653 --> 00:01:40.939]  Founder of Judicial Watch, heads up Freedom Watch USA has a cornucopia of breaking intel that he's going to be joining us.
[00:01:40.939 --> 00:01:42.480]  We know that two members of the U.S.
[00:01:42.480 --> 00:01:47.564]  Supreme Court are being targeted by spies, and it's all part of a larger blackmail operation.
[00:01:47.564 --> 00:01:55.990]  This is over-the-top important information with Larry Klainman, a true trailblazer, joining us in the third hour.
[00:01:57.233 --> 00:02:00.515]  Charlie Skelton for 30 minutes, Larry Klaman for a full hour.
[00:02:00.515 --> 00:02:02.537]  We're working on getting Mark Dice right now.
[00:02:02.537 --> 00:02:04.298]  We were working on getting him on tomorrow.
