[00:00.000 --> 00:00.580]  Action.
[00:13.500 --> 00:17.200] ija Is the President of the United States above the law.
[00:19.200 --> 00:21.200]  Noynthol is above the law.
[00:21.200 --> 00:22.760]  No hambrionis above the law.
[00:22.760 --> 00:23.900]  Noon is above the law.
[00:23.900 --> 00:25.460]  NoONn is above the law.
[00:25.700 --> 00:27.720]  Noon is above the law.
[00:27.740 --> 00:29.260]  Noon is above the law.
[00:29.260 --> 00:30.540]  He is certainly not above the law.
[00:30.540 --> 00:31.500]  Nobody's above the law.
[00:31.500 --> 00:32.660]  No one is above the law.
[00:32.660 --> 00:38.080]  No one is above the law, not even the President of the United States.
[00:38.080 --> 00:41.300]  No one is above the law, not even the President of the United States.
[00:41.300 --> 00:42.880]  This President believes he is above the law.
[00:42.880 --> 00:46.600]  And, no one, not even the President, should be above the law.
[00:46.600 --> 00:50.240]  No one is above the law, and certainly not the President.
[00:50.240 --> 00:51.240]  Oh my god.
[00:51.240 --> 00:54.980]  Again, I repeat, no one, not even the President, is above the law.
[00:54.980 --> 00:55.980]  Oh my god.
[00:55.980 --> 00:56.980]  Do you know what this means?
[00:56.980 --> 00:57.980]  We finally got him.
[00:57.980 --> 01:00.780]  We have a president who believes he is above the law.
[01:00.780 --> 01:03.480]  The president is not above the law.
[01:03.480 --> 01:05.980]  The president who believes he is above the law.
[01:05.980 --> 01:08.980]  He is not, as some people have tried to suggest, above the law.
[01:08.980 --> 01:10.980]  The president is declaring himself above the law.
[01:10.980 --> 01:15.980]  No one, not even the president of the United States, is above the law.
[01:15.980 --> 01:19.480]  Donald Trump has tried to put himself above the law.
[01:19.480 --> 01:20.980]  And that's not how it works.
[01:20.980 --> 01:22.980]  That's not how any of this works.
[01:22.980 --> 01:24.480]  You are above the law.
[01:24.480 --> 01:30.980]  In my view, there is nothing more dangerous than an unethical president who believes they are above the law.
[01:30.980 --> 01:37.980]  The American people do not want a president who believes that he is above the law.
[01:37.980 --> 01:38.980]  No one is above the law.
[01:38.980 --> 01:40.480]  Nobody is above the law.
[01:40.480 --> 01:42.980]  We must ensure that no one is above the law.
[01:42.980 --> 01:47.980]  I mean, dear God, this guy cannot in any way be allowed to be above the law.
[01:47.980 --> 01:49.980]  This is the United States of America.
[01:49.980 --> 01:52.980]  No one is above the law.
[01:52.980 --> 01:56.980]  No one, no one, no one is above the law.
[01:56.980 --> 01:58.980]  No one is above the law.
[01:58.980 --> 02:01.980]  President Trump and his administration are not above the law.
[02:01.980 --> 02:03.980]  There is big news that just came out.
[02:03.980 --> 02:06.980]  Looks like Donald Trump may have broken the law.
[02:06.980 --> 02:08.980]  No one is above the law.
[02:08.980 --> 02:12.980]  No one, not even the president is above the law.
[02:12.980 --> 02:14.980]  Son of a bitch.
[02:14.980 --> 02:24.980]  He is a journalist.
[02:24.980 --> 02:35.980]  There are some healing phone records of journalists.
[02:35.980 --> 02:36.980]  We don't know how many.
[02:36.980 --> 02:41.980]  I asked anywhere at the colloquy last week, can you tell me how many journalists Adam Schiff was spying on?
[02:41.980 --> 02:42.980]  He couldn't answer that.
[02:42.980 --> 02:44.980]  How many members of Congress is he spying on?
[02:44.980 --> 02:46.980]  Or other citizens across this country?
[02:46.980 --> 02:49.980]  And they can't even answer a basic question like that.
[02:49.980 --> 02:54.980]  We all should be alarmed at how they've abused their power with this majority in Congress.
[02:54.980 --> 03:01.980]  And it's a shame because there's a lot more we should be doing that families across this country are counting on us to do like lower drug prices.
[03:01.980 --> 03:09.980]  At least as House Republicans, we're going to stay focused on fighting hard for those families across America who are counting on us
[03:09.980 --> 03:14.980]  and working with President Trump to go deliver more wins for American workers in the American economy.
[03:14.980 --> 03:19.980]  And with that, I'll turn it over to our Republican leader, Kevin McCarthy.
[03:19.980 --> 03:24.980]  Ladies and gentlemen, it is Tuesday, December 10th, 2019.
[03:24.980 --> 03:31.980]  I am your host, Alex Jones, and we've got four big guests lined up today that will pop in quickly.
[03:31.980 --> 03:36.980]  But I do intend to mainly take your phone calls.
[03:36.980 --> 03:40.980]  This is a time for the citizens of the nation to be able to respond.
[03:40.980 --> 03:48.980]  It's official Democrats released text of articles of impeachment, and I have it right here in front of me.
[03:48.980 --> 03:50.980]  Two different articles of impeachment.
[03:50.980 --> 03:54.980]  They were looking at four of them, but they realized there's no evidence of anything.
[03:54.980 --> 04:08.980]  So these have to be these nebulous, nebulous resolutions that absolutely still cannot even be proven.
[04:08.980 --> 04:17.980]  So we're going to be walking through all of that here today.
[04:17.980 --> 04:25.980]  And again, we will be taking your phone calls throughout the four hours of the broadcast today.
[04:25.980 --> 04:30.980]  I'm going to be hosting the fourth hour as well ahead of the war room while Owen Schreuer and the crew are on the East Coast and in D.C.
[04:30.980 --> 04:35.980]  We've got Savannah Hernandez and some of the other great crew hosting the war room.
[04:35.980 --> 04:48.980]  And then I'll be back tonight with live coverage from six to about ten this evening of the Trump slash Pence rally,
[04:48.980 --> 04:51.980]  supposing one of the biggest ever in Hershey, Pennsylvania.
[04:51.980 --> 04:53.980]  Working around the clock fighting hard for our republic.
[04:53.980 --> 04:54.980]  I'm Alex Jones.
[04:54.980 --> 04:58.980]  This is the InfoWars.
[04:58.980 --> 05:06.980]  The 12 days of Christmas Super Sale has come to InfoWars with free shipping store wide and double Patriot points.
[05:06.980 --> 05:10.980]  Don't shop with Amazon or other big tech companies that hate your guts.
[05:10.980 --> 05:14.980]  Take the InfoWars Christmas challenge and support the fight for freedom.
[05:14.980 --> 05:19.980]  Finish your Christmas shopping with one click and support the InfoWars.
[05:19.980 --> 05:31.980]  12 days of Christmas we're adding a new special every day plus free shipping, double Patriot points and extra stickers in every package to be good little elves and spread the InfoWars triggering Lib Tards.
[05:31.980 --> 05:34.980]  Check in every day to find the new deals.
[05:34.980 --> 05:37.980]  We're also coming out of the gates with specials we've never had before.
[05:37.980 --> 05:41.980]  The Christmas mega pack is at cost at $99.95.
[05:41.980 --> 05:46.980]  Get two bottles of knockout, two bottles of brain force plus one box of turbo force,
[05:46.980 --> 05:52.980]  one bottle of ultimate krill oil and one bottle of survival shield X3 at cost.
[05:52.980 --> 06:17.980]  Again, find this amazing special and over 100 others at InfoWarsStore.com and support the InfoWarm.
[06:23.980 --> 06:35.980]  Well, two articles of impeachment have been introduced against the president of the United States and they're the two nebulous ones.
[06:35.980 --> 06:41.980]  Abuse of power and obstructing Congress.
[06:41.980 --> 06:48.980]  Abuse of power and obstructing Congress because they can't prove the Russia gate.
[06:48.980 --> 06:58.980]  They can't prove real obstruction of justice. They can't prove any quid pro quo with Ukraine, even though that's legal as long as the president is doing in the interest of the U.S.
[06:58.980 --> 07:00.980]  and not for his own interest.
[07:00.980 --> 07:07.980]  And they are just in full complete rampage mode for a reason.
[07:07.980 --> 07:09.980]  There's a reason, ladies and gentlemen.
[07:09.980 --> 07:27.980]  They have a plan once the Senate trial kicks off to bring forward a bunch of other fake, faux, synthetic crises and scandals coupled with civil unrest to push the president out.
[07:27.980 --> 07:31.980]  Now, so far we've been dead on predicting what they're going to do.
[07:31.980 --> 07:52.980]  Just a few months ago, oh, Alex is wrong. Pelosi doesn't have the nerve. She will never, ever, ever, ever be able to get the articles of impeachment through.
[07:52.980 --> 08:05.980]  They'll never actually have the vote because it's unpopular. Everything they're doing is unpopular.
[08:05.980 --> 08:17.980]  And they're saying they're going to have their full House vote next week, which of course will indict the president and go to the Senate.
[08:17.980 --> 08:24.980]  So we'll lay it all out today. I'm going to give the number out. I'm going to take your phone calls on this key issue.
[08:24.980 --> 08:30.980]  And what are we, as citizens, going to do to stop their plan tomorrow's news today?
[08:30.980 --> 08:42.980]  Now, here is the Republican leader of the House McCarthy just minutes ago, making his statement in response to what the Democrats have done. Here it is.
[08:42.980 --> 08:44.980]  Good morning.
[08:44.980 --> 08:50.980]  So back in 2016, the Democrats called those who supported Donald Trump deplorables.
[08:50.980 --> 08:54.980]  And now they're trying to disqualify their votes.
[08:54.980 --> 09:00.980]  Democrats still cannot get over the fact that the president won the election and they lost.
[09:00.980 --> 09:12.980]  Just last week at this podium, Nancy Pelosi went to point out they created a timeline to impeach President Trump that she said started two and a half years ago.
[09:12.980 --> 09:18.980]  Many of you know of this timeline because once they took the majority, they had to decide who would become chairs of their committee.
[09:18.980 --> 09:22.980]  The impeachment committee, the judiciary, who could win?
[09:22.980 --> 09:30.980]  Gary Nadler campaigned on that he would be the very strongest member to lead a potential impeachment.
[09:30.980 --> 09:37.980]  On the day of swearing in these new freshmen that gave them the majority a mere few hours after being sworn in,
[09:37.980 --> 09:42.980]  Congresswoman Tulli proclaimed we are going to impeach the mother.
[09:42.980 --> 09:50.980]  You had Al Green admitting that the Democrats have true fears that they do not impeach President Trump that he would win reelection.
[09:50.980 --> 09:56.980]  And now and today, we watched them introduce two articles of impeachment.
[09:56.980 --> 10:02.980]  They changed the course of Congress to take away due process for any point of where we are.
[10:02.980 --> 10:08.980]  It is a fear that Alexander Hamilton had to came to fruition in this Congress.
[10:08.980 --> 10:13.980]  I just hope no Congress ever repeats what we're going through today.
[10:13.980 --> 10:21.980]  They have a lot of members on their side very concerned because from the moment they started impeachment and letting the American public see what they believed
[10:21.980 --> 10:27.980]  and keep changing the term of what they thought was out there, it has been falling in the polls.
[10:27.980 --> 10:35.980]  If you need any more evidence of how unpopular impeachment is, watch the two press conferences today.
[10:35.980 --> 10:43.980]  After announcing impeachment within less than an hour, the speaker finally relented and said she would bring USMCA up.
[10:43.980 --> 10:48.980]  She has held it for more than a year, making America weaker in our negotiations with China.
[10:48.980 --> 10:54.980]  Our number one and number two trader in Mexico and Canada was being held up within our own agreement.
[10:54.980 --> 11:01.980]  But those who are vulnerable in this vote for impeachment continuing to make the argument as the rest of America was too.
[11:01.980 --> 11:05.980]  At no time when she would bring this bill up would there's ever fear of it not passing.
[11:05.980 --> 11:15.980]  But the only reason she would finally relented is because the unpopularity of impeachment itself.
[11:15.980 --> 11:23.980]  We watched in a hearing a Democrat constitutional scholar that did not vote for President Trump.
[11:23.980 --> 11:30.980]  Say this was the weakest, the thinnest, the fastest impeachment in the history of America.
[11:30.980 --> 11:37.980]  He then went to say if there was an abuse, it'd be abuse on the Democrats to move forward.
[11:37.980 --> 11:41.980]  The speaker must not have listened to that hearing.
[11:41.980 --> 11:51.980]  If the speaker had only waited 48 hours to release of the transcript, America would not be put through the nightmare.
[11:51.980 --> 12:01.980]  But the speaker would pause and read the IG report, the Inspector General, to thank in a place of America
[12:01.980 --> 12:09.980]  that we would have a law enforcement agency spy on a presidential campaign in more than 51 instances.
[12:09.980 --> 12:18.980]  Not hold up to the rule of law or change all the information and evidence to be able to move forward on something
[12:18.980 --> 12:25.980]  they knew or should have known was not true is a sad day for America.
[12:25.980 --> 12:34.980]  But to compound that with the idea just because you created a timeline to impeach a president that you disliked,
[12:34.980 --> 12:36.980]  you ignored facts.
[12:36.980 --> 12:41.980]  We would never be here if they paid attention to the facts or the hearings.
[12:41.980 --> 12:49.980]  This is not a day that America will be proud about. It's not a day that history will write that anybody wants to repeat.
[12:49.980 --> 12:59.980]  Alexander Hamilton warned us that this day would come, that a majority would use their political power just for politics.
