[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:39.000]  Well, every radio broadcast we engage in is extremely important, but this one obviously more than many of the others.
[00:39.000 --> 00:50.000]  It is Sunday, the 12th day of August 2012. I am your host, Alex Jones, and we're going to be here for the next two hours,
[00:50.000 --> 01:00.000]  because we are every Sunday from 4 to 6 p.m. weekdays, 11 a.m. to 2 p.m. Central, 12 to 3 p.m. Eastern.
[01:00.000 --> 01:11.000]  Coming up in about 35 minutes from now, we're going to have Max Kaiser on with us, former stockbroker and vener of the virtual trading systems.
[01:11.000 --> 01:26.000]  He is going to be joining us to break down the controlled implosion of Europe that is being segwayed into the controlled implosion of our economy by design.
[01:26.000 --> 01:32.000]  And we're going to break down the Reuters article carried by Chicago Tribune and others.
[01:32.000 --> 01:44.000]  Exclusive, U.S. banks told to make plans for preventing collapse, but then they go on to say it was largely held secret. There's nothing really new in this article, but it did get some attention in the last few days.
[01:44.000 --> 02:00.000]  What's Saturday and today? Yes, in 2010, plans were drawn up to deal with the second banking crisis or collapse and for there to be no, quote, government bailouts, taxpayer bailouts.
[02:00.000 --> 02:09.000]  Same thing was done in 2008. They make you beg to basically have a tax to the banksters to prop up their derivatives that are impossible to prop up.
[02:09.000 --> 02:16.000]  But now they're admitting that the recession never ended almost four years ago. Now they're admitting the globe is in a depression.
[02:16.000 --> 02:31.000]  More and more experts are breaking this down and our police and military sources are saying, and you've heard them on air, but you've also seen the news, they're preparing for civil unrest or delivering giant black armored war wagons to every major city.
[02:31.000 --> 02:46.000]  The military, the army is saying only the army can keep order, but the economy is so great, but we're going to have local governments collapse and go bankrupt and then have the military roll in.
[02:46.000 --> 03:04.000]  And Ron Paul, back in May, warned of this. And he also warned before that back in February of this year.
[03:04.000 --> 03:20.000]  But he's been warning going back to my film, Matrix of Evil, shot here in Austin in 2003 about once the globalist implode the world economy by design with derivatives, the great danger comes when they pose as the savers.
[03:20.000 --> 03:36.000]  So Max Kaiser is going to be joining us coming up a little bit after the bottom of the hour. He'll be with us for the balance of the broadcast and we're going to take your calls in the second hour for Max here today, your questions, your comments, your statements about the true nature of the economy.
[03:36.000 --> 03:42.000]  Now, some people say, hey, let's put a good face on this is all confidence based.
[03:42.000 --> 03:54.000]  And if we were in an economy that wasn't fully manipulated, the confidence is important. But the only confidence out there is in the globalist that they want to destroy confidence in the real economy.
[03:54.000 --> 04:02.000]  They can very hard to operate if you're not an insider, the globalist exempt themselves to crony monopoly world.
[04:02.000 --> 04:20.000]  So the only system that they allow there to be confidence in is their fraud that is based in our enslavement. And so we have to create zero confidence by pointing out this criminal operation, or they're going to be able to complete their takeover and their
[04:20.000 --> 04:34.000]  claim. The only way out of this is is waking up to the fact that it's been engineered and these people are bragging about it. So that is the big issue. We're going to be breaking down. We come back. We'll play part of Ron Paul's warning.
[04:34.000 --> 04:45.000]  We'll get into all this news. There's a lot of other news. The reporter that broke it a year ago says that it was really a pedophile ring there in pervert Valley.
[04:45.000 --> 05:00.000]  Well, of course it is. But now it's in the news that Sandusky was pimping little kids. Of course he was. Now the president who helped cover it up there at the university has been sent to homeland security.
[05:00.000 --> 05:15.000]  You've heard Alex explain how the silver lungs generator infuses the respiratory system with your self produced colloidal silver solutions. Yet many are unaware of the entire function of the silver lung system and how it has been designed to deliver your silver solutions anywhere in or on the body.
