[00:00.000 --> 00:01.000]  Find out right now.
[00:30.000 --> 00:40.000]  Alex Jones on the GCN radio network, home to hard hitting talk radio.
[00:40.000 --> 00:44.000]  Big brother, mainstream media, government cover-ups.
[00:44.000 --> 00:46.000]  You want answers?
[00:46.000 --> 00:48.000]  Well, so does he.
[00:48.000 --> 00:52.000]  He's Alex Jones on the GCN radio network.
[00:52.000 --> 00:59.000]  And now, live from Austin, Texas, Alex Jones.
[00:59.000 --> 01:03.000]  We are live from Austin, Texas, deep behind enemy lines.
[01:03.000 --> 01:05.000]  You're listening to the Alex Jones show.
[01:05.000 --> 01:09.000]  It is the 23rd day of April 2007.
[01:09.000 --> 01:12.000]  I'm Jack Blood filling in for Alex Jones today.
[01:12.000 --> 01:15.000]  Alex will be joining us in about 30 minutes on the broadcast
[01:15.000 --> 01:18.000]  to give us some updates and talk about some breaking news as well.
[01:18.000 --> 01:24.000]  And we'll be back in the chair tomorrow for your listening pleasure and your edification.
[01:24.000 --> 01:26.000]  So much news to report today.
[01:26.000 --> 01:31.000]  The Sunday news cycle, starting off the news week, almost unwatchable,
[01:31.000 --> 01:36.000]  almost completely useless as they tried to do everything in their power
[01:36.000 --> 01:44.000]  to spin the Virginia Tech story, to spin or counterman the Alberto Gonzalez story,
[01:44.000 --> 01:51.000]  and of course to further pad the war in Iraq, which is really falling to pieces right under our very noses.
[01:51.000 --> 01:52.000]  We'll talk about that also.
[01:52.000 --> 01:55.000]  Boris Yeltsin has died today.
[01:55.000 --> 01:59.000]  Of course, he will be eulogized around the world as a great leader.
[01:59.000 --> 02:06.000]  We'll talk about that, including some of the information that Boris Yeltsin tried to pass to our government
[02:06.000 --> 02:12.000]  regarding the JFK shooting, the Russians immediately going to the conclusion
[02:12.000 --> 02:19.000]  that LBJ was behind the JFK assassination as well as the Texas oil people.
[02:19.000 --> 02:22.000]  This would include Halliburton or Kellogg, Brown, and Root, among others.
[02:22.000 --> 02:29.000]  Of course, we remember that LBJ was the KBR president, Kellogg, Brown, and Root president, the Halliburton president.
[02:29.000 --> 02:32.000]  This was in all the newspapers back in the day.
[02:32.000 --> 02:34.000]  It was pretty much acknowledged right out in the open.
[02:34.000 --> 02:35.000]  So we'll talk about that.
[02:35.000 --> 02:37.000]  Iran and Iraq.
[02:37.000 --> 02:39.000]  Let's be very clear here.
[02:39.000 --> 02:44.000]  According to the phony information that we're getting, that is being put out throughout the media,
[02:44.000 --> 02:51.000]  al-Siyyida in Iran, I think that's kind of hard to swallow,
[02:51.000 --> 02:56.000]  but according to this information, Iran and Iraq, the al-Siyyida quadrants in Iran and Iraq,
