[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[00:11.000 --> 00:19.000]  President Trump, you must defend the First Amendment. You must stand up against big tech censorship.
[00:19.000 --> 00:25.000]  President Trump, you must stand up against big tech censorship. You must stand up for free speech.
[00:25.000 --> 00:36.000]  Now is the time. President Trump, you must release Julian Assange. Julian Assange, you're doing anything wrong, but it's a whistleblower, exposed criminal activity.
[00:36.000 --> 00:48.000]  Free Julian Assange!
[00:48.000 --> 01:07.000]  So there's Alex Jones in front of the White House yesterday while President Donald Trump was meeting with Jack Dorsey, the CEO-President founder of Twitter.
[01:07.000 --> 01:22.000]  So we're going to have more clips from Alex Jones yesterday bullhorning the White House and we will most likely be hearing from Alex Jones before the end of the broadcast today as well.
[01:22.000 --> 01:37.000]  But here's the deal, because I've got this stack of news, all kinds of stuff to get to. Something that really angered me yesterday and I lost my temper on air, it seems that the President has now responded, so that's great news.
[01:37.000 --> 02:01.000]  The President is listening to us, but we are growing weary of the lack of action, so will Twitter stop shadow banning conservatives? I doubt it, but will the President and Jack Dorsey hear that Alex Jones was outside and maybe even heard him with the bullhorn?
[02:01.000 --> 02:22.000]  Absolutely. Look, I'm not the one to judge somebody's fashion, but seriously, what is the deal with Jack Dorsey? Does this guy have no taste? Does this guy intentionally always want to look like a bum?
[02:22.000 --> 02:37.000]  He looks like he just got done panhandling on the side of the road. What is this guy's deal? He's in the White House. Come on, dude, comb your hair or something. What an embarrassment.
[02:37.000 --> 02:54.000]  Oh, and then the hilarity at CNN is just, I can't even. So I think we may actually be joined by Brian Stelter today. So I think that that's going to happen. Leo Zagami will be joining me.
[02:54.000 --> 03:11.000]  And then Patrick Casey from the American Identity Movement, whose video we featured yesterday of the gentleman dressed up as clowns in a clown world going to the drag queen story hour.
[03:11.000 --> 03:24.000]  And of course, they got kicked out. You're only allowed to be at drag queen story hour dressed like a clown if you're there to play with the kids. But if you're there to live in a clown world, you have to go.
[03:24.000 --> 03:39.000]  Look at that guy. Hold on, go back to the guy in the green shirt who's kicking them out and he puffs his belly out at them. It's really odd. And he's wearing sandals with socks too. Oh my gosh.
[03:39.000 --> 03:52.000]  Is he not wearing sandals with socks? I mean, am I am I wrong about this or those sandals with socks? And what are those track pants? This is an interesting fellow here. He may even have a whistle around his neck.
[03:52.000 --> 03:59.000]  All right, so so that's going to be happening too. But you know, before I do all that, I'm going to have to do four hours of broadcasting today.
[03:59.000 --> 04:10.000]  So I'm going to need my turbo force from infowarsstore.com. I already took my brain force and a couple of krill oil pills to really get my brain blasted. But I'm going to need a little extra energy today.
[04:10.000 --> 04:21.000]  So I'm going to take my turbo force right here. And I'm doing the hot water mix today. So we're going to be sipping on turbo force during the Alex Jones show today.
[04:21.000 --> 04:37.000]  So if you're wondering how I got all this energy, just saunter on over to infowarsstore.com and get yourself a box or 10 of turbo force from infowarsstore.com.
[04:37.000 --> 04:47.000]  All right, so I'm about to go into full chi mode. You know about this. It's a living meme. Just accept it. Just accept that turbo force has now become a living meme.
[04:47.000 --> 04:59.000]  And just go to infowarsstore.com and get your turbo force and be memorized as we go to break here on the Alex Jones show.
[04:59.000 --> 05:13.000]  Infowarsstore.com is how you support us. And it's not like we're selling stuff you don't need. You don't want the air in the average American home is filled with toxins that put it on par with a major city.
[05:13.000 --> 05:18.000]  There's some of the most polluted areas on earth are major cities. How can I solve that problem?
[05:18.000 --> 05:32.000]  So we have air filters at infowarsstore.com, the Alexa pure breeze, which is right now $50 off the Alexa pure breeze groundbreaking iron cluster air filter technology.
[05:32.000 --> 05:39.000]  And we've got a limited quantity of these left right now. We're basically selling these at cost because there was a big overhaul.
[05:39.000 --> 05:51.000]  Go ahead and read the hundreds of five star reviews for yourself. I've got two in my home. You will notice the difference, ladies and gentlemen with the Alexa pure breeze in your house.
[05:51.000 --> 06:11.000]  Don't live in a polluted major city in your home. Have clean air. Go to infowarsstore.com.
[06:11.000 --> 06:22.000]  The tip of the spear. It is the Alex Jones show with Owen Troyer.
[06:22.000 --> 06:42.000]  You must stand up against that censorship. You must stand up against that censorship. You must stand up for free speech. Now is the time.
[06:42.000 --> 07:07.000]  That was the scene outside the White House yesterday when Alex Jones was visiting DC on a secret mission from an alternate dimension.
[07:07.000 --> 07:17.000]  While President Trump was talking to Jack Dorsey inside the White House, we're still trying to find a comb for Mr Dorsey.
[07:17.000 --> 07:36.000]  So we're going to have the full highlight video from yesterday of Alex Jones in Washington DC bullhorning the White House, walking around meeting people and doing his usual thing, which you will only find at infowars.com.
[07:36.000 --> 07:51.000]  But there is the president meeting with Jack Dorsey right there and it looks like he's got a team of lawyers with him, perhaps. And the president has all their attention.
[07:51.000 --> 08:08.000]  Daniels has the story at infowars.com. Trump holds closed door meeting with Twitter's Jack Dorsey. And of course, Trump tweeted this out, but you go back last year and you know what Trump has said during his rallies.
[08:08.000 --> 08:23.000]  And this is what he tweeted out last July. Twitter shadow banning prominent Republicans. Not good. We will look into this discriminatory and illegal practice at once. Many complaints.
[08:23.000 --> 08:46.000]  So you wonder if the president brought that up. But you can see in the picture that he shared on Twitter that we have it at infowars.com. He has a stack of news on his desk that he appears to be going over with Mr No Com, Jack Dorsey.
[08:46.000 --> 09:00.000]  And so, Alex Jones was in DC while this was all going on, bullhorning outside the White House doing his normal thing that you will only get here at infowars.
[09:00.000 --> 09:22.000]  You know, there is no other news organization where the face of the organization is actually the ones running everything and out in the front lines. You just don't get this anywhere else.
[09:22.000 --> 09:44.000]  So we're going to have the full highlight video of that coming up on the other side. And then there's all kinds of other news. It seems that the president is just as upset as we are about what happened at the southern border where Mexican soldiers disarmed American soldiers.
[09:44.000 --> 09:58.000]  The president is saying he believes it was a distraction. He believes it was a distraction for the drug smuggling that's going on, which I think I said that yesterday. I'm not sure. I'd have to go back and listen.
[09:58.000 --> 10:11.000]  But we talked about this yesterday. I lost my temper. And so we're going to be talking about that and some other news coming from the border, including a video we have of this is just breaking right now.
[10:11.000 --> 10:21.000]  A bunch of armed men escorting a caravan across the southern border.
[10:21.000 --> 10:37.000]  So you know, you've got videos of kids being drugged through barbed wire fence. You've got videos of kids at the top of fences. You've got videos of just armed men with rucksacks coming across.
[10:37.000 --> 10:48.000]  You've got drug smuggling coming across on video coyotes coming. It's all on video. Here's another one armed men escorting people. I mean, we're rolling this b-roll right now. It's incredible.
[10:48.000 --> 10:58.000]  So this is all going on at the southern border. But hey, it's liberal. It's progressive.
[10:58.000 --> 11:10.000]  No, you really have to wonder. You really have to wonder why our leaders are not doing anything about this. You've really got to wonder.
[11:10.000 --> 11:19.000]  Any sane person would accept the fact there is an emergency at the southern border.
[11:19.000 --> 11:37.000]  So you just ask yourself, what is driving these people insane? What is it? I mean, what do you have to see at the southern border to accept the reality?
[11:37.000 --> 11:54.000]  Again, kids being drugged through muddy water, drug across barbed wire on top of large walls, tens of thousands of people breaking through fences, breaking through police lines, throwing weapons,
[11:54.000 --> 12:12.000]  undercover video of them talking about how they're getting paid, people coming across with bags of drugs and guns, and you say, hey, we need to do something at the southern border.
[12:12.000 --> 12:26.000]  There's an emergency. It's kind of out of control. How dare you, racist? It's just like, what? And then, oh, who saw this coming?
[12:26.000 --> 12:37.000]  Infowars is tomorrow's news today. So what's the new narrative around Russian collusion? What is the new narrative? What is the big headline? What is everybody talking about?
[12:37.000 --> 12:47.000]  Don McGahn. So just get ready. Don McGahn will be on all the bottom lines for the next two days. Don McGahn. Don McGahn subpoenaed.
[12:47.000 --> 12:56.000]  Did Trump lie to Don McGahn? Was Don McGahn covering up for Trump? Who's Trump covering up for? Who is Don McGahn? Where is Don McGahn?
[12:56.000 --> 13:10.000]  So this is all coming. Don McGahn now obstructing justice with President Trump. Don McGahn now carrying Trump's water. It's all happening. Don McGahn is the president. It's not even Trump. It's Don McGahn.
[13:10.000 --> 13:23.000]  Just like it was, who else was there? I mean, should we go down the list of all the people that they've acted like this was the one, this was the be all, the end all, we finally got Trump? It's Don McGahn now.
[13:23.000 --> 13:44.000]  So the crew is just rolling through all the stories. It's the same old story. The criminal Democrats are engaged in a coup against the president, committing open treason. You can ask yourself why.
[13:44.000 --> 13:56.000]  But that's the same story, but it's now Don McGahn. So we're going to have all of that and more. I got a bunch of culture news, a stack of that as well.
[13:56.000 --> 14:18.000]  And let's not forget Leo Zagami is joining me at 11.30. And then Patrick Casey from the American Identity Movement, whose video we featured yesterday protesting the drag queen story hour. He will be joining me at 106 Central in the third hour.
[14:18.000 --> 14:40.000]  So before we go to this break, let me give you the good news. We still have 50% off all info wars apparel at infowarstore.com. This special has yet to be shut down. It's now 48 hours past its expiration date.
[14:40.000 --> 15:00.000]  And you can still go to infowarstore.com and get all info wars apparel 50% off all the t shirts, all the ball caps, the stocking caps, the hoodies. It's all 50% off right now at infowarstore.com.
[15:00.000 --> 15:15.000]  And of course, your support at infowarstore.com makes it possible for us to beat the censorship that you know we are enduring. And it's funny. I was talking to somebody earlier about 2020 coming up.
[15:15.000 --> 15:33.000]  What's going to happen in 2020 when people are rushing to info wars and looking for Alex Jones and everything on social media and YouTube because we were basically number one on the internet for political and presidential campaign coverage for 2016.
[15:33.000 --> 15:44.000]  What are they going to do when they see we're banned? What are they going to do? It's going to be an interesting next couple of years, isn't it?
[15:44.000 --> 15:48.000]  It's only going to get stranger.
[15:48.000 --> 15:59.000]  So when we come back, we'll have the highlight reel of Alex Jones bullhorring the White House. But in this short four minute break, go to infowarstore.com and take advantage of 50% off all info wars apparel.
