[00:00.000 --> 00:25.000]  The
[00:25.000 --> 00:35.000]  Republic is fighting for its life. Only that realization can trigger a mass awakening and reverse the incredibly dangerous peril we are under.
[00:35.000 --> 00:45.000]  The multinational consortium of foreign ruthless corporations allied with Hollywood and the common Chinese is actively trying to implode the United States once and for all.
[00:45.000 --> 01:00.000]  But humanity is awakening now there is a headline that just went live at info wars dot com and news wars dot com dealing with the topic we're going to be breaking down here today and I'll break it down on the other side of this quick report.
[01:00.000 --> 01:19.000]  We are dealing with ladies and gentlemen. An active war by communist China producing the COVID-19 virus and then purposely releasing it, not just in China, but in Europe, the United States as an economic weapon that their allies in big tech and the Democratic Party and the socialist
[01:19.000 --> 01:31.000]  countries of Europe would then use to say that China was a hero and that the United States was the bad guy. We put this together seven months ago but now it's all confirmed and top scientists and whistleblowers have gone public confirming all of this.
[01:31.000 --> 01:48.000]  But big tech and the control corporate enemy media enemy of the people is desperately trying to censor it now not just info wars but now Tucker Carlson. It's all coming up the censor Tucker Carlson interview. All the bombshell proof and what this means.
[01:48.000 --> 01:56.000]  What this means because the collaborators will all pay. But first a breakdown of their conflicting messages on the so called mask. Stay with us.
[01:56.000 --> 02:07.000]  We've all been told physically distance wash your hands and wear masks. Masks are important. Wear the mask. Wear the mask.
[02:07.000 --> 02:20.000]  Masks must be worn. Not wearing face masks during the pandemic isn't an option. Not wearing a mask is not okay. Cover your freaking face.
[02:20.000 --> 02:29.000]  I'm choosing not to do it. Wearing a mask is now cool. I believe it's cool. The mask has become a symbol of fear.
[02:29.000 --> 02:40.000]  Mask Wars is heating up. The president now chastising a reporter for choosing to keep his on. I couldn't hear you. Can you take it off because I cannot. I'll just speak louder.
[02:40.000 --> 02:53.000]  You want to be politically correct. Go ahead. No sir. I just want to wear the mask. The president again in front of the mostly mask free crowd. You can see all the people walking out and I don't see anybody wearing masks.
[02:53.000 --> 03:07.000]  Many of those attendees not wearing masks. The CDC places this event in the highest risk category. Pretty consistently found that people who are protesting masks during this time once you really start talking to them.
[03:07.000 --> 03:13.000]  They don't really care about police brutality and they don't really care about oppression of minorities.
[03:13.000 --> 03:20.000]  There doesn't seem to be any social distancing and not a lot of care when it comes to the coronavirus. Why are you not wearing a mask?
[03:20.000 --> 03:26.000]  Because there's no COVID. It's a fake pandemic created to destroy the United States of America.
[03:26.000 --> 03:30.000]  The people there are just not worried about it. Cal, they're not worried about their own personal safety.
[03:30.000 --> 03:35.000]  I haven't met anybody who is. But you can see. Here. Just around. Nobody's wearing them.
[03:35.000 --> 03:43.000]  Including the camera. There you go. Is it time to mandate the wearing of masks across the country?
[03:43.000 --> 03:52.000]  I definitely long overdue for that. The science that says you must test, trace, treat. You must wear your mask. You must have sanitation.
[03:52.000 --> 04:02.000]  You call what the president did last night at this indoor rally with thousands of people, most if not many, not wearing masks. You call it negligent homicide. Why?
[04:02.000 --> 04:09.000]  Well, that's what you call the actions of somebody who, through their negligence, causes the death of other people.
[04:09.000 --> 04:12.000]  We're talking about permanently negligent homicide.
[04:12.000 --> 04:18.000]  Jim, you have new information on the president's refusal over these few months to even wear a mask.
[04:18.000 --> 04:21.000]  No mask. No mask. No soap.
[04:21.000 --> 04:29.000]  These actions just fly in the face of what any, you know, considerate person would do for others.
[04:29.000 --> 04:32.000]  It's not okay for you to jeopardize my health.
[04:32.000 --> 04:38.000]  If he can profit from your death, he will. And then he'll totally forget that you died.
[04:38.000 --> 04:41.000]  You will have served your professor no longer relevant.
[04:41.000 --> 04:45.000]  He is trying to kill New York City.
[04:48.000 --> 04:50.000]  Oh, son of a bitch.
[04:50.000 --> 04:59.000]  I want them shut down. I want them silent. I want them needed.
[04:59.000 --> 05:02.000]  I don't want to be right about this prediction.
[05:02.000 --> 05:05.000]  In fact, it's not a prediction.
[05:05.000 --> 05:14.000]  It is a forecast that we continue down the economic road we're on globally with the ongoing COVID-19 lockdowns and the structure of productivity.
[05:14.000 --> 05:22.000]  It will continue to accelerate these ripple effects that are breaking down supply chains that will start tens of millions of additional people in the third world
[05:22.000 --> 05:26.000]  and destroy decades of human infrastructure that's been built.
[05:26.000 --> 05:33.000]  It will annihilate the funding of that and put the entire first world in even deeper debt, which we're being maneuvered into.
[05:33.000 --> 05:38.000]  So I really think the smart move is to end all these lockdowns immediately
[05:38.000 --> 05:44.000]  and prosecute the people that launched the giant COVID scam, the giant COVID con game.
[05:44.000 --> 05:46.000]  This really used to be a power grab.
[05:46.000 --> 05:50.000]  But in case we can't reverse all this, we better start digging in and getting storeable food
[05:50.000 --> 05:55.000]  and getting prepared to be self-sufficient because that's the name of their game, is to make us dependent on them.
[05:55.000 --> 05:59.000]  So get self-sufficient now in FullWars.com.
[05:59.000 --> 06:12.000]  Ladies and gentlemen, everything is proceeding as we have predicted.
[06:12.000 --> 06:16.000]  That means we've got a serious chance of winning and defeating the globalists,
[06:16.000 --> 06:22.000]  but it guarantees things are going to get really, really bad, really, really fast before we come out of the darkness,
[06:22.000 --> 06:26.000]  out of the storm and into the blazing light of the sun.
[06:26.000 --> 06:30.000]  It is Wednesday, September 16th. The year is 2020.
[06:30.000 --> 06:38.000]  We are 47 days out from the most important election in world history.
[06:38.000 --> 06:41.000]  I am your host, Alex Jones.
[06:41.000 --> 06:48.000]  Here is the live show feed headline that I hope you share in this critical information war
[06:48.000 --> 06:54.000]  because the entire CHICOM operation, the entire EU system, the Hollywood system, Big Tech,
