[00:00.000 --> 00:14.200]  Big Brother mainstream media government cover-ups you want answers well so does he he's Alex Jones
[00:14.200 --> 00:43.400]  on the GCN radio network and now live from Austin, Texas, Alex Jones we're live ladies and gentlemen strap yourselves in and get ready it is Wednesday
[00:43.400 --> 01:04.400]  the 11th day of July 2012 we're going to be here for the next three hours masses of absolutely vital news and information today and we're going to have open phones during the first two hours and in the third hour when a journalist and researcher Dan fight joins us
[01:04.400 --> 01:26.400]  he is a real expert when it comes to researching the exploding arms buildup paramilitary buildup by the occupational government and the collaborators that are working with the system and I don't use the term like collaborator just to give it a verbal flourish some hyperbole of oh yeah collaborators with what
[01:26.400 --> 01:46.400]  Hillary Clinton and the WikiLeaks documents said we cannot criticize China anyway they own us Goldman Sachs JP Morgan and others brag they have taken over the United States by fraud and Europe they brag in hundreds of publications a month we read the publications here on air a smattering of them
[01:46.400 --> 02:06.400]  it's out in the open we've been conquered through fraud we've been signed on to debt that isn't ours and this is a designed global depression that's been hooked up to consolidate control that's the message there are great bureaucrats out there
[02:06.400 --> 02:24.400]  there are great police out there there are great school teachers out there there are great entrepreneurs farmers nurses doctors scientists researchers most people aren't individually bad but their child like their decadent they're not serious minded and I've studied
[02:24.400 --> 02:30.400]  history and I've studied what the current elite believes in and what they're pushing and we're in a lot of trouble
[02:30.400 --> 02:43.400]  so what are we going to do I want to put the number out today I'm going to give it out now when we come back from break and then go over some of the news but I specifically we don't screen your calls but sometimes I say hey I want to hear from first time
[02:43.400 --> 02:56.400]  callers or I say I want to hear from police or military or I want to hear from people in Australia on the carbon tax or I want to hear from people in California with their carbon tax you know you listen to show I do that all the time
[02:56.400 --> 03:07.400]  so specifically today I'd like to hear from first time callers in the first hour we'll have free for all in the second hour I'll try to go to your calls in fact we'll just go to your calls at the start of the next segment
[03:07.400 --> 03:23.400]  I'll just give the number out right now for first time callers do you think I'm over forecasting what we're in the middle of have I been accurate have my guests been accurate or am I blowing out of proportion I'd like to hear I'm blowing out of proportion I wish I was
[03:23.400 --> 03:34.400]  I know I'm not but I'd like to get your take on that are you concerned about the military build up against us the police build up the announcements now that oh it is for you
[03:34.400 --> 03:47.400]  and yeah your trash pickup people they are spying on you because you might be a terrorist and the cops are training with the military to lock down cities and take our guns I mean that's all public
[03:47.400 --> 03:55.400]  so we were right all these years about that now we now now that it's building up like an enemy army building up on our border
[03:55.400 --> 04:01.400]  testing and probing us and acclimating us for full takeover
[04:01.400 --> 04:11.400]  and in the clergy response team training where they train the preachers they train you to have your children taken to go to a FEMA camp to be given inoculations to be reeducated
[04:11.400 --> 04:19.400]  I mean that's preachers on the news bragging they've been trained to do it three years after we broke it and people couldn't believe it it was so shocking
[04:19.400 --> 04:26.400]  life in America is going to look like the town in red dawn under occupation
[04:26.400 --> 04:37.400]  it happened everywhere else tyranny's the norm it's really happening it's really happening eight hundred two five nine ninety two thirty one the question is what are we going to do about it
[04:37.400 --> 04:48.400]  we're concerned about it what are your ideas what do we do about it everybody can call in I don't care who they are as long as their first time caller eight hundred two five nine ninety two thirty one we got big news straight ahead
