[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[00:13.000 --> 00:17.000]  somewhere along the way.
[00:17.000 --> 00:20.000]  In defense of human liberty, Alex Jones.
[00:20.000 --> 00:29.000]  I'll be looking for aid when they pull that in, and I hope that judge ain't blind.
[00:29.000 --> 00:33.000]  Amarillo, my morning.
[00:33.000 --> 00:37.000]  Ladies and gentlemen, we wanted a president to stand up against the globalists.
[00:37.000 --> 00:41.000]  We wanted a president to actually be president and make the major decisions.
[00:41.000 --> 00:44.000]  And that is now happening.
[00:44.000 --> 00:52.000]  And so all the special interests that had hijacked this nation are now in an information war of lies and deception against our president.
[00:52.000 --> 01:06.000]  Colonel Schaefer, the former head of the operations against Al Qaeda and a former CIA analyst as well, has gone public saying that the president is in an information war and a battle with criminal elements of the deep state to take him out.
[01:06.000 --> 01:12.000]  And he must realize he's in a war and must have a battle plan.
[01:12.000 --> 01:16.000]  We're going to go to that clip coming up in the next segment.
[01:16.000 --> 01:29.000]  Part of that battle plan, obviously, is to remove the president so that they can punish the nationalists in this country and send us a message that we'll never again be allowed to actually run our country or be in control of it.
[01:29.000 --> 01:31.000]  Look at the CNBC headline.
[01:31.000 --> 01:33.000]  Dow drops 250 points.
[01:33.000 --> 01:41.000]  S&P and NASDAQ fall 1% as Trump worries, sends shivers down Wall Street.
[01:41.000 --> 01:52.000]  And you can see behind me if you're watching on television exactly what's happening with the Dow Jones plunging for the first time in the last four or five months.
[01:52.000 --> 01:56.000]  Because with Trump, we're going to have better business deals.
[01:56.000 --> 01:58.000]  With Trump, we're going to have cheaper energy.
[01:58.000 --> 02:04.000]  With Trump, we're going to have a open for business mentality.
[02:04.000 --> 02:13.000]  With Trump, we're going to have someone that actually is looking out for free market systems. The problem is the globalist want to crony capitalist operation.
[02:13.000 --> 02:17.000]  Now, I know you, the listeners and viewers know this.
[02:17.000 --> 02:33.000]  But I got on the phone with Dr. Corsi and others this morning and I said, we have to have a battle plan for the American people and for good people in Congress and for the governors and for the legislators and for others to take action as aggressively as we can within the law against these globalists.
[02:33.000 --> 02:36.000]  Because this is a fifth column.
[02:36.000 --> 02:51.000]  In between writing articles about how they want to overthrow the president, you've got New Yorker magazine, a very elite publication, saying we should have never had America and America's evil and George Washington was bad and an image of a menant man sitting on top of a world of skulls.
[02:51.000 --> 03:00.000]  So the world is a horrible place where the United States produces most of the wealth in the world so that 48% of the population don't have to work.
[03:00.000 --> 03:09.000]  And then call for Trump's impeachment because he dare get $3 trillion in the stock market and hundreds of billions of new jobs for them to suck off of.
