[00:00:00.242 --> 00:00:00.722]  I don't know.
[00:00:24.179 --> 00:00:32.626]  This country in its 250 years history has never had traitors as bad as Honoré and Millie and Austin.
[00:00:32.626 --> 00:00:44.014]  These men, once they've been politically, culturally, economically, and using the criminal justice system defeated, will be known as the new definition of Benedict Arnold.
[00:00:44.014 --> 00:00:45.195]  They are the plague.
[00:00:45.195 --> 00:00:46.036]  They are a curse.
[00:00:46.676 --> 00:00:53.278]  And they are planning, in my view, false flag terror attacks here in America to submit their rollout against us.
[00:00:53.278 --> 00:00:54.979]  They're spoiling for a war.
[00:00:54.979 --> 00:00:56.720]  They're spoiling for a coup.
[00:00:56.720 --> 00:00:58.700]  They're spoiling to overthrow.
[00:00:58.700 --> 00:01:06.043]  And they're getting ready to carry out terror attacks, that is their handlers are, to be blamed on those of us that are loyal Americans.
[00:01:06.363 --> 00:01:09.724]  In our opposition to the destruction of the country and the sell-out of the nation.
[00:01:09.724 --> 00:01:16.547]  And they're all over television saying Trump questioning the election is an act of terror and he's got to be dealt with by the military.
[00:01:16.547 --> 00:01:17.907]  The government's going to kill this guy.
[00:01:17.907 --> 00:01:21.709]  And they're on channel saying we need to get members of Congress using the military.
[00:01:21.709 --> 00:01:25.710]  People sitting in Congress right now, people in and around the former president.
[00:01:26.190 --> 00:01:44.242]  And then General Milley and General Austin and General Honore get up there and click their heels and say, we want to slug out with the American people and every white person that doesn't salute us is a white supremacist enemy and we're the Americans and they're Hitler and we're gonna get them!
[00:01:44.242 --> 00:01:46.143]  We're ready for war!
[00:01:46.143 --> 00:01:47.244]  Tear us loose!
[00:01:47.244 --> 00:01:47.604]  Hoo!
[00:01:47.604 --> 00:01:47.945]  Hoo!
[00:01:47.945 --> 00:01:48.305]  Hoo!
[00:01:48.305 --> 00:01:48.645]  Hoo!
[00:01:48.645 --> 00:01:50.346]  We're gonna get America!
[00:01:50.346 --> 00:01:52.308]  Death to America, says Milley!
[00:01:52.308 --> 00:01:54.109]  Death to America, says Austin!
[00:01:54.109 --> 00:01:55.650]  Death to America, says Honore!
[00:02:10.931 --> 00:02:19.721]  To chronicle the treason and anti-American activities of General Honoré, Austin, and Milley, it would take years.
[00:02:19.721 --> 00:02:23.265]  Let us examine only one small data point.
[00:02:23.265 --> 00:02:28.011]  The gun confiscation that took place after the Katrina hurricane.
[00:02:28.644 --> 00:02:37.729]  Where peaceful people, high and dry, under the orders of Honore, had their firearms stolen and taken from them, never to be returned.
[00:02:37.729 --> 00:02:45.733]  The police and National Guard going street by street, house to house, sometimes entering open houses with guns drawn.
[00:02:47.054 --> 00:02:49.715]  And instructions to disarm anyone inside.
[00:02:49.715 --> 00:02:51.396]  You say guns will be taken?
[00:02:51.396 --> 00:02:52.817]  No one will be able to be armed.
[00:02:52.817 --> 00:02:54.197]  We will take all weapons.
[00:02:54.197 --> 00:03:01.280]  And now Honoré is organizing the national response for the Democratic Party for gun confiscation.
