[00:00:00.049 --> 00:00:07.175]  We've got it.
[00:00:07.175 --> 00:00:11.559]  Waging war on corruption.
[00:00:11.559 --> 00:00:17.244]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:27.313 --> 00:00:45.799]  Well, close to four weeks ago, the controlled corporate enemy media, the globalist media, came out and acted like it was the end of the world when President Trump decried the white supremacist, as well as the anti-f... thugs.
[00:00:45.799 --> 00:00:56.403]  And then three weeks later, he was totally vindicated when we saw all across the country them savagely beating and attacking innocent prayer vigils, free speech rallies,
[00:00:58.109 --> 00:01:02.833]  Land rights events, Second Amendment events, you name it.
[00:01:02.833 --> 00:01:11.020]  That blew up squarely in Nancy Pelosi, Maxine Water, Michael Moores, and other people's faces.
[00:01:11.020 --> 00:01:18.647]  Now, they're acting like the Dreamer Act put in place by Obama, used to flood the United States with people,
[00:01:19.978 --> 00:01:29.606]  On average, 30 years of age, calling illegal aliens dreamers when they couldn't document when they actually got here.
[00:01:29.606 --> 00:01:32.288]  It's been used for massive fraud.
[00:01:32.288 --> 00:01:34.910]  That's what the facts show.
[00:01:34.910 --> 00:01:46.038]  The truth is Trump is planning to try to get reform in that makes it easier for people that have come here legally to get working permits and to be in the United States.
[00:01:46.038 --> 00:01:46.439]  And I've got
[00:01:47.301 --> 00:02:02.993]  Three people working in my office right now who are from Mexico and who work here legally and lawfully and they do a great job and they're on their way to be citizens down the road.
[00:02:02.993 --> 00:02:09.678]  So this isn't about not letting people be in the country who aren't from here.
[00:02:09.678 --> 00:02:16.623]  It's about having basic laws that at least match up with the average laws in the world.
[00:02:17.793 --> 00:02:29.740]  Because globalism is trying to end our sovereignty, and the big corporations want cheap labor, and the Democrats want a political pool they can put chips on the shoulders and create massive division.
[00:02:29.740 --> 00:02:45.989]  So this is a giant exercise in the media, picking some of the people that are here and would qualify for the Dreamer Act, who do speak three or four or five languages, who really are doing a great job, who really are EMTs, who really are good people.
[00:02:45.989 --> 00:02:46.930]  No one's denying that.
[00:02:48.736 --> 00:02:51.517]  Immigrants are some of the best workers and smartest folks we've got.
[00:02:51.517 --> 00:02:58.820]  Because America's been so free and so wealthy, a lot of Americans, I don't care if they're black, white, or Hispanic, or Asian, have gotten lazy.
[00:02:58.820 --> 00:02:59.861]  And the statistics show that.
[00:02:59.861 --> 00:03:01.982]  So, I hire immigrants.
[00:03:02.915 --> 00:03:04.576]  Because they work hard on average.
[00:03:04.576 --> 00:03:06.177]  I guess the cliché is true.
[00:03:06.177 --> 00:03:12.542]  But within that cliché, there's a large group of criminals that are above the law because we've become lawless in this country.
[00:03:12.542 --> 00:03:17.866]  And that minority of criminals is creating a disproportionate amount of crime.
[00:03:17.866 --> 00:03:20.087]  And no one can debate that.
[00:03:20.087 --> 00:03:26.412]  And so all the whining and all the screaming and all the gnashing of teeth is nothing but hype.
[00:03:26.412 --> 00:03:28.534]  I can't go to Brazil.
[00:03:28.534 --> 00:03:29.714]  I can't go to Mexico.
[00:03:30.876 --> 00:03:45.986]  I can't go to Russia, I can't go to China, I can't go to Nigeria, I can't go to Japan and say I've lived there for 20 years and suddenly they just make you a citizen when you came there illegally or make you legal.
[00:03:45.986 --> 00:03:52.590]  Now here is the Attorney General talking about this today and then we'll be back with the big news on North Korea.
[00:03:56.534 --> 00:03:57.915]  Good morning.
[00:03:57.915 --> 00:04:07.324]  I'm here today to announce that the program known as DACA that was effectuated under the Obama administration is being rescinded.
[00:04:07.324 --> 00:04:20.436]  The DACA program was implemented in 2012 and essentially provided a legal status for recipients for a renewable two-year term, worker authorization, and other benefits
[00:04:20.956 --> 00:04:29.558]  Including participation in the social security program to 800,000 mostly adult illegal aliens.
[00:04:29.558 --> 00:04:44.782]  The policy was implemented unilaterally to great controversy and legal concern after Congress rejected legislative proposals to extend similar benefits on numerous occasions to this same group of illegal aliens.
[00:04:47.130 --> 00:04:52.854]  And that's all this is, is Trump reasserting our sovereignty.
