[00:00.000 --> 00:02.000]  Wait and feel great!
[00:02.000 --> 00:04.400]  And with cards or PayPal, that's okay!
[00:04.400 --> 00:07.200]  Call us for our address and send a check or money order.
[00:07.200 --> 00:11.200]  The phone number is 928-308-0408.
[00:11.200 --> 00:15.700]  Again, 928-308-0408.
[00:15.700 --> 00:18.700]  Once again, thank you from GetTheT.com.
[00:18.700 --> 00:28.700]  You are listening to GCN, the Genesis Communications Radio Network.
[00:32.700 --> 00:34.700]  Big Brother.
[00:34.700 --> 00:37.700]  Mainstream media. Government cover-ups.
[00:37.700 --> 00:39.700]  You want answers?
[00:39.700 --> 00:41.700]  Well, so does he.
[00:41.700 --> 00:45.700]  He's Alex Jones on the GCN Radio Network.
[00:45.700 --> 00:49.700]  Now, live from Austin, Texas, Alex Jones.
[00:49.700 --> 00:51.700]  That's right!
[00:51.700 --> 00:55.700]  We're going to air a few more minutes from the intro to the great global warming swindle.
[00:55.700 --> 00:59.700]  We have it posted up at prisonplanet.com.
[00:59.700 --> 01:02.700]  Don't believe a sign of it claims? Check them all out for a show?
[01:02.700 --> 01:05.700]  Find out the truth.
[01:05.700 --> 01:07.700]  And then we've got Alan Watt coming up.
[01:07.700 --> 01:10.700]  And we'll be taking your phone calls continually with him.
[01:10.700 --> 01:13.700]  But as I said at the end of the last hour, briefly in 10 seconds.
[01:13.700 --> 01:16.700]  Prisonplanet.tv, ladies and gentlemen.
[01:16.700 --> 01:22.700]  All of my films, 20 plus, Fable Enemies, Jason Burmes' film, High Quality, Burnham to Disks, DVD,
[01:22.700 --> 01:29.700]  Give Them to People, Prisonplanet.tv, a factory, an armory of resistance.
[01:29.700 --> 01:33.700]  My weekly TV reports, a whole bunch of extras.
[01:33.700 --> 01:41.700]  You know, just raw footage from films, special extras like in-game 1.5, just thousands of pieces of media.
[01:41.700 --> 01:43.700]  Four and a half years up and running.
[01:43.700 --> 01:48.700]  Prisonplanet.tv, super high quality, super fast download, streaming.
[01:48.700 --> 01:51.700]  We've got CDNs, so it's really high quality out to you.
[01:51.700 --> 01:55.700]  And your membership also makes this show what we do here possible.
[01:55.700 --> 01:58.700]  So we can do a lot more if you'll support us with the Prisonplanet.tv membership.
[01:58.700 --> 02:04.700]  But listen, for Christmas, for the holidays, just go get a Prisonplanet.tv membership.
[02:04.700 --> 02:06.700]  Create a passcode and username.
[02:06.700 --> 02:08.700]  It takes about a minute to sign up.
[02:08.700 --> 02:12.700]  And then give somebody a year membership, five months free right now, by the way.
[02:12.700 --> 02:15.700]  Or give them a monthly membership and then just keep the code for yourself.
[02:15.700 --> 02:17.700]  I don't care if you share it.
[02:17.700 --> 02:21.700]  We've got the IP address thing turned up to about five IP addresses.
[02:21.700 --> 02:24.700]  I may even turn it up higher so you can share your passcode.
[02:24.700 --> 02:28.700]  In the old days, we just had basic servers and I didn't want to slow down for members.
[02:28.700 --> 02:35.700]  But now we're not, I mean, I just pay for it, but it's always fast, always high quality.
[02:35.700 --> 02:38.700]  So I don't care if you share it with some folks.
[02:38.700 --> 02:45.700]  I mean, obviously, if you publish it somewhere and 100 people use it, it won't work anymore because it will block after five IPs.
[02:45.700 --> 02:47.700]  But I think I'm going to turn it up to like 10 IPs.
[02:47.700 --> 02:53.700]  And so for Christmas, I want you to share the truth in high quality the way these films were meant to be seen.
[02:53.700 --> 02:55.700]  Again, at Prisonplanet.tv.
[02:55.700 --> 02:58.700]  Back to the great global warming swindle.
[02:58.700 --> 03:09.700]  It's important that people know that climate enabled a quite different lifestyle in the medieval period.
[03:09.700 --> 03:15.700]  We have this view today that warming is going to have apocalyptic outcomes.
[03:15.700 --> 03:21.700]  In fact, wherever you describe this warm beard, it appears to be associated with riches.
[03:21.700 --> 03:23.700]  We're having a heat wave.
[03:23.700 --> 03:27.700]  In Europe, this was the great age of the cathedral builders.
[03:27.700 --> 03:32.700]  At a time when, according to Chaucer, vineyards flourished even in the north of England.
[03:32.700 --> 03:41.700]  All over the city of London, there are little memories of the vineyards that grew in the medieval warm period.
[03:41.700 --> 03:50.700]  So this was a wonderfully rich time, and this little church, in a sense, symbolized it because it comes from a period of great wealth.
[03:50.700 --> 03:56.700]  Going back in time further still, before the medieval warm period, we find more warm spells,
[03:56.700 --> 04:02.700]  including a very prolonged period during the Bronze Age, known to geologists as the Holocene Maximum,
[04:02.700 --> 04:08.700]  when temperatures were significantly higher than they are now for more than three millennia.
[04:08.700 --> 04:15.700]  If we go back 8,000 years in the Holocene period, our current interglacial, it was much warmer than it is today.
[04:15.700 --> 04:18.700]  Now, the polar bears obviously survived that period.
[04:18.700 --> 04:19.700]  They're with us today.
