[00:00:02.153 --> 00:00:03.114]  It's happened.
[00:00:03.114 --> 00:00:11.466]  The Zika virus is now beginning to infect many areas of the entire planet via the globalist tool known as the Rio Olympics.
[00:00:11.466 --> 00:00:13.088]  That's all coming up in the special report.
[00:00:13.088 --> 00:00:16.452]  And then, Donald Trump has responded to the false claim he's dropping out.
[00:00:17.073 --> 00:00:26.137]  We're going to be breaking that down on the other side of the break and a lot more on this Friday, August 5th, 2016, Global Transmission.
[00:00:26.137 --> 00:00:33.261]  I'm Alex Jones, your host, and InfoWars.com is undoubtedly the very front line when it comes to fighting for human liberty worldwide.
[00:00:34.218 --> 00:00:39.824]  Just four days to go before the opening ceremony of the 2016 Rio Olympics.
[00:00:39.824 --> 00:00:45.129]  An Olympics that is already appearing to be a perfect storm for a major terrorist event.
[00:00:45.129 --> 00:00:51.356]  On Sunday evening, a robot was sent into the Maracana Stadium to detect a suspicious toolbox.
[00:00:51.696 --> 00:00:54.677]  An explosion was heard soon after the robot went in.
[00:00:54.677 --> 00:00:56.358]  No injuries were reported.
[00:00:56.358 --> 00:01:02.720]  Maracana Stadium will be hosting the opening and closing ceremonies of the 2016 Olympic Games.
[00:01:02.720 --> 00:01:04.061]  Was this a test?
[00:01:04.061 --> 00:01:08.823]  Why did a toolbox have an explosive in it four days before the opening ceremonies?
[00:01:08.823 --> 00:01:12.164]  The globalist's fingerprints are all over the entire debacle.
[00:01:12.404 --> 00:01:26.314]  The International Atomic Energy Agency provided high-tech radiation monitors in order to detect a dirty bomb, while the United Nations claims ISIS has a high probability of dropping a dirty bomb on the Olympics due to the weak security.
[00:01:26.314 --> 00:01:35.840]  Meanwhile, the World Health Organization downplayed the threat of the Zika virus in order to bring more unsuspecting Olympians and foreigners to the potential hell pit.
[00:01:35.840 --> 00:01:40.804]  Sidney Levy, CEO of the Rio 2016 Committee, has been on a media blitz
[00:01:41.044 --> 00:01:46.129]  Reassuring the world that there is no threat of the Zika virus that is exploding in Rio.
[00:01:46.129 --> 00:01:48.411]  The winter just started in Rio.
[00:01:48.411 --> 00:01:50.193]  It's a proved fact.
[00:01:50.193 --> 00:01:55.678]  Every year we measure that, and in the winter months, there's no mosquitoes whatsoever.
[00:01:55.678 --> 00:02:01.143]  However, Dr. Amir Adaran, writing for the Harvard Public Health Review, says otherwise.
[00:02:01.403 --> 00:02:06.325]  Dr. Adoran wrote, Brazil's Zika problem is inconveniently not ending.
[00:02:06.325 --> 00:02:12.248]  The outbreak that began in the country's northeast has reached Rio de Janeiro where it is flourishing.
[00:02:12.248 --> 00:02:23.233]  Clinical studies are also mounting that Zika infection is associated not just with the pediatric microcephaly and brain damage, but also adult conditions such as Guillain-Barre syndrome,
[00:02:23.473 --> 00:02:29.677]  And acute disseminated encephalomyelitis, which are debilitating and sometimes fatal.
[00:02:29.677 --> 00:02:39.564]  Simply put, Zika infection is more dangerous and Brazil's outbreak more extensive than scientists reckoned a short time ago, which leads to a bitter truth.
[00:02:39.564 --> 00:02:47.149]  The 2016 Olympic and Paralympic Games must be postponed, moved or both, as a precautionary concession.
[00:02:47.149 --> 00:02:51.972]  Dr. Adorno goes on to mention five reasons the games must be postponed.
[00:02:52.412 --> 00:02:59.435]  First, Rio de Janeiro's suspected Zika cases are the highest of any state in Brazil, 26,000.
[00:02:59.435 --> 00:03:05.477]  And its Zika incidence rate is the fourth worst, 157 per 100,000.
[00:03:05.477 --> 00:03:10.799]  And contrary to Mr. Levy, Rio has never experienced a winter with Zika before.
[00:03:10.799 --> 00:03:18.102]  In Rio de Janeiro, dengue cases in the first quarter of 2016 are a shocking six-fold higher than a year ago.
[00:03:18.362 --> 00:03:29.029]  With the startling baseline of Aedes-Borne disease so much higher this year than last, it is far from guaranteed that the coming winter's ebb will make a safe environment for the games.
[00:03:29.029 --> 00:03:40.316]  Second, although Zika virus was discovered nearly 70 years ago, the viral strain that recently entered Brazil is clearly new, different, and vastly more dangerous than old Zika.
[00:03:40.316 --> 00:03:44.018]  Third, while Brazil's Zika inevitably will spread globally,
[00:03:44.178 --> 00:03:48.799]  Given enough time, viruses always do, it helps nobody to speed that up.
[00:03:48.799 --> 00:04:05.604]  In particular, it cannot possibly help when an estimated 500,000 foreign tourists flock into Rio for the Games, potentially becoming infected and returning to their homes where both local AIDS mosquitoes and sexual transmission can establish new outbreaks.
