[00:00.000 --> 00:21.880]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:21.880 --> 00:31.880]  October 1st, 2017. We're gonna be live here for the next two hours. As we are every Sunday, then I'll be back tomorrow.
[00:31.880 --> 00:40.880]  11 a.m. to 3 p.m., but now you have David Knight. 8 a.m. to 11 a.m. and after that, Owen Shroyer is back from a visit with his girlfriend down in Brazil.
[00:40.880 --> 00:50.880]  He's gonna be back in studio. But before we go any further, we have seen total martial law in a beautiful place in Spain that is Catalonia.
[00:50.880 --> 00:59.880]  It's always been its own separate area for thousands of years, an area that resisted Islamic takeover when the rest of Spain pretty much completely fell.
[00:59.880 --> 01:08.880]  You could say they're more Spanish than the Spanish. We've got images of them beating up families, women, fathers trying to vote for independence.
[01:08.880 --> 01:15.880]  Over 80-plus percent want to do it. It's shock footage. That's all coming up. We've caught the Democrats in a stand-down in Puerto Rico.
[01:15.880 --> 01:21.880]  This is beyond bombshell, with the team's union refusing to deliver the U.S. aid to try to embarrass Trump.
[01:21.880 --> 01:27.880]  It's next-level propaganda, but it blew up in their face. And the NFL's having to back down now just like the NBA.
[01:27.880 --> 01:35.880]  That failed as well. The globalists are failing on every front. And we've got other huge news on North Korea and the Islamic terror attacks.
[01:35.880 --> 01:44.880]  Two of them today in France and Canada. The religion of peace. But first, John Bown looks at North Korea blaming America for their psychosis.
[01:44.880 --> 01:56.880]  North Korea continues to play the victim card, regardless that they have threatened imminent nuclear devastation on the world, due to President Trump's comments on the mysterious end of American Otto Warmbier.
[01:56.880 --> 02:07.880]  No one has shown more contempt for other nations and for the well-being of their own people than the depraved regime in North Korea.
[02:07.880 --> 02:19.880]  It is responsible for the starvation deaths of millions of North Koreans and for the imprisonment, torture, killing, and oppression of countless more.
[02:19.880 --> 02:35.880]  We were all witness to the regime's deadly abuse when an innocent American college student, Otto Warmbier, was returned to America only to die a few days later.
[02:35.880 --> 02:40.880]  The Otto Warmbier was released the same day that you went to North Korea.
[02:40.880 --> 02:44.880]  He gave all the prayer and love to his family. But I didn't know he was sick.
[02:44.880 --> 02:52.880]  There's no doubt in my mind that these trips and me asking on his behalf had a lot to do with it.
