[00:00:08.490 --> 00:00:12.940]  Leading a frontal assault on the lies of the New World Order.
[00:00:12.940 --> 00:00:16.769]  It's Alex Jones on the GCN Radio Network.
[00:00:23.413 --> 00:00:26.836]  Welcome to the Alex Jones Show on this Sunday, June 7th, 2015.
[00:00:26.836 --> 00:00:27.897]  I'm David Knight.
[00:00:27.897 --> 00:00:29.979]  I'll be your host here in the studio.
[00:00:29.979 --> 00:00:32.141]  Alex Jones is going to be co-hosting with us today.
[00:00:32.141 --> 00:00:37.906]  He's going to be joining us in the next segment to break down something that we just found out about.
[00:00:37.906 --> 00:00:40.168]  Of course, we see all these international agreements that are being made.
[00:00:40.848 --> 00:00:47.451]  One of these international agreements that is coming not from the trade treaties, but it's actually coming from the State Department.
[00:00:47.451 --> 00:00:54.653]  See, we have all these bureaucracies that are writing rules and regulations that have the effect of law.
[00:00:54.653 --> 00:01:01.676]  They've already bypassed our elected representatives in so many areas, it's hardly even a surprise that we've got now
[00:01:02.316 --> 00:01:07.358]  Sovereignty changing massive agreements that aren't just about trade and they certainly aren't about free trade.
[00:01:07.358 --> 00:01:10.300]  They're about a crony capitalism kind of trade.
[00:01:10.300 --> 00:01:14.122]  This is what we saw with the banker bailouts.
[00:01:14.122 --> 00:01:17.263]  This is the kind of quote-unquote free trade that we're getting with these trade agreements.
[00:01:17.263 --> 00:01:23.366]  But we see these regulations coming in from various bureaucracies all of the time writing their own laws.
[00:01:23.926 --> 00:01:32.292]  Congress creates these organizations like the EPA, like the IRS, like the ATF, all these different organizations that then go off and write their rules.
[00:01:32.292 --> 00:01:40.838]  The FCC coming out and taking over the Internet, for example, just claiming that they have control over it and they're now going to rewrite the rules.
[00:01:40.838 --> 00:01:42.920]  So they're going to exert control.
[00:01:42.920 --> 00:01:44.721]  It wasn't even given to them by Congress.
[00:01:44.721 --> 00:01:48.784]  They just claim it, name it and claim it, and then they start writing rules for it.
[00:01:48.784 --> 00:01:49.965]  So now we've got the State Department
[00:01:50.365 --> 00:01:56.970]  Who's coming out and saying that they're going to have regulations that are going to govern international arms trade.
[00:01:56.970 --> 00:01:58.452]  That sounds familiar, doesn't it?
[00:01:58.452 --> 00:02:02.135]  Remember the UN Arms Trade Treaty that they tried so many times to get through?
[00:02:02.135 --> 00:02:04.056]  They actually called it a treaty.
[00:02:04.056 --> 00:02:05.397]  Maybe that's why they couldn't get it through.
[00:02:05.397 --> 00:02:09.541]  They made the mistake of not calling it an agreement or a partnership.
[00:02:10.495 --> 00:02:15.681]  Now we're going to talk about why these trade agreements are really treaties.
[00:02:15.681 --> 00:02:21.107]  And of course, I'm very happy to see now Rand Paul and Senator Jeff Sessions.
[00:02:21.107 --> 00:02:23.069]  I always get them confused with Pete Sessions.
[00:02:23.069 --> 00:02:25.091]  Pete Sessions is on the wrong side of this, folks.
[00:02:25.091 --> 00:02:31.338]  He's a congressman and he is pushing for a fast-tracked agreement for trade treaties that he has not read.
[00:02:31.938 --> 00:02:35.380]  Pete Sessions, Senator Sessions, is a hero on this.
[00:02:35.380 --> 00:02:43.845]  He's gone to actually read this, as has Rand Paul, and they're both speaking out on this, saying that this is not a trade agreement.
[00:02:43.845 --> 00:02:46.587]  This is, in fact, a treaty.
[00:02:46.587 --> 00:02:50.589]  This whole thing is treachery, quite frankly.
[00:02:50.589 --> 00:02:57.213]  It is treachery to even call it something other than a treaty, because they didn't have the votes to pass Fast Track if it was a treaty.
[00:02:57.213 --> 00:02:57.753]  They had 62 votes.
[00:02:58.934 --> 00:03:04.075]  If they came up and honestly said that this was a treaty, they would have needed 67 votes.
[00:03:04.075 --> 00:03:05.156]  That's why they called an agreement.
[00:03:05.156 --> 00:03:06.496]  That's why they called a partnership.
[00:03:06.496 --> 00:03:08.417]  And of course, NAFTA was passed that way.
[00:03:08.417 --> 00:03:11.737]  They called it the North American Free Trade Agreement.
[00:03:11.737 --> 00:03:24.081]  But now if you go back and look at what they're telling people when it comes up to investor state tribunals, the same thing that we now see being applied with these Trans-Pacific, Trans-Atlantic partnerships,
[00:03:24.801 --> 00:03:28.342]  These tribunals, I guess we should call them IS, right?
[00:03:28.342 --> 00:03:29.303]  Investor State.
[00:03:29.303 --> 00:03:32.824]  It's another kind of IS, also created by the same people.
[00:03:32.824 --> 00:03:36.965]  But these tribunals, they say, really are treaty law claims.
[00:03:36.965 --> 00:03:43.888]  So the people who are representing the corporations, the multinational corporations, in these arbitration agreements are quite
[00:03:44.548 --> 00:03:47.429]  Clear about the fact that they are practicing treaty law.
[00:03:47.429 --> 00:03:56.390]  Look, treaty is any kind of an agreement between one or more nations that affects commerce or peace or various other aspects.
